<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTE,D,19960724,000000,7.5039,7.5039,7.5039,7.5039,48506,0
FTE,D,19960725,000000,8.2528,8.2528,8.2528,8.2528,150579,0
FTE,D,19960726,000000,9.0739,9.0739,9.0739,9.0739,379464,0
FTE,D,19960729,000000,9.548,9.548,9.548,9.548,200401,0
FTE,D,19960730,000000,8.8724,8.8724,8.8724,8.8724,82650,0
FTE,D,19960731,000000,8.7353,8.7353,8.7353,8.7353,144006,0
FTE,D,19960801,000000,8.1881,8.1881,8.1881,8.1881,137485,0
FTE,D,19960802,000000,8.0512,8.0512,8.0512,8.0512,75652,0
FTE,D,19960805,000000,8.2528,8.2528,8.2528,8.2528,49969,0
FTE,D,19960806,000000,8.4616,8.4616,8.4616,8.4616,51363,0
FTE,D,19960807,000000,8.3248,8.3248,8.3248,8.3248,98883,0
FTE,D,19960808,000000,8.1881,8.1881,8.1881,8.1881,35851,0
FTE,D,19960809,000000,8.2528,8.2528,8.2528,8.2528,58994,0
FTE,D,19960812,000000,8.2528,8.2528,8.2528,8.2528,13263,0
FTE,D,19960813,000000,7.9144,7.9144,7.9144,7.9144,33736,0
FTE,D,19960814,000000,8.1159,8.1159,8.1159,8.1159,37262,0
FTE,D,19960816,000000,7.8422,7.8422,7.8422,7.8422,23963,0
FTE,D,19960819,000000,8.1881,8.1881,8.1881,8.1881,59184,0
FTE,D,19960820,000000,8.0512,8.0512,8.0512,8.0512,83106,0
FTE,D,19960821,000000,7.9792,7.9792,7.9792,7.9792,78864,0
FTE,D,19960822,000000,8.1881,8.1881,8.1881,8.1881,130155,0
FTE,D,19960823,000000,8.1881,8.1881,8.1881,8.1881,219689,0
FTE,D,19960826,000000,8.2528,8.2528,8.2528,8.2528,123263,0
FTE,D,19960827,000000,8.1159,8.1159,8.1159,8.1159,62514,0
FTE,D,19960828,000000,8.1881,8.1881,8.1881,8.1881,40611,0
FTE,D,19960829,000000,7.9792,7.9792,7.9792,7.9792,33698,0
FTE,D,19960830,000000,8.1159,8.1159,8.1159,8.1159,44900,0
FTE,D,19960902,000000,8.0512,8.0512,8.0512,8.0512,52485,0
FTE,D,19960903,000000,7.9144,7.9144,7.9144,7.9144,57558,0
FTE,D,19960904,000000,7.7775,7.7775,7.7775,7.7775,70590,0
FTE,D,19960905,000000,7.7055,7.7055,7.7055,7.7055,60965,0
FTE,D,19960906,000000,7.7775,7.7775,7.7775,7.7775,43459,0
FTE,D,19960909,000000,8.0512,8.0512,8.0512,8.0512,58136,0
FTE,D,19960910,000000,8.1159,8.1159,8.1159,8.1159,98604,0
FTE,D,19960911,000000,8.1159,8.1159,8.1159,8.1159,97680,0
FTE,D,19960912,000000,8.1159,8.1159,8.1159,8.1159,213407,0
FTE,D,19960913,000000,8.5265,8.5265,8.5265,8.5265,140309,0
FTE,D,19960916,000000,9.3475,9.3475,9.3475,9.3475,190560,0
FTE,D,19960917,000000,9.3475,9.3475,9.3475,9.3475,197887,0
FTE,D,19960918,000000,9.2107,9.2107,9.2107,9.2107,133119,0
FTE,D,19960919,000000,9.4836,9.4836,9.4836,9.4836,204476,0
FTE,D,19960920,000000,9.4836,9.4836,9.4836,9.4836,140203,0
FTE,D,19960923,000000,9.822,9.822,9.822,9.822,182008,0
FTE,D,19960924,000000,10.097,10.097,10.097,10.097,165300,0
FTE,D,19960925,000000,9.896,9.896,9.896,9.896,357966,0
FTE,D,19960926,000000,10.168,10.168,10.168,10.168,115348,0
FTE,D,19960927,000000,10.918,10.918,10.918,10.918,282816,0
