<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLC,D,20130710,000000,1.4299,1.8119,1.4299,1.7629,16973,0
GLC,D,20130711,000000,1.7629,1.7825,1.7237,1.7727,5102,0
GLC,D,20130712,000000,1.7629,1.7629,1.7629,1.7629,306,0
GLC,D,20130715,000000,1.7629,1.7629,1.5964,1.5964,19617,0
GLC,D,20130716,000000,1.7139,1.7531,1.6356,1.7041,4447,0
GLC,D,20130717,000000,1.7041,1.7139,1.6356,1.7041,4299,0
GLC,D,20130718,000000,1.7041,1.7041,1.5768,1.6552,7313,0
GLC,D,20130719,000000,1.6552,1.6552,1.567,1.6454,8641,0
GLC,D,20130722,000000,1.6454,1.6552,1.5376,1.6552,14247,0
GLC,D,20130723,000000,1.6552,1.6552,1.5082,1.616,4871,0
GLC,D,20130724,000000,1.616,1.616,1.4985,1.616,13844,0
GLC,D,20130725,000000,1.616,1.6943,1.616,1.6943,7382,0
GLC,D,20130726,000000,1.6845,1.6845,1.6845,1.6845,1112,0
GLC,D,20130729,000000,1.6747,1.6747,1.6258,1.6747,1504,0
GLC,D,20130730,000000,1.6747,1.6747,1.6258,1.6258,869,0
GLC,D,20130731,000000,1.6747,1.6747,1.5866,1.6552,5486,0
GLC,D,20130801,000000,1.6552,1.6552,1.567,1.6356,9471,0
GLC,D,20130802,000000,1.6552,1.6552,1.6552,1.6552,5,0
GLC,D,20130805,000000,1.6552,1.6552,1.6258,1.6258,4636,0
GLC,D,20130806,000000,1.6356,1.6356,1.6356,1.6356,5,0
GLC,D,20130807,000000,1.6356,1.6356,1.6356,1.6356,1,0
GLC,D,20130808,000000,1.6552,1.6552,1.5572,1.6062,6803,0
GLC,D,20130809,000000,1.6062,1.6062,1.6062,1.6062,1,0
GLC,D,20130812,000000,1.5964,1.5964,1.5964,1.5964,679,0
GLC,D,20130813,000000,1.6356,1.6649,1.567,1.6649,7971,0
GLC,D,20130814,000000,1.6943,1.7139,1.6747,1.7139,8340,0
GLC,D,20130816,000000,1.7139,1.7629,1.7139,1.7629,2556,0
GLC,D,20130819,000000,1.8119,1.8119,1.7727,1.8021,5581,0
GLC,D,20130820,000000,1.8021,1.8021,1.7923,1.8021,5674,0
GLC,D,20130821,000000,1.8021,1.8021,1.8021,1.8021,204,0
GLC,D,20130822,000000,1.8021,1.8021,1.7237,1.7923,9192,0
GLC,D,20130823,000000,1.8021,1.8021,1.8021,1.8021,103,0
GLC,D,20130826,000000,1.8021,1.8021,1.8021,1.8021,1,0
GLC,D,20130827,000000,1.8021,1.8021,1.8021,1.8021,4,0
GLC,D,20130828,000000,1.8021,1.8021,1.7629,1.7629,2561,0
GLC,D,20130829,000000,1.8021,1.8021,1.7629,1.7629,3361,0
GLC,D,20130830,000000,1.7629,1.7629,1.7629,1.7629,10,0
GLC,D,20130902,000000,1.7629,1.7629,1.7629,1.7629,23,0
GLC,D,20130903,000000,1.7629,1.7629,1.7139,1.7139,788,0
GLC,D,20130904,000000,1.7629,1.7923,1.7629,1.7923,36,0
GLC,D,20130905,000000,1.7825,1.7825,1.7825,1.7825,5,0
GLC,D,20130906,000000,1.7825,1.7825,1.6943,1.7531,1084,0
GLC,D,20130909,000000,1.7531,1.7531,1.7531,1.7531,5,0
GLC,D,20130910,000000,1.7139,1.8314,1.7139,1.8314,23626,0
GLC,D,20130911,000000,1.8412,1.8412,1.8216,1.8412,10837,0
GLC,D,20130912,000000,1.851,1.851,1.7825,1.7825,1486,0
GLC,D,20130913,000000,1.7825,1.7825,1.7825,1.7825,613,0
GLC,D,20130916,000000,1.7825,1.9,1.7825,1.9,25572,0
GLC,D,20130917,000000,1.9098,2.1742,1.9098,2.1155,104569,0
GLC,D,20130918,000000,2.1155,2.1155,1.9686,2.0763,356603,0
GLC,D,20130919,000000,2.0763,2.0861,2.0371,2.0763,3746,0
GLC,D,20130920,000000,2.0763,2.2036,2.0763,2.2036,41860,0
GLC,D,20130923,000000,2.282,2.282,2.1546,2.1742,31911,0
GLC,D,20130924,000000,2.2918,2.2918,2.1448,2.1742,14401,0
GLC,D,20130925,000000,2.2036,2.2036,2.1155,2.2036,19914,0
GLC,D,20130926,000000,2.2036,2.2036,2.1155,2.2036,30527,0
GLC,D,20130927,000000,2.2036,2.2036,2.0469,2.0665,21409,0
GLC,D,20130930,000000,2.0665,2.0665,1.9979,2.0665,11354,0
GLC,D,20131001,000000,2.0665,2.0665,2.0273,2.0665,3792,0
GLC,D,20131002,000000,2.0665,2.0665,1.9686,2.0665,8689,0
GLC,D,20131003,000000,2.0665,2.0665,2.0665,2.0665,2,0
GLC,D,20131004,000000,2.0665,2.0665,2.0665,2.0665,5,0
GLC,D,20131007,000000,1.9881,2.0077,1.9881,2.0077,5412,0
GLC,D,20131008,000000,2.0077,2.0077,1.9881,2.0077,979,0
GLC,D,20131009,000000,1.9979,1.9979,1.9294,1.9979,13985,0
GLC,D,20131010,000000,1.9979,1.9979,1.9979,1.9979,17623,0
GLC,D,20131011,000000,1.9588,1.9588,1.9294,1.9588,31978,0
GLC,D,20131014,000000,1.9881,1.9881,1.9392,1.9881,2536,0
GLC,D,20131015,000000,1.9881,1.9881,1.9881,1.9881,4605,0
GLC,D,20131016,000000,1.9881,2.0959,1.9686,2.0567,39881,0
GLC,D,20131017,000000,2.1155,2.233,2.1155,2.1938,211123,0
GLC,D,20131018,000000,2.1644,2.2232,2.1351,2.1351,112427,0
GLC,D,20131021,000000,2.1546,2.1546,2.0567,2.1057,28798,0
GLC,D,20131022,000000,2.1057,2.1057,2.0567,2.0665,50923,0
GLC,D,20131023,000000,2.0665,2.0665,2.0371,2.0665,7260,0
GLC,D,20131024,000000,2.0665,2.0665,2.0567,2.0567,9405,0
GLC,D,20131025,000000,2.0567,2.0567,1.9588,1.9588,88010,0
GLC,D,20131028,000000,2.0273,2.1448,2.0273,2.1351,67238,0
GLC,D,20131029,000000,2.1546,2.3603,2.1546,2.3211,94815,0
GLC,D,20131030,000000,2.3015,2.3309,2.2526,2.2526,25199,0
GLC,D,20131031,000000,2.2624,2.3309,2.2526,2.2526,26885,0
GLC,D,20131104,000000,2.3015,2.5464,2.3015,2.4387,151469,0
GLC,D,20131105,000000,2.4387,2.517,2.3309,2.4485,58271,0
GLC,D,20131106,000000,2.4289,2.4289,2.3505,2.3995,7190,0
GLC,D,20131107,000000,2.4191,2.4191,2.3407,2.3995,17772,0
GLC,D,20131108,000000,2.3995,2.4093,2.3995,2.4093,1680,0
GLC,D,20131112,000000,2.4093,2.4876,2.3995,2.4876,320113,0
GLC,D,20131113,000000,2.4974,2.6443,2.4876,2.5464,55859,0
GLC,D,20131114,000000,2.6149,2.6835,2.566,2.6835,53424,0
GLC,D,20131115,000000,2.6835,2.6835,2.5758,2.6835,59658,0
GLC,D,20131118,000000,2.6443,2.6835,2.6149,2.6639,26668,0
GLC,D,20131119,000000,2.6541,2.6639,2.4974,2.5758,25941,0
GLC,D,20131120,000000,2.5758,2.6737,2.5464,2.6443,24765,0
GLC,D,20131121,000000,2.6345,2.6639,2.5856,2.6541,10992,0
GLC,D,20131122,000000,2.6541,2.6639,2.6345,2.6443,17395,0
GLC,D,20131125,000000,2.6639,2.6639,2.566,2.566,8526,0
