<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPW,D,20101109,000000,32.232,34.296,32.071,34.296,17457941,0
GPW,D,20101110,000000,34.296,34.296,33.025,33.025,2104813,0
GPW,D,20101112,000000,32.454,34.042,31.754,34.042,2590699,0
GPW,D,20101115,000000,33.914,34.168,33.025,33.406,596747,0
GPW,D,20101116,000000,33.215,33.343,32.517,32.517,553437,0
GPW,D,20101117,000000,32.485,33.025,32.2,32.2,663635,0
GPW,D,20101118,000000,32.708,33.089,32.421,32.421,405534,0
GPW,D,20101119,000000,32.708,32.771,32.358,32.517,568719,0
GPW,D,20101122,000000,32.517,32.708,32.421,32.548,541635,0
GPW,D,20101123,000000,32.517,32.517,31.85,31.85,466669,0
GPW,D,20101124,000000,32.071,32.39,31.85,32.39,552294,0
GPW,D,20101125,000000,32.485,32.548,31.946,32.326,128056,0
GPW,D,20101126,000000,32.326,32.326,31.697,32.136,622518,0
GPW,D,20101129,000000,31.882,31.914,31.59,31.66,250476,0
GPW,D,20101130,000000,31.437,32.071,31.437,32.071,154688,0
GPW,D,20101201,000000,32.071,33.153,31.882,33.089,342126,0
GPW,D,20101202,000000,33.089,33.248,32.835,33.057,362855,0
GPW,D,20101203,000000,33.025,33.089,32.708,32.835,90084,0
GPW,D,20101206,000000,32.803,32.835,32.326,32.454,79768,0
GPW,D,20101207,000000,32.2,32.39,32.009,32.232,128546,0
GPW,D,20101208,000000,32.104,32.454,32.009,32.454,501921,0
GPW,D,20101209,000000,32.39,32.517,32.136,32.39,205384,0
GPW,D,20101210,000000,32.39,32.454,32.2,32.295,77860,0
GPW,D,20101213,000000,32.326,32.708,32.326,32.708,121435,0
GPW,D,20101214,000000,32.454,32.644,32.136,32.136,106263,0
GPW,D,20101215,000000,32.104,32.2,32.04,32.167,155876,0
GPW,D,20101216,000000,32.136,32.167,31.914,32.136,109568,0
GPW,D,20101217,000000,32.009,32.071,31.882,31.914,84381,0
GPW,D,20101220,000000,31.914,32.071,31.692,32.071,282169,0
GPW,D,20101221,000000,31.85,31.914,31.754,31.882,141323,0
GPW,D,20101222,000000,31.754,31.946,31.747,31.819,510751,0
GPW,D,20101223,000000,31.754,31.819,31.697,31.697,175363,0
GPW,D,20101227,000000,31.709,31.747,31.317,31.343,175060,0
GPW,D,20101228,000000,31.309,31.437,30.993,31.247,374143,0
GPW,D,20101229,000000,31.12,31.743,31.12,31.743,172181,0
GPW,D,20101230,000000,31.754,31.754,31.5,31.533,80300,0
GPW,D,20101231,000000,31.535,31.658,30.926,31.123,130459,0
GPW,D,20110103,000000,31.182,31.374,31.006,31.309,177349,0
GPW,D,20110104,000000,31.309,31.786,31.309,31.615,208779,0
GPW,D,20110105,000000,31.59,31.615,31.011,31.437,179664,0
GPW,D,20110107,000000,31.247,31.278,30.853,30.879,312797,0
GPW,D,20110110,000000,30.802,30.82,29.608,29.945,237256,0
GPW,D,20110111,000000,29.818,30.441,29.818,30.357,242044,0
GPW,D,20110112,000000,30.485,31.24,30.453,31.24,249679,0
GPW,D,20110113,000000,31.12,31.182,30.802,30.802,572795,0
GPW,D,20110114,000000,30.802,31.247,30.675,31.247,157792,0
GPW,D,20110117,000000,31.12,31.12,30.485,30.719,104565,0
GPW,D,20110118,000000,30.675,30.897,30.421,30.858,127755,0
GPW,D,20110119,000000,30.719,30.738,30.485,30.675,208730,0
GPW,D,20110120,000000,30.485,30.643,30.421,30.485,165998,0
GPW,D,20110121,000000,30.485,30.738,30.485,30.738,79433,0
GPW,D,20110124,000000,30.516,30.643,30.206,30.446,189304,0
GPW,D,20110125,000000,30.357,30.58,30.326,30.58,163745,0
GPW,D,20110126,000000,30.548,30.985,30.446,30.802,141483,0
GPW,D,20110127,000000,30.814,31.12,30.802,30.993,93025,0
GPW,D,20110128,000000,30.993,31.33,30.802,30.993,105219,0
GPW,D,20110131,000000,30.745,30.751,30.489,30.596,118436,0
GPW,D,20110201,000000,30.491,30.643,30.491,30.605,122097,0
GPW,D,20110202,000000,30.611,30.662,30.535,30.662,126569,0
GPW,D,20110203,000000,30.619,31.099,30.611,31.099,111098,0
GPW,D,20110204,000000,31.12,31.27,30.834,31.27,158576,0
GPW,D,20110207,000000,31.12,31.17,30.611,30.802,298230,0
GPW,D,20110208,000000,30.738,30.783,30.611,30.662,147475,0
GPW,D,20110209,000000,30.611,30.707,30.485,30.485,185169,0
GPW,D,20110210,000000,30.611,30.611,30.485,30.548,118548,0
GPW,D,20110211,000000,30.485,30.993,30.485,30.841,125987,0
GPW,D,20110214,000000,30.611,30.961,30.548,30.866,104329,0
GPW,D,20110215,000000,30.771,30.955,30.58,30.58,121466,0
GPW,D,20110216,000000,30.548,30.928,30.529,30.866,227519,0
GPW,D,20110217,000000,30.802,30.834,30.611,30.643,67659,0
GPW,D,20110218,000000,30.58,30.675,30.485,30.516,195165,0
GPW,D,20110221,000000,30.485,30.497,30.326,30.357,126488,0
GPW,D,20110222,000000,30.231,30.294,30.206,30.262,87343,0
GPW,D,20110223,000000,30.2,30.231,30.166,30.18,77665,0
GPW,D,20110224,000000,29.906,30.033,29.85,29.894,109162,0
GPW,D,20110225,000000,29.869,30.039,29.869,30.028,40780,0
