<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRN,D,20110413,000000,2.8969,2.9491,2.3419,2.7062,111828,0
GRN,D,20110414,000000,2.6021,2.8622,2.6021,2.6021,52772,0
GRN,D,20110415,000000,2.4979,2.6021,2.1771,2.6021,57545,0
GRN,D,20110418,000000,2.472,2.6021,2.446,2.472,13168,0
GRN,D,20110419,000000,2.472,2.8449,2.4285,2.7496,20902,0
GRN,D,20110420,000000,2.7321,2.7321,2.6021,2.6021,20214,0
GRN,D,20110421,000000,2.6021,2.7321,2.6021,2.6107,13792,0
GRN,D,20110426,000000,2.6454,2.6714,2.6021,2.628,19332,0
GRN,D,20110427,000000,2.6366,2.7147,2.6107,2.628,19341,0
GRN,D,20110429,000000,2.6248,2.7039,2.6248,2.7039,4354,0
GRN,D,20110502,000000,2.7062,2.7062,2.628,2.628,664,0
GRN,D,20110504,000000,2.6194,2.6194,2.6194,2.6194,3087,0
GRN,D,20110505,000000,2.6366,2.6366,2.628,2.628,873,0
GRN,D,20110506,000000,2.628,2.628,2.628,2.628,1844,0
GRN,D,20110509,000000,2.628,2.628,2.628,2.628,1614,0
GRN,D,20110510,000000,2.6366,2.6366,2.628,2.628,33364,0
GRN,D,20110511,000000,2.6628,2.7321,2.628,2.628,11598,0
GRN,D,20110512,000000,2.7062,2.7062,2.6541,2.6541,1684,0
GRN,D,20110513,000000,2.6541,2.6541,2.6541,2.6541,1153,0
GRN,D,20110517,000000,2.6628,2.6628,2.6628,2.6628,461,0
GRN,D,20110518,000000,2.6541,2.6541,2.6541,2.6541,721,0
GRN,D,20110519,000000,2.6887,2.7321,2.6541,2.6541,10413,0
GRN,D,20110523,000000,2.6454,2.6454,2.6454,2.6454,461,0
GRN,D,20110524,000000,2.6454,2.6454,2.628,2.628,63061,0
GRN,D,20110525,000000,2.6454,2.6454,2.6454,2.6454,1690,0
GRN,D,20110526,000000,2.6454,2.6454,2.6454,2.6454,2080,0
GRN,D,20110527,000000,2.6454,2.6454,2.6454,2.6454,1232,0
GRN,D,20110531,000000,2.6161,2.6248,2.6161,2.6248,2190,0
GRN,D,20110601,000000,2.628,2.628,2.628,2.628,1153,0
GRN,D,20110607,000000,2.68,2.7321,2.6454,2.6454,1272,0
GRN,D,20110608,000000,2.6454,2.6454,2.628,2.628,9800,0
GRN,D,20110610,000000,2.6887,2.6887,2.6887,2.6887,355,0
GRN,D,20110613,000000,2.6454,2.6454,2.6454,2.6454,1153,0
GRN,D,20110614,000000,2.628,2.628,2.628,2.628,807,0
GRN,D,20110615,000000,2.628,2.628,2.628,2.628,4380,0
GRN,D,20110616,000000,2.628,2.628,2.6021,2.6021,7773,0
GRN,D,20110617,000000,2.5413,2.5413,2.5413,2.5413,1467,0
GRN,D,20110621,000000,2.5413,2.5413,2.5413,2.5413,2940,0
GRN,D,20110622,000000,2.5153,2.5153,2.5153,2.5153,151,0
GRN,D,20110628,000000,2.6021,2.6021,2.5589,2.5589,3205,0
GRN,D,20110630,000000,2.5985,2.5985,2.5985,2.5985,5764,0
GRN,D,20110706,000000,2.6021,2.6021,2.6021,2.6021,5,0
GRN,D,20110707,000000,2.6021,2.6021,2.6021,2.6021,10,0
GRN,D,20110711,000000,2.6021,2.6021,2.5934,2.5934,688,0
GRN,D,20110713,000000,2.5934,2.6021,2.5934,2.6021,7530,0
GRN,D,20110718,000000,2.6454,2.6454,2.6454,2.6454,151,0
GRN,D,20110727,000000,2.4806,2.4806,2.4372,2.4372,1476,0
