<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTN,D,20010510,000000,2.9328,2.9656,2.868,2.9164,45233,0
GTN,D,20010511,000000,2.9004,3.2748,2.9004,3.2096,96899,0
GTN,D,20010514,000000,3.242,3.6172,3.242,3.4544,29085,0
GTN,D,20010515,000000,3.568,3.568,3.2096,3.2096,35051,0
GTN,D,20010516,000000,3.1772,3.2584,3.0144,3.0304,15763,0
GTN,D,20010517,000000,3.2584,3.2584,2.998,3.1608,3152,0
GTN,D,20010518,000000,3.1284,3.1772,3.0956,3.0956,1962,0
GTN,D,20010521,000000,3.0304,3.112,2.998,3.0956,661,0
GTN,D,20010522,000000,3.0956,3.1284,3.0144,3.0144,10429,0
GTN,D,20010523,000000,3.0468,3.0468,2.9816,3.0468,5996,0
GTN,D,20010524,000000,3.0144,3.0468,2.998,2.998,2511,0
GTN,D,20010525,000000,2.998,3.0468,2.998,2.998,2232,0
GTN,D,20010528,000000,2.9816,2.998,2.9816,2.9816,1421,0
GTN,D,20010529,000000,2.9816,2.9816,2.9328,2.9328,4595,0
GTN,D,20010530,000000,2.9164,2.9164,2.8352,2.884,7211,0
GTN,D,20010531,000000,2.7696,2.884,2.7696,2.884,774,0
GTN,D,20010601,000000,2.884,2.9328,2.8352,2.9328,3335,0
GTN,D,20010604,000000,2.884,2.884,2.884,2.884,8552,0
GTN,D,20010605,000000,2.998,3.1284,2.884,2.884,3121,0
GTN,D,20010606,000000,2.884,2.884,2.884,2.884,2261,0
GTN,D,20010607,000000,2.884,2.884,2.884,2.884,1962,0
GTN,D,20010608,000000,2.9164,2.9656,2.9164,2.9656,2332,0
GTN,D,20010612,000000,2.8352,2.9004,2.8352,2.9004,21432,0
GTN,D,20010613,000000,2.9492,2.9492,2.884,2.9164,5234,0
GTN,D,20010615,000000,2.8352,2.884,2.8028,2.8028,3679,0
GTN,D,20010618,000000,2.8028,2.9004,2.7208,2.8028,3332,0
GTN,D,20010619,000000,2.8028,2.884,2.7208,2.8028,15048,0
GTN,D,20010620,000000,2.7536,2.7536,2.7536,2.7536,184,0
GTN,D,20010621,000000,2.7696,2.8352,2.7208,2.8352,3972,0
GTN,D,20010622,000000,2.7208,2.8352,2.7208,2.8352,307,0
GTN,D,20010625,000000,2.8028,2.8028,2.8028,2.8028,430,0
GTN,D,20010626,000000,2.8028,2.8028,2.4768,2.4768,2109,0
GTN,D,20010627,000000,2.6396,2.6396,2.558,2.558,8637,0
GTN,D,20010628,000000,2.7372,2.7372,2.5256,2.5256,369,0
GTN,D,20010629,000000,2.6396,2.6396,2.3952,2.3952,42336,0
GTN,D,20010702,000000,2.3952,2.5092,2.3952,2.4768,3878,0
GTN,D,20010703,000000,2.3952,2.3952,2.216,2.3952,14452,0
GTN,D,20010704,000000,2.1832,2.3788,2.1832,2.2976,2312,0
GTN,D,20010705,000000,2.232,2.3788,2.216,2.3788,5324,0
GTN,D,20010706,000000,2.3788,2.428,2.3788,2.3952,11135,0
GTN,D,20010709,000000,2.428,2.428,2.2484,2.314,5708,0
GTN,D,20010710,000000,2.3788,2.3952,2.314,2.314,11013,0
GTN,D,20010711,000000,2.216,2.2976,2.216,2.2976,5524,0
GTN,D,20010712,000000,2.314,2.4604,2.314,2.33,40153,0
GTN,D,20010713,000000,2.3464,2.4604,2.33,2.33,12774,0
GTN,D,20010716,000000,2.3464,2.3952,2.3464,2.3952,2668,0
GTN,D,20010717,000000,2.6232,2.6232,2.4928,2.558,6897,0
GTN,D,20010718,000000,2.558,2.558,2.4768,2.4768,1363,0
GTN,D,20010719,000000,2.4768,2.5092,2.4768,2.5092,859,0
GTN,D,20010720,000000,2.5092,2.5092,2.3788,2.4768,4303,0
GTN,D,20010723,000000,2.4768,2.5904,2.3952,2.5904,617,0
GTN,D,20010725,000000,2.4768,2.4768,2.4116,2.444,3494,0
GTN,D,20010726,000000,2.4768,2.4928,2.3952,2.444,2213,0
GTN,D,20010727,000000,2.5092,2.5092,2.3952,2.4928,793,0
GTN,D,20010730,000000,2.5092,2.5092,2.428,2.428,4822,0
GTN,D,20010731,000000,2.4768,2.4768,2.3952,2.4604,2307,0
GTN,D,20010801,000000,2.542,2.542,2.3952,2.4116,2400,0
GTN,D,20010802,000000,2.444,2.444,2.4116,2.444,3491,0
GTN,D,20010803,000000,2.428,2.428,2.428,2.428,1173,0
GTN,D,20010806,000000,2.33,2.3952,2.33,2.3952,2025,0
GTN,D,20010807,000000,2.232,2.2644,2.1508,2.1508,6678,0
GTN,D,20010808,000000,2.1508,2.1668,2.118,2.118,9484,0
GTN,D,20010809,000000,2.0856,2.0856,2.0204,2.0204,5348,0
GTN,D,20010810,000000,1.9716,2.0528,1.7268,1.9716,12266,0
GTN,D,20010813,000000,1.874,1.874,1.6944,1.6944,3477,0
