<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDR,D,19980317,000000,12.031,12.031,12.031,12.031,65682,0
HDR,D,19980318,000000,10.84,10.84,10.84,10.84,111355,0
HDR,D,19980319,000000,10.478,10.478,10.478,10.478,72811,0
HDR,D,19980320,000000,10.84,10.84,10.84,10.84,51732,0
HDR,D,19980323,000000,10.734,10.734,10.734,10.734,26668,0
HDR,D,19980324,000000,10.578,10.578,10.578,10.578,36092,0
HDR,D,19980325,000000,10.478,10.478,10.478,10.478,27787,0
HDR,D,19980326,000000,10.478,10.478,10.478,10.478,43850,0
HDR,D,19980327,000000,10.37,10.37,10.37,10.37,41175,0
HDR,D,19980330,000000,10.37,10.37,10.37,10.37,20556,0
HDR,D,19980331,000000,10.37,10.37,10.37,10.37,28158,0
HDR,D,19980401,000000,9.855,9.855,9.855,9.855,14776,0
HDR,D,19980402,000000,9.855,9.855,9.855,9.855,32154,0
HDR,D,19980406,000000,9.699,9.699,9.699,9.699,23509,0
HDR,D,19980407,000000,9.593,9.593,9.593,9.593,8352,0
HDR,D,19980408,000000,9.649,9.649,9.649,9.649,20147,0
HDR,D,19980409,000000,9.2314,9.2314,9.2314,9.2314,14067,0
HDR,D,19980414,000000,9.2813,9.2813,9.2813,9.2813,25122,0
HDR,D,19980415,000000,9.3367,9.3367,9.3367,9.3367,13962,0
HDR,D,19980416,000000,9.4374,9.4374,9.4374,9.4374,12337,0
HDR,D,19980417,000000,9.593,9.593,9.593,9.593,25867,0
HDR,D,19980420,000000,9.75,9.75,9.75,9.75,34799,0
HDR,D,19980421,000000,10.428,10.428,10.428,10.428,54313,0
HDR,D,19980422,000000,10.37,10.37,10.37,10.37,31036,0
HDR,D,19980423,000000,9.855,9.855,9.855,9.855,30663,0
HDR,D,19980424,000000,9.75,9.75,9.75,9.75,44349,0
HDR,D,19980427,000000,8.8189,8.8189,8.8189,8.8189,26644,0
HDR,D,19980428,000000,8.1965,8.1965,8.1965,8.1965,14398,0
