<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEL,D,20070416,000000,13.4,15,12.8,13.11,403618,0
HEL,D,20070417,000000,13.49,13.49,12.59,12.92,56565,0
HEL,D,20070418,000000,12.76,12.89,12.12,12.65,36705,0
HEL,D,20070419,000000,12.06,12.88,12.05,12.88,25854,0
HEL,D,20070420,000000,12.87,13.05,12.39,13.05,22746,0
HEL,D,20070423,000000,12.32,13.32,12.21,13.3,32112,0
HEL,D,20070424,000000,13.4,13.5,13,13,3955,0
HEL,D,20070425,000000,13,13.1,12.6,12.99,5541,0
HEL,D,20070426,000000,12.99,13.95,12.85,13.6,10446,0
HEL,D,20070427,000000,13.2,13.5,13.1,13.49,42425,0
HEL,D,20070430,000000,13,14.1,13,14.1,10912,0
HEL,D,20070502,000000,14,14.37,13.69,14.37,12980,0
HEL,D,20070504,000000,15.03,15.4,14,14.69,10469,0
HEL,D,20070507,000000,14.5,14.5,14.11,14.39,2481,0
HEL,D,20070508,000000,14.4,14.4,13.1,13.97,9450,0
HEL,D,20070509,000000,13.5,14,13.5,14,3710,0
HEL,D,20070510,000000,15,15.4,14,14.39,1083,0
HEL,D,20070511,000000,13.3,14.63,13.3,13.8,4909,0
HEL,D,20070514,000000,14.09,14.09,13.6,13.8,1173,0
HEL,D,20070515,000000,14,14,13.7,13.95,6767,0
HEL,D,20070516,000000,13.99,13.99,13.02,13.9,5725,0
HEL,D,20070517,000000,13.16,13.9,13.16,13.9,5677,0
HEL,D,20070518,000000,13.9,13.9,13.8,13.89,1765,0
HEL,D,20070521,000000,13.51,13.8,13.25,13.3,11962,0
HEL,D,20070522,000000,13.16,13.21,13.1,13.15,2869,0
HEL,D,20070523,000000,13.39,13.39,13.1,13.1,1580,0
HEL,D,20070524,000000,13,13.38,13,13.37,2342,0
HEL,D,20070525,000000,13.4,13.4,13,13.33,544,0
HEL,D,20070528,000000,13.43,13.43,13.32,13.32,710,0
HEL,D,20070529,000000,13.02,13.33,12.8,13.1,1515,0
HEL,D,20070530,000000,13.27,13.27,12.71,12.8,1909,0
HEL,D,20070531,000000,12.6,13.14,12.6,13.14,11506,0
HEL,D,20070601,000000,12.61,13.09,12.61,12.8,2150,0
HEL,D,20070604,000000,12.8,12.8,12.65,12.66,1367,0
HEL,D,20070605,000000,12.66,12.99,12.57,12.8,836,0
HEL,D,20070606,000000,12.8,12.8,12,12.8,2995,0
HEL,D,20070608,000000,12.6,13.47,12.6,13.47,8503,0
HEL,D,20070611,000000,13.26,13.54,13.2,13.2,3560,0
HEL,D,20070612,000000,13.2,13.46,13.2,13.2,4455,0
HEL,D,20070614,000000,13.25,13.25,13,13.01,2597,0
HEL,D,20070615,000000,13.19,13.2,12.86,13.19,3498,0
HEL,D,20070618,000000,13.2,13.35,12.8,13.01,9359,0
HEL,D,20070619,000000,13.02,13.4,12.75,13.4,9234,0
HEL,D,20070620,000000,13.5,14,13.45,13.92,7433,0
HEL,D,20070621,000000,13.9,13.9,13.2,13.79,3891,0
HEL,D,20070622,000000,13.3,13.49,13.17,13.17,4964,0
HEL,D,20070625,000000,13.74,13.74,13.11,13.47,5497,0
HEL,D,20070626,000000,13.5,13.5,13.5,13.5,102,0
HEL,D,20070627,000000,13.48,13.5,13.48,13.5,102,0
HEL,D,20070628,000000,12.9,13.43,12.9,13.43,4164,0
HEL,D,20070629,000000,12.89,12.9,12.89,12.89,214,0
HEL,D,20070702,000000,12.61,12.73,12.6,12.6,2086,0
HEL,D,20070703,000000,12.73,12.85,12.35,12.85,8311,0
HEL,D,20070704,000000,12.65,12.89,12.27,12.49,8259,0
HEL,D,20070705,000000,12.28,12.3,12.2,12.3,4472,0
HEL,D,20070706,000000,12.3,12.43,12.3,12.4,3136,0
HEL,D,20070709,000000,12.6,12.6,12.35,12.55,812,0
HEL,D,20070710,000000,12.28,12.6,12.1,12.6,6192,0
HEL,D,20070711,000000,12.17,12.59,12.1,12.59,1110,0
HEL,D,20070712,000000,12.48,12.48,12.06,12.45,5438,0
HEL,D,20070713,000000,12.6,12.6,12.12,12.12,270,0
HEL,D,20070716,000000,12.05,12.05,12,12,3347,0
HEL,D,20070717,000000,11.76,12.49,11.76,12.49,804,0
HEL,D,20070718,000000,11.8,12.4,11.78,12.4,3771,0
HEL,D,20070719,000000,12.7,12.7,12.7,12.7,227,0
HEL,D,20070720,000000,12.6,12.65,12.6,12.65,1527,0
HEL,D,20070723,000000,12.6,12.6,12.03,12.3,5203,0
HEL,D,20070724,000000,12.04,12.04,12.03,12.03,97,0
HEL,D,20070725,000000,12.29,12.29,12.2,12.2,2100,0
HEL,D,20070726,000000,12.03,12.44,11.5,11.5,1203,0
HEL,D,20070727,000000,11.4,11.99,11,11.98,880,0
HEL,D,20070730,000000,11.98,12.38,11.98,12.2,380,0
HEL,D,20070731,000000,11.5,12.29,11.5,12,605,0
HEL,D,20070801,000000,11.1,12.34,10.82,12.34,5720,0
HEL,D,20070802,000000,11.51,12.28,11.51,12.28,4602,0
HEL,D,20070803,000000,11.65,12.24,11.51,12.24,2451,0
HEL,D,20070806,000000,11.5,12.33,11.5,11.7,5278,0
HEL,D,20070807,000000,12.23,12.23,12.23,12.23,125,0
HEL,D,20070808,000000,12.19,12.2,12.19,12.2,544,0
HEL,D,20070809,000000,11.51,11.51,11.51,11.51,442,0
HEL,D,20070810,000000,11.1,11.5,10.9,11.49,1498,0
HEL,D,20070813,000000,10.81,11.89,10.81,11.89,176,0
HEL,D,20070814,000000,11.8,11.94,11.8,11.94,160,0
HEL,D,20070816,000000,10.76,11,10.1,10.4,1310,0
HEL,D,20070817,000000,9.61,9.61,9.4,9.55,3894,0
HEL,D,20070820,000000,9.9,11.42,9.52,9.52,3229,0
HEL,D,20070821,000000,10,10,9.4,9.94,1501,0
HEL,D,20070822,000000,9.52,10.03,9.5,9.99,2089,0
HEL,D,20070823,000000,11.4,11.4,9.66,9.75,2384,0
HEL,D,20070824,000000,9.7,9.71,9.5,9.5,1790,0
HEL,D,20070827,000000,9.5,10,9.5,9.7,1580,0
HEL,D,20070828,000000,9.25,9.74,9.25,9.74,599,0
HEL,D,20070829,000000,9.22,10,9.22,9.95,1058,0
HEL,D,20070830,000000,10,10.06,10,10.06,2305,0
HEL,D,20070903,000000,9.7,10.06,9.7,10.06,231,0
HEL,D,20070904,000000,10.07,10.07,9.4,10.07,5730,0
HEL,D,20070905,000000,9.98,10.06,9.98,10.06,314,0
HEL,D,20070906,000000,9.44,9.98,9.44,9.97,704,0
HEL,D,20070907,000000,10.09,10.09,9.43,9.43,1510,0
HEL,D,20070910,000000,9.25,9.53,9,9.53,6998,0
HEL,D,20070911,000000,9,9.43,9,9.43,2974,0
HEL,D,20070912,000000,9.06,9.06,9.04,9.05,1050,0
HEL,D,20070913,000000,9.05,9.05,9,9,350,0
HEL,D,20070914,000000,8.71,9.48,8.71,9.47,119,0
HEL,D,20070917,000000,9.57,9.57,9,9.4,1615,0
HEL,D,20070918,000000,9.55,9.55,9.4,9.4,540,0
HEL,D,20070919,000000,9.57,9.57,9.4,9.4,154,0
HEL,D,20070920,000000,9.4,9.4,9,9.4,5896,0
HEL,D,20070921,000000,9.55,9.55,9.31,9.31,1892,0
HEL,D,20070924,000000,9.31,9.55,9.11,9.11,354,0
HEL,D,20070925,000000,9.55,9.55,9,9,215,0
HEL,D,20070926,000000,9.57,9.57,9.3,9.39,4011,0
HEL,D,20070927,000000,9.07,9.1,8.95,9.1,2825,0
HEL,D,20070928,000000,9.01,9.01,9.01,9.01,143,0
HEL,D,20071001,000000,9.33,10.45,8.6,9.87,16500,0
HEL,D,20071002,000000,9.97,10.15,9.5,10.04,13066,0
HEL,D,20071003,000000,10.05,10.05,9.51,9.9,998,0
HEL,D,20071004,000000,9.89,9.89,8.77,9.5,6901,0
HEL,D,20071005,000000,9.5,9.5,8.8,9.1,7895,0
HEL,D,20071008,000000,9.11,9.5,9.11,9.35,2171,0
HEL,D,20071009,000000,9.4,9.4,9.2,9.2,201,0
HEL,D,20071010,000000,9.2,9.4,9,9.4,2281,0
HEL,D,20071011,000000,9.01,9.3,9,9.04,3876,0
HEL,D,20071012,000000,9.02,9.39,9,9.34,1941,0
HEL,D,20071015,000000,9.44,9.44,9.4,9.4,501,0
HEL,D,20071016,000000,9.02,9.03,9.01,9.03,830,0
HEL,D,20071017,000000,9.28,9.28,9.04,9.06,2504,0
HEL,D,20071018,000000,9.1,9.1,8.9,8.9,2425,0
HEL,D,20071019,000000,9.05,9.1,8.82,8.82,1380,0
HEL,D,20071022,000000,9.19,9.19,8.81,8.81,2271,0
HEL,D,20071023,000000,8.9,8.9,8.9,8.9,250,0
HEL,D,20071024,000000,8.8,9.01,8.8,9.01,928,0
HEL,D,20071025,000000,8.8,8.8,8.7,8.8,3668,0
HEL,D,20071026,000000,8.6,9.07,8.55,9.07,3533,0
HEL,D,20071029,000000,9.02,9.04,9.02,9.04,100,0
HEL,D,20071030,000000,9,9.03,8.5,9.03,154,0
