<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HLD,D,20140324,000000,1.8,2.2,1.8,2.2,16708,0
HLD,D,20140325,000000,2.5,3,2.2,2.2,8971,0
HLD,D,20140326,000000,2.3,2.7,1.9,2.2,4159,0
HLD,D,20140327,000000,2.39,2.39,1.92,1.92,1571,0
HLD,D,20140328,000000,2.2,2.39,2.2,2.2,777,0
HLD,D,20140331,000000,2.59,2.59,2.08,2.37,1271,0
HLD,D,20140401,000000,2.01,2.01,1.96,1.96,2099,0
HLD,D,20140402,000000,1.92,1.92,1.72,1.72,1075,0
HLD,D,20140403,000000,1.72,2.08,1.72,2.08,750,0
HLD,D,20140404,000000,2.07,2.52,2.07,2.52,1100,0
HLD,D,20140407,000000,3,3,3,3,10,0
HLD,D,20140408,000000,2.4,2.4,1.93,1.93,1473,0
HLD,D,20140409,000000,1.93,2.31,1.92,2.31,643,0
HLD,D,20140410,000000,1.95,2.2,1.95,2.2,949,0
HLD,D,20140411,000000,2.31,2.31,2.31,2.31,10,0
HLD,D,20140414,000000,2.31,2.32,2.31,2.32,342,0
HLD,D,20140415,000000,2.32,2.32,2.32,2.32,600,0
HLD,D,20140416,000000,2.32,2.98,2.32,2.98,1770,0
HLD,D,20140417,000000,3,3,2.5,3,552,0
HLD,D,20140502,000000,2.3,2.3,2.3,2.3,800,0
HLD,D,20140506,000000,2.02,2.02,2,2,1720,0
HLD,D,20140508,000000,2.3,2.6,2.3,2.6,400,0
HLD,D,20140512,000000,2.6,2.6,2.6,2.6,118,0
HLD,D,20140520,000000,2.3,2.3,2.3,2.3,213,0
HLD,D,20140522,000000,2.3,2.3,2.3,2.3,43,0
HLD,D,20140526,000000,2.3,2.3,2.3,2.3,1590,0
HLD,D,20140528,000000,2.6,2.75,2.6,2.75,368,0
HLD,D,20140611,000000,2.5,3,2.5,3,1528,0
HLD,D,20140612,000000,3.2,3.2,3.2,3.2,14,0
HLD,D,20140620,000000,3,3,3,3,360,0
HLD,D,20140623,000000,2.8,2.8,2.8,2.8,450,0
HLD,D,20140627,000000,3,3,3,3,10,0
HLD,D,20140711,000000,2.85,2.85,2.85,2.85,800,0
HLD,D,20140714,000000,3,3,3,3,300,0
HLD,D,20140716,000000,2.95,2.95,2.9,2.9,1000,0
HLD,D,20140717,000000,2.78,2.78,2.78,2.78,500,0
HLD,D,20140904,000000,2.41,3.05,2.41,3.05,920,0
HLD,D,20141007,000000,3,3.5,3,3.5,908,0
HLD,D,20141009,000000,3.9,3.9,3.9,3.9,100,0
HLD,D,20141114,000000,3.22,3.22,3.22,3.22,800,0
HLD,D,20141118,000000,3.49,3.76,3.49,3.76,1000,0
HLD,D,20141119,000000,3.8,3.8,3.8,3.8,500,0
HLD,D,20141121,000000,3.5,4,3.5,4,130,0
HLD,D,20141124,000000,4.7,4.7,4,4,428,0
HLD,D,20141125,000000,4.7,5.5,4.7,5.5,25,0
HLD,D,20141126,000000,5.5,5.5,5.5,5.5,165,0
HLD,D,20141127,000000,5.5,5.5,5.5,5.5,15,0
HLD,D,20141203,000000,4.4,4.4,4.4,4.4,240,0
HLD,D,20141205,000000,4,4.1,3.7,3.7,904,0
HLD,D,20141212,000000,3.2,3.7,3.2,3.7,1068,0
HLD,D,20141215,000000,3.97,4.25,3.97,4.25,500,0
HLD,D,20141216,000000,3.99,4.25,3.99,4.19,1270,0
HLD,D,20141217,000000,3.8,3.8,3.8,3.8,174,0
HLD,D,20141218,000000,3.8,3.8,3.8,3.8,226,0
HLD,D,20141222,000000,3.16,3.16,2.93,2.93,862,0
HLD,D,20141223,000000,2.93,2.93,2.93,2.93,10,0
HLD,D,20141230,000000,3.16,3.16,3.16,3.16,3,0
HLD,D,20150105,000000,3.15,3.78,3.15,3.78,600,0
HLD,D,20150107,000000,3.12,3.74,3.12,3.74,1280,0
HLD,D,20150108,000000,3.65,4.37,3.65,4.37,1100,0
HLD,D,20150109,000000,3.97,4.65,3.97,4.65,550,0
HLD,D,20150112,000000,5.3,5.3,5.3,5.3,100,0
HLD,D,20150115,000000,4.4,4.73,4.4,4.73,570,0
HLD,D,20150119,000000,4.73,5.5,4.73,5.5,450,0
HLD,D,20150216,000000,5.08,5.08,4.73,5.08,210,0
HLD,D,20150224,000000,5.5,5.5,5.5,5.5,10,0
HLD,D,20150318,000000,5.2,5.2,5.2,5.2,50,0
HLD,D,20150319,000000,4.73,4.73,4.73,4.73,350,0
HLD,D,20150325,000000,4.5,4.5,4.5,4.5,350,0
HLD,D,20150326,000000,4,5.5,4,5.5,330,0
HLD,D,20150505,000000,5,5,5,5,20,0
HLD,D,20150506,000000,5,5,5,5,2,0
HLD,D,20150519,000000,5,5,5,5,400,0
HLD,D,20150706,000000,5,5,5,5,8,0
HLD,D,20150728,000000,4.5,4.5,4.5,4.5,180,0
HLD,D,20150729,000000,5,5,5,5,5,0
HLD,D,20150731,000000,4.9,5,4.9,5,50,0
HLD,D,20150803,000000,5,5,5,5,50,0
HLD,D,20150806,000000,5,5,5,5,30,0
HLD,D,20150807,000000,5,5,5,5,105,0
HLD,D,20150811,000000,5,5,5,5,100,0
HLD,D,20150812,000000,5,5,5,5,72,0
HLD,D,20150814,000000,5,5,5,5,100,0
HLD,D,20150817,000000,5,5,5,5,100,0
HLD,D,20150818,000000,5,5,5,5,100,0
HLD,D,20150819,000000,5,5,5,5,100,0
HLD,D,20150820,000000,4.5,5,4.5,5,320,0
HLD,D,20150821,000000,5,5,5,5,15,0
HLD,D,20150824,000000,5,5,5,5,2,0
HLD,D,20150825,000000,5,5,5,5,100,0
HLD,D,20150826,000000,5,5,5,5,83,0
HLD,D,20150827,000000,5,5,5,5,10,0
HLD,D,20150828,000000,5,5,5,5,100,0
HLD,D,20150831,000000,5,5,5,5,80,0
HLD,D,20150903,000000,5,5,5,5,20,0
HLD,D,20150904,000000,5,5,5,5,100,0
HLD,D,20150908,000000,5,5,5,5,100,0
HLD,D,20150910,000000,5,5,5,5,100,0
HLD,D,20150911,000000,5,5,5,5,100,0
HLD,D,20150915,000000,4.5,4.5,4.5,4.5,300,0
HLD,D,20150916,000000,5,5,5,5,100,0
HLD,D,20150917,000000,5,5,5,5,100,0
HLD,D,20150918,000000,5,5,5,5,100,0
HLD,D,20150922,000000,5,5,5,5,78,0
HLD,D,20150924,000000,5,5,5,5,100,0
HLD,D,20150925,000000,5,5,5,5,100,0
HLD,D,20150928,000000,5,5,5,5,100,0
HLD,D,20150929,000000,5,5,5,5,100,0
HLD,D,20150930,000000,5,5,5,5,100,0
HLD,D,20151002,000000,5,5,5,5,100,0
HLD,D,20151005,000000,5,5,5,5,100,0
HLD,D,20151006,000000,5,5,5,5,100,0
HLD,D,20151007,000000,5,5,5,5,100,0
HLD,D,20151009,000000,5,5,5,5,100,0
HLD,D,20151012,000000,5,5,5,5,100,0
HLD,D,20151014,000000,5,5,5,5,100,0
HLD,D,20151015,000000,5,5,5,5,85,0
HLD,D,20151019,000000,5,5,5,5,100,0
HLD,D,20151020,000000,5,5,5,5,80,0
HLD,D,20151023,000000,5,5,5,5,1000,0
HLD,D,20151026,000000,4,4,4,4,300,0
HLD,D,20151027,000000,3.9,3.9,3.7,3.7,1100,0
HLD,D,20151028,000000,4,4,4,4,900,0
HLD,D,20151030,000000,4,4,4,4,300,0
HLD,D,20151102,000000,4.1,4.1,3.5,3.5,313,0
HLD,D,20151103,000000,4.1,4.1,4.1,4.1,1521,0
HLD,D,20151104,000000,4.1,4.1,4.1,4.1,2130,0
HLD,D,20151109,000000,4.1,4.1,4.1,4.1,852,0
HLD,D,20151110,000000,3.7,3.7,3.7,3.7,100,0
HLD,D,20151113,000000,3.1,3.1,3.1,3.1,1233,0
HLD,D,20151116,000000,3.1,3.1,3,3,1213,0
HLD,D,20151118,000000,3.1,3.1,3.1,3.1,22651,0
HLD,D,20151124,000000,4,4,4,4,459,0
HLD,D,20151126,000000,3.8,4,3.7,4,3500,0
HLD,D,20151127,000000,3.7,3.7,3.7,3.7,100,0
HLD,D,20151130,000000,4.5,4.5,4.5,4.5,100,0
HLD,D,20151215,000000,3.5,3.5,3.5,3.5,300,0
HLD,D,20151228,000000,3.5,3.7,3.5,3.7,12001,0
HLD,D,20151229,000000,3.7,3.7,3.7,3.7,1,0
