<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HMI,D,20131107,000000,9.4166,11.277,9.4166,10.522,798,0
HMI,D,20131108,000000,9.127,10.952,7.3016,10.952,544,0
HMI,D,20131112,000000,8.776,10.356,8.697,8.697,56,0
HMI,D,20131113,000000,8.697,8.697,7.2051,7.2051,224,0
HMI,D,20131115,000000,7.3543,7.3543,7.3543,7.3543,205,0
HMI,D,20131118,000000,7.8984,7.8984,7.8984,7.8984,11,0
HMI,D,20131119,000000,9.1183,9.1183,9.1183,9.1183,11,0
HMI,D,20131204,000000,7.3104,7.3104,7.3104,7.3104,10,0
HMI,D,20131205,000000,8.6882,8.6882,8.6882,8.6882,6,0
HMI,D,20131210,000000,8.3899,8.3899,8.3899,8.3899,6,0
HMI,D,20131213,000000,7.3104,8.3899,7.3104,8.3899,23,0
HMI,D,20131216,000000,7.5737,7.5737,6.8892,6.8892,1729,0
HMI,D,20131217,000000,6.8892,6.8892,6.8892,6.8892,216,0
HMI,D,20131223,000000,6.8014,6.8892,6.8014,6.8892,1892,0
HMI,D,20131227,000000,6.8892,7.0208,6.8892,7.0208,1310,0
HMI,D,20131230,000000,7.0208,7.0208,7.0208,7.0208,34,0
HMI,D,20140102,000000,6.933,6.933,6.933,6.933,125,0
HMI,D,20140103,000000,6.933,6.933,6.933,6.933,122,0
HMI,D,20140107,000000,6.933,6.933,6.4065,6.933,492,0
HMI,D,20140108,000000,6.933,6.933,6.933,6.933,114,0
HMI,D,20140109,000000,6.933,6.933,6.933,6.933,128,0
HMI,D,20140110,000000,6.933,6.933,6.933,6.933,384,0
HMI,D,20140113,000000,6.933,6.933,6.933,6.933,106,0
HMI,D,20140114,000000,6.9243,6.9243,6.9243,6.9243,85,0
HMI,D,20140116,000000,6.933,6.933,6.933,6.933,13,0
HMI,D,20140117,000000,7.0208,7.0208,6.933,7.0208,365,0
HMI,D,20140120,000000,6.933,7.0208,6.933,7.0208,27,0
HMI,D,20140121,000000,6.933,6.933,6.933,6.933,39,0
HMI,D,20140122,000000,7.0208,7.0208,7.0208,7.0208,345,0
HMI,D,20140123,000000,7.012,7.0208,7.012,7.0208,98,0
HMI,D,20140124,000000,7.012,7.0208,7.012,7.0208,308,0
HMI,D,20140127,000000,7.0208,7.0208,7.0208,7.0208,27,0
HMI,D,20140128,000000,7.0208,7.0208,7.0208,7.0208,196,0
HMI,D,20140129,000000,7.0208,7.0208,7.0208,7.0208,189,0
HMI,D,20140130,000000,7.0208,7.0647,6.8014,6.8014,178,0
HMI,D,20140131,000000,7.0647,7.0647,7.0208,7.0208,182,0
HMI,D,20140203,000000,7.0647,7.0647,7.0647,7.0647,54,0
HMI,D,20140205,000000,6.7663,7.0647,6.7663,7.0647,436,0
