<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRS,D,20061206,000000,6.3675,6.6043,5.4304,6.2034,6950139,0
HRS,D,20061207,000000,6.2546,6.2657,5.7805,6.0399,1211534,0
HRS,D,20061208,000000,6.0341,6.2995,5.7805,6.0623,624522,0
HRS,D,20061211,000000,6.1809,6.1809,5.8763,5.8763,508994,0
HRS,D,20061212,000000,5.7633,5.7633,5.5093,5.5093,452688,0
HRS,D,20061213,000000,5.4754,5.4754,5.1595,5.1878,422003,0
HRS,D,20061214,000000,5.272,5.6054,5.1423,5.2834,404507,0
HRS,D,20061215,000000,5.3289,5.3624,4.3918,4.9333,403915,0
HRS,D,20061218,000000,5.0466,5.1256,4.9562,5.086,125299,0
HRS,D,20061219,000000,5.0634,5.0634,4.7754,4.8151,102624,0
HRS,D,20061220,000000,4.7189,4.8318,4.5835,4.6683,174431,0
HRS,D,20061221,000000,4.8544,4.8544,4.674,4.7639,174702,0
HRS,D,20061222,000000,4.8151,4.8151,4.3181,4.3181,274416,0
HRS,D,20061227,000000,4.4763,4.8036,4.4424,4.7978,108196,0
HRS,D,20061228,000000,4.9055,5.3342,4.9055,5.1988,299837,0
HRS,D,20061229,000000,5.3061,5.3174,5.0237,5.1878,105820,0
HRS,D,20070102,000000,5.1423,5.2892,5.0975,5.1988,94249,0
HRS,D,20070103,000000,5.2834,5.2892,5.0012,5.1878,184653,0
HRS,D,20070104,000000,5.1423,5.1423,4.9562,4.9562,123687,0
HRS,D,20070105,000000,4.9562,5.0466,4.9333,5.0466,56589,0
HRS,D,20070108,000000,5.0184,5.1198,4.9616,5.1142,33148,0
HRS,D,20070109,000000,5.1309,5.1648,5.0466,5.0975,70871,0
HRS,D,20070110,000000,5.1198,5.1309,5.0409,5.0687,30267,0
HRS,D,20070111,000000,5.1142,5.1142,4.9562,4.9787,53768,0
HRS,D,20070112,000000,5.2834,5.4246,5.1878,5.2495,382745,0
HRS,D,20070115,000000,5.4189,6.0852,5.3342,6.0852,785473,0
HRS,D,20070116,000000,6.136,6.723,5.9441,6.5139,1177534,0
HRS,D,20070117,000000,6.7004,7.1746,6.678,7.1464,1375850,0
HRS,D,20070118,000000,7.7334,8.8908,7.6601,8.6652,2573002,0
HRS,D,20070119,000000,8.0267,8.7779,7.8352,8.2075,1388249,0
HRS,D,20070122,000000,8.2356,8.4677,7.5754,7.5981,652284,0
HRS,D,20070123,000000,7.3664,8.4332,7.1746,8.2696,1222240,0
HRS,D,20070124,000000,8.6141,8.7269,8.1399,8.2582,739402,0
HRS,D,20070125,000000,8.2075,8.496,7.8802,7.9477,399762,0
HRS,D,20070126,000000,7.9195,8.2582,7.6205,8.1002,345131,0
HRS,D,20070129,000000,8.2075,8.4227,8.1175,8.4227,350454,0
HRS,D,20070130,000000,8.4897,8.5523,8.1625,8.2582,183154,0
HRS,D,20070131,000000,8.3543,8.3543,8.2075,8.2754,115185,0
HRS,D,20070201,000000,8.3032,8.3543,8.0663,8.1399,129458,0
HRS,D,20070202,000000,8.2356,8.2582,8.0213,8.0945,181581,0
HRS,D,20070205,000000,8.0945,8.1175,7.931,8.0663,103896,0
HRS,D,20070206,000000,8.0213,8.0213,7.7898,7.8802,128565,0
HRS,D,20070207,000000,7.784,7.784,7.6486,7.6942,167844,0
HRS,D,20070208,000000,7.7391,7.7391,7.2421,7.3439,251325,0
HRS,D,20070209,000000,7.2421,7.9252,7.2421,7.9084,263894,0
HRS,D,20070212,000000,7.784,7.8912,7.6205,7.7558,100617,0
HRS,D,20070213,000000,7.7391,8.2528,7.5698,8.2528,238568,0
HRS,D,20070214,000000,8.1175,8.3543,7.9764,8.0663,226010,0
HRS,D,20070215,000000,8.185,8.2582,7.8352,7.9764,238804,0
HRS,D,20070216,000000,7.9252,7.9764,7.6825,7.9707,134513,0
HRS,D,20070219,000000,8.3543,9.675,8.185,9.675,1942800,0
HRS,D,20070220,000000,9.862,10.194,9.0941,9.2577,998313,0
HRS,D,20070221,000000,9.4161,9.907,9.2962,9.3877,393386,0
HRS,D,20070222,000000,9.58,9.642,9.2013,9.569,232504,0
HRS,D,20070223,000000,9.574,9.862,9.252,9.4945,279395,0
HRS,D,20070226,000000,9.912,10.895,9.912,10.578,940410,0
HRS,D,20070227,000000,10.38,10.566,9.675,9.862,783870,0
HRS,D,20070228,000000,9.2238,10.076,9.015,9.534,944248,0
HRS,D,20070301,000000,9.862,10.144,9.2013,9.534,468418,0
