<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUB,D,20120314,000000,12.78,12.78,12,12.64,36087,0
HUB,D,20120315,000000,12.67,12.7,12.2,12.42,5734,0
HUB,D,20120316,000000,12.42,12.46,12.11,12.45,8995,0
HUB,D,20120319,000000,12.47,12.47,12.39,12.39,861,0
HUB,D,20120320,000000,12.47,12.47,12.02,12.25,1517,0
HUB,D,20120321,000000,12.3,12.3,11.91,12.14,5163,0
HUB,D,20120322,000000,12.15,12.15,11.3,12.12,2503,0
HUB,D,20120323,000000,12.15,12.15,11.4,12,5834,0
HUB,D,20120326,000000,12.15,12.15,12.15,12.15,1,0
HUB,D,20120327,000000,11.4,12.15,11.4,12,4378,0
HUB,D,20120328,000000,12.1,12.1,11.98,11.98,2052,0
HUB,D,20120329,000000,11.98,12.14,11.9,12.14,3851,0
HUB,D,20120330,000000,12.15,12.15,12.15,12.15,1,0
HUB,D,20120402,000000,12.1,12.1,12.1,12.1,2,0
HUB,D,20120403,000000,12.1,12.1,11.65,12.1,2279,0
HUB,D,20120404,000000,12.1,12.1,11.54,12,3577,0
HUB,D,20120405,000000,12.1,12.1,12,12,3,0
HUB,D,20120410,000000,12,12.1,11.6,12.06,31246,0
HUB,D,20120411,000000,11.9,11.91,11.5,11.91,2391,0
HUB,D,20120412,000000,11.41,11.56,11.1,11.1,36112,0
HUB,D,20120413,000000,11.34,11.34,10.86,10.88,9648,0
HUB,D,20120416,000000,10.86,10.86,10.21,10.47,658,0
HUB,D,20120417,000000,10.5,10.5,10.1,10.5,518,0
HUB,D,20120418,000000,10.38,10.47,10.05,10.47,646,0
HUB,D,20120419,000000,10.47,10.47,10.05,10.47,33,0
HUB,D,20120420,000000,10.47,10.47,9.11,9.11,31025,0
HUB,D,20120423,000000,9.11,9.35,8.93,8.93,1700,0
HUB,D,20120424,000000,8.4,8.8,8.4,8.8,1992,0
HUB,D,20120425,000000,8.8,8.83,8.43,8.8,1443,0
HUB,D,20120426,000000,9,9,8.55,8.6,35,0
HUB,D,20120427,000000,8.6,8.78,8.6,8.78,802,0
HUB,D,20120430,000000,8.6,8.78,8.48,8.78,2478,0
HUB,D,20120502,000000,8.78,8.78,8.69,8.69,122,0
HUB,D,20120504,000000,8.7,8.7,8.06,8.7,6145,0
HUB,D,20120507,000000,8.78,8.78,8.2,8.73,2374,0
HUB,D,20120508,000000,8.72,8.72,8.7,8.71,52,0
HUB,D,20120509,000000,8.4,8.4,8.02,8.39,1509,0
HUB,D,20120510,000000,8.5,8.5,8.02,8.5,280,0
HUB,D,20120511,000000,8.5,8.69,8.28,8.69,1920,0
HUB,D,20120514,000000,8.69,8.69,8.43,8.43,1214,0
HUB,D,20120515,000000,8.43,8.73,8.4,8.4,2221,0
HUB,D,20120516,000000,8.02,8.72,8,8.72,1758,0
HUB,D,20120517,000000,8.7,8.72,8,8,4747,0
HUB,D,20120518,000000,7.9,8.51,7.7,8.38,3439,0
HUB,D,20120521,000000,8.59,8.59,8.2,8.59,255,0
HUB,D,20120522,000000,8.49,8.49,8.49,8.49,1,0
HUB,D,20120523,000000,8.2,8.39,8.2,8.39,1130,0
HUB,D,20120524,000000,8,8,8,8,141,0
HUB,D,20120525,000000,8,8.35,7.92,8.35,2946,0
HUB,D,20120528,000000,8.35,8.5,8.35,8.5,1200,0
HUB,D,20120529,000000,8.5,8.72,8.3,8.72,758,0
HUB,D,20120530,000000,8.72,8.72,8.2,8.72,1859,0
HUB,D,20120531,000000,8.72,8.72,8.72,8.72,1,0
HUB,D,20120601,000000,8.72,8.79,8.4,8.4,1101,0
HUB,D,20120604,000000,8.55,8.55,8.55,8.55,1,0
HUB,D,20120605,000000,8.55,8.75,8.4,8.4,4428,0
HUB,D,20120606,000000,8.4,8.75,8.15,8.74,3893,0
