<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
I2D,D,20160519,000000,18.483,18.818,16.819,17.432,81965,0
I2D,D,20160520,000000,17.424,17.424,16.81,17.424,29910,0
I2D,D,20160523,000000,16.845,17.138,16.004,16.802,1514,0
I2D,D,20160524,000000,16.382,16.802,16.382,16.802,2439,0
I2D,D,20160525,000000,16.928,16.97,16.928,16.928,2440,0
I2D,D,20160531,000000,16.214,16.802,16.214,16.802,223,0
I2D,D,20160601,000000,16.802,17.214,16.281,17.214,155,0
I2D,D,20160602,000000,16.466,16.802,16.466,16.802,696,0
I2D,D,20160603,000000,16.365,16.802,16.365,16.802,2,0
I2D,D,20160607,000000,16.046,16.088,15.214,16.088,4084,0
I2D,D,20160608,000000,16.054,16.054,16.054,16.054,202,0
I2D,D,20160609,000000,16.054,16.802,16.054,16.802,297,0
I2D,D,20160615,000000,16.054,16.777,16.054,16.777,321,0
I2D,D,20160616,000000,16.054,16.752,16.054,16.752,714,0
I2D,D,20160620,000000,16.785,16.785,16.382,16.382,226,0
I2D,D,20160621,000000,16.299,16.634,16.299,16.634,643,0
I2D,D,20160630,000000,15.424,15.962,15.424,15.962,891,0
I2D,D,20160701,000000,16.299,16.299,16.13,16.13,3391,0
I2D,D,20160706,000000,15.634,16.289,15.634,16.289,24,0
I2D,D,20160707,000000,16.289,16.289,16.289,16.289,47815,0
I2D,D,20160708,000000,15.971,15.971,15.971,15.971,1,0
I2D,D,20160713,000000,15.971,15.971,15.971,15.971,1191,0
I2D,D,20160714,000000,15.971,15.971,15.971,15.971,496,0
I2D,D,20160715,000000,15.971,15.971,15.962,15.962,2068,0
I2D,D,20160719,000000,16.299,16.299,16.299,16.299,309,0
I2D,D,20160722,000000,16.802,16.802,16.802,16.802,1208,0
I2D,D,20160725,000000,16.299,16.794,16.299,16.794,719,0
I2D,D,20160726,000000,16.794,16.886,16.029,16.886,3213,0
I2D,D,20160727,000000,16.34,16.718,16.34,16.718,238,0
I2D,D,20160728,000000,16.382,16.634,16.34,16.634,607,0
I2D,D,20160729,000000,16.299,16.299,16.299,16.299,190,0
I2D,D,20160801,000000,16.214,16.214,16.214,16.214,40,0
I2D,D,20160802,000000,16.214,16.223,16.214,16.214,619,0
I2D,D,20160805,000000,16.147,16.147,15.971,15.971,2071,0
I2D,D,20160808,000000,15.962,15.962,15.962,15.962,1191,0
I2D,D,20160809,000000,15.962,16.332,15.962,16.332,160,0
I2D,D,20160811,000000,15.979,15.979,15.962,15.962,554,0
I2D,D,20160812,000000,15.962,15.962,15.962,15.962,119,0
I2D,D,20160824,000000,16.382,16.382,15.878,15.878,31,0
I2D,D,20160826,000000,15.878,15.878,15.878,15.878,993,0
I2D,D,20160830,000000,16.214,16.214,16.214,16.214,119,0
I2D,D,20160902,000000,15.895,15.895,15.878,15.878,265,0
I2D,D,20160905,000000,15.878,15.878,15.878,15.878,119,0
I2D,D,20160908,000000,15.458,15.962,15.458,15.962,813,0
I2D,D,20160909,000000,15.458,15.962,15.458,15.962,43,0
I2D,D,20160912,000000,15.962,15.962,15.962,15.962,1,0
I2D,D,20160913,000000,15.962,15.962,15.962,15.962,2053,0
I2D,D,20160914,000000,15.878,15.878,15.878,15.878,49,0
I2D,D,20160921,000000,15.878,15.962,15.878,15.962,250,0
I2D,D,20160922,000000,16.198,16.289,16.198,16.289,10902,0
I2D,D,20160923,000000,16.299,17.382,16.299,16.954,23408,0
I2D,D,20160926,000000,16.954,16.954,16.752,16.954,772,0
I2D,D,20160927,000000,16.886,17.197,16.886,17.197,1624,0
I2D,D,20160928,000000,16.76,16.76,16.76,16.76,40,0
I2D,D,20160929,000000,16.76,17.811,16.76,17.558,2991,0
I2D,D,20160930,000000,17.222,17.222,17.088,17.088,828,0
I2D,D,20161003,000000,17.382,17.382,17.382,17.382,645,0
I2D,D,20161004,000000,17.382,17.382,17.382,17.382,345,0
I2D,D,20161005,000000,17.382,17.391,17.382,17.391,793,0
I2D,D,20161006,000000,17.391,18.012,17.391,18.012,3573,0
I2D,D,20161007,000000,18.003,18.012,17.634,17.642,5790,0
I2D,D,20161010,000000,17.902,18.062,17.642,18.062,5646,0
I2D,D,20161011,000000,18.062,18.39,17.642,17.642,654,0
I2D,D,20161013,000000,17.642,18.373,17.356,18.373,13565,0
I2D,D,20161014,000000,18.365,18.365,17.651,17.651,2199,0
I2D,D,20161017,000000,17.474,17.886,17.474,17.886,280,0
I2D,D,20161018,000000,17.642,17.642,17.642,17.642,119,0
I2D,D,20161019,000000,17.466,17.466,17.466,17.466,11903,0
I2D,D,20161020,000000,17.886,17.894,17.886,17.894,273,0
I2D,D,20161021,000000,17.894,17.894,17.894,17.894,83,0
I2D,D,20161024,000000,17.651,17.651,17.651,17.651,2656,0
I2D,D,20161025,000000,17.651,17.651,17.5,17.5,1985,0
I2D,D,20161027,000000,17.5,17.5,17.5,17.5,24,0
I2D,D,20161028,000000,17.474,17.474,17.474,17.474,238,0
I2D,D,20161031,000000,17.642,17.659,17.642,17.659,1785,0
I2D,D,20161102,000000,17.449,17.491,17.449,17.474,4321,0
I2D,D,20161103,000000,17.391,17.811,17.348,17.811,3809,0
I2D,D,20161108,000000,17.23,18.297,17.23,18.289,4797,0
I2D,D,20161109,000000,17.474,17.474,17.474,17.474,595,0
I2D,D,20161110,000000,18.289,18.289,18.289,18.289,6,0
I2D,D,20161114,000000,18.289,18.289,18.289,18.289,1,0
I2D,D,20161115,000000,17.474,17.474,17.474,17.474,119,0
I2D,D,20161116,000000,17.222,17.474,17.222,17.474,1191,0
I2D,D,20161117,000000,16.81,17.558,16.81,17.558,1057,0
I2D,D,20161122,000000,17.222,17.222,17.222,17.222,595,0
I2D,D,20161123,000000,17.886,17.886,17.222,17.222,124,0
I2D,D,20161124,000000,17.138,17.474,17.138,17.474,602,0
I2D,D,20161125,000000,17.466,17.525,17.138,17.138,4031,0
I2D,D,20161128,000000,17.055,17.138,17.055,17.096,3398,0
I2D,D,20161129,000000,17.516,17.516,17.516,17.516,6,0
I2D,D,20161130,000000,17.466,17.466,17.466,17.466,6,0
I2D,D,20161201,000000,17.432,17.432,17.432,17.432,2,0
I2D,D,20161202,000000,17.432,17.432,17.055,17.432,280,0
I2D,D,20161205,000000,17.424,17.424,17.424,17.424,6,0
I2D,D,20161206,000000,17.391,17.391,17.055,17.055,653,0
I2D,D,20161207,000000,17.055,17.055,17.055,17.055,505,0
I2D,D,20161208,000000,17.055,17.055,16.382,17.055,2030,0
I2D,D,20161209,000000,17.055,17.407,17.055,17.407,1688,0
I2D,D,20161212,000000,17.374,17.374,17.374,17.374,2,0
I2D,D,20161213,000000,17.391,17.391,17.391,17.391,1,0
I2D,D,20161214,000000,17.374,17.374,17.374,17.374,1,0
I2D,D,20161215,000000,17.374,17.374,16.97,17.222,678,0
I2D,D,20161216,000000,17.222,17.222,17.222,17.222,676,0
I2D,D,20161219,000000,17.374,17.374,17.138,17.306,953,0
I2D,D,20161220,000000,17.407,17.407,16.81,16.81,84,0
I2D,D,20161221,000000,17.055,17.055,16.802,16.802,3492,0
I2D,D,20161222,000000,17.306,17.306,16.76,16.76,2798,0
I2D,D,20161223,000000,16.81,16.81,16.55,16.81,280,0
I2D,D,20161228,000000,17.055,17.055,16.802,16.802,970,0
I2D,D,20161229,000000,17.055,17.055,16.382,16.39,1399,0
I2D,D,20161230,000000,16.382,16.382,16.382,16.382,4944,0
I2D,D,20170102,000000,16.382,16.382,16.382,16.382,595,0
I2D,D,20170103,000000,16.634,16.76,16.299,16.76,303,0
I2D,D,20170105,000000,16.299,16.718,16.299,16.382,1072,0
I2D,D,20170110,000000,16.466,16.466,16.466,16.466,119,0
I2D,D,20170111,000000,16.592,16.592,16.466,16.466,151,0
I2D,D,20170112,000000,16.718,16.76,16.718,16.76,2,0
I2D,D,20170113,000000,16.718,16.718,16.718,16.718,2,0
I2D,D,20170116,000000,16.382,16.676,16.382,16.382,4919,0
I2D,D,20170117,000000,16.676,16.802,16.382,16.382,31313,0
I2D,D,20170118,000000,16.752,16.794,16.382,16.794,7001,0
I2D,D,20170119,000000,16.794,16.794,16.399,16.399,710,0
I2D,D,20170120,000000,16.794,16.794,16.794,16.794,1,0
I2D,D,20170123,000000,16.794,16.794,16.794,16.794,1,0
I2D,D,20170124,000000,16.794,16.794,16.794,16.794,1,0
I2D,D,20170125,000000,16.794,16.794,16.794,16.794,100,0
I2D,D,20170126,000000,16.785,16.794,16.785,16.794,2,0
I2D,D,20170127,000000,16.785,16.794,16.273,16.794,243,0
I2D,D,20170130,000000,16.718,16.718,16.718,16.718,1,0
I2D,D,20170131,000000,16.709,16.709,16.709,16.709,5952,0
I2D,D,20170201,000000,16.718,16.718,16.718,16.718,1,0
I2D,D,20170202,000000,16.718,16.718,16.214,16.374,1137,0
I2D,D,20170203,000000,16.676,16.676,16.382,16.382,2,0
I2D,D,20170206,000000,16.13,16.13,16.13,16.13,1,0
I2D,D,20170207,000000,16.382,16.382,16.382,16.382,59,0
I2D,D,20170209,000000,16.256,16.256,15.878,15.887,1788,0
I2D,D,20170210,000000,16.289,16.289,16.289,16.289,565,0
I2D,D,20170213,000000,16.289,16.289,16.289,16.289,55,0
I2D,D,20170214,000000,16.289,16.289,16.289,16.289,54,0
I2D,D,20170215,000000,16.289,16.289,16.289,16.289,61,0
I2D,D,20170216,000000,15.92,15.962,14.87,15.953,1847,0
I2D,D,20170217,000000,16.289,16.289,16.289,16.289,120,0
I2D,D,20170220,000000,16.289,16.289,16.046,16.046,120,0
I2D,D,20170221,000000,16.046,16.289,16.046,16.289,593,0
I2D,D,20170222,000000,16.214,16.214,16.214,16.214,1,0
I2D,D,20170223,000000,16.289,16.382,16.289,16.382,242,0
I2D,D,20170224,000000,16.046,16.046,16.046,16.046,31,0
I2D,D,20170227,000000,16.382,16.382,16.046,16.046,61,0
I2D,D,20170228,000000,16.382,16.382,16.382,16.382,780,0
I2D,D,20170301,000000,15.794,16.382,15.794,16.382,163,0
I2D,D,20170303,000000,15.962,15.962,15.962,15.962,2,0
I2D,D,20170306,000000,15.962,16.382,15.962,16.382,464,0
I2D,D,20170307,000000,15.794,15.878,15.794,15.794,595,0
I2D,D,20170308,000000,16.172,16.172,15.794,15.794,601,0
I2D,D,20170309,000000,16.172,16.172,16.172,16.172,1,0
I2D,D,20170310,000000,16.172,16.172,16.172,16.172,1,0
I2D,D,20170313,000000,15.953,15.953,15.953,15.953,72,0
I2D,D,20170314,000000,15.878,15.878,15.878,15.878,95,0
I2D,D,20170315,000000,15.542,16.299,15.542,15.542,233,0
I2D,D,20170316,000000,15.542,15.962,15.542,15.962,54,0
I2D,D,20170317,000000,15.962,15.962,15.5,15.5,1311,0
I2D,D,20170320,000000,15.542,15.542,15.29,15.29,1250,0
I2D,D,20170321,000000,15.298,15.298,15.298,15.298,415,0
I2D,D,20170322,000000,15.298,15.298,14.45,14.878,1788,0
I2D,D,20170323,000000,14.744,15.794,14.744,15.542,2070,0
I2D,D,20170324,000000,15.542,16.382,15.542,15.962,4309,0
I2D,D,20170327,000000,15.962,15.962,15.794,15.794,1046,0
I2D,D,20170328,000000,16.206,16.206,16.206,16.206,710,0
I2D,D,20170329,000000,16.172,16.172,16.088,16.088,2,0
I2D,D,20170330,000000,15.962,15.962,15.962,15.962,1,0
I2D,D,20170331,000000,15.962,15.962,15.962,15.962,120,0
I2D,D,20170403,000000,16.172,16.172,15.962,15.962,2,0
I2D,D,20170404,000000,15.962,15.962,15.962,15.962,1,0
I2D,D,20170405,000000,15.626,15.626,15.542,15.626,1329,0
I2D,D,20170406,000000,15.374,15.374,15.374,15.374,1,0
I2D,D,20170407,000000,15.29,15.29,15.29,15.29,1,0
I2D,D,20170410,000000,15.878,16.189,15.878,16.122,1784,0
I2D,D,20170411,000000,16.122,16.122,15.945,15.945,2110,0
I2D,D,20170412,000000,16.122,16.189,16.122,16.122,2752,0
I2D,D,20170418,000000,16.13,16.163,16.13,16.163,2,0
I2D,D,20170420,000000,16.163,16.55,15.962,16.172,21881,0
I2D,D,20170421,000000,16.307,16.634,16.307,16.382,13625,0
I2D,D,20170424,000000,16.634,16.643,16.214,16.567,16293,0
I2D,D,20170425,000000,16.382,16.676,16.382,16.382,6581,0
I2D,D,20170426,000000,16.466,16.466,16.299,16.382,1923,0
I2D,D,20170427,000000,16.466,16.634,16.299,16.382,9377,0
I2D,D,20170428,000000,16.382,16.634,16.382,16.592,14760,0
I2D,D,20170502,000000,16.634,16.634,16.592,16.634,5452,0
I2D,D,20170504,000000,16.634,17.222,16.634,17.096,8819,0
I2D,D,20170505,000000,17.189,17.205,16.987,17.205,6818,0
I2D,D,20170508,000000,17.265,17.861,17.265,17.819,8606,0
I2D,D,20170509,000000,17.819,17.836,17.474,17.558,7280,0
I2D,D,20170510,000000,17.558,17.558,17.391,17.474,2911,0
I2D,D,20170511,000000,17.516,17.626,17.306,17.306,2435,0
I2D,D,20170512,000000,17.626,17.626,17.474,17.516,5555,0
I2D,D,20170515,000000,17.466,17.533,17.13,17.13,11027,0
I2D,D,20170516,000000,17.113,17.121,16.76,16.802,7925,0
I2D,D,20170517,000000,16.802,16.97,16.785,16.97,6103,0
I2D,D,20170518,000000,17.113,17.189,17.063,17.088,11224,0
I2D,D,20170519,000000,17.113,17.332,17.113,17.315,8049,0
I2D,D,20170522,000000,16.935,17.574,16.565,16.611,3089,0
I2D,D,20170523,000000,16.658,17.028,16.565,16.611,2780,0
I2D,D,20170524,000000,17.093,17.093,16.473,16.473,1074,0
I2D,D,20170525,000000,16.389,16.473,16.287,16.473,678,0
I2D,D,20170526,000000,16.565,16.565,16.195,16.195,532,0
I2D,D,20170529,000000,16.241,16.621,16.112,16.621,984,0
I2D,D,20170530,000000,16.38,16.38,16.38,16.38,108,0
I2D,D,20170531,000000,16.195,16.38,15.964,16.38,1003,0
I2D,D,20170601,000000,16.102,16.102,15.917,15.964,1972,0
I2D,D,20170602,000000,15.741,15.982,15.547,15.982,938,0
I2D,D,20170606,000000,15.103,15.547,15.103,15.547,808,0
I2D,D,20170607,000000,15.547,15.547,15.084,15.084,1805,0
I2D,D,20170608,000000,15.075,15.075,14.807,14.853,1461,0
I2D,D,20170609,000000,14.714,15.168,14.344,14.344,2011,0
I2D,D,20170612,000000,13.974,14.807,13.419,14.039,3723,0
I2D,D,20170613,000000,13.428,13.65,13.428,13.465,3717,0
I2D,D,20170614,000000,13.428,13.881,13.428,13.881,379,0
I2D,D,20170616,000000,14.057,14.252,13.974,14.252,808,0
I2D,D,20170619,000000,14.622,14.807,14.622,14.622,298,0
I2D,D,20170620,000000,14.622,14.622,14.622,14.622,270,0
I2D,D,20170621,000000,14.612,14.622,14.612,14.622,108,0
I2D,D,20170622,000000,14.066,14.603,14.066,14.52,384,0
I2D,D,20170623,000000,14.603,14.603,14.344,14.585,787,0
I2D,D,20170626,000000,14.52,14.529,14.52,14.52,552,0
I2D,D,20170627,000000,14.066,14.622,14.066,14.529,352,0
I2D,D,20170629,000000,14.483,14.483,14.483,14.483,108,0
I2D,D,20170630,000000,14.252,14.622,14.252,14.622,442,0
I2D,D,20170703,000000,14.612,14.622,14.612,14.622,1101,0
I2D,D,20170704,000000,14.622,14.899,14.622,14.899,681,0
I2D,D,20170705,000000,14.714,14.714,14.529,14.529,282,0
I2D,D,20170706,000000,14.529,14.529,14.344,14.529,307,0
I2D,D,20170710,000000,13.891,13.891,13.881,13.881,1081,0
I2D,D,20170711,000000,13.881,13.881,13.234,13.881,487,0
I2D,D,20170712,000000,13.881,14.52,13.234,14.52,142,0
I2D,D,20170714,000000,13.872,13.928,13.789,13.789,2459,0
I2D,D,20170717,000000,13.881,13.881,13.881,13.881,1837,0
I2D,D,20170718,000000,13.974,13.974,13.696,13.696,1027,0
I2D,D,20170720,000000,13.696,13.881,13.696,13.881,1713,0
I2D,D,20170721,000000,13.881,13.881,13.4,13.872,3608,0
I2D,D,20170725,000000,13.465,13.465,13.252,13.252,2942,0
I2D,D,20170726,000000,13.206,13.854,13.206,13.326,4046,0
I2D,D,20170727,000000,13.206,13.206,13.048,13.095,367,0
I2D,D,20170728,000000,13.419,13.419,13.419,13.419,65,0
I2D,D,20170731,000000,13.15,13.15,13.15,13.15,323,0
I2D,D,20170801,000000,13.419,13.419,13.326,13.419,659,0
I2D,D,20170802,000000,13.409,13.409,13.409,13.409,411,0
I2D,D,20170803,000000,13.234,13.234,13.224,13.224,405,0
I2D,D,20170804,000000,13.141,13.409,12.493,13.409,5013,0
I2D,D,20170807,000000,13.28,13.409,13.048,13.409,935,0
I2D,D,20170808,000000,13.409,13.409,13.021,13.021,1111,0
I2D,D,20170809,000000,13.4,13.4,13.234,13.234,2165,0
I2D,D,20170810,000000,13.4,14.326,13.4,13.881,9765,0
I2D,D,20170811,000000,13.844,13.844,13.807,13.807,21936,0
I2D,D,20170814,000000,14.344,15.205,13.511,13.511,1864,0
I2D,D,20170816,000000,14.252,14.252,13.419,13.696,3258,0
I2D,D,20170817,000000,13.335,13.511,13.234,13.511,5000,0
I2D,D,20170818,000000,13.15,13.511,13.058,13.511,5390,0
I2D,D,20170823,000000,13.511,13.604,13.511,13.604,305,0
I2D,D,20170824,000000,13.696,13.696,13.65,13.696,1621,0
I2D,D,20170825,000000,13.696,14.057,13.511,14.057,4407,0
I2D,D,20170828,000000,14.011,14.02,13.197,14.02,521,0
I2D,D,20170829,000000,13.206,13.881,13.206,13.872,1005,0
