<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDA,D,20150416,000000,25,26.95,25,26.95,227078,0
IDA,D,20150417,000000,27,28,26.22,26.45,76991,0
IDA,D,20150420,000000,26.45,27.12,25.5,26.9,56942,0
IDA,D,20150421,000000,26.66,26.7,26.49,26.49,11961,0
IDA,D,20150422,000000,26.16,26.5,25.8,26.2,13085,0
IDA,D,20150423,000000,26.3,26.3,25.61,25.75,11603,0
IDA,D,20150424,000000,25.53,25.7,25.2,25.7,43277,0
IDA,D,20150427,000000,25.25,25.9,25.25,25.7,12452,0
IDA,D,20150428,000000,25.5,26.4,25.5,26.4,31901,0
IDA,D,20150429,000000,25.85,26.39,25.8,26.39,5947,0
IDA,D,20150430,000000,26,26.38,25.72,26.38,4605,0
IDA,D,20150504,000000,26,27.19,26,27.19,48474,0
IDA,D,20150505,000000,26.91,27.2,26.8,27.2,43182,0
IDA,D,20150506,000000,27.2,28,26.9,28,31275,0
IDA,D,20150507,000000,28.5,28.9,28,28.15,28681,0
IDA,D,20150508,000000,28,28.5,27.8,28,8703,0
IDA,D,20150511,000000,28,28,27.55,28,15228,0
IDA,D,20150512,000000,27.98,27.98,26.33,27.87,3056,0
IDA,D,20150513,000000,27.5,27.84,27.1,27.7,4988,0
IDA,D,20150514,000000,27.7,28.05,27.1,28,6198,0
IDA,D,20150515,000000,28,28.5,27.42,28.5,6971,0
IDA,D,20150518,000000,28.4,28.5,27.58,27.58,7208,0
IDA,D,20150519,000000,27.4,28.2,27.12,28.2,6720,0
IDA,D,20150520,000000,28.48,28.48,27.4,28,864,0
IDA,D,20150521,000000,27.72,28,27.6,28,1960,0
IDA,D,20150522,000000,28,28,27.6,27.85,1285,0
IDA,D,20150525,000000,27.3,27.7,27.28,27.7,2055,0
IDA,D,20150526,000000,27.5,27.6,26.91,27.28,4801,0
IDA,D,20150527,000000,27,27.5,27,27.5,2514,0
IDA,D,20150528,000000,27.55,28,27.03,28,16500,0
IDA,D,20150529,000000,27.26,28,27.26,28,974,0
IDA,D,20150601,000000,27.5,27.8,27.2,27.8,365,0
IDA,D,20150602,000000,27.91,27.91,27.1,27.7,2782,0
IDA,D,20150603,000000,27.7,27.7,27.12,27.32,5394,0
IDA,D,20150605,000000,27,27,26.41,26.5,10102,0
IDA,D,20150608,000000,26.5,26.5,25.33,26.45,7266,0
IDA,D,20150609,000000,26.4,26.4,26.3,26.3,710,0
IDA,D,20150610,000000,25.63,26.1,25.18,26.1,17221,0
IDA,D,20150611,000000,26.1,26.2,25.37,26.2,2803,0
IDA,D,20150612,000000,25.52,26.4,25.52,26.4,726,0
IDA,D,20150615,000000,25.81,26.3,25.81,26.3,865,0
IDA,D,20150616,000000,25.71,26.29,25.71,26.15,699,0
IDA,D,20150617,000000,25.71,26.15,25.71,26.15,943,0
IDA,D,20150618,000000,26.12,26.12,24.5,25.38,6670,0
IDA,D,20150619,000000,25.38,25.38,24.85,25.36,12340,0
IDA,D,20150622,000000,24.8,25.29,24.8,25.29,1400,0
IDA,D,20150623,000000,25.4,25.5,25,25.5,13602,0
IDA,D,20150624,000000,26,26.2,25.5,25.7,31419,0
IDA,D,20150625,000000,25.99,26.39,25.7,26,11317,0
IDA,D,20150626,000000,26,26,25.46,26,4752,0
IDA,D,20150629,000000,25.01,26,24.55,26,10117,0
IDA,D,20150630,000000,25.5,26.26,25.5,26.26,4510,0
IDA,D,20150701,000000,25.41,26.5,25.41,26,2292,0
IDA,D,20150702,000000,26,26,25.76,26,1143,0
IDA,D,20150703,000000,26,26,25.92,26,533,0
IDA,D,20150706,000000,25.55,25.87,25.25,25.8,3670,0
IDA,D,20150707,000000,25.34,25.8,25.2,25.8,2515,0
IDA,D,20150708,000000,25.4,25.4,24.8,25.19,3429,0
IDA,D,20150709,000000,24.8,25.16,23.6,25.16,3724,0
IDA,D,20150710,000000,25,25.87,25,25.87,2079,0
IDA,D,20150713,000000,25.99,26,25.7,25.89,1295,0
IDA,D,20150714,000000,25.04,25.69,25.04,25.69,3282,0
IDA,D,20150715,000000,25,25.69,25,25.69,1341,0
IDA,D,20150716,000000,25.69,25.69,25.69,25.69,60,0
IDA,D,20150717,000000,25.11,26,25.11,25.7,686,0
IDA,D,20150720,000000,26,26,25.69,25.69,3681,0
IDA,D,20150721,000000,25.6,25.69,25.6,25.69,6063,0
IDA,D,20150722,000000,25.42,25.58,24.68,25.58,1379,0
IDA,D,20150723,000000,24.61,25.2,24.61,25.2,861,0
IDA,D,20150724,000000,24.64,25.2,24.64,25.15,1853,0
IDA,D,20150727,000000,25.12,25.12,24.57,25.11,490,0
IDA,D,20150728,000000,25.11,25.5,25.1,25.5,988,0
IDA,D,20150729,000000,25.8,25.88,25.5,25.69,13162,0
IDA,D,20150730,000000,25.6,26,25.6,25.9,749,0
IDA,D,20150731,000000,25.9,26.09,25.71,26,7937,0
IDA,D,20150803,000000,26,26,26,26,642,0
IDA,D,20150804,000000,26,26,25.9,25.9,2541,0
IDA,D,20150805,000000,25.9,25.9,25.8,25.8,714,0
IDA,D,20150806,000000,25,25.6,25,25.59,7940,0
IDA,D,20150807,000000,25.2,26,25.08,26,1197,0
IDA,D,20150810,000000,26,26,25.62,25.62,98,0
IDA,D,20150811,000000,26,26,25.6,25.6,59,0
IDA,D,20150812,000000,25.6,25.6,25.6,25.6,1207,0
IDA,D,20150813,000000,25.6,25.6,25.6,25.6,69,0
IDA,D,20150814,000000,25.6,25.6,25.6,25.6,138,0
IDA,D,20150817,000000,25.55,25.6,25.5,25.6,2068,0
IDA,D,20150818,000000,25.02,25.7,25.02,25.7,207,0
IDA,D,20150819,000000,24.32,25.9,24.32,25.85,674,0
IDA,D,20150820,000000,25.2,25.95,25.2,25.9,1498,0
IDA,D,20150821,000000,25.9,25.9,25.6,25.6,220,0
IDA,D,20150824,000000,24.04,25,24.04,25,7272,0
IDA,D,20150825,000000,25,25,25,25,12,0
IDA,D,20150826,000000,24.15,25,24.15,25,112,0
IDA,D,20150827,000000,24.95,24.95,24.9,24.9,1440,0
IDA,D,20150828,000000,24.95,24.95,24.95,24.95,19,0
IDA,D,20150831,000000,24.95,25.77,24.95,25.77,1300,0
IDA,D,20150901,000000,24.7,25.3,24.7,25.3,66,0
IDA,D,20150902,000000,24.77,25.5,24.77,25.5,467,0
IDA,D,20150903,000000,25.3,25.49,25.3,25.49,70,0
IDA,D,20150904,000000,25,25.49,25,25.49,610,0
IDA,D,20150907,000000,25.63,25.7,25.63,25.7,300,0
IDA,D,20150908,000000,25.21,25.8,25.21,25.8,1052,0
IDA,D,20150909,000000,25.12,25.68,25.1,25.68,3547,0
IDA,D,20150910,000000,25.57,25.57,25.57,25.57,3,0
IDA,D,20150911,000000,25.11,25.49,25.1,25.49,1399,0
IDA,D,20150914,000000,25.1,25.43,25.1,25.43,469,0
IDA,D,20150915,000000,25.12,25.69,25.12,25.69,517,0
IDA,D,20150916,000000,25.21,25.21,25,25.1,3825,0
IDA,D,20150917,000000,25.05,25.73,25.05,25.5,1931,0
IDA,D,20150918,000000,24.91,25.39,24.91,25.39,1207,0
IDA,D,20150921,000000,25.31,25.31,24.9,25.3,1949,0
IDA,D,20150922,000000,24.91,25.36,24.91,25.35,1146,0
IDA,D,20150924,000000,24.61,25.07,24.61,25.04,1485,0
IDA,D,20150925,000000,25.19,25.2,24.99,25.2,1112,0
IDA,D,20150928,000000,25.4,25.6,24.61,25.3,1300,0
IDA,D,20150929,000000,25.5,25.6,25.3,25.6,1000,0
IDA,D,20150930,000000,25.6,25.84,25.6,25.79,1168,0
IDA,D,20151001,000000,25,25.5,25,25.5,100,0
IDA,D,20151002,000000,25.1,25.5,25.1,25.5,1057,0
IDA,D,20151005,000000,25.12,25.6,25.12,25.6,1143,0
IDA,D,20151006,000000,25.27,25.63,25.27,25.63,1017,0
IDA,D,20151007,000000,25.64,25.65,25.36,25.65,462,0
IDA,D,20151008,000000,25.6,25.6,25.6,25.6,120,0
IDA,D,20151009,000000,25.27,25.8,25.27,25.8,3996,0
IDA,D,20151012,000000,25.85,25.85,25.7,25.7,190,0
IDA,D,20151013,000000,25.5,25.7,25.5,25.7,519,0
IDA,D,20151014,000000,25.26,25.5,25.26,25.5,555,0
IDA,D,20151015,000000,25.5,25.55,25.5,25.55,90773,0
IDA,D,20151016,000000,25.65,25.7,25.55,25.55,518,0
IDA,D,20151019,000000,25.55,25.55,25.55,25.55,2212,0
IDA,D,20151020,000000,25.55,25.65,25.55,25.65,227,0
IDA,D,20151021,000000,25.55,25.55,25.54,25.54,31752,0
IDA,D,20151023,000000,25.26,25.5,25.17,25.5,3072,0
IDA,D,20151026,000000,24.99,25.47,24.91,25.47,3825,0
IDA,D,20151027,000000,25.05,25.47,25.05,25.47,526,0
IDA,D,20151028,000000,25.1,26.29,25.1,25.9,589697,0
IDA,D,20151029,000000,26,26.15,25.61,25.61,678,0
IDA,D,20151030,000000,25.6,25.9,25.6,25.9,246,0
IDA,D,20151102,000000,25.9,25.9,25.9,25.9,20,0
IDA,D,20151103,000000,25.6,25.88,25.02,25.88,196,0
IDA,D,20151104,000000,25.88,25.88,25.79,25.79,3,0
IDA,D,20151105,000000,25.31,25.7,25.31,25.7,63,0
IDA,D,20151106,000000,25.7,25.7,25.7,25.7,390,0
IDA,D,20151109,000000,25.69,25.69,24.9,24.9,1519,0
IDA,D,20151110,000000,24.71,24.89,24.7,24.89,253,0
IDA,D,20151112,000000,24.61,24.9,24.6,24.9,156,0
IDA,D,20151113,000000,24.61,25,24.6,25,2129,0
IDA,D,20151116,000000,24.8,25,24.8,24.8,502,0
IDA,D,20151117,000000,24.8,25,24.8,25,1374,0
IDA,D,20151118,000000,25,25.35,25,25.35,1276,0
IDA,D,20151119,000000,25.01,25.44,25,25.43,763,0
IDA,D,20151120,000000,25.5,25.5,25.01,25.49,111,0
IDA,D,20151123,000000,25.01,25.01,25,25,1079,0
IDA,D,20151124,000000,25,25.02,25,25,9199,0
IDA,D,20151125,000000,25,25,25,25,15577,0
IDA,D,20151126,000000,24.95,25.84,24.95,25.84,1852,0
IDA,D,20151127,000000,25.06,25.8,25.05,25.8,436,0
IDA,D,20151130,000000,25.26,25.7,25.25,25.7,469,0
IDA,D,20151201,000000,25.69,25.84,25.06,25.84,973,0
IDA,D,20151202,000000,25.8,25.8,25.01,25.65,539,0
IDA,D,20151203,000000,25.41,25.79,25.02,25.64,140,0
IDA,D,20151204,000000,25.64,25.64,24.6,25.44,983,0
IDA,D,20151207,000000,25.63,25.63,25.47,25.47,102,0
IDA,D,20151208,000000,25.47,25.47,25.42,25.43,503,0
IDA,D,20151209,000000,25.1,25.29,24.7,25.29,1074,0
IDA,D,20151210,000000,25.2,25.25,24.61,25.25,240,0
IDA,D,20151211,000000,25.24,25.24,24.99,24.99,7,0
IDA,D,20151214,000000,24.99,24.99,24.2,24.99,2403,0
IDA,D,20151215,000000,24.06,25.47,24.06,25.47,1111,0
IDA,D,20151216,000000,25.47,25.5,24.92,25.5,518,0
IDA,D,20151217,000000,25,25.7,25,25.7,640,0
IDA,D,20151218,000000,25.78,25.8,25.78,25.8,210,0
IDA,D,20151221,000000,25.7,25.8,25.11,25.7,1570,0
IDA,D,20151222,000000,25.29,25.7,25.29,25.5,18,0
IDA,D,20151223,000000,25.02,26,25.02,25.95,3775,0
IDA,D,20151228,000000,25.9,25.9,25.53,25.55,1106,0
IDA,D,20151229,000000,25.52,25.6,24.7,25.3,22785,0
IDA,D,20151230,000000,25.8,25.8,24.9,25.3,4512,0
IDA,D,20160104,000000,24.75,25.3,24.75,25.3,164,0
IDA,D,20160105,000000,25.3,25.3,24.88,24.88,182,0
IDA,D,20160107,000000,25.75,25.75,24.55,25.3,68,0
IDA,D,20160108,000000,25.3,25.3,24.79,25,119,0
IDA,D,20160111,000000,25.25,25.25,25,25.25,77,0
IDA,D,20160112,000000,25,25.49,25,25.49,599,0
IDA,D,20160113,000000,25.7,25.8,25.7,25.75,879,0
IDA,D,20160114,000000,25.7,25.7,25.5,25.5,2,0
IDA,D,20160115,000000,25.75,25.75,25.5,25.5,2,0
IDA,D,20160118,000000,25.15,25.5,25.15,25.5,331,0
IDA,D,20160119,000000,25.45,25.45,24.8,25.3,273,0
IDA,D,20160120,000000,25.3,25.3,24.65,25.29,592,0
IDA,D,20160121,000000,25.29,25.29,24.24,24.5,4367,0
IDA,D,20160122,000000,25.1,25.21,24.05,24.99,1112,0
IDA,D,20160125,000000,25.2,25.2,25.18,25.18,2,0
IDA,D,20160126,000000,25.18,25.18,24.3,24.99,322,0
IDA,D,20160127,000000,24.5,24.59,24.12,24.4,1421,0
IDA,D,20160128,000000,25.1,25.1,24.21,24.39,1164,0
IDA,D,20160129,000000,24.32,24.49,24.01,24.01,1434,0
IDA,D,20160201,000000,23.92,24.49,23.92,24.45,162,0
IDA,D,20160202,000000,24.3,24.31,24.01,24.23,945,0
IDA,D,20160203,000000,24.23,24.23,23.92,24.04,179,0
IDA,D,20160204,000000,23.92,24,23.75,24,816,0
IDA,D,20160205,000000,23.78,24.23,23.78,24.1,412,0
IDA,D,20160208,000000,24.21,24.21,23,23.4,940,0
IDA,D,20160209,000000,23.4,23.5,22.3,23.5,2081,0
IDA,D,20160210,000000,23.48,23.97,23,23.97,2152,0
IDA,D,20160211,000000,23.97,23.97,22.8,22.8,5833,0
IDA,D,20160212,000000,23.97,23.97,22.45,22.45,186,0
IDA,D,20160215,000000,22.7,22.98,22.4,22.98,562,0
IDA,D,20160216,000000,22.98,22.99,22.35,22.99,62,0
IDA,D,20160217,000000,22.34,23.8,22.34,23.74,1114,0
IDA,D,20160218,000000,23.75,24.24,23.75,24.1,1073,0
IDA,D,20160219,000000,24.53,24.6,24.1,24.49,1545,0
IDA,D,20160222,000000,24,24.44,23.86,24.43,1244,0
IDA,D,20160223,000000,24.43,24.43,24.43,24.43,2,0
IDA,D,20160224,000000,24.3,24.3,24.29,24.29,2,0
IDA,D,20160225,000000,24.3,24.5,23.8,24.5,329,0
IDA,D,20160226,000000,24.5,24.5,24,24.5,2701,0
IDA,D,20160229,000000,24.5,24.5,24.4,24.4,3,0
IDA,D,20160301,000000,24.49,24.49,24.48,24.48,2,0
IDA,D,20160302,000000,24.48,24.48,24.39,24.39,2,0
IDA,D,20160303,000000,24.39,24.39,23.23,24,1151,0
IDA,D,20160304,000000,24.48,24.48,23.5,23.9,1149,0
IDA,D,20160307,000000,23.9,24.19,23,24.1,1901,0
IDA,D,20160308,000000,24.34,24.37,23.18,24.3,2640,0
IDA,D,20160309,000000,24.34,24.34,23.31,24.15,1474,0
IDA,D,20160310,000000,24.27,24.27,23.39,23.39,3889,0
IDA,D,20160311,000000,23.55,23.8,23,23,12682,0
IDA,D,20160314,000000,23.54,23.54,23.3,23.3,121,0
IDA,D,20160315,000000,23.33,24.98,23.33,23.99,7722,0
IDA,D,20160316,000000,24.89,24.89,23.33,23.33,6949,0
IDA,D,20160317,000000,23.34,24,23.34,23.79,1216,0
IDA,D,20160318,000000,23.34,23.85,23.33,23.85,772,0
IDA,D,20160321,000000,24.17,24.17,23.7,23.7,365,0
IDA,D,20160322,000000,23.9,23.9,23.41,23.43,151,0
IDA,D,20160323,000000,23.9,24.3,23.4,24.3,686,0
IDA,D,20160324,000000,23.89,24.46,23.45,24.46,446,0
IDA,D,20160329,000000,24.48,24.48,23.85,24.3,792,0
IDA,D,20160330,000000,24.3,24.49,23.85,24.49,2306,0
IDA,D,20160331,000000,24.49,24.6,23.93,24.6,1342,0
IDA,D,20160401,000000,24.6,24.6,24.51,24.51,17,0
IDA,D,20160404,000000,24.8,24.8,24.45,24.45,6,0
IDA,D,20160405,000000,24.45,24.45,24,24.4,129,0
IDA,D,20160406,000000,24.45,24.45,23.86,24.45,1160,0
IDA,D,20160407,000000,24.45,24.45,24.25,24.39,34,0
IDA,D,20160408,000000,24.45,24.45,24.4,24.4,2,0
IDA,D,20160411,000000,24.45,24.45,24.25,24.3,382,0
IDA,D,20160412,000000,24.44,24.44,24.4,24.4,2,0
IDA,D,20160413,000000,24.4,24.4,24.4,24.4,20,0
IDA,D,20160414,000000,24.44,24.45,24,24.4,236,0
IDA,D,20160415,000000,24.4,24.4,24.1,24.4,102,0
IDA,D,20160418,000000,23.9,24.75,23.9,24.64,677,0
IDA,D,20160419,000000,24.49,24.49,24.25,24.25,727,0
IDA,D,20160420,000000,24.5,24.5,24.4,24.4,7,0
IDA,D,20160421,000000,24.4,24.5,24.4,24.4,52,0
IDA,D,20160422,000000,24.4,24.4,24.02,24.39,254,0
IDA,D,20160425,000000,24.39,24.39,23.82,24.39,194,0
IDA,D,20160426,000000,24.38,24.38,24.37,24.37,9,0
IDA,D,20160427,000000,24.37,24.37,23.93,24.35,417,0
IDA,D,20160428,000000,24.34,24.34,23.9,24.1,109,0
IDA,D,20160429,000000,24.34,24.34,23.91,23.91,144,0
IDA,D,20160502,000000,24.33,24.33,23.7,24.24,435,0
IDA,D,20160504,000000,24.2,24.2,24.13,24.13,101,0
IDA,D,20160505,000000,24.13,24.13,24.12,24.12,138,0
IDA,D,20160506,000000,24.13,24.13,23.67,24.11,194,0
IDA,D,20160509,000000,24.11,24.11,24,24,2,0
IDA,D,20160510,000000,24,24,23.59,23.59,124,0
IDA,D,20160511,000000,23.49,24,23.2,23.98,316,0
IDA,D,20160512,000000,23.96,23.96,23.55,23.55,12,0
IDA,D,20160513,000000,23.55,23.96,23.2,23.89,582,0
IDA,D,20160516,000000,23.89,23.95,23.22,23.88,727,0
IDA,D,20160517,000000,23.88,23.88,23.88,23.88,2,0
IDA,D,20160518,000000,23.88,23.88,23.25,23.3,51,0
IDA,D,20160519,000000,23.85,23.85,23.02,23.83,463,0
IDA,D,20160520,000000,23.84,24,23.83,23.83,446,0
IDA,D,20160523,000000,23.98,24.4,23.41,24.36,1337,0
IDA,D,20160524,000000,24.36,24.36,23.85,24.35,171,0
IDA,D,20160525,000000,24.34,24.34,24.31,24.31,94,0
IDA,D,20160527,000000,24.36,24.36,23.85,24.36,156,0
IDA,D,20160530,000000,23.27,24.28,23.27,24.28,114,0
IDA,D,20160531,000000,24.27,24.3,24.27,24.27,177,0
IDA,D,20160601,000000,24,24,23.03,23.89,198,0
IDA,D,20160602,000000,24.2,24.2,23.4,23.4,216,0
IDA,D,20160603,000000,24.19,24.19,23.85,24.18,23,0
IDA,D,20160606,000000,24.18,24.18,24.17,24.17,3,0
IDA,D,20160607,000000,24.17,24.17,23.51,23.99,56,0
IDA,D,20160608,000000,24.15,24.15,24.13,24.13,2,0
IDA,D,20160609,000000,24.14,24.14,23.51,23.51,554,0
IDA,D,20160610,000000,24.13,24.13,23.2,23.5,139,0
IDA,D,20160613,000000,23.49,23.49,23.2,23.4,74,0
IDA,D,20160614,000000,23.49,23.49,23,23,239,0
IDA,D,20160615,000000,23.19,23.69,22.6,23.69,755,0
IDA,D,20160616,000000,23.69,23.69,23,23.29,224,0
IDA,D,20160617,000000,23.29,23.29,22.51,22.99,804,0
IDA,D,20160620,000000,22.99,24.1,22.99,24,170,0
IDA,D,20160621,000000,23.09,23.98,23.02,23.72,144,0
IDA,D,20160622,000000,23.02,23.72,23.02,23.69,249,0
IDA,D,20160623,000000,23.02,24.1,23.02,24.1,1036,0
IDA,D,20160624,000000,22.5,23.5,22.5,23.49,463,0
IDA,D,20160627,000000,22.02,23.5,22.02,23.45,276,0
IDA,D,20160628,000000,23.45,23.45,23.31,23.43,706,0
IDA,D,20160629,000000,23.43,23.43,23.42,23.42,2,0
IDA,D,20160630,000000,23,24.16,22.53,24.1,1615,0
IDA,D,20160701,000000,24.16,24.16,23.71,23.71,28,0
IDA,D,20160704,000000,24.14,24.14,23,24,91,0
IDA,D,20160705,000000,24.14,24.14,24.1,24.11,1002,0
IDA,D,20160706,000000,24.14,24.14,24.1,24.1,2,0
IDA,D,20160707,000000,24.1,24.1,24.1,24.1,2,0
IDA,D,20160708,000000,24.14,24.14,24.1,24.1,2,0
IDA,D,20160711,000000,24.1,24.1,23.41,24.1,19,0
IDA,D,20160712,000000,24.08,24.08,23.46,23.49,17,0
IDA,D,20160713,000000,24.08,24.08,24,24,2,0
IDA,D,20160714,000000,23.99,23.99,23.51,23.99,60,0
IDA,D,20160715,000000,23.99,23.99,23.3,23.32,244,0
IDA,D,20160718,000000,23.99,23.99,22.66,23.97,1129,0
IDA,D,20160719,000000,23.96,23.96,23.96,23.96,2,0
IDA,D,20160720,000000,23.96,23.96,23.9,23.9,2,0
IDA,D,20160721,000000,23.9,23.9,23.3,23.5,42,0
IDA,D,20160722,000000,23.79,23.95,23.31,23.95,209,0
IDA,D,20160725,000000,23.94,23.94,23.9,23.9,7,0
IDA,D,20160726,000000,23.9,23.9,23.4,23.84,333,0
IDA,D,20160727,000000,23.84,23.84,23.84,23.84,2,0
IDA,D,20160728,000000,23.84,23.84,23.3,23.8,61,0
IDA,D,20160729,000000,23.94,24,23.9,23.9,1275,0
IDA,D,20160801,000000,23.31,24,23.3,24,343,0
IDA,D,20160802,000000,24,24,24,24,2,0
IDA,D,20160803,000000,24,24,24,24,2,0
IDA,D,20160804,000000,24,24.37,23.9,23.9,42342,0
IDA,D,20160805,000000,24.38,24.38,24,24.3,25416,0
IDA,D,20160808,000000,24.29,24.29,23.53,24.28,1247,0
IDA,D,20160809,000000,24.25,24.25,24.05,24.15,44,0
IDA,D,20160810,000000,24.1,24.1,23.36,23.41,20017,0
IDA,D,20160811,000000,24.02,24.02,23.9,23.9,1625,0
IDA,D,20160812,000000,23.9,24.1,23.4,24.1,380,0
IDA,D,20160816,000000,23.5,24.09,23.4,24.09,888,0
IDA,D,20160817,000000,24.19,24.19,23.42,24,60,0
IDA,D,20160818,000000,23.99,23.99,23.97,23.97,2,0
IDA,D,20160819,000000,23.99,23.99,23.98,23.98,51,0
IDA,D,20160822,000000,23.98,23.98,23.41,23.41,389,0
IDA,D,20160823,000000,23.97,23.97,23.92,23.92,2,0
IDA,D,20160824,000000,23.9,23.9,23.4,23.87,55,0
IDA,D,20160825,000000,23.87,23.87,23.4,23.68,343,0
IDA,D,20160826,000000,23.68,23.99,23.35,23.99,482,0
IDA,D,20160829,000000,23.4,23.41,23.3,23.3,1525,0
IDA,D,20160830,000000,23.8,23.8,23.8,23.8,2,0
IDA,D,20160831,000000,23.8,23.8,23.12,23.8,644,0
IDA,D,20160901,000000,23.9,23.9,23.3,23.9,57,0
IDA,D,20160902,000000,23.9,23.9,23.3,23.9,1125,0
IDA,D,20160905,000000,23.89,23.89,23.87,23.87,2,0
IDA,D,20160906,000000,23.89,23.89,23.2,23.85,98,0
IDA,D,20160907,000000,23.6,23.85,23.3,23.85,113362,0
IDA,D,20160908,000000,23.87,23.87,23.5,23.85,11,0
IDA,D,20160909,000000,23.87,23.87,23.3,23.87,408,0
IDA,D,20160912,000000,23.87,23.87,23.04,23.87,377,0
IDA,D,20160913,000000,23.02,23.7,23.02,23.2,173,0
IDA,D,20160914,000000,23.84,23.84,23.6,23.8,12,0
IDA,D,20160915,000000,23.79,23.79,23.6,23.6,12,0
IDA,D,20160916,000000,23.83,23.83,23.6,23.6,2,0
IDA,D,20160919,000000,23.79,23.79,23.04,23.43,2434,0
IDA,D,20160920,000000,23.45,23.45,23,23.42,1021,0
IDA,D,20160921,000000,23.42,23.42,23,23.28,209,0
IDA,D,20160922,000000,22.75,23.24,22.72,23.2,186,0
IDA,D,20160923,000000,22.51,23.24,22.51,23.24,1353,0
IDA,D,20160926,000000,23.24,23.24,22.55,22.99,277,0
IDA,D,20160927,000000,22.57,22.98,22.57,22.98,153,0
IDA,D,20160928,000000,22.97,22.97,22.01,22.85,1338,0
IDA,D,20160929,000000,22.13,22.82,22.13,22.82,445,0
IDA,D,20160930,000000,22.8,22.8,22.16,22.79,389,0
IDA,D,20161003,000000,22.77,22.77,22.2,22.49,605,0
IDA,D,20161004,000000,22.49,22.5,22.18,22.45,948,0
IDA,D,20161005,000000,22.4,22.4,22.4,22.4,514,0
IDA,D,20161006,000000,22.19,22.4,22.17,22.4,711,0
IDA,D,20161007,000000,22.4,22.5,22.4,22.5,254,0
IDA,D,20161010,000000,22.49,22.77,22.49,22.77,761,0
IDA,D,20161011,000000,22.7,22.7,22.4,22.4,31762,0
IDA,D,20161012,000000,22.7,22.7,22.22,22.5,81,0
IDA,D,20161013,000000,22.7,22.7,22.22,22.5,521,0
IDA,D,20161014,000000,22.5,22.5,22,22.45,6041,0
IDA,D,20161017,000000,22.5,22.7,22.45,22.7,52,0
IDA,D,20161018,000000,22.49,22.49,22.45,22.47,207,0
IDA,D,20161019,000000,22.47,22.47,22,22,6325,0
IDA,D,20161020,000000,22.43,22.43,22,22.11,868594,0
IDA,D,20161021,000000,22.4,23.2,22.11,22.7,217179,0
IDA,D,20161024,000000,22.9,23.4,22.71,22.76,72179,0
IDA,D,20161025,000000,22.9,23.38,22.55,22.9,290818,0
IDA,D,20161026,000000,22.57,23,22.55,22.89,958,0
IDA,D,20161027,000000,22.99,23.15,22.75,23,3928,0
IDA,D,20161028,000000,23.15,23.42,23.15,23.42,290862,0
IDA,D,20161031,000000,23,23.7,23,23.7,23244,0
IDA,D,20161102,000000,23.92,23.92,23.16,23.76,21042,0
IDA,D,20161103,000000,23.76,23.76,23.5,23.76,9969,0
IDA,D,20161104,000000,23.67,23.99,23.5,23.92,804,0
IDA,D,20161107,000000,23.9,23.9,23.9,23.9,52,0
IDA,D,20161108,000000,23.89,23.89,23.7,23.83,393,0
IDA,D,20161109,000000,23.79,23.79,23.6,23.78,25,0
IDA,D,20161110,000000,23.78,23.83,23.16,23.59,2726,0
IDA,D,20161114,000000,23.58,23.58,23.54,23.54,2,0
IDA,D,20161115,000000,23.74,23.74,23.5,23.5,3,0
IDA,D,20161116,000000,23.5,23.7,23,23.7,879,0
IDA,D,20161117,000000,23.7,23.7,23.69,23.69,2,0
IDA,D,20161118,000000,23.69,23.7,22.75,23.7,181,0
IDA,D,20161121,000000,23.69,23.69,22.22,22.75,103965,0
IDA,D,20161122,000000,22.32,23.69,22.32,23,49587,0
IDA,D,20161123,000000,22.75,23.19,22.75,23.19,677,0
IDA,D,20161124,000000,23.19,23.19,22.76,22.76,59,0
IDA,D,20161125,000000,23.1,23.1,22.61,22.67,286,0
IDA,D,20161128,000000,22.67,23.09,22.67,23.09,256,0
IDA,D,20161129,000000,22.99,23,22.67,22.99,120140,0
IDA,D,20161130,000000,22.98,22.98,22.98,22.98,2,0
