<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDG,D,20080813,000000,11.857,11.857,11.185,11.738,790,0
IDG,D,20080814,000000,11.699,11.699,11.699,11.699,3,0
IDG,D,20080818,000000,11.185,11.422,9.88,11.422,177,0
IDG,D,20080819,000000,9.2881,11.383,9.2881,11.383,3,0
IDG,D,20080820,000000,11.264,11.264,11.264,11.264,3,0
IDG,D,20080821,000000,9.88,9.88,9.88,9.88,254,0
IDG,D,20080822,000000,9.88,10.158,9.88,10.158,7,0
IDG,D,20080825,000000,10.236,10.236,10.236,10.236,3,0
IDG,D,20080826,000000,10.236,10.236,10.236,10.236,3,0
IDG,D,20080827,000000,10.236,10.236,10.236,10.236,3,0
IDG,D,20080828,000000,10.236,10.236,10.236,10.236,3,0
IDG,D,20080829,000000,10.236,10.236,10.236,10.236,22,0
IDG,D,20080901,000000,10.236,10.236,9.0904,9.0904,2280,0
IDG,D,20080902,000000,10.236,10.236,10.236,10.236,0,0
IDG,D,20080903,000000,10.236,10.236,10.236,10.236,0,0
IDG,D,20080904,000000,10.236,10.236,10.236,10.236,0,0
IDG,D,20080905,000000,10.236,10.236,10.236,10.236,3,0
IDG,D,20080908,000000,10.158,10.158,10.158,10.158,3,0
IDG,D,20080909,000000,9.88,9.88,9.88,9.88,25,0
IDG,D,20080910,000000,10.158,10.158,10.158,10.158,3,0
IDG,D,20080911,000000,10.236,10.236,10.236,10.236,3,0
IDG,D,20080912,000000,8.8927,9.0904,8.8927,9.0904,182,0
IDG,D,20080915,000000,9.96,9.96,9.96,9.96,3,0
IDG,D,20080916,000000,9.96,9.96,8.695,8.695,33,0
IDG,D,20080918,000000,8.695,8.695,8.695,8.695,22,0
IDG,D,20080919,000000,9.92,9.92,9.92,9.92,3,0
IDG,D,20080922,000000,8.6553,8.6553,7.9439,8.379,747,0
IDG,D,20080923,000000,7.9439,7.9439,7.5096,7.5096,516,0
IDG,D,20080925,000000,7.9042,7.9042,7.9042,7.9042,12,0
IDG,D,20080926,000000,7.9042,7.9042,7.9042,7.9042,3,0
IDG,D,20080929,000000,7.9042,7.9042,7.9042,7.9042,3,0
IDG,D,20080930,000000,7.9042,7.9042,7.9042,7.9042,3,0
IDG,D,20081001,000000,8.6553,8.6553,8.6553,8.6553,28,0
IDG,D,20081002,000000,8.6553,8.6553,8.6553,8.6553,25,0
IDG,D,20081003,000000,8.6553,8.6553,8.6553,8.6553,25,0
IDG,D,20081006,000000,8.6553,8.6553,8.6553,8.6553,25,0
