<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFC,D,20080228,000000,6.66,7.2,5.7,5.73,285926,0
IFC,D,20080229,000000,5.73,5.85,4.65,5.46,40504,0
IFC,D,20080303,000000,5.34,5.4,4.89,5.4,16258,0
IFC,D,20080304,000000,5.46,5.85,5.19,5.52,6848,0
IFC,D,20080305,000000,5.79,5.79,5.28,5.4,2980,0
IFC,D,20080306,000000,5.46,5.46,5.25,5.25,1006,0
IFC,D,20080307,000000,5.34,5.34,4.98,5.31,1306,0
IFC,D,20080310,000000,5.04,5.07,4.89,4.92,7564,0
IFC,D,20080311,000000,4.74,5.28,4.56,5.28,15324,0
IFC,D,20080312,000000,5.19,5.55,5.13,5.4,16324,0
IFC,D,20080313,000000,5.22,5.37,4.95,5.37,15030,0
IFC,D,20080314,000000,5.31,5.31,5.1,5.28,490,0
IFC,D,20080317,000000,5.28,5.28,4.95,5.04,1358,0
IFC,D,20080318,000000,4.83,5.13,4.83,4.92,1304,0
IFC,D,20080319,000000,4.86,5.1,4.8,5.1,4704,0
IFC,D,20080320,000000,5.1,5.22,5.1,5.19,1018,0
IFC,D,20080325,000000,5.25,5.52,4.98,5.31,2304,0
IFC,D,20080326,000000,5.31,5.31,5.31,5.31,4,0
IFC,D,20080327,000000,4.98,5.19,4.8,4.8,17152,0
IFC,D,20080328,000000,4.8,4.95,4.8,4.83,3522,0
IFC,D,20080331,000000,4.89,4.89,4.5,4.71,11688,0
IFC,D,20080401,000000,4.59,4.71,4.5,4.5,5972,0
IFC,D,20080402,000000,4.68,4.68,4.5,4.59,3750,0
IFC,D,20080403,000000,4.65,4.71,4.62,4.71,1822,0
IFC,D,20080404,000000,4.65,4.71,4.65,4.71,280,0
IFC,D,20080407,000000,4.62,4.68,4.59,4.59,1288,0
IFC,D,20080408,000000,4.68,4.68,4.38,4.38,404,0
IFC,D,20080409,000000,4.59,4.59,4.23,4.23,2166,0
IFC,D,20080410,000000,4.11,4.26,4.05,4.26,2226,0
IFC,D,20080411,000000,4.11,4.17,4.05,4.17,1094,0
IFC,D,20080414,000000,4.2,4.2,4.2,4.2,834,0
IFC,D,20080415,000000,3.87,5.1,3.87,5.1,5314,0
IFC,D,20080416,000000,4.29,4.74,4.29,4.74,114,0
IFC,D,20080417,000000,4.41,4.65,4.29,4.65,2482,0
IFC,D,20080418,000000,4.53,4.71,4.38,4.38,1378,0
IFC,D,20080421,000000,4.38,4.59,4.23,4.23,1412,0
IFC,D,20080422,000000,4.62,4.62,3.99,4.35,1518,0
IFC,D,20080423,000000,4.17,4.17,4.17,4.17,2,0
IFC,D,20080424,000000,4.35,4.35,4.02,4.02,272,0
IFC,D,20080425,000000,4.29,4.29,4.02,4.2,810,0
IFC,D,20080428,000000,4.02,4.17,4.02,4.02,674,0
IFC,D,20080429,000000,4.02,4.17,4.02,4.17,12,0
IFC,D,20080430,000000,4.14,4.14,3.75,4.14,412,0
IFC,D,20080505,000000,4.2,4.2,3.9,4.14,768,0
IFC,D,20080506,000000,4.05,4.26,3.69,4.23,2564,0
IFC,D,20080507,000000,3.81,4.05,3.81,4.02,3944,0
IFC,D,20080508,000000,3.93,4.08,3.78,3.78,276,0
IFC,D,20080509,000000,3.81,4.08,3.78,4.08,594,0
IFC,D,20080512,000000,3.78,4.02,3.72,3.78,1348,0
IFC,D,20080513,000000,3.96,4.14,3.6,3.87,9530,0
IFC,D,20080514,000000,3.66,3.9,3.24,3.66,1686,0
IFC,D,20080515,000000,3.6,3.84,3.39,3.57,2114,0
IFC,D,20080516,000000,3.57,3.75,3.33,3.75,8410,0
IFC,D,20080519,000000,3.42,3.72,3.33,3.51,1788,0
IFC,D,20080520,000000,3.69,3.69,3.45,3.6,420,0
IFC,D,20080521,000000,3.42,3.42,3.36,3.42,658,0
IFC,D,20080526,000000,3.3,3.3,3.03,3.03,290,0
IFC,D,20080527,000000,3.54,3.54,3.03,3.45,22,0
IFC,D,20080528,000000,3.51,3.51,3.15,3.21,960,0
IFC,D,20080529,000000,3.39,3.75,3.36,3.6,5618,0
IFC,D,20080530,000000,3.75,3.84,3.51,3.84,2086,0
IFC,D,20080602,000000,3.93,3.93,3.51,3.78,1128,0
IFC,D,20080603,000000,3.51,3.54,3.33,3.51,1360,0
IFC,D,20080605,000000,3.3,3.51,3.24,3.39,2130,0
IFC,D,20080606,000000,3.3,3.39,3.21,3.21,1216,0
IFC,D,20080609,000000,3.21,3.45,3.21,3.45,1152,0
IFC,D,20080610,000000,3.33,3.33,3.33,3.33,410,0
IFC,D,20080611,000000,3.24,3.33,3.06,3.33,2128,0
IFC,D,20080612,000000,3.39,3.39,3.39,3.39,66,0
IFC,D,20080616,000000,3.39,3.39,3.39,3.39,266,0
IFC,D,20080617,000000,3.39,3.42,3.39,3.42,220,0
IFC,D,20080619,000000,3.3,3.3,3.3,3.3,266,0
IFC,D,20080620,000000,3.03,3.42,3.03,3.42,134,0
IFC,D,20080623,000000,3.42,3.42,3.42,3.42,30,0
IFC,D,20080624,000000,3.42,3.42,3.42,3.42,4,0
IFC,D,20080626,000000,3.09,3.36,3.09,3.09,800,0
IFC,D,20080627,000000,3.12,3.33,3.03,3.33,2100,0
IFC,D,20080630,000000,3.33,3.33,3.09,3.09,2162,0
IFC,D,20080701,000000,2.85,2.88,2.85,2.85,1600,0
IFC,D,20080702,000000,2.58,2.58,2.55,2.55,40,0
IFC,D,20080703,000000,2.55,2.79,2.55,2.79,3664,0
IFC,D,20080704,000000,3,3,2.4,2.85,1034,0
IFC,D,20080707,000000,2.43,2.67,2.43,2.67,630,0
IFC,D,20080708,000000,2.67,2.67,2.67,2.67,0,0
IFC,D,20080709,000000,2.43,2.73,2.43,2.73,3962,0
IFC,D,20080711,000000,2.73,2.97,2.73,2.97,1000,0
IFC,D,20080714,000000,2.58,2.88,2.58,2.88,666,0
IFC,D,20080716,000000,2.88,2.88,2.88,2.88,60,0
IFC,D,20080717,000000,2.61,2.97,2.61,2.94,3484,0
IFC,D,20080718,000000,2.7,2.97,2.67,2.97,9216,0
IFC,D,20080721,000000,3.03,3.03,2.97,2.97,816,0
IFC,D,20080722,000000,3.03,3.03,2.97,2.97,972,0
IFC,D,20080723,000000,2.97,3.18,2.97,3.15,522,0
IFC,D,20080724,000000,3.24,3.24,2.91,3.21,74,0
IFC,D,20080728,000000,3.06,3.06,3.06,3.06,200,0
IFC,D,20080729,000000,2.91,2.91,2.82,2.82,300,0
IFC,D,20080730,000000,2.73,3.15,2.73,3.15,1432,0
IFC,D,20080731,000000,3.15,3.15,2.79,2.79,34,0
IFC,D,20080801,000000,2.85,3.12,2.85,3.12,386,0
IFC,D,20080805,000000,2.85,3.21,2.85,3.18,696,0
IFC,D,20080806,000000,3.18,3.21,3,3.21,824,0
IFC,D,20080807,000000,2.94,3.21,2.94,3.21,366,0
IFC,D,20080808,000000,2.91,3.21,2.88,3.12,6168,0
IFC,D,20080811,000000,3.12,3.12,2.97,3,2630,0
IFC,D,20080812,000000,3.21,3.21,3.21,3.21,38,0
IFC,D,20080813,000000,3.21,3.24,3.03,3.24,1498,0
IFC,D,20080814,000000,3.24,3.51,3.09,3.33,2040,0
IFC,D,20080818,000000,3.33,3.33,3.15,3.27,400,0
IFC,D,20080819,000000,2.97,3.3,2.97,3.06,3126,0
IFC,D,20080821,000000,3.15,3.15,3.15,3.15,356,0
IFC,D,20080822,000000,3.09,3.27,2.97,3.21,368,0
IFC,D,20080825,000000,3.21,3.21,3.21,3.21,666,0
IFC,D,20080826,000000,2.97,2.97,2.97,2.97,334,0
IFC,D,20080827,000000,3.03,3.03,3.03,3.03,200,0
IFC,D,20080828,000000,3.03,3.33,3.03,3.33,354,0
IFC,D,20080829,000000,3.03,3.27,3.03,3.27,1272,0
IFC,D,20080902,000000,3.03,3.3,3.03,3.3,1170,0
IFC,D,20080904,000000,3.12,3.24,3,3.24,1300,0
IFC,D,20080910,000000,3.18,3.18,2.97,3.15,636,0
IFC,D,20080911,000000,3.15,3.15,3.15,3.15,116,0
IFC,D,20080915,000000,3,3.12,2.97,3.12,1634,0
IFC,D,20080916,000000,2.85,3.12,2.85,3.12,76,0
IFC,D,20080917,000000,2.94,3.12,2.91,3.12,402,0
IFC,D,20080918,000000,3.12,3.12,3.12,3.12,216,0
IFC,D,20080919,000000,3.15,3.15,2.85,3,398,0
IFC,D,20080926,000000,2.97,3.15,2.82,3.15,2884,0
IFC,D,20080929,000000,2.85,3.09,2.85,3.09,4,0
IFC,D,20080930,000000,3,3,3,3,500,0
IFC,D,20081001,000000,2.76,3,2.76,3,542,0
IFC,D,20081002,000000,3.06,3.06,3.06,3.06,166,0
IFC,D,20081003,000000,2.76,3.06,2.76,3.06,40,0
IFC,D,20081008,000000,2.58,2.7,2.58,2.7,252,0
IFC,D,20081009,000000,2.73,2.85,2.73,2.85,182,0
IFC,D,20081013,000000,2.94,2.94,2.85,2.85,16,0
IFC,D,20081014,000000,2.64,2.82,2.64,2.82,466,0
IFC,D,20081015,000000,2.76,2.76,2.67,2.67,3212,0
IFC,D,20081016,000000,2.76,2.76,2.76,2.76,34,0
IFC,D,20081017,000000,2.94,2.94,2.94,2.94,186,0
IFC,D,20081028,000000,2.94,2.94,2.94,2.94,626,0
IFC,D,20081029,000000,2.73,2.73,2.64,2.64,868,0
IFC,D,20081030,000000,2.64,2.64,2.64,2.64,100,0
IFC,D,20081031,000000,2.64,2.64,2.64,2.64,1136,0
IFC,D,20081103,000000,2.7,2.7,2.7,2.7,66,0
IFC,D,20081104,000000,2.64,2.7,2.64,2.7,200,0
IFC,D,20081105,000000,2.85,2.85,2.85,2.85,34,0
IFC,D,20081107,000000,2.76,2.76,2.76,2.76,334,0
IFC,D,20081110,000000,2.67,2.67,2.67,2.67,1584,0
IFC,D,20081112,000000,2.67,2.67,2.67,2.67,356,0
