<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFR,D,20070528,000000,36.334,46.228,36.334,41.436,859377,0
IFR,D,20070529,000000,41.746,43.138,37.91,38.652,162428,0
IFR,D,20070530,000000,37.154,37.71,35.716,35.964,74611,0
IFR,D,20070531,000000,36.644,37.85,36.026,37.386,44442,0
IFR,D,20070601,000000,37.478,37.478,35.716,35.732,26781,0
IFR,D,20070604,000000,35.562,35.562,32.468,33.52,46583,0
IFR,D,20070605,000000,33.242,33.242,30.924,31.48,66455,0
IFR,D,20070606,000000,31.48,31.82,29.7,31.48,23421,0
IFR,D,20070608,000000,30.506,31.388,30.46,30.954,20823,0
IFR,D,20070611,000000,31.54,32.236,31.54,31.696,17982,0
IFR,D,20070612,000000,32.468,32.932,31.696,32.3,11385,0
IFR,D,20070613,000000,32.438,32.438,31.232,31.48,9286,0
IFR,D,20070614,000000,31.556,31.696,30.97,30.984,15733,0
IFR,D,20070615,000000,30.984,31.308,30.798,31.03,9370,0
IFR,D,20070618,000000,31.664,31.664,30.506,30.924,8466,0
IFR,D,20070619,000000,32.314,34.74,32.314,33.954,35050,0
IFR,D,20070620,000000,34.092,34.788,32.856,32.856,15828,0
IFR,D,20070621,000000,32.732,33.396,31.85,33.042,7908,0
IFR,D,20070622,000000,33.52,33.52,32.004,32.004,8017,0
IFR,D,20070625,000000,31.71,32.778,31.03,31.448,13781,0
IFR,D,20070626,000000,31,31.418,31,31.388,6415,0
IFR,D,20070627,000000,31.248,31.248,30.924,31,5161,0
IFR,D,20070628,000000,31.54,32.452,31.388,32.422,6228,0
IFR,D,20070629,000000,32.608,32.608,31.062,31.232,8434,0
IFR,D,20070702,000000,31.232,31.232,30.46,30.536,3887,0
IFR,D,20070703,000000,31.076,31.076,30.46,30.908,5213,0
IFR,D,20070704,000000,30.924,30.938,30.228,30.536,6560,0
IFR,D,20070705,000000,30.676,30.768,29.932,30.304,5445,0
IFR,D,20070706,000000,30.38,30.844,30.102,30.148,6080,0
IFR,D,20070709,000000,30.46,30.46,30.012,30.274,5572,0
IFR,D,20070710,000000,30.042,30.072,28.604,28.958,20302,0
IFR,D,20070711,000000,29.376,29.376,28.604,28.758,8274,0
IFR,D,20070712,000000,28.604,28.758,27.058,27.522,7192,0
IFR,D,20070713,000000,27.83,28.294,27.072,27.428,5947,0
IFR,D,20070716,000000,27.058,27.072,25.666,26.268,6814,0
IFR,D,20070717,000000,26.284,26.578,25.48,26.284,11062,0
IFR,D,20070718,000000,26.748,26.748,26.362,26.67,5455,0
IFR,D,20070719,000000,27.058,27.49,26.61,26.64,5178,0
IFR,D,20070720,000000,26.67,27.058,26.284,26.284,2662,0
IFR,D,20070723,000000,26.67,26.67,25.974,26.114,1766,0
IFR,D,20070724,000000,25.974,26.052,25.48,25.48,2538,0
IFR,D,20070725,000000,24.892,25.356,24.816,24.97,6155,0
IFR,D,20070726,000000,24.892,25.124,24.738,24.892,4325,0
IFR,D,20070727,000000,24.738,24.738,24.228,24.552,5732,0
IFR,D,20070730,000000,24.428,25.51,23.888,25.51,9010,0
IFR,D,20070731,000000,25.51,25.974,25.202,25.974,11320,0
IFR,D,20070801,000000,25.666,25.666,24.598,25.356,3017,0
IFR,D,20070802,000000,25.51,25.51,24.568,25.202,3587,0
IFR,D,20070803,000000,24.892,24.97,24.892,24.892,644,0
IFR,D,20070806,000000,24.568,24.568,23.348,23.888,3250,0
IFR,D,20070807,000000,24.352,24.584,23.964,24.12,1110,0
IFR,D,20070808,000000,24.816,24.816,23.61,24.274,2262,0
IFR,D,20070809,000000,23.394,24.196,23.394,23.964,1494,0
IFR,D,20070810,000000,23.348,23.348,21.336,21.646,6526,0
IFR,D,20070813,000000,20.918,22.728,20.918,22.42,5160,0
IFR,D,20070814,000000,23.316,23.316,21.614,21.614,1098,0
IFR,D,20070816,000000,19.404,20.858,17.022,17.347,9327,0
IFR,D,20070817,000000,17.008,18.398,16.173,18.291,5773,0
IFR,D,20070820,000000,19.11,19.126,18.338,18.338,13155,0
IFR,D,20070821,000000,18.491,18.491,17.486,18.213,14102,0
IFR,D,20070822,000000,18.245,18.862,18.245,18.832,4862,0
IFR,D,20070823,000000,19.14,19.976,18.398,19.636,4210,0
IFR,D,20070824,000000,18.955,19.636,18.786,19.636,6500,0
IFR,D,20070827,000000,19.326,21.6,19.326,21.508,14747,0
IFR,D,20070828,000000,21.508,21.508,20.734,21.044,2795,0
