<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IIA,D,20000103,000000,159.54,159.54,157.12,159.54,2867,0
IIA,D,20000104,000000,160.11,162.92,159.41,162.22,3619,0
IIA,D,20000105,000000,161.46,163.57,160.41,162.86,4007,0
IIA,D,20000107,000000,159.05,160.1,157.33,160.1,2125,0
IIA,D,20000110,000000,159.07,159.42,157.02,159.42,4056,0
IIA,D,20000111,000000,158.06,160.13,157.37,160.13,3145,0
IIA,D,20000112,000000,157.19,160.28,157.19,159.6,1846,0
IIA,D,20000113,000000,157.7,159.77,157.7,159.07,4242,0
IIA,D,20000114,000000,158.02,158.02,155.3,158.02,5720,0
IIA,D,20000117,000000,156.7,157.37,153.63,156.7,6654,0
IIA,D,20000118,000000,155.59,157.62,154.56,157.62,3406,0
IIA,D,20000119,000000,157.75,157.75,154.02,157.07,3030,0
IIA,D,20000120,000000,153.92,157.32,153.92,156.64,2072,0
IIA,D,20000121,000000,156.82,156.82,153.78,156.48,5102,0
IIA,D,20000124,000000,155.34,156.7,153.65,156.7,6849,0
IIA,D,20000125,000000,155.4,158.48,155.4,158.48,4736,0
IIA,D,20000126,000000,157.74,157.74,155.36,157.4,2332,0
IIA,D,20000127,000000,154.77,156.8,154.43,156.45,2842,0
IIA,D,20000128,000000,153.28,156.31,153.28,156.31,1821,0
IIA,D,20000131,000000,157.01,158.02,154.98,157.69,2999,0
IIA,D,20000201,000000,155.99,158.37,155.31,158.03,559,0
IIA,D,20000202,000000,158.06,158.4,155,158.4,1809,0
IIA,D,20000203,000000,155.21,158.95,155.21,158.61,2027,0
IIA,D,20000204,000000,156.8,157.14,153.78,157.14,6418,0
IIA,D,20000207,000000,154.79,158.16,154.79,158.16,5905,0
IIA,D,20000208,000000,154.74,157.77,154.41,157.77,3880,0
IIA,D,20000209,000000,156.31,158.68,155.3,158.34,4985,0
IIA,D,20000210,000000,155.16,158.2,154.83,158.2,5723,0
IIA,D,20000211,000000,154.93,158.29,154.93,157.96,3323,0
IIA,D,20000214,000000,156.04,157.38,154.36,157.38,1831,0
IIA,D,20000216,000000,154.45,157.48,154.45,157.48,2072,0
IIA,D,20000217,000000,154.3,156.97,154.3,156.64,1843,0
IIA,D,20000218,000000,154.59,156.59,154.25,156.25,1832,0
