<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMP,D,19970612,000000,12.24,12.24,12.24,12.24,11735,0
IMP,D,19970613,000000,12.6,12.6,12.6,12.6,96204,0
IMP,D,19970616,000000,12.6,12.6,12.6,12.6,243090,0
IMP,D,19970617,000000,12.6,12.6,12.6,12.6,174437,0
IMP,D,19970618,000000,12.18,12.18,12.18,12.18,61036,0
IMP,D,19970619,000000,12,12,12,12,46895,0
IMP,D,19970620,000000,11.82,11.82,11.82,11.82,41008,0
IMP,D,19970623,000000,11.22,11.22,11.22,11.22,51043,0
IMP,D,19970624,000000,11.04,11.04,11.04,11.04,74546,0
IMP,D,19970625,000000,10.92,10.92,10.92,10.92,40579,0
IMP,D,19970626,000000,10.44,10.44,10.44,10.44,50249,0
IMP,D,19970627,000000,10.92,10.92,10.92,10.92,45944,0
IMP,D,19970630,000000,10.92,10.92,10.92,10.92,28064,0
IMP,D,19970701,000000,10.74,10.74,10.74,10.74,24362,0
IMP,D,19970702,000000,10.14,10.44,10.14,10.44,12143,0
IMP,D,19970703,000000,10.44,10.8,10.44,10.8,61896,0
IMP,D,19970704,000000,10.62,10.62,10.44,10.44,12291,0
IMP,D,19970707,000000,10.44,10.44,10.26,10.26,10238,0
IMP,D,19970708,000000,10.62,10.74,10.62,10.74,34060,0
IMP,D,19970709,000000,10.74,10.98,10.74,10.98,14718,0
IMP,D,19970710,000000,10.92,10.92,10.92,10.92,65111,0
IMP,D,19970711,000000,10.74,10.74,10.62,10.62,34604,0
IMP,D,19970714,000000,9.72,9.72,9.72,9.72,36462,0
IMP,D,19970715,000000,9.72,10.14,9.72,10.02,31403,0
IMP,D,19970716,000000,9.96,10.14,9.96,9.96,32338,0
IMP,D,19970717,000000,9.96,10.2,9.96,10.2,32944,0
IMP,D,19970718,000000,10.14,10.14,9.96,9.96,46886,0
IMP,D,19970721,000000,9.96,9.96,9.84,9.84,48657,0
IMP,D,19970722,000000,9.96,10.14,9.66,9.72,27904,0
IMP,D,19970723,000000,9.66,9.66,9.48,9.48,8697,0
IMP,D,19970724,000000,9.36,9.36,9.18,9.18,25945,0
IMP,D,19970725,000000,8.7,8.82,8.7,8.7,17092,0
IMP,D,19970728,000000,9.06,9.12,9.06,9.06,62268,0
IMP,D,19970729,000000,9.66,9.66,9.48,9.48,46748,0
IMP,D,19970730,000000,9.66,9.96,9.66,9.96,10592,0
IMP,D,19970731,000000,9.84,9.84,9.6,9.66,42103,0
IMP,D,19970801,000000,9.66,9.9,9.66,9.84,20697,0
IMP,D,19970804,000000,10.14,10.14,9.84,9.84,29653,0
IMP,D,19970805,000000,9.96,10.26,9.96,10.26,22217,0
IMP,D,19970806,000000,10.14,10.2,9.96,10.02,12765,0
IMP,D,19970807,000000,10.2,10.8,10.2,10.8,19036,0
IMP,D,19970808,000000,10.92,11.46,10.92,11.4,56949,0
IMP,D,19970811,000000,10.92,10.92,10.68,10.92,47366,0
IMP,D,19970812,000000,10.92,11.16,10.92,11.04,55013,0
IMP,D,19970813,000000,10.74,10.74,10.74,10.74,5303,0
IMP,D,19970814,000000,10.14,10.38,10.14,10.26,12641,0
IMP,D,19970818,000000,10.26,10.68,10.26,10.44,51948,0
IMP,D,19970819,000000,10.26,10.74,10.26,10.74,25415,0
IMP,D,19970820,000000,10.74,10.74,10.5,10.68,23445,0
IMP,D,19970821,000000,10.5,10.5,10.2,10.5,28958,0
IMP,D,19970822,000000,10.74,10.74,10.62,10.68,36563,0
IMP,D,19970825,000000,11.04,11.04,10.74,10.8,43380,0
IMP,D,19970826,000000,11.22,11.4,11.04,11.4,115415,0
IMP,D,19970827,000000,11.22,11.52,11.22,11.46,16798,0
IMP,D,19970828,000000,11.4,11.76,11.4,11.7,19572,0
IMP,D,19970829,000000,11.76,11.94,11.58,11.76,88498,0
IMP,D,19970901,000000,12.18,12.48,12.18,12.3,60153,0
IMP,D,19970902,000000,12.48,12.84,12.48,12.78,70558,0
IMP,D,19970903,000000,12.9,12.9,12.78,12.84,82142,0
IMP,D,19970904,000000,13.26,13.26,12.84,12.9,29335,0
IMP,D,19970905,000000,12.84,13.32,12.84,13.26,22030,0
IMP,D,19970908,000000,13.08,13.26,12.84,13.26,42276,0
IMP,D,19970909,000000,13.26,13.62,13.26,13.62,56596,0
IMP,D,19970910,000000,13.56,13.56,13.38,13.38,40314,0
IMP,D,19970911,000000,13.32,13.56,13.32,13.38,45001,0
IMP,D,19970912,000000,13.26,13.26,12.84,12.9,46364,0
IMP,D,19970915,000000,12.78,13.02,12.78,13.02,31430,0
IMP,D,19970916,000000,14.04,14.04,13.26,13.26,85575,0
IMP,D,19970917,000000,13.26,13.26,12.84,12.84,38825,0
IMP,D,19970918,000000,13.86,13.86,12.9,13.5,57917,0
IMP,D,19970919,000000,13.56,13.68,13.5,13.68,23470,0
IMP,D,19970922,000000,13.56,13.8,13.56,13.8,24039,0
IMP,D,19970923,000000,13.56,13.56,13.32,13.38,28287,0
IMP,D,19970924,000000,13.38,13.38,13.26,13.26,49886,0
IMP,D,19970925,000000,13.26,13.26,12.72,12.9,25176,0
IMP,D,19970926,000000,12.84,12.84,12.6,12.78,26364,0
IMP,D,19970929,000000,12.6,12.6,12.24,12.3,21023,0
IMP,D,19970930,000000,12.48,12.48,12.3,12.3,38065,0
IMP,D,19971001,000000,12.18,12.3,12.18,12.24,36157,0
IMP,D,19971002,000000,12.18,12.18,11.94,11.94,70025,0
IMP,D,19971003,000000,12.18,12.18,11.94,11.94,71590,0
IMP,D,19971006,000000,11.82,11.82,11.52,11.52,20831,0
IMP,D,19971007,000000,11.7,11.7,11.52,11.7,19043,0
IMP,D,19971008,000000,11.7,12,11.7,11.94,24271,0
IMP,D,19971009,000000,11.82,11.94,11.82,11.82,20081,0
IMP,D,19971010,000000,11.7,11.94,11.7,11.82,16133,0
IMP,D,19971013,000000,12.06,12.06,12,12.06,9109,0
IMP,D,19971014,000000,12.18,12.18,12,12.18,41456,0
IMP,D,19971015,000000,12.3,12.48,12.3,12.36,16392,0
IMP,D,19971016,000000,12.48,12.48,12.36,12.36,33440,0
IMP,D,19971017,000000,12.48,12.72,12.48,12.72,36423,0
IMP,D,19971020,000000,12.72,12.72,12.54,12.54,14869,0
IMP,D,19971021,000000,12.54,12.72,12.54,12.72,17888,0
IMP,D,19971022,000000,12.72,12.78,12.6,12.6,8437,0
IMP,D,19971023,000000,12.48,12.48,11.94,11.94,28391,0
IMP,D,19971024,000000,11.82,12.36,11.82,12.18,29614,0
IMP,D,19971027,000000,11.4,11.4,10.62,10.74,22443,0
IMP,D,19971028,000000,10.26,10.26,9.12,9.36,2889,0
IMP,D,19971029,000000,10.92,11.46,10.92,11.22,38223,0
IMP,D,19971030,000000,9.84,10.62,9.84,10.44,38349,0
IMP,D,19971031,000000,10.2,11.04,10.2,10.92,12123,0
IMP,D,19971103,000000,10.68,11.04,10.68,11.04,32553,0
