<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INF,D,20060810,000000,6.3643,7.1966,6.1685,6.5601,1762761,0
INF,D,20060811,000000,6.8049,6.8539,6.3643,6.4622,216384,0
INF,D,20060814,000000,6.4133,6.5601,6.2174,6.5112,60654,0
INF,D,20060816,000000,6.5112,6.6091,6.2174,6.2664,66752,0
INF,D,20060817,000000,6.2174,6.2174,5.9237,6.1195,88183,0
INF,D,20060818,000000,6.1195,6.1195,5.7768,6.0216,47763,0
INF,D,20060821,000000,6.0216,6.0216,5.7768,5.8258,29323,0
INF,D,20060822,000000,5.7768,5.8258,5.4831,5.7279,70160,0
INF,D,20060823,000000,5.7768,6.0216,5.63,6.0216,37119,0
INF,D,20060824,000000,5.9237,6.0216,5.7768,5.9237,28920,0
INF,D,20060825,000000,5.8258,5.9237,5.63,5.8747,43242,0
INF,D,20060828,000000,5.7279,5.8747,5.6789,5.7279,8763,0
INF,D,20060829,000000,5.6789,5.8258,5.63,5.6789,22134,0
INF,D,20060830,000000,5.581,5.8258,5.581,5.8258,14841,0
INF,D,20060831,000000,5.8258,5.9237,5.6789,5.8747,7001,0
INF,D,20060901,000000,5.7768,5.8552,5.6691,5.7768,17168,0
INF,D,20060904,000000,5.6985,5.8258,5.6202,5.767,24268,0
INF,D,20060905,000000,5.6593,5.7572,5.6397,5.7475,20251,0
INF,D,20060906,000000,5.6887,5.7279,5.3852,5.6691,23705,0
INF,D,20060907,000000,5.581,5.816,5.581,5.8062,15138,0
INF,D,20060908,000000,5.7083,5.816,5.6985,5.8062,15736,0
INF,D,20060911,000000,5.6985,5.816,5.6202,5.6789,24247,0
INF,D,20060912,000000,5.6789,5.7279,5.63,5.6495,16341,0
INF,D,20060913,000000,5.63,5.7866,5.6006,5.6985,4938,0
INF,D,20060914,000000,5.6789,5.767,5.63,5.7083,4312,0
INF,D,20060915,000000,5.7768,5.7768,5.6202,5.7377,4581,0
INF,D,20060918,000000,5.7572,5.7572,5.581,5.6887,12023,0
INF,D,20060919,000000,5.5712,5.6887,5.532,5.6887,19846,0
INF,D,20060920,000000,5.5712,5.6691,5.4831,5.581,20940,0
INF,D,20060921,000000,5.6104,5.6104,5.2873,5.3852,30240,0
INF,D,20060922,000000,5.3852,5.5125,5.2775,5.4341,30991,0
INF,D,20060925,000000,5.63,5.767,5.6104,5.7279,83854,0
INF,D,20060926,000000,5.767,5.8258,5.6789,5.8258,29901,0
INF,D,20060927,000000,5.8552,5.8552,5.532,5.6593,17385,0
INF,D,20060928,000000,5.767,5.7964,5.532,5.767,25805,0
INF,D,20060929,000000,5.6593,5.767,5.6202,5.767,7048,0
INF,D,20061002,000000,5.6593,5.7181,5.5614,5.6789,5812,0
INF,D,20061003,000000,5.7279,5.7279,5.6202,5.6887,20807,0
INF,D,20061004,000000,5.7377,5.8258,5.6789,5.8062,28476,0
INF,D,20061005,000000,5.8649,5.9727,5.8062,5.9237,25961,0
INF,D,20061006,000000,5.9041,5.9237,5.8552,5.9139,6680,0
INF,D,20061009,000000,5.9139,5.9727,5.8356,5.9629,24699,0
INF,D,20061010,000000,5.9727,5.9727,5.8943,5.8943,15082,0
INF,D,20061011,000000,5.9335,5.9629,5.8356,5.9237,7218,0
INF,D,20061012,000000,5.8258,5.9139,5.7964,5.8747,502,0
INF,D,20061013,000000,5.767,5.8747,5.6397,5.8454,7149,0
INF,D,20061016,000000,5.7475,5.8454,5.6887,5.7768,19794,0
INF,D,20061017,000000,5.6985,5.8454,5.6985,5.816,6134,0
INF,D,20061018,000000,5.816,5.8454,5.6887,5.6985,29240,0
INF,D,20061019,000000,5.6789,5.8454,5.6789,5.8062,4089,0
INF,D,20061020,000000,5.7866,5.9531,5.7866,5.9237,26285,0
INF,D,20061023,000000,5.9237,5.9237,5.8356,5.8747,13338,0
INF,D,20061024,000000,5.8356,5.8649,5.7768,5.8649,28054,0
INF,D,20061025,000000,5.8552,5.8552,5.7377,5.8258,76235,0
INF,D,20061026,000000,5.7768,5.8747,5.7768,5.8747,80928,0
INF,D,20061027,000000,5.7866,5.8747,5.7768,5.7866,18859,0
INF,D,20061030,000000,5.7377,5.8258,5.7377,5.8258,18143,0
INF,D,20061031,000000,5.7768,5.816,5.767,5.816,8927,0
INF,D,20061102,000000,5.8747,5.9041,5.7768,5.8552,31039,0
INF,D,20061103,000000,5.7866,5.7964,5.7768,5.7866,38472,0
INF,D,20061106,000000,5.7768,5.8552,5.7475,5.7572,147751,0
INF,D,20061107,000000,5.6985,5.8258,5.6985,5.8062,7792,0
INF,D,20061108,000000,5.7083,5.767,5.7083,5.7377,61073,0
INF,D,20061109,000000,5.7377,5.816,5.7279,5.7279,12832,0
INF,D,20061110,000000,5.7377,6.1978,5.7377,5.9824,524670,0
INF,D,20061113,000000,6.0706,6.0706,5.8747,6.002,91498,0
INF,D,20061114,000000,5.9824,6.002,5.9433,6.002,12512,0
INF,D,20061115,000000,6.0412,6.0412,5.8943,5.9139,20817,0
INF,D,20061116,000000,5.9139,6.0412,5.8943,6.0118,4295,0
INF,D,20061117,000000,6.0118,6.0118,5.8747,5.8747,15516,0
INF,D,20061120,000000,5.8258,5.9922,5.8258,5.9922,28512,0
INF,D,20061121,000000,6.0118,6.7657,5.9727,6.7657,1133255,0
INF,D,20061122,000000,6.8441,7.0497,6.707,7.0399,161233,0
INF,D,20061123,000000,7.0399,7.0399,6.8441,7.0007,47635,0
INF,D,20061124,000000,6.8637,7.2455,6.8539,7.2455,117036,0
INF,D,20061127,000000,7.2455,8.8121,7.1476,8.8023,622090,0
INF,D,20061128,000000,8.4694,10.77,8.2246,10.77,532371,0
INF,D,20061129,000000,11.26,13.62,10.878,11.064,623280,0
INF,D,20061130,000000,11.309,13.218,11.309,13.199,449646,0
INF,D,20061201,000000,12.876,13.453,12.327,12.327,388686,0
INF,D,20061204,000000,12.445,14.55,12.347,14.55,289977,0
INF,D,20061205,000000,14.383,14.383,13.512,13.864,188555,0
INF,D,20061206,000000,13.894,13.894,12.778,13.61,90620,0
INF,D,20061207,000000,12.239,16.058,11.456,14.07,458148,0
INF,D,20061208,000000,14.687,15.813,13.512,15.666,546654,0
INF,D,20061211,000000,15.284,17.184,15.284,17.125,255980,0
INF,D,20061212,000000,17.125,17.282,16.273,16.44,86286,0
INF,D,20061213,000000,16.097,16.929,15.715,16.743,56809,0
INF,D,20061214,000000,16.4,16.841,14.785,14.795,84868,0
INF,D,20061215,000000,14.589,14.589,11.847,12.533,237635,0
INF,D,20061218,000000,12.543,13.776,12.533,13.257,114957,0
INF,D,20061219,000000,13.316,13.512,11.554,11.642,41224,0
INF,D,20061220,000000,12.19,12.239,10.77,11.358,78348,0
INF,D,20061221,000000,11.123,11.407,10.486,11.015,62440,0
INF,D,20061222,000000,11.24,11.24,9.772,9.791,122175,0
INF,D,20061227,000000,9.693,10.575,9.2038,9.811,148174,0
INF,D,20061228,000000,9.987,10.193,9.595,9.742,62381,0
INF,D,20061229,000000,9.938,9.938,9.0079,9.3017,95781,0
INF,D,20070102,000000,9.3017,9.3996,8.8121,9.2038,57853,0
INF,D,20070103,000000,9.2233,11.054,9.1058,10.575,374588,0
INF,D,20070104,000000,10.281,10.281,9.791,9.899,130539,0
INF,D,20070105,000000,9.791,10.379,9.791,10.183,75434,0
INF,D,20070108,000000,10.193,10.349,9.889,9.899,56663,0
INF,D,20070109,000000,9.899,10.046,9.3996,9.674,37391,0
INF,D,20070110,000000,9.654,9.781,9.2331,9.3017,67409,0
INF,D,20070111,000000,9.3017,9.977,9.1352,9.3017,421457,0
INF,D,20070112,000000,9.3506,9.3506,8.6946,8.8611,414069,0
INF,D,20070115,000000,9.1058,9.723,8.959,9.4877,248712,0
INF,D,20070116,000000,9.537,9.537,9.2233,9.3604,90601,0
INF,D,20070117,000000,9.517,10.271,9.3604,9.86,414568,0
INF,D,20070118,000000,10.134,10.134,9.566,9.693,162952,0
INF,D,20070119,000000,9.772,9.791,9.3996,9.4192,56310,0
INF,D,20070122,000000,9.595,10.085,9.4485,9.4681,168148,0
INF,D,20070123,000000,9.644,9.644,9.2038,9.3506,86351,0
INF,D,20070124,000000,9.791,10.163,9.527,9.791,724777,0
INF,D,20070125,000000,9.977,9.987,9.625,9.791,134754,0
INF,D,20070126,000000,9.595,10.947,9.547,10.868,729044,0
INF,D,20070129,000000,11.133,11.417,10.594,10.702,304674,0
INF,D,20070130,000000,10.663,10.731,10.3,10.672,124918,0
INF,D,20070131,000000,10.741,11.133,10.379,10.721,249047,0
INF,D,20070201,000000,10.663,10.966,10.291,10.291,237385,0
INF,D,20070202,000000,10.379,10.438,9.968,9.987,168611,0
INF,D,20070205,000000,9.791,10.163,9.713,9.781,124724,0
INF,D,20070206,000000,9.644,9.968,9.517,9.781,126403,0
INF,D,20070207,000000,9.879,9.879,9.4681,9.547,95802,0
INF,D,20070208,000000,9.537,9.537,8.8709,8.8709,117169,0
INF,D,20070209,000000,8.9002,9.1352,8.8611,8.9394,142207,0
INF,D,20070212,000000,8.6261,8.8219,8.4205,8.6261,99142,0
INF,D,20070213,000000,8.6359,8.7142,8.2246,8.2442,60230,0
INF,D,20070214,000000,8.4107,9.0373,8.4107,8.6848,97134,0
INF,D,20070215,000000,8.8611,8.8904,8.6261,8.7925,36516,0
INF,D,20070216,000000,8.6359,8.7142,8.6261,8.7142,29885,0
INF,D,20070219,000000,8.6652,8.7044,8.6261,8.675,26345,0
INF,D,20070220,000000,8.675,8.9492,8.4694,8.8611,41823,0
INF,D,20070221,000000,8.9198,9.0961,8.8121,8.8611,65733,0
INF,D,20070222,000000,8.91,8.91,8.6261,8.8023,20705,0
INF,D,20070223,000000,8.8023,8.9981,8.7142,8.91,61690,0
INF,D,20070226,000000,8.9688,8.9884,8.7338,8.8513,22645,0
INF,D,20070227,000000,8.7632,8.8513,8.0778,8.2246,104013,0
INF,D,20070228,000000,7.8428,8.2246,7.8428,8.2148,44985,0
INF,D,20070301,000000,8.3813,8.4205,7.6176,7.7938,87981,0
INF,D,20070302,000000,7.9505,8.303,7.7057,7.9505,27774,0
INF,D,20070305,000000,7.6176,7.784,7.5882,7.7644,30773,0
INF,D,20070306,000000,7.833,8.1659,7.7351,8.0288,13851,0
INF,D,20070307,000000,7.8526,8.1757,7.8526,7.9799,14912,0
INF,D,20070308,000000,7.9015,8.6652,7.8819,8.4792,56509,0
INF,D,20070309,000000,8.6163,8.6946,8.2246,8.4205,49571,0
INF,D,20070312,000000,8.5575,8.5575,8.2246,8.303,22659,0
INF,D,20070313,000000,8.4205,8.5184,8.1953,8.2246,115010,0
INF,D,20070314,000000,7.833,8.1267,7.833,7.9799,18459,0
INF,D,20070315,000000,8.0386,8.0484,7.8526,7.9309,53417,0
INF,D,20070316,000000,7.9309,8.2932,7.9309,7.9799,46542,0
INF,D,20070319,000000,7.9799,8.0386,7.9309,7.9799,18060,0
INF,D,20070320,000000,7.9701,8.019,7.8819,7.9309,38398,0
INF,D,20070321,000000,7.9994,8.1267,7.9015,7.9896,77421,0
INF,D,20070322,000000,8.0973,8.6261,8.0484,8.5184,241497,0
INF,D,20070323,000000,8.7142,9.2527,8.5184,9.0079,173304,0
INF,D,20070326,000000,9.3996,9.3996,8.8513,8.9492,97566,0
INF,D,20070327,000000,9.0079,9.0569,8.6163,8.6261,39014,0
INF,D,20070328,000000,8.7827,8.7827,7.9799,8.5184,110298,0
INF,D,20070329,000000,8.3715,8.8611,8.3715,8.6163,54697,0
INF,D,20070330,000000,8.8023,8.8121,8.4792,8.5771,47978,0
INF,D,20070402,000000,8.6163,9.145,8.3813,8.9786,86586,0
INF,D,20070403,000000,9.1646,9.3996,8.91,9.3996,158696,0
INF,D,20070404,000000,9.4975,9.595,9.0569,9.1058,87252,0
INF,D,20070405,000000,9.1058,9.889,8.91,9.684,235287,0
INF,D,20070410,000000,9.987,10.085,9.742,10.026,212299,0
INF,D,20070411,000000,10.065,10.065,9.556,9.693,83399,0
INF,D,20070412,000000,9.674,9.742,9.0275,9.2038,69195,0
INF,D,20070413,000000,9.1156,9.586,9.1156,9.3408,34396,0
INF,D,20070416,000000,9.537,9.537,9.0765,9.2527,38754,0
INF,D,20070417,000000,9.2038,9.644,8.959,9.595,76105,0
INF,D,20070418,000000,9.693,10.349,9.595,9.938,372663,0
INF,D,20070419,000000,9.791,9.791,9.4485,9.674,99403,0
INF,D,20070420,000000,9.791,10.183,9.625,9.791,89496,0
INF,D,20070423,000000,9.938,10.134,9.605,9.684,115695,0
INF,D,20070424,000000,9.674,10.271,9.674,10.036,99214,0
INF,D,20070425,000000,10.183,10.575,9.977,10.281,175267,0
INF,D,20070426,000000,10.506,10.653,9.987,10.281,118173,0
INF,D,20070427,000000,10.281,11.162,10.085,10.477,240435,0
INF,D,20070430,000000,10.428,10.428,9.791,9.879,60814,0
INF,D,20070502,000000,9.948,10.868,9.948,10.79,119847,0
INF,D,20070504,000000,10.77,11.162,10.672,11.045,153176,0
INF,D,20070507,000000,11.025,12.122,11.025,11.847,511292,0
INF,D,20070508,000000,11.906,11.906,10.859,10.859,177422,0
INF,D,20070509,000000,10.79,11.162,10.379,10.653,99181,0
INF,D,20070510,000000,11.064,11.064,10.477,10.545,138080,0
INF,D,20070511,000000,10.33,11.25,10.134,11.211,166272,0
INF,D,20070514,000000,11.583,11.74,11.035,11.407,92004,0
INF,D,20070515,000000,11.172,11.338,10.976,11.28,33533,0
INF,D,20070516,000000,11.054,11.446,11.035,11.201,57499,0
INF,D,20070517,000000,11.27,11.28,10.937,10.956,50417,0
INF,D,20070518,000000,11.113,11.74,11.113,11.456,95721,0
INF,D,20070521,000000,11.475,11.505,11.27,11.377,37550,0
INF,D,20070522,000000,11.603,12.082,11.407,11.994,177374,0
INF,D,20070523,000000,12.043,13.248,12.043,12.915,638151,0
INF,D,20070524,000000,12.905,13.013,12.435,12.924,170076,0
INF,D,20070525,000000,12.66,12.827,12.435,12.729,111280,0
INF,D,20070528,000000,12.915,12.934,12.347,12.435,127197,0
INF,D,20070529,000000,12.484,12.66,12.239,12.239,54688,0
INF,D,20070530,000000,11.994,11.994,11.554,11.691,140546,0
INF,D,20070531,000000,11.652,12.004,11.407,11.985,139825,0
INF,D,20070601,000000,11.985,12.024,11.534,11.896,54986,0
INF,D,20070604,000000,12.082,12.082,11.28,11.554,72167,0
INF,D,20070605,000000,11.701,11.701,11.319,11.348,56817,0
INF,D,20070606,000000,11.456,11.505,10.839,10.976,43909,0
INF,D,20070608,000000,10.761,10.761,10.144,10.281,133813,0
INF,D,20070611,000000,10.486,11.554,10.281,11.554,122212,0
INF,D,20070612,000000,11.319,11.319,10.898,10.917,39352,0
INF,D,20070613,000000,10.868,11.446,10.477,11.26,80981,0
INF,D,20070614,000000,11.28,11.28,10.996,11.133,17182,0
INF,D,20070615,000000,10.907,11.162,10.672,10.79,45513,0
INF,D,20070618,000000,10.819,10.819,10.379,10.438,30918,0
INF,D,20070619,000000,10.447,11.064,10.447,10.77,41683,0
