<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ING,D,19940125,000000,52.895,52.895,52.895,52.895,414435,0
ING,D,19940127,000000,52.895,52.895,52.895,52.895,570897,0
ING,D,19940131,000000,47.605,47.605,47.605,47.605,0,0
ING,D,19940201,000000,42.864,42.864,42.864,42.864,0,0
ING,D,19940203,000000,38.593,38.593,38.593,38.593,228895,0
ING,D,19940207,000000,35.263,35.263,35.263,35.263,733844,0
ING,D,19940208,000000,38.79,38.79,38.79,38.79,268802,0
ING,D,19940210,000000,38.79,38.79,38.79,38.79,722857,0
ING,D,19940214,000000,36.83,36.83,36.83,36.83,633906,0
ING,D,19940215,000000,36.046,36.046,36.046,36.046,609935,0
ING,D,19940217,000000,36.046,36.046,36.046,36.046,899653,0
ING,D,19940221,000000,32.913,32.913,32.913,32.913,889508,0
ING,D,19940222,000000,36.203,36.203,36.203,36.203,235883,0
ING,D,19940224,000000,39.808,39.808,39.808,39.808,606631,0
ING,D,19940228,000000,42.317,42.317,42.317,42.317,630338,0
ING,D,19940301,000000,42.277,42.277,42.277,42.277,211377,0
ING,D,19940303,000000,41.925,41.925,41.925,41.925,313311,0
ING,D,19940307,000000,39.808,39.808,39.808,39.808,480703,0
ING,D,19940308,000000,39.181,39.181,39.181,39.181,468485,0
ING,D,19940310,000000,39.142,39.142,39.142,39.142,479871,0
ING,D,19940314,000000,37.614,37.614,37.614,37.614,471369,0
ING,D,19940315,000000,37.221,37.221,37.221,37.221,409409,0
ING,D,19940317,000000,38.399,38.399,38.399,38.399,555133,0
ING,D,19940321,000000,37.221,37.221,37.221,37.221,351894,0
ING,D,19940322,000000,33.539,33.539,33.539,33.539,323843,0
ING,D,19940324,000000,35.616,35.616,35.616,35.616,450305,0
ING,D,19940328,000000,33.344,33.344,33.344,33.344,312410,0
ING,D,19940329,000000,30.013,30.013,30.013,30.013,268802,0
ING,D,19940331,000000,27.585,27.585,27.585,27.585,523321,0
ING,D,19940405,000000,29.778,29.778,29.778,29.778,385827,0
ING,D,19940407,000000,30.954,30.954,30.954,30.954,380184,0
ING,D,19940408,000000,28.994,28.994,28.994,28.994,201713,0
ING,D,19940411,000000,26.096,26.096,26.096,26.096,248398,0
ING,D,19940412,000000,23.509,23.509,23.509,23.509,0,0
ING,D,19940414,000000,23.509,23.509,23.509,23.509,296590,0
ING,D,19940418,000000,25.076,25.076,25.076,25.076,376195,0
ING,D,19940419,000000,25.86,25.86,25.86,25.86,414732,0
ING,D,19940421,000000,31.032,31.032,31.032,31.032,438884,0
ING,D,19940425,000000,30.954,30.954,30.954,30.954,384299,0
ING,D,19940426,000000,27.859,27.859,27.859,27.859,0,0
ING,D,19940428,000000,25.076,25.076,25.076,25.076,224976,0
ING,D,19940505,000000,27.035,27.035,27.035,27.035,419632,0
ING,D,19940506,000000,24.332,24.332,24.332,24.332,382122,0
ING,D,19940509,000000,24.684,24.684,24.684,24.684,335982,0
