<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INP,D,20110217,000000,4.7266,4.8274,4.6113,4.8274,891591,0
INP,D,20110218,000000,4.813,4.9355,4.7843,4.9355,108687,0
INP,D,20110221,000000,4.9355,5.0796,4.8778,5.0437,302588,0
INP,D,20110222,000000,5.0796,5.0796,5.0075,5.0437,79731,0
INP,D,20110223,000000,5.0724,5.0868,5.0075,5.0218,53868,0
INP,D,20110224,000000,5.0437,5.0437,4.7986,4.9139,16938,0
INP,D,20110225,000000,4.813,4.8852,4.7986,4.8852,7517,0
INP,D,20110228,000000,4.8853,5.0188,4.8853,4.9743,19618,0
INP,D,20110301,000000,4.8706,4.9859,4.8706,4.9859,80489,0
INP,D,20110302,000000,4.9859,5.1157,4.9859,5.0507,78745,0
INP,D,20110303,000000,5.0724,5.0868,5.0507,5.0796,89397,0
INP,D,20110304,000000,5.0796,5.0796,5.0581,5.0796,19288,0
INP,D,20110307,000000,5.0724,5.094,5.0651,5.094,18659,0
INP,D,20110308,000000,5.094,5.1012,5.0581,5.1012,8230,0
INP,D,20110309,000000,5.1012,5.1228,5.1012,5.1228,17908,0
INP,D,20110310,000000,5.1157,5.1372,5.0581,5.1301,8232,0
INP,D,20110311,000000,5.1228,5.1228,5.1157,5.1157,2,0
INP,D,20110314,000000,5.1012,5.1012,5.0075,5.0724,3838,0
INP,D,20110315,000000,5.0651,5.0651,4.9427,5.0507,31119,0
INP,D,20110316,000000,5.0507,5.0507,5.0437,5.0507,6063,0
INP,D,20110317,000000,5.0796,5.094,5.0437,5.094,5285,0
INP,D,20110318,000000,5.094,5.1228,5.0437,5.0581,39674,0
INP,D,20110321,000000,5.1157,5.1157,5.0437,5.1084,14295,0
INP,D,20110322,000000,5.1157,5.1372,5.0796,5.1301,6018,0
INP,D,20110323,000000,5.1372,5.1372,5.0507,5.1084,3766,0
INP,D,20110324,000000,5.1084,5.1084,5.0075,5.0437,2583,0
INP,D,20110325,000000,5.0437,5.0437,4.9139,4.9715,618,0
INP,D,20110328,000000,4.8995,5.0292,4.7554,5.0292,16910,0
INP,D,20110329,000000,5.0437,5.0437,4.8995,5.0437,20570,0
INP,D,20110330,000000,5.1012,5.1012,4.9139,5.094,50557,0
INP,D,20110331,000000,5.0929,5.1004,5.0114,5.1004,13391,0
INP,D,20110401,000000,5.1012,5.1012,4.9787,5.094,13910,0
