<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPO,D,20060711,000000,8.3,8.8,8.3,8.3,543134,0
IPO,D,20060712,000000,8.4,8.5,8.1,8.15,71879,0
IPO,D,20060713,000000,8.1,8.1,7.4,7.8,13325,0
IPO,D,20060714,000000,7.5,8.05,7.4,8.05,26652,0
IPO,D,20060717,000000,8.05,8.15,7.95,8.1,14317,0
IPO,D,20060718,000000,8.05,8.1,8.05,8.1,5348,0
IPO,D,20060719,000000,8.1,8.1,8.05,8.1,9934,0
IPO,D,20060720,000000,8.15,8.2,8,8.15,12452,0
IPO,D,20060721,000000,8.2,8.25,8,8.2,12655,0
IPO,D,20060724,000000,8.2,8.35,8.2,8.25,20673,0
IPO,D,20060725,000000,8.35,8.45,8.3,8.3,2580,0
IPO,D,20060726,000000,8.45,8.45,8.35,8.35,9117,0
IPO,D,20060727,000000,8.35,8.7,8.35,8.7,21044,0
IPO,D,20060728,000000,8.6,8.7,8.55,8.7,6649,0
IPO,D,20060731,000000,8.7,9,8.6,9,15973,0
IPO,D,20060801,000000,9.1,9.2,8.8,8.9,50566,0
IPO,D,20060802,000000,8.65,8.85,8.65,8.85,1030,0
IPO,D,20060803,000000,8.7,8.9,8.6,8.7,6698,0
IPO,D,20060804,000000,8.6,8.9,8.6,8.9,16785,0
IPO,D,20060807,000000,8.2,8.8,8.2,8.55,8140,0
IPO,D,20060808,000000,8.55,8.65,8.45,8.65,10410,0
IPO,D,20060809,000000,8.65,8.65,8.6,8.65,4084,0
IPO,D,20060810,000000,8.7,8.7,8.4,8.6,472,0
IPO,D,20060811,000000,8.75,8.75,8.75,8.75,2,0
IPO,D,20060814,000000,8.4,8.45,8,8.35,10447,0
IPO,D,20060816,000000,8.1,8.4,8.05,8.4,751,0
IPO,D,20060817,000000,8.1,8.1,8.1,8.1,199,0
IPO,D,20060818,000000,8.1,8.7,8.1,8.7,260,0
IPO,D,20060821,000000,8.7,8.7,8.3,8.55,1222,0
IPO,D,20060822,000000,8.3,8.55,8.3,8.55,1601,0
IPO,D,20060823,000000,8.25,8.55,8.25,8.55,1543,0
IPO,D,20060824,000000,8.25,8.65,8.25,8.4,501,0
IPO,D,20060825,000000,8.3,8.45,8.2,8.4,3229,0
IPO,D,20060828,000000,8.4,8.4,8.4,8.4,5,0
IPO,D,20060829,000000,8.2,8.3,8,8.05,4557,0
IPO,D,20060830,000000,8.05,8.2,8,8.2,10199,0
IPO,D,20060831,000000,8.1,8.1,8,8.1,2110,0
IPO,D,20060901,000000,8.15,8.15,8,8.1,2055,0
IPO,D,20060904,000000,8.03,8.03,8.01,8.01,1534,0
IPO,D,20060905,000000,8.1,8.1,7.99,7.99,2590,0
IPO,D,20060906,000000,8,8.01,8,8,3000,0
IPO,D,20060907,000000,8,8.05,7.81,8.05,1983,0
IPO,D,20060908,000000,8.06,8.06,7.9,8.05,70,0
IPO,D,20060911,000000,8,8,7.8,7.8,6539,0
IPO,D,20060912,000000,7.88,7.9,7.88,7.9,885,0
IPO,D,20060913,000000,7.98,7.98,7.84,7.98,98,0
IPO,D,20060914,000000,8,8,8,8,877,0
IPO,D,20060915,000000,8,8,7.6,8,796,0
IPO,D,20060918,000000,8.05,8.15,8.05,8.15,857,0
IPO,D,20060919,000000,8.15,8.15,8.15,8.15,5,0
IPO,D,20060920,000000,8.31,8.31,8.31,8.31,66,0
IPO,D,20060921,000000,8.15,8.15,7.7,7.71,605,0
IPO,D,20060922,000000,8.2,8.31,7.8,8.2,1134,0
IPO,D,20060925,000000,8.3,8.3,8.3,8.3,5,0
IPO,D,20060926,000000,7.91,8,7.9,7.9,400,0
IPO,D,20060927,000000,8.04,8.04,8.04,8.04,5,0
IPO,D,20060928,000000,8.04,8.04,7.99,7.99,800,0
IPO,D,20060929,000000,7.99,8.3,7.99,8.3,479,0
IPO,D,20061002,000000,8.3,8.39,8,8.39,11979,0
IPO,D,20061003,000000,7.97,8.46,7.97,8.4,4316,0
IPO,D,20061004,000000,8.39,8.5,8.39,8.5,4530,0
IPO,D,20061005,000000,8.53,8.7,8.53,8.65,2148,0
IPO,D,20061006,000000,8.65,8.65,8.65,8.65,76,0
IPO,D,20061009,000000,8.65,8.75,8.4,8.51,37963,0
IPO,D,20061010,000000,8.55,8.55,8.2,8.55,5020,0
IPO,D,20061011,000000,8.6,8.65,8.59,8.65,21402,0
IPO,D,20061012,000000,8.5,8.67,8.3,8.67,1389,0
IPO,D,20061013,000000,8.66,8.66,8.66,8.66,476,0
IPO,D,20061016,000000,8.7,8.75,8.36,8.75,13628,0
IPO,D,20061017,000000,8.9,9.2,8.56,9.2,16544,0
IPO,D,20061018,000000,8.95,9.24,8.86,9.21,5956,0
IPO,D,20061019,000000,9.2,9.2,9.2,9.2,493,0
IPO,D,20061020,000000,9.2,9.2,9.15,9.2,1587,0
IPO,D,20061023,000000,9.17,9.2,9.17,9.2,1205,0
IPO,D,20061024,000000,9.1,9.1,9.1,9.1,2577,0
IPO,D,20061025,000000,9.1,9.15,9.1,9.15,680,0
IPO,D,20061026,000000,9.16,9.5,9.16,9.45,2350,0
IPO,D,20061027,000000,9.45,9.5,9.4,9.4,3060,0
IPO,D,20061030,000000,9.6,9.6,9.4,9.4,2932,0
IPO,D,20061031,000000,9.6,9.6,9.55,9.6,2801,0
IPO,D,20061102,000000,9.58,9.58,9.58,9.58,506,0
IPO,D,20061103,000000,9.59,9.59,9.2,9.58,485,0
IPO,D,20061106,000000,9.5,9.5,9.5,9.5,500,0
IPO,D,20061107,000000,9.2,9.49,9,9.49,6360,0
IPO,D,20061108,000000,9.49,9.49,9.1,9.1,1377,0
IPO,D,20061109,000000,9.1,9.44,9.05,9.44,3005,0
IPO,D,20061110,000000,9.36,9.47,9.05,9.47,1791,0
IPO,D,20061113,000000,9.48,9.48,9.48,9.48,50,0
IPO,D,20061114,000000,9.48,9.48,9.06,9.06,500,0
IPO,D,20061115,000000,9.37,9.39,9.25,9.25,1800,0
IPO,D,20061116,000000,9.48,9.6,9.4,9.6,8435,0
IPO,D,20061117,000000,9.6,9.6,9.6,9.6,5,0
IPO,D,20061120,000000,9.4,9.4,9.15,9.15,1555,0
IPO,D,20061121,000000,8.91,9.55,8.9,9.55,6188,0
IPO,D,20061122,000000,9.49,9.5,9.15,9.5,1470,0
IPO,D,20061123,000000,9.49,9.49,9.49,9.49,50,0
IPO,D,20061124,000000,9.5,9.5,9.5,9.5,150,0
IPO,D,20061127,000000,9.3,9.3,9.3,9.3,280,0
IPO,D,20061128,000000,9.3,9.3,9.28,9.28,2661,0
IPO,D,20061129,000000,9.22,9.25,9.13,9.25,3144,0
IPO,D,20061130,000000,9.15,9.48,9.11,9.3,2881,0
IPO,D,20061201,000000,9.2,9.52,9.2,9.52,6238,0
IPO,D,20061204,000000,9.26,9.59,9.2,9.55,8835,0
IPO,D,20061205,000000,9.64,9.71,9.6,9.71,9464,0
IPO,D,20061206,000000,9.8,10.2,9.8,10,14536,0
IPO,D,20061207,000000,10,10.5,9.9,10.5,2631,0
IPO,D,20061208,000000,10.79,10.9,10.78,10.9,11068,0
IPO,D,20061211,000000,10.99,11.2,10.99,10.99,9775,0
IPO,D,20061212,000000,10.51,10.7,10.25,10.6,4806,0
IPO,D,20061213,000000,10.6,11.2,10.41,11.2,6571,0
IPO,D,20061214,000000,11,11.2,10.9,10.9,3120,0
IPO,D,20061215,000000,10.33,10.6,9.22,10.6,9045,0
IPO,D,20061218,000000,10.1,10.4,10.1,10.4,9650,0
IPO,D,20061219,000000,10.21,10.4,10.21,10.25,1008,0
