<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITB,D,20101012,000000,14.764,15.875,14.223,15.875,182934,0
ITB,D,20101013,000000,16.058,17.068,16.058,16.746,132400,0
ITB,D,20101014,000000,16.701,16.746,16.077,16.746,15371,0
ITB,D,20101015,000000,16.728,17.407,16.251,17.407,73192,0
ITB,D,20101018,000000,17.435,17.435,16.838,17.435,11181,0
ITB,D,20101019,000000,17.297,17.618,17.251,17.251,18394,0
ITB,D,20101020,000000,17.114,17.435,16.627,17.251,23075,0
ITB,D,20101021,000000,17.251,17.251,16.985,17.022,19889,0
ITB,D,20101022,000000,16.976,17.398,16.976,17.389,14437,0
ITB,D,20101025,000000,17.031,17.444,17.031,17.435,5859,0
ITB,D,20101026,000000,17.398,18.095,17.398,18.077,6003,0
ITB,D,20101027,000000,18.095,18.095,17.481,18.068,355,0
ITB,D,20101028,000000,18.325,18.554,18.306,18.554,17884,0
ITB,D,20101029,000000,18.398,18.444,18.398,18.444,1231,0
ITB,D,20101102,000000,18.352,18.352,18.352,18.352,34907,0
ITB,D,20101103,000000,17.545,18.352,17.545,18.352,1507,0
ITB,D,20101104,000000,17.756,17.912,17.756,17.857,3699,0
ITB,D,20101105,000000,17.894,18.352,17.894,18.352,16580,0
ITB,D,20101108,000000,18.215,18.352,18.215,18.352,150,0
ITB,D,20101109,000000,18.306,18.352,18.306,18.352,213,0
ITB,D,20101110,000000,17.985,18.306,17.71,18.306,1068,0
ITB,D,20101112,000000,17.829,18.123,17.802,18.123,1975,0
ITB,D,20101115,000000,17.71,18.013,17.637,17.756,1008,0
ITB,D,20101116,000000,17.637,17.637,17.637,17.637,109,0
ITB,D,20101117,000000,17.526,18.077,17.517,18.077,7340,0
ITB,D,20101118,000000,18.077,18.077,17.526,17.664,6369,0
ITB,D,20101119,000000,17.894,18.123,17.618,17.976,8459,0
ITB,D,20101122,000000,17.435,18.013,17.435,17.802,3252,0
ITB,D,20101123,000000,17.022,17.802,17.022,17.802,4104,0
ITB,D,20101124,000000,17.71,17.884,17.71,17.884,2109,0
ITB,D,20101125,000000,17.49,18.077,17.49,18.077,2046,0
ITB,D,20101126,000000,17.453,17.793,17.453,17.793,141,0
ITB,D,20101129,000000,17.453,17.875,17.398,17.398,7307,0
ITB,D,20101130,000000,17.398,17.875,17.398,17.866,588,0
ITB,D,20101201,000000,17.875,17.875,17.26,17.857,131,0
ITB,D,20101202,000000,17.802,17.802,17.802,17.802,277,0
ITB,D,20101203,000000,17.013,17.793,16.976,17.793,1803,0
ITB,D,20101206,000000,17.563,17.783,17.022,17.783,5021,0
ITB,D,20101207,000000,17.783,17.783,17.178,17.774,5082,0
ITB,D,20101208,000000,17.774,17.783,17.352,17.783,1958,0
ITB,D,20101209,000000,17.71,17.71,17.71,17.71,766,0
ITB,D,20101210,000000,17.435,17.435,17.38,17.38,2248,0
ITB,D,20101213,000000,17.242,17.242,17.242,17.242,74,0
ITB,D,20101214,000000,16.884,16.884,16.802,16.802,131,0
ITB,D,20101215,000000,16.517,16.517,16.297,16.499,900,0
ITB,D,20101216,000000,16.425,16.49,15.783,16.49,1034,0
ITB,D,20101217,000000,16.49,16.517,16.123,16.508,515,0
ITB,D,20101222,000000,16.077,16.104,16.077,16.077,153,0
ITB,D,20101223,000000,16.049,16.058,15.599,15.967,1009,0
ITB,D,20101227,000000,15.333,15.967,15.324,15.967,2812,0
ITB,D,20101228,000000,15.526,16.416,15.416,16.416,24638,0
ITB,D,20101229,000000,16.315,16.315,15.599,16.306,770,0
ITB,D,20101231,000000,15.875,16.471,15.875,16.471,11567,0
ITB,D,20110103,000000,15.599,16.462,15.599,16.462,385,0
ITB,D,20110104,000000,15.599,16.058,15.599,16.058,402,0
ITB,D,20110105,000000,15.425,15.508,15.425,15.508,538,0
ITB,D,20110107,000000,15.306,15.599,15.196,15.599,1893,0
ITB,D,20110110,000000,15.287,15.287,15.287,15.287,78,0
ITB,D,20110111,000000,15.287,15.957,15.287,15.957,9,0
ITB,D,20110112,000000,15.599,15.599,15.287,15.508,440,0
ITB,D,20110118,000000,14.774,14.774,14.498,14.498,1877,0
ITB,D,20110119,000000,14.664,14.673,14.664,14.673,96,0
ITB,D,20110121,000000,13.764,14.581,13.764,14.581,1320,0
ITB,D,20110124,000000,13.489,13.764,13.489,13.489,116,0
ITB,D,20110125,000000,13.59,13.764,13.581,13.764,2410,0
ITB,D,20110126,000000,13.672,13.948,13.672,13.948,257,0
ITB,D,20110127,000000,13.672,14.076,13.627,14.076,600,0
ITB,D,20110128,000000,14.076,14.076,14.076,14.076,372,0
