<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZB,D,20111222,000000,22.9,22.9,22.9,22.9,61,0
IZB,D,20111223,000000,22.9,22.9,22.9,22.9,60,0
IZB,D,20111227,000000,22.9,22.9,22.9,22.9,1,0
IZB,D,20120221,000000,23,23,23,23,50,0
IZB,D,20120227,000000,23.02,23.02,23.02,23.02,110,0
IZB,D,20120228,000000,25.9,27,25.9,27,200,0
IZB,D,20120229,000000,27,32.4,27,32,200,0
IZB,D,20120301,000000,32.03,33.5,31,33.5,696,0
IZB,D,20120302,000000,32.5,32.6,32.5,32.6,210,0
IZB,D,20120305,000000,32.49,32.9,32.49,32.9,259,0
IZB,D,20120306,000000,35.7,35.7,32.8,32.8,308,0
IZB,D,20120313,000000,28.01,28.01,28,28,347,0
IZB,D,20120314,000000,28,28,28,28,90,0
IZB,D,20120315,000000,28,28,28,28,76,0
IZB,D,20120320,000000,29.3,29.3,29.3,29.3,178,0
IZB,D,20120416,000000,28,28,28,28,1,0
IZB,D,20120417,000000,28.98,28.98,28.98,28.98,1,0
IZB,D,20120418,000000,24,28.98,24,28.98,723,0
IZB,D,20120419,000000,26,28.98,26,28.98,585,0
IZB,D,20120420,000000,25.6,28.97,25.6,28.97,4,0
IZB,D,20120423,000000,25.5,28.95,25.5,28.95,44,0
IZB,D,20120424,000000,25,25,25,25,20,0
IZB,D,20120508,000000,28.95,28.95,28.95,28.95,4,0
IZB,D,20120517,000000,24.12,24.12,24.12,24.12,84,0
IZB,D,20120518,000000,24.12,28.98,24.12,28.98,299,0
IZB,D,20120521,000000,27.99,28.98,27.99,28.98,11,0
IZB,D,20120523,000000,28.98,28.98,28.98,28.98,20,0
IZB,D,20120524,000000,25.1,25.1,25.1,25.1,102,0
IZB,D,20120608,000000,28.8,28.8,28.8,28.8,20,0
IZB,D,20120611,000000,28.7,28.7,28.7,28.7,20,0
IZB,D,20120612,000000,28.7,28.7,28.7,28.7,20,0
IZB,D,20120614,000000,28.7,28.7,28.7,28.7,20,0
IZB,D,20120619,000000,28.7,28.7,28.7,28.7,20,0
IZB,D,20120620,000000,28.7,28.7,28.7,28.7,20,0
IZB,D,20120621,000000,28.7,28.7,28.7,28.7,20,0
IZB,D,20120713,000000,28.79,28.79,28.7,28.7,40,0
IZB,D,20120720,000000,24.51,24.51,24.51,24.51,10,0
IZB,D,20120724,000000,20,20,20,20,70,0
IZB,D,20120801,000000,25,28.7,25,28.7,71,0
IZB,D,20120802,000000,26,26,26,26,70,0
IZB,D,20120809,000000,28,28,28,28,20,0
IZB,D,20120907,000000,27.9,27.95,27.9,27.95,65,0
IZB,D,20121010,000000,25.91,25.91,25.91,25.91,60,0
IZB,D,20121015,000000,24,24,24,24,60,0
IZB,D,20121022,000000,24.18,24.18,24.18,24.18,13,0
IZB,D,20121023,000000,23,23,23,23,67,0
IZB,D,20121026,000000,21.68,21.68,21.68,21.68,70,0
IZB,D,20121031,000000,21.68,25.87,21.68,25.87,95,0
IZB,D,20121106,000000,21.5,23.5,21.5,23.5,78,0
IZB,D,20121107,000000,20,20,20,20,77,0
IZB,D,20121109,000000,18.31,19.99,18.31,19.99,24,0
IZB,D,20121119,000000,20,20,20,20,4,0
IZB,D,20121121,000000,20,20,20,20,16,0
IZB,D,20121123,000000,20,20,20,20,5,0
IZB,D,20121126,000000,20,20,20,20,5,0
IZB,D,20121129,000000,20,20,20,20,5,0
IZB,D,20121204,000000,20,20,19.99,20,194,0
IZB,D,20121211,000000,19.99,19.99,19.99,19.99,5,0
IZB,D,20121213,000000,19.99,19.99,19.99,19.99,10,0
IZB,D,20121219,000000,20,20,20,20,1,0
IZB,D,20121221,000000,20,20,20,20,5,0
IZB,D,20121227,000000,19.99,20,19.99,20,200,0
IZB,D,20130102,000000,20.15,21.1,20.15,21.1,87,0
IZB,D,20130103,000000,21.44,21.44,21.44,21.44,10,0
IZB,D,20130104,000000,20.15,20.15,20.15,20.15,78,0
IZB,D,20130107,000000,20.64,20.64,20.64,20.64,73,0
IZB,D,20130114,000000,20.01,20.5,20.01,20.5,156,0
