<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZO,D,19980217,000000,2.0448,2.1945,2.0448,2.1945,1704,0
IZO,D,19980218,000000,2.3439,2.3439,2.1945,2.1945,1895,0
IZO,D,19980219,000000,2.394,2.5935,2.394,2.5935,7018,0
IZO,D,19980220,000000,2.793,2.9925,2.6931,2.9925,10727,0
IZO,D,19980223,000000,3.192,3.591,3.192,3.591,26066,0
IZO,D,19980224,000000,3.6906,3.6906,3.4911,3.4911,5514,0
IZO,D,19980225,000000,3.591,3.591,3.2916,3.2916,3780,0
IZO,D,19980226,000000,3.2616,3.3015,3.2616,3.2916,9995,0
IZO,D,19980227,000000,2.9925,3.2916,2.9925,3.2916,2005,0
IZO,D,19980302,000000,2.9925,3.3915,2.9925,3.3915,3208,0
IZO,D,19980306,000000,2.793,2.793,2.793,2.793,1003,0
IZO,D,19980309,000000,2.793,2.793,2.5434,2.6433,8121,0
IZO,D,19980310,000000,2.793,2.793,2.793,2.793,3008,0
IZO,D,19980311,000000,2.4936,2.4936,2.4936,2.4936,1003,0
IZO,D,19980312,000000,2.2941,2.5434,2.2941,2.394,2737,0
IZO,D,19980316,000000,2.4936,2.4936,2.394,2.4936,2206,0
IZO,D,19980317,000000,2.5035,2.5035,2.5035,2.5035,802,0
IZO,D,19980318,000000,2.4537,2.4537,2.1444,2.1546,8742,0
IZO,D,19980320,000000,2.3439,2.3439,2.334,2.3439,4181,0
IZO,D,19980323,000000,2.3439,2.3439,2.2941,2.2941,4371,0
IZO,D,19980324,000000,2.2941,2.3439,2.2941,2.3241,7319,0
IZO,D,19980325,000000,2.2941,2.2941,2.2941,2.2941,1003,0
IZO,D,19980326,000000,2.2941,2.2941,2.2542,2.2542,1464,0
IZO,D,19980327,000000,2.2941,2.2941,2.2941,2.2941,3008,0
IZO,D,19980330,000000,2.2941,2.2941,2.2941,2.2941,501,0
IZO,D,19980401,000000,2.1645,2.2743,2.1645,2.2743,2406,0
IZO,D,19980402,000000,2.1444,2.1444,2.1444,2.1444,301,0
IZO,D,19980406,000000,2.1945,2.1945,2.1546,2.1546,1574,0
IZO,D,19980407,000000,2.1444,2.1945,2.1444,2.1945,2687,0
IZO,D,19980408,000000,2.1945,2.1945,2.1945,2.1945,1003,0
IZO,D,19980409,000000,2.1744,2.1744,2.1744,2.1744,1003,0
IZO,D,19980414,000000,2.1645,2.1744,2.1645,2.1744,1684,0
IZO,D,19980415,000000,2.1645,2.1945,2.1645,2.1945,4411,0
IZO,D,19980416,000000,2.1444,2.1945,2.1444,2.1945,1754,0
IZO,D,19980417,000000,2.1945,2.1945,2.1843,2.1843,2005,0
IZO,D,19980420,000000,2.1945,2.1945,2.1945,2.1945,501,0
IZO,D,19980421,000000,2.1945,2.1945,2.1945,2.1945,1404,0
IZO,D,19980423,000000,2.1945,2.1945,2.1945,2.1945,1003,0
IZO,D,19980427,000000,2.0946,2.1147,2.0946,2.0946,2506,0
IZO,D,19980428,000000,2.0448,2.0448,2.0448,2.0448,612,0
IZO,D,19980430,000000,2.0946,2.0946,2.0946,2.0946,150,0
IZO,D,19980504,000000,2.0049,2.0049,2.0049,2.0049,1003,0
IZO,D,19980508,000000,1.995,1.995,1.995,1.995,501,0
IZO,D,19980511,000000,1.995,1.995,1.9452,1.9452,3008,0
IZO,D,19980512,000000,1.9452,1.9452,1.9152,1.9152,2005,0
IZO,D,19980513,000000,1.995,1.995,1.995,1.995,1003,0
IZO,D,19980514,000000,1.995,1.995,1.995,1.995,702,0
IZO,D,19980519,000000,1.9152,1.9152,1.9152,1.9152,1504,0
IZO,D,19980520,000000,1.9152,1.9152,1.8951,1.8951,1704,0
IZO,D,19980522,000000,1.9053,1.9053,1.9053,1.9053,1003,0
IZO,D,19980525,000000,1.8951,1.8951,1.8852,1.8852,1805,0
IZO,D,19980526,000000,1.8852,1.8852,1.7955,1.7955,3770,0
IZO,D,19980527,000000,1.7955,1.7955,1.7955,1.7955,100,0
IZO,D,19980601,000000,1.7955,1.7955,1.6956,1.6956,3629,0
IZO,D,19980605,000000,1.596,1.596,1.596,1.596,1644,0
IZO,D,19980610,000000,1.6956,1.6956,1.596,1.596,4311,0
IZO,D,19980615,000000,1.6956,1.6956,1.6956,1.6956,1003,0
IZO,D,19980616,000000,1.8453,1.8453,1.5759,1.5759,4912,0
IZO,D,19980624,000000,1.596,1.596,1.5861,1.5861,2005,0
IZO,D,19980625,000000,1.5162,1.5162,1.5162,1.5162,1003,0
IZO,D,19980629,000000,1.4961,1.4961,1.4763,1.4763,3479,0
IZO,D,19980630,000000,1.4763,1.4961,1.3965,1.4961,3509,0
IZO,D,19980701,000000,1.3965,1.3965,1.3965,1.3965,1053,0
IZO,D,19980720,000000,1.4463,1.4463,1.4463,1.4463,1003,0
IZO,D,19980721,000000,1.3965,1.3965,1.3965,1.3965,1003,0
IZO,D,19980722,000000,1.3965,1.3965,1.3965,1.3965,1203,0
IZO,D,19980807,000000,1.3965,1.3965,1.3965,1.3965,1003,0
IZO,D,19980810,000000,1.3965,1.3965,1.3965,1.3965,1003,0
IZO,D,19980811,000000,1.3965,1.3965,1.3965,1.3965,501,0
IZO,D,19980813,000000,1.3467,1.3467,1.2966,1.2966,2005,0
IZO,D,19980814,000000,1.197,1.197,1.1769,1.1769,2005,0
IZO,D,19980827,000000,0.9975,0.9975,0.9975,0.9975,2005,0
IZO,D,19980828,000000,0.798,0.798,0.6981,0.6981,3008,0
IZO,D,19980831,000000,0.9975,0.9975,0.9975,0.9975,2005,0
IZO,D,19981006,000000,0.5985,0.5985,0.5487,0.5487,2005,0
IZO,D,19981110,000000,0.5487,0.5487,0.399,0.399,4010,0
IZO,D,19981117,000000,0.4089,0.4089,0.4089,0.4089,782,0
IZO,D,19981118,000000,0.4089,0.4089,0.4089,0.4089,3008,0
