<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZS,D,20110111,000000,5.8015,6.2196,5.8015,6.0318,1041397,0
IZS,D,20110112,000000,5.9807,6.0917,5.8015,6.0576,223412,0
IZS,D,20110113,000000,6.0318,6.0576,5.8954,5.9807,125730,0
IZS,D,20110114,000000,6.0318,6.0318,5.8102,6.0148,35743,0
IZS,D,20110117,000000,5.9721,6.0063,5.9721,5.9892,14546,0
IZS,D,20110118,000000,5.9807,6.0917,5.9807,6.0917,40344,0
IZS,D,20110119,000000,6.0917,6.6973,6.0745,6.6548,62518,0
IZS,D,20110120,000000,6.5779,6.7314,6.5012,6.5951,8080,0
IZS,D,20110121,000000,6.5951,7.2349,6.5268,7.0642,77245,0
IZS,D,20110124,000000,7.1409,7.1582,7.0215,7.0814,15804,0
IZS,D,20110125,000000,7.0814,7.0814,6.8851,6.9533,33952,0
IZS,D,20110126,000000,7.0387,7.2691,6.9107,7.1153,51451,0
IZS,D,20110127,000000,6.9789,7.2691,6.8851,7.0642,175564,0
IZS,D,20110128,000000,7.1409,7.1409,6.9961,7.0387,60699,0
IZS,D,20110131,000000,6.9961,6.9961,6.8425,6.9703,8929,0
IZS,D,20110201,000000,7.0387,7.0387,6.7827,6.8425,11948,0
IZS,D,20110202,000000,6.7485,6.8425,6.4755,6.6548,73277,0
IZS,D,20110203,000000,6.5951,6.6036,6.3987,6.5864,11999,0
IZS,D,20110204,000000,6.3733,6.5609,6.3733,6.5609,11889,0
IZS,D,20110207,000000,6.5694,6.8255,6.5694,6.5694,2573,0
IZS,D,20110208,000000,6.4586,6.74,6.3133,6.5694,733046,0
IZS,D,20110209,000000,6.5609,6.6461,6.5609,6.6121,329,0
IZS,D,20110210,000000,6.6121,6.7145,6.45,6.45,3733,0
IZS,D,20110211,000000,6.4414,6.6973,6.356,6.4414,73283,0
IZS,D,20110214,000000,6.4158,6.4158,6.2281,6.3133,33991,0
IZS,D,20110215,000000,6.2964,6.3133,6.0148,6.1684,10106,0
IZS,D,20110216,000000,6.1429,6.356,5.9721,6.356,2089,0
IZS,D,20110217,000000,6.2451,6.3475,6.1429,6.1684,3773,0
IZS,D,20110218,000000,6.1429,6.1684,6.1429,6.1684,3443,0
IZS,D,20110221,000000,6.2196,6.2196,6.1598,6.1598,834,0
IZS,D,20110222,000000,6.2196,6.3133,5.9807,6.1514,3016,0
IZS,D,20110223,000000,6.2281,6.3133,6.1855,6.1855,22696,0
IZS,D,20110224,000000,6.2196,6.2196,6.1002,6.1855,18308,0
IZS,D,20110225,000000,6.1855,6.2112,6.1429,6.1855,7459,0
IZS,D,20110228,000000,6.2281,6.4414,6.2196,6.2879,9780,0
IZS,D,20110301,000000,6.2281,6.3987,6.2281,6.356,1828,0
IZS,D,20110302,000000,6.3133,6.4414,6.3133,6.356,1160,0
IZS,D,20110303,000000,6.4755,6.4755,6.3987,6.3987,950,0
IZS,D,20110304,000000,6.3987,6.3987,6.3305,6.3987,1322,0
IZS,D,20110307,000000,6.4414,6.4842,6.3305,6.4842,8221,0
IZS,D,20110308,000000,6.5268,6.5523,6.4842,6.5523,2474,0
IZS,D,20110309,000000,6.5523,6.5523,6.4842,6.5268,3688,0
IZS,D,20110310,000000,6.4842,6.9107,6.4842,6.9022,4303,0
IZS,D,20110311,000000,6.9022,6.9022,6.74,6.7485,634,0
IZS,D,20110314,000000,6.7571,6.9703,6.4842,6.8255,6398,0
IZS,D,20110315,000000,6.7998,6.7998,6.4842,6.6548,4189,0
IZS,D,20110316,000000,6.7314,6.7314,6.4842,6.6461,3469,0
IZS,D,20110317,000000,6.5268,6.5694,6.5268,6.5694,1044,0
IZS,D,20110318,000000,6.5694,6.5694,6.4414,6.4842,1068,0
IZS,D,20110321,000000,6.4842,6.5694,6.2281,6.5609,3311,0
IZS,D,20110322,000000,6.5609,6.5609,6.4842,6.5523,992,0
IZS,D,20110323,000000,6.5523,6.5523,6.3987,6.5438,964,0
