<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JHM,D,20110809,000000,10.761,10.761,6.7915,7.2219,288083,0
JHM,D,20110810,000000,7.1741,7.6524,7.1263,7.2219,77154,0
JHM,D,20110811,000000,7.1741,7.2219,7.1263,7.1741,32899,0
JHM,D,20110812,000000,7.1741,7.6046,7.0785,7.6046,25063,0
JHM,D,20110816,000000,7.8915,7.8915,7.4132,7.7958,66617,0
JHM,D,20110817,000000,7.8915,7.8915,7.4132,7.8915,29364,0
JHM,D,20110818,000000,7.8915,7.8915,7.4132,7.8915,1805,0
JHM,D,20110819,000000,7.7958,7.7958,7.6524,7.748,1066,0
JHM,D,20110822,000000,7.748,7.8915,7.4132,7.7958,2771,0
JHM,D,20110823,000000,7.748,7.7958,7.4132,7.6524,1042,0
JHM,D,20110824,000000,7.7958,7.7958,7.4132,7.6524,22716,0
JHM,D,20110825,000000,7.7958,7.7958,7.2697,7.748,16622,0
JHM,D,20110826,000000,7.748,7.7958,7.3654,7.7958,98118,0
JHM,D,20110829,000000,7.7002,7.7002,7.6524,7.6524,972,0
JHM,D,20110830,000000,7.4611,7.4611,7.1741,7.3654,11805,0
JHM,D,20110831,000000,7.8915,7.8915,7.2697,7.6046,19312,0
JHM,D,20110901,000000,7.5568,7.6524,7.2697,7.6524,105256,0
JHM,D,20110902,000000,7.6524,7.6524,7.1741,7.3654,1004,0
JHM,D,20110905,000000,7.4132,7.4132,7.1741,7.3654,496,0
JHM,D,20110906,000000,7.3654,7.3654,7.3654,7.3654,10621,0
JHM,D,20110907,000000,7.4132,7.4132,6.935,7.1741,1255,0
JHM,D,20110908,000000,7.3654,7.3654,6.6958,7.0785,6192,0
JHM,D,20110909,000000,7.0785,7.0785,6.7915,7.0785,24268,0
JHM,D,20110912,000000,7.3654,7.3654,6.935,6.9828,19225,0
JHM,D,20110913,000000,7.1741,7.1741,6.935,6.935,17766,0
JHM,D,20110914,000000,7.0785,7.0785,6.935,7.0785,14054,0
JHM,D,20110915,000000,7.3176,7.3176,7.3176,7.3176,193,0
JHM,D,20110916,000000,7.3176,7.3176,7.3176,7.3176,233,0
JHM,D,20110919,000000,7.1741,7.1741,6.935,7.1263,429,0
JHM,D,20110920,000000,7.1263,7.1263,6.935,7.1263,497,0
JHM,D,20110921,000000,7.1263,7.1263,6.935,7.1263,294,0
JHM,D,20110922,000000,7.1263,7.1263,6.361,6.361,1382,0
JHM,D,20110923,000000,6.648,7.1263,6.2654,7.1263,1991,0
JHM,D,20110926,000000,7.0306,7.0306,6.935,6.9828,2649,0
JHM,D,20110927,000000,6.9828,6.9828,6.935,6.9828,2289,0
JHM,D,20110928,000000,7.0306,7.0306,6.6958,7.0306,3796,0
JHM,D,20110929,000000,7.0306,7.0306,6.6958,6.935,413,0
JHM,D,20110930,000000,6.935,6.935,6.6958,6.6958,395,0
JHM,D,20111003,000000,6.935,6.935,6.935,6.935,140,0
JHM,D,20111004,000000,6.935,6.935,6.935,6.935,130,0
JHM,D,20111005,000000,6.8393,6.8871,6.6958,6.6958,393,0
JHM,D,20111006,000000,6.6958,6.935,6.648,6.935,19534,0
JHM,D,20111007,000000,6.935,6.935,6.935,6.935,125,0
JHM,D,20111010,000000,6.8871,6.8871,6.8871,6.8871,198,0
JHM,D,20111011,000000,6.8871,7.1741,6.8871,7.1741,2487,0
JHM,D,20111012,000000,7.0306,7.1741,7.0306,7.1741,94142,0
JHM,D,20111013,000000,7.1741,7.1741,7.1741,7.1741,128,0
JHM,D,20111014,000000,7.1741,7.1741,7.1741,7.1741,23457,0
JHM,D,20111017,000000,7.1741,7.1741,7.1263,7.1741,1335,0
JHM,D,20111018,000000,7.1263,7.1263,7.1263,7.1263,209,0
JHM,D,20111019,000000,7.0785,7.1741,7.0785,7.1741,24911,0
JHM,D,20111020,000000,7.1741,7.1741,7.1741,7.1741,171,0
JHM,D,20111021,000000,7.1741,7.1741,7.1741,7.1741,281,0
JHM,D,20111024,000000,7.1741,7.1741,7.1741,7.1741,125,0
JHM,D,20111025,000000,7.1741,7.1741,7.1741,7.1741,146,0
JHM,D,20111026,000000,7.1741,7.1741,7.1741,7.1741,165,0
JHM,D,20111027,000000,7.1741,7.1741,7.0785,7.1263,10813,0
JHM,D,20111028,000000,7.1741,7.1741,7.1741,7.1741,136,0
JHM,D,20111031,000000,7.1741,7.1741,7.1741,7.1741,113,0
JHM,D,20111102,000000,7.1741,7.1741,7.1263,7.1741,3492,0
JHM,D,20111103,000000,7.1741,7.1741,7.1741,7.1741,199,0
JHM,D,20111104,000000,7.1741,7.1741,7.1741,7.1741,2242,0
JHM,D,20111107,000000,7.1263,7.1263,7.1263,7.1263,113,0
JHM,D,20111108,000000,7.0785,7.0785,7.0785,7.0785,130,0
JHM,D,20111109,000000,7.0785,7.0785,7.0785,7.0785,188,0
JHM,D,20111110,000000,7.0785,7.0785,7.0306,7.0785,45543,0
JHM,D,20111114,000000,7.0785,7.0785,6.4567,6.935,39482,0
JHM,D,20111115,000000,6.935,6.935,6.935,6.935,161,0
JHM,D,20111116,000000,6.935,6.935,6.935,6.935,162,0
JHM,D,20111117,000000,6.8871,6.8871,6.8871,6.8871,121,0
JHM,D,20111118,000000,6.8871,6.8871,6.2654,6.8871,1720,0
JHM,D,20111121,000000,7.0785,7.0785,7.0785,7.0785,1231,0
JHM,D,20111122,000000,7.0785,7.0785,6.8871,6.935,617,0
JHM,D,20111123,000000,6.935,6.935,6.935,6.935,107,0
JHM,D,20111124,000000,6.8871,6.8871,6.8871,6.8871,86,0
JHM,D,20111125,000000,6.8871,6.8871,6.8871,6.8871,136,0
JHM,D,20111128,000000,6.8871,6.8871,6.8871,6.8871,460,0
JHM,D,20111129,000000,6.8871,6.8871,6.8871,6.8871,128,0
JHM,D,20111130,000000,6.8871,6.8871,6.8871,6.8871,4381,0
JHM,D,20111201,000000,6.8871,6.8871,6.8871,6.8871,134,0
JHM,D,20111202,000000,6.8871,6.8871,6.8393,6.8871,305,0
JHM,D,20111205,000000,6.8871,6.8871,6.8871,6.8871,158,0
JHM,D,20111206,000000,6.8871,6.8871,6.8871,6.8871,125,0
JHM,D,20111207,000000,6.8871,6.8871,6.8871,6.8871,102,0
JHM,D,20111208,000000,6.8871,6.8871,6.3132,6.8393,353,0
JHM,D,20111209,000000,6.8393,6.8393,6.8393,6.8393,109,0
JHM,D,20111212,000000,6.8393,6.8393,6.8393,6.8393,178,0
JHM,D,20111213,000000,6.8393,6.8393,6.8393,6.8393,149,0
JHM,D,20111214,000000,6.8393,6.8393,6.8393,6.8393,136,0
JHM,D,20111215,000000,6.8393,6.8393,6.8393,6.8393,144,0
JHM,D,20111216,000000,6.8393,6.8393,6.8393,6.8393,186,0
JHM,D,20111219,000000,6.8393,6.8393,6.8393,6.8393,119,0
JHM,D,20111220,000000,6.8393,6.8393,6.6958,6.7915,253,0
JHM,D,20111221,000000,6.7915,6.7915,6.7915,6.7915,141,0
JHM,D,20111222,000000,6.7915,6.7915,6.7915,6.7915,133,0
JHM,D,20111223,000000,6.7915,6.7915,6.7436,6.7915,5438,0
JHM,D,20111227,000000,6.7915,6.7915,6.7915,6.7915,245,0
JHM,D,20111228,000000,6.7915,6.7915,6.7915,6.7915,111,0
JHM,D,20111229,000000,6.7915,6.7915,6.361,6.7915,194,0
JHM,D,20111230,000000,6.7915,6.7915,6.4089,6.7915,1069,0
JHM,D,20120102,000000,6.8871,6.8871,6.6958,6.8393,6691,0
JHM,D,20120103,000000,6.7915,6.7915,6.648,6.6958,923,0
JHM,D,20120104,000000,6.6958,6.6958,6.6958,6.6958,145,0
JHM,D,20120105,000000,6.648,6.648,6.6002,6.6002,489,0
JHM,D,20120109,000000,6.6002,6.6958,6.5524,6.6958,244,0
JHM,D,20120110,000000,6.6958,6.6958,6.6958,6.6958,91,0
JHM,D,20120111,000000,6.648,6.648,6.648,6.648,132,0
JHM,D,20120112,000000,6.648,6.8871,6.648,6.8871,211,0
JHM,D,20120113,000000,6.8393,6.8393,6.5045,6.7915,1578,0
JHM,D,20120116,000000,6.7436,6.7436,6.6958,6.6958,395,0
JHM,D,20120117,000000,6.6958,6.8871,6.5045,6.8871,2836,0
JHM,D,20120118,000000,6.8393,6.8393,6.5524,6.6958,797,0
JHM,D,20120119,000000,6.7436,6.7436,6.6958,6.6958,264,0
JHM,D,20120120,000000,6.7915,6.7915,6.7915,6.7915,106,0
JHM,D,20120123,000000,6.8393,6.8393,6.8393,6.8393,83,0
JHM,D,20120124,000000,6.7915,6.8393,6.7915,6.8393,8619,0
JHM,D,20120125,000000,6.8871,6.8871,6.8871,6.8871,4487,0
JHM,D,20120126,000000,6.7915,6.7915,6.7915,6.7915,154,0
JHM,D,20120127,000000,6.8393,6.8393,6.7915,6.7915,568,0
JHM,D,20120130,000000,6.7915,6.7915,6.7915,6.7915,93525,0
JHM,D,20120131,000000,6.7915,6.7915,6.7915,6.7915,86,0
JHM,D,20120201,000000,6.7915,6.7915,6.6958,6.6958,182,0
JHM,D,20120202,000000,6.6958,6.6958,6.5524,6.648,4726,0
JHM,D,20120203,000000,6.6958,6.6958,6.6958,6.6958,565,0
JHM,D,20120206,000000,6.6958,6.6958,6.5045,6.6958,221,0
JHM,D,20120207,000000,6.6958,6.6958,6.6958,6.6958,132,0
JHM,D,20120208,000000,6.6958,6.6958,6.6958,6.6958,81,0
JHM,D,20120209,000000,6.6958,6.6958,6.6958,6.6958,137,0
JHM,D,20120210,000000,6.6958,6.6958,5.4523,5.5958,23315,0
JHM,D,20120213,000000,5.6437,5.6437,5.261,5.261,19949,0
JHM,D,20120214,000000,5.4045,5.4045,5.2131,5.3566,24745,0
JHM,D,20120215,000000,5.4523,5.4523,5.2131,5.2131,11631,0
JHM,D,20120216,000000,5.3566,5.3566,5.2131,5.3566,50656,0
JHM,D,20120217,000000,5.3566,5.3566,5.2131,5.3088,4173,0
JHM,D,20120220,000000,5.3088,5.3088,4.9741,5.2131,6908,0
JHM,D,20120221,000000,5.2131,5.2131,5.1176,5.1654,1258,0
JHM,D,20120222,000000,5.1654,5.1654,4.9741,5.1176,4732,0
JHM,D,20120223,000000,5.2131,5.2131,4.6393,4.7827,12811,0
JHM,D,20120224,000000,4.7827,4.7827,4.4958,4.5915,12702,0
JHM,D,20120227,000000,4.4958,4.5915,4.161,4.4479,15713,0
JHM,D,20120228,000000,4.4958,4.4958,4.161,4.4001,11422,0
JHM,D,20120229,000000,4.4958,4.4958,4.2088,4.4479,1554,0
JHM,D,20120301,000000,4.4001,4.4479,4.2088,4.4479,731,0
JHM,D,20120302,000000,4.4479,4.8784,4.4479,4.5915,26924,0
JHM,D,20120305,000000,4.8784,4.9741,4.5915,4.7827,6688,0
JHM,D,20120306,000000,4.8784,4.8784,4.5915,4.8784,1950,0
JHM,D,20120307,000000,4.7349,4.9741,4.3523,4.9741,22353,0
JHM,D,20120308,000000,4.8784,4.8784,4.6393,4.7827,14475,0
JHM,D,20120309,000000,4.8784,4.8784,4.4479,4.7349,14576,0
JHM,D,20120312,000000,4.8305,4.8305,4.7349,4.8305,160,0
JHM,D,20120313,000000,4.7349,4.7349,4.5436,4.7349,517,0
JHM,D,20120314,000000,4.8305,4.8305,4.6393,4.7827,489,0
JHM,D,20120315,000000,4.8305,4.8305,4.4479,4.4958,8726,0
JHM,D,20120316,000000,4.5436,4.6393,4.4479,4.4958,4803,0
JHM,D,20120319,000000,4.6871,4.6871,4.5436,4.6871,677,0
JHM,D,20120320,000000,4.6871,4.6871,4.4001,4.5915,3472,0
JHM,D,20120321,000000,4.5915,4.5915,4.5915,4.5915,102,0
JHM,D,20120322,000000,4.5915,4.5915,4.161,4.5915,496,0
JHM,D,20120323,000000,4.5915,4.5915,4.5915,4.5915,295,0
JHM,D,20120326,000000,4.5915,4.5915,4.161,4.5915,574,0
JHM,D,20120327,000000,4.161,4.4958,4.161,4.4958,1084,0
JHM,D,20120328,000000,4.4958,4.4958,4.4958,4.4958,135,0
JHM,D,20120329,000000,4.4479,4.4479,4.4479,4.4479,104,0
JHM,D,20120330,000000,4.4001,4.4958,4.4001,4.4958,392,0
JHM,D,20120402,000000,4.4958,4.4958,4.1132,4.4001,446,0
JHM,D,20120403,000000,4.4001,4.4001,4.4001,4.4001,90,0
JHM,D,20120404,000000,4.4001,4.4001,4.1132,4.3523,739,0
JHM,D,20120405,000000,4.3523,4.3523,4.3523,4.3523,78,0
JHM,D,20120410,000000,4.3523,4.4001,4.0653,4.4001,243,0
JHM,D,20120411,000000,4.3044,4.3044,4.3044,4.3044,82,0
JHM,D,20120412,000000,4.3044,4.3044,4.0175,4.0175,221,0
JHM,D,20120413,000000,4.0175,4.3044,4.0175,4.2566,2970,0
JHM,D,20120416,000000,4.2566,4.2566,4.0175,4.2566,432,0
JHM,D,20120417,000000,4.2566,4.2566,4.2566,4.2566,142,0
JHM,D,20120418,000000,4.2566,4.2566,4.2566,4.2566,73,0
JHM,D,20120419,000000,4.2088,4.2566,4.0175,4.2566,264,0
JHM,D,20120420,000000,4.2566,4.2566,3.8262,3.8262,2655,0
JHM,D,20120423,000000,3.8262,4.2088,3.7783,3.7783,13269,0
JHM,D,20120424,000000,3.7783,3.7783,3.4436,3.6349,422,0
JHM,D,20120425,000000,3.6349,3.6349,3.6349,3.6349,550,0
JHM,D,20120426,000000,3.5871,3.5871,3.5871,3.5871,163,0
JHM,D,20120427,000000,3.4436,3.5871,3.4436,3.5871,2093,0
JHM,D,20120430,000000,3.6828,3.6828,3.6349,3.6349,1030,0
JHM,D,20120502,000000,3.6349,3.6828,3.4914,3.6828,3740,0
JHM,D,20120504,000000,3.6828,3.6828,3.6349,3.6828,236,0
JHM,D,20120507,000000,3.6828,3.6828,3.6828,3.6828,88,0
JHM,D,20120508,000000,3.5871,3.5871,3.5392,3.5871,321,0
JHM,D,20120509,000000,3.5392,3.5392,3.5392,3.5392,370,0
JHM,D,20120510,000000,3.5392,3.5392,3.3001,3.4914,884,0
JHM,D,20120511,000000,3.5392,3.5392,3.4914,3.4914,324,0
JHM,D,20120515,000000,3.5392,3.5392,3.5392,3.5392,91,0
JHM,D,20120516,000000,3.2522,3.5392,3.2522,3.5392,450,0
