<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JWC,D,20070604,000000,87.902,87.902,73.883,75.778,1918824,0
JWC,D,20070605,000000,76.914,76.914,72.983,73.457,272016,0
JWC,D,20070606,000000,74.215,74.215,71.326,71.989,149727,0
JWC,D,20070608,000000,71.042,71.421,70.473,70.852,91750,0
JWC,D,20070611,000000,71.421,74.831,71.042,73.362,97400,0
JWC,D,20070612,000000,73.883,73.883,69.147,71.989,90935,0
JWC,D,20070613,000000,71.799,71.799,70.189,71.231,20646,0
JWC,D,20070614,000000,71.942,71.942,70.237,70.568,53468,0
JWC,D,20070615,000000,70.284,70.284,69.242,70,42767,0
JWC,D,20070618,000000,70.094,70.379,68.2,69.147,106245,0
JWC,D,20070619,000000,69.147,70.615,69.005,70.473,67497,0
JWC,D,20070620,000000,70.852,71.894,70.094,70.094,32362,0
JWC,D,20070621,000000,70.852,70.852,68.816,69.431,29063,0
JWC,D,20070622,000000,69.147,69.147,67.632,67.726,47659,0
JWC,D,20070625,000000,68.2,68.2,65.832,67.442,73599,0
JWC,D,20070626,000000,68.2,68.2,65.548,66.258,24863,0
JWC,D,20070627,000000,66.211,66.211,63.937,64.411,70479,0
JWC,D,20070628,000000,64.127,64.411,61.096,61.901,64586,0
JWC,D,20070629,000000,61.096,61.522,57.781,61.522,124603,0
JWC,D,20070702,000000,60.717,60.717,58.207,58.728,36756,0
JWC,D,20070703,000000,57.781,61.759,57.496,61.001,95559,0
JWC,D,20070704,000000,61.096,63.937,61.096,62.896,56233,0
JWC,D,20070705,000000,62.99,64.411,61.569,62.327,32424,0
JWC,D,20070706,000000,62.517,62.517,61.569,62.28,40008,0
JWC,D,20070709,000000,62.896,62.896,60.622,60.859,33343,0
JWC,D,20070710,000000,59.77,60.622,59.201,59.675,30393,0
JWC,D,20070711,000000,59.675,59.675,57.781,58.491,33742,0
JWC,D,20070712,000000,58.538,58.822,57.449,57.781,21180,0
JWC,D,20070713,000000,58.538,59.675,57.496,58.538,15560,0
JWC,D,20070716,000000,57.781,58.349,54.56,56.644,72792,0
JWC,D,20070717,000000,55.791,56.739,53.992,56.644,25029,0
JWC,D,20070718,000000,56.644,57.307,55.507,55.886,20909,0
JWC,D,20070719,000000,55.602,56.17,55.412,55.507,15263,0
JWC,D,20070720,000000,55.649,55.697,53.897,53.897,49972,0
JWC,D,20070723,000000,53.044,53.471,50.818,52.192,47930,0
JWC,D,20070724,000000,51.292,52.097,50.203,50.203,71088,0
JWC,D,20070725,000000,48.403,51.15,46.887,51.15,123083,0
JWC,D,20070726,000000,52.002,52.287,47.74,48.308,35141,0
JWC,D,20070727,000000,45.94,48.308,44.519,47.408,75955,0
JWC,D,20070730,000000,47.361,47.551,45.94,46.603,36491,0
JWC,D,20070731,000000,46.793,50.345,46.698,49.729,74501,0
JWC,D,20070801,000000,48.308,48.308,46.887,48.119,32928,0
JWC,D,20070802,000000,51.15,52.002,50.25,51.15,68589,0
JWC,D,20070803,000000,51.15,53.85,50.676,52.002,58172,0
JWC,D,20070806,000000,51.103,54.939,50.203,53.992,48775,0
JWC,D,20070807,000000,55.791,56.786,53.044,53.613,113200,0
JWC,D,20070808,000000,53.423,53.518,51.15,53.139,60363,0
JWC,D,20070809,000000,53.613,53.613,52.902,53.518,62930,0
JWC,D,20070810,000000,49.256,51.15,49.256,51.15,53008,0
JWC,D,20070813,000000,51.15,51.813,50.155,51.245,47275,0
JWC,D,20070814,000000,51.813,52.097,50.676,51.482,76594,0
JWC,D,20070816,000000,49.256,49.445,45.76,47.361,107965,0
JWC,D,20070817,000000,45.467,52.097,45.467,51.15,71313,0
JWC,D,20070820,000000,53.992,53.992,52.097,52.097,52673,0
JWC,D,20070821,000000,52.097,52.808,50.297,51.15,35913,0
JWC,D,20070822,000000,52.05,53.139,51.434,53.044,39836,0
JWC,D,20070823,000000,54.749,54.749,53.044,54.134,29537,0
JWC,D,20070824,000000,53.897,53.897,52.571,53.423,47119,0
JWC,D,20070827,000000,53.802,53.85,51.908,52.381,19704,0
JWC,D,20070828,000000,52.381,52.381,50.771,50.866,8518,0
JWC,D,20070829,000000,48.877,50.487,48.687,50.487,35448,0
JWC,D,20070830,000000,50.582,51.624,48.829,49.634,14839,0
JWC,D,20070831,000000,49.256,50.392,49.066,49.777,23481,0
JWC,D,20070903,000000,50.534,51.103,50.203,50.203,12263,0
JWC,D,20070904,000000,50.676,50.676,50.203,50.297,9927,0
JWC,D,20070905,000000,50.203,50.297,48.308,48.308,29061,0
JWC,D,20070906,000000,48.782,50.013,48.308,49.729,48030,0
JWC,D,20070907,000000,49.729,49.729,47.551,47.835,19030,0
JWC,D,20070910,000000,46.698,47.835,46.689,47.039,13866,0
JWC,D,20070911,000000,47.408,47.408,44.519,46.404,258255,0
JWC,D,20070912,000000,47.285,47.285,45.571,46.177,21607,0
JWC,D,20070913,000000,46.224,47.323,45.609,47.323,13326,0
JWC,D,20070914,000000,47.304,47.304,45.618,46.414,8831,0
JWC,D,20070917,000000,46.044,46.423,46.035,46.234,46221,0
JWC,D,20070918,000000,46.234,46.414,45.609,46.234,7624,0
JWC,D,20070919,000000,47.835,47.835,46.793,47.172,46043,0
JWC,D,20070920,000000,47.352,47.551,46.035,46.054,40089,0
JWC,D,20070921,000000,46.13,47.456,45.94,47.361,36508,0
JWC,D,20070924,000000,47.361,48.308,46.414,47.361,11042,0
