<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
K2I,D,20080424,000000,16.248,16.254,14.694,15.278,5125,0
K2I,D,20080425,000000,15.605,15.605,14.661,15.501,1734,0
K2I,D,20080428,000000,15.539,15.539,15.539,15.539,32,0
K2I,D,20080429,000000,15.533,15.533,14.954,15.526,255,0
K2I,D,20080505,000000,15.474,15.474,15.474,15.474,5,0
K2I,D,20080506,000000,15.474,15.474,15.454,15.454,108,0
K2I,D,20080507,000000,15.462,15.462,14.954,15.442,111,0
K2I,D,20080508,000000,15.442,15.442,15.442,15.442,2,0
K2I,D,20080509,000000,15.442,15.442,15.442,15.442,2,0
K2I,D,20080512,000000,15.442,15.442,15.442,15.442,2,0
K2I,D,20080513,000000,15.442,15.442,15.442,15.442,159,0
K2I,D,20080514,000000,15.442,15.442,14.954,15.442,311,0
K2I,D,20080515,000000,15.442,15.442,15.442,15.442,193,0
K2I,D,20080516,000000,14.954,15.442,14.954,15.442,279,0
K2I,D,20080519,000000,15.442,15.442,15.442,15.442,1,0
K2I,D,20080520,000000,15.442,15.442,15.442,15.442,1,0
K2I,D,20080521,000000,15.429,15.429,15.429,15.429,3,0
K2I,D,20080523,000000,15.442,15.442,15.442,15.442,1,0
K2I,D,20080526,000000,15.442,15.442,15.402,15.41,179,0
K2I,D,20080527,000000,15.41,15.41,15.41,15.41,41,0
K2I,D,20080528,000000,15.41,15.41,14.37,15.41,132,0
K2I,D,20080529,000000,15.41,15.41,14.629,15.345,228,0
K2I,D,20080530,000000,15.41,15.41,15.41,15.41,1,0
K2I,D,20080602,000000,15.41,15.442,15.41,15.442,61,0
K2I,D,20080603,000000,15.442,15.442,15.442,15.442,3,0
K2I,D,20080604,000000,15.442,15.442,14.694,15.442,157,0
K2I,D,20080605,000000,15.442,15.442,15.442,15.442,1,0
K2I,D,20080606,000000,15.442,15.442,14.629,14.629,206,0
K2I,D,20080609,000000,14.694,15.214,14.694,15.214,155,0
K2I,D,20080610,000000,15.214,15.214,14.694,14.954,651,0
K2I,D,20080611,000000,14.304,14.564,13.785,14.304,2827,0
K2I,D,20080612,000000,14.629,15.474,14.629,14.694,710,0
K2I,D,20080613,000000,14.949,14.949,14.949,14.949,1,0
K2I,D,20080616,000000,14.949,14.949,14.949,14.949,2,0
K2I,D,20080617,000000,14.949,14.949,14.949,14.949,2,0
K2I,D,20080618,000000,14.949,14.949,13.653,14.941,4615,0
K2I,D,20080619,000000,13.66,14.941,13.66,14.941,1095,0
K2I,D,20080620,000000,14.941,14.941,14.941,14.941,2,0
K2I,D,20080623,000000,14.935,14.935,14.935,14.935,1,0
K2I,D,20080624,000000,14.922,14.922,13.785,14.304,137,0
K2I,D,20080625,000000,14.629,14.629,14.629,14.629,16,0
K2I,D,20080626,000000,14.629,14.629,14.629,14.629,1,0
K2I,D,20080627,000000,14.304,14.629,13.653,14.629,448,0
K2I,D,20080630,000000,14.629,14.629,13.263,13.458,2477,0
K2I,D,20080701,000000,13.914,13.914,13.133,13.849,64,0
K2I,D,20080704,000000,13.199,13.458,13.005,13.458,324,0
K2I,D,20080708,000000,13.005,13.005,12.235,12.97,725,0
K2I,D,20080709,000000,12.906,12.906,12.353,12.906,155,0
K2I,D,20080710,000000,12.97,12.97,12.939,12.939,250,0
K2I,D,20080711,000000,13.295,13.295,13.295,13.295,1,0
K2I,D,20080714,000000,13.295,13.295,13.295,13.295,1,0
K2I,D,20080715,000000,12.235,13.648,12.235,13.648,108,0
K2I,D,20080716,000000,13.648,13.648,12.256,12.939,451,0
K2I,D,20080717,000000,12.939,12.939,11.637,12.789,988,0
K2I,D,20080721,000000,12.549,12.549,12.549,12.549,1,0
K2I,D,20080722,000000,12.679,12.679,12.679,12.679,1,0
K2I,D,20080723,000000,12.671,12.671,12.671,12.671,1,0
K2I,D,20080724,000000,12.665,12.665,12.665,12.665,16,0
K2I,D,20080725,000000,12.646,12.646,12.646,12.646,1,0
K2I,D,20080728,000000,12.627,12.627,11.573,12.34,1189,0
K2I,D,20080730,000000,12.282,12.549,11.151,12.549,2390,0
K2I,D,20080731,000000,12.612,12.612,12.607,12.607,32,0
K2I,D,20080801,000000,12.612,12.612,12.612,12.612,1,0
K2I,D,20080804,000000,12.612,12.612,12.58,12.58,107,0
K2I,D,20080805,000000,12.47,12.47,11.378,12.348,210,0
K2I,D,20080806,000000,12.348,12.348,11.704,12.34,219,0
K2I,D,20080807,000000,12.47,12.47,12.418,12.418,13,0
K2I,D,20080808,000000,12.412,12.412,12.412,12.412,1,0
K2I,D,20080811,000000,12.464,12.464,12.464,12.464,1,0
K2I,D,20080812,000000,12.451,12.451,12.451,12.451,1,0
K2I,D,20080813,000000,12.445,12.445,12.445,12.445,1,0
K2I,D,20080814,000000,12.451,12.451,12.451,12.451,1,0
K2I,D,20080818,000000,12.438,12.438,12.438,12.438,1,0
K2I,D,20080819,000000,12.445,12.445,12.445,12.445,1,0
K2I,D,20080820,000000,12.438,12.438,12.438,12.438,16,0
K2I,D,20080821,000000,12.425,12.445,12.412,12.445,495,0
K2I,D,20080822,000000,12.405,12.405,12.405,12.405,1,0
K2I,D,20080825,000000,12.405,12.405,12.405,12.405,1,0
K2I,D,20080826,000000,11.775,12.405,11.775,12.405,632,0
K2I,D,20080827,000000,12.405,12.405,12.405,12.405,1,0
K2I,D,20080828,000000,12.405,12.405,12.405,12.405,1,0
K2I,D,20080829,000000,12.405,12.405,12.405,12.405,1,0
K2I,D,20080901,000000,12.353,12.353,12.353,12.353,1,0
K2I,D,20080902,000000,12.34,12.34,12.34,12.34,1,0
K2I,D,20080903,000000,12.348,12.348,12.348,12.348,1,0
K2I,D,20080904,000000,12.348,12.348,12.348,12.348,1,0
K2I,D,20080905,000000,12.348,12.348,12.348,12.348,77,0
K2I,D,20080908,000000,12.348,12.348,12.348,12.348,1,0
K2I,D,20080909,000000,12.348,12.348,12.348,12.348,1,0
K2I,D,20080910,000000,12.288,12.288,12.288,12.288,1,0
K2I,D,20080911,000000,12.276,12.276,12.276,12.276,1,0
K2I,D,20080912,000000,12.276,12.276,12.276,12.276,1,0
K2I,D,20080915,000000,12.256,12.256,12.256,12.256,1,0
K2I,D,20080916,000000,12.249,12.249,10.402,11.566,1373,0
K2I,D,20080917,000000,11.566,11.566,11.566,11.566,1,0
K2I,D,20080918,000000,11.553,11.553,11.521,11.529,124,0
K2I,D,20080919,000000,11.547,11.547,11.547,11.547,1,0
K2I,D,20080922,000000,11.502,11.502,11.502,11.502,1,0
K2I,D,20080923,000000,11.482,11.482,11.482,11.482,1,0
K2I,D,20080924,000000,10.396,10.402,10.396,10.402,1416,0
K2I,D,20080925,000000,10.402,10.402,10.273,10.396,238,0
K2I,D,20080926,000000,10.396,10.396,9.884,10.396,254,0
K2I,D,20080929,000000,10.396,10.396,9.753,10.396,312,0
K2I,D,20080930,000000,10.396,10.402,10.207,10.402,844,0
K2I,D,20081001,000000,10.396,10.396,10.396,10.396,32,0
K2I,D,20081002,000000,9.884,10.332,9.4273,10.207,5779,0
K2I,D,20081003,000000,10.267,10.267,10.267,10.267,1,0
K2I,D,20081006,000000,10.136,10.267,10.136,10.267,1538,0
K2I,D,20081008,000000,10.267,10.267,10.267,10.267,1,0
K2I,D,20081009,000000,10.261,10.261,10.261,10.261,1,0
K2I,D,20081010,000000,10.261,10.261,9.4273,10.261,157,0
K2I,D,20081013,000000,10.261,10.261,10.261,10.261,1,0
K2I,D,20081014,000000,10.241,10.241,10.241,10.241,1,0
K2I,D,20081015,000000,10.241,10.241,9.2984,10.241,570,0
K2I,D,20081016,000000,10.241,10.241,10.241,10.241,1,0
K2I,D,20081017,000000,10.241,10.241,10.241,10.241,1,0
K2I,D,20081020,000000,10.241,10.241,10.241,10.241,1,0
K2I,D,20081021,000000,10.241,10.241,9.753,10.071,1314,0
