<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KAN,D,20081222,000000,2.71,2.71,0.6,0.7,5530510,0
KAN,D,20081223,000000,0.74,0.85,0.71,0.76,6627242,0
KAN,D,20081229,000000,0.74,0.85,0.7,0.81,3158384,0
KAN,D,20081230,000000,0.83,0.84,0.78,0.78,889448,0
KAN,D,20081231,000000,0.78,0.8,0.76,0.78,583096,0
KAN,D,20090105,000000,0.78,0.8,0.73,0.78,4190183,0
KAN,D,20090106,000000,0.81,0.92,0.81,0.91,6918889,0
KAN,D,20090107,000000,0.93,0.94,0.87,0.89,2423091,0
KAN,D,20090108,000000,0.87,0.91,0.86,0.89,1104169,0
KAN,D,20090109,000000,0.9,0.91,0.86,0.9,597284,0
KAN,D,20090112,000000,0.9,0.9,0.86,0.87,793587,0
KAN,D,20090113,000000,0.86,0.86,0.82,0.83,515671,0
KAN,D,20090114,000000,0.84,0.85,0.79,0.8,405103,0
KAN,D,20090115,000000,0.79,0.79,0.75,0.77,573306,0
KAN,D,20090116,000000,0.78,0.84,0.78,0.83,399664,0
KAN,D,20090119,000000,0.82,0.82,0.78,0.81,290150,0
KAN,D,20090120,000000,0.8,0.8,0.78,0.79,94856,0
KAN,D,20090121,000000,0.78,0.82,0.74,0.82,130728,0
KAN,D,20090122,000000,0.82,0.82,0.77,0.8,108976,0
KAN,D,20090123,000000,0.77,0.83,0.77,0.82,293844,0
KAN,D,20090126,000000,0.81,0.88,0.81,0.86,143600,0
KAN,D,20090127,000000,0.87,0.88,0.82,0.84,149763,0
KAN,D,20090128,000000,0.84,0.87,0.82,0.87,169518,0
KAN,D,20090129,000000,0.88,0.88,0.84,0.87,20657,0
KAN,D,20090130,000000,0.83,0.87,0.82,0.86,48048,0
KAN,D,20090202,000000,0.83,0.83,0.8,0.82,28141,0
KAN,D,20090203,000000,0.8,0.83,0.79,0.8,119146,0
KAN,D,20090204,000000,0.8,0.84,0.8,0.82,83260,0
KAN,D,20090205,000000,0.83,0.83,0.81,0.83,88652,0
KAN,D,20090206,000000,0.84,0.88,0.82,0.88,181845,0
KAN,D,20090209,000000,0.88,0.88,0.83,0.86,113054,0
KAN,D,20090210,000000,0.86,0.87,0.84,0.87,115673,0
KAN,D,20090211,000000,0.84,1.11,0.84,1.11,1121019,0
KAN,D,20090212,000000,1.15,1.35,1.12,1.18,1120654,0
KAN,D,20090213,000000,1.2,1.22,1.14,1.19,382144,0
KAN,D,20090216,000000,1.2,1.38,1.13,1.2,679982,0
KAN,D,20090217,000000,1.2,1.2,0.98,1,355949,0
KAN,D,20090218,000000,1.02,1.16,0.98,1.15,313162,0
KAN,D,20090219,000000,1.19,1.28,1.15,1.23,346951,0
KAN,D,20090220,000000,1.2,1.26,1.17,1.22,70174,0
KAN,D,20090223,000000,1.21,1.28,1.2,1.25,134470,0
KAN,D,20090224,000000,1.23,1.44,1.21,1.42,614286,0
KAN,D,20090225,000000,1.46,1.48,1.32,1.45,332603,0
KAN,D,20090226,000000,1.42,1.51,1.38,1.51,371161,0
KAN,D,20090227,000000,1.56,1.59,1.52,1.57,308864,0
KAN,D,20090302,000000,1.57,1.57,1.47,1.52,75528,0
KAN,D,20090303,000000,1.5,1.57,1.42,1.56,322718,0
KAN,D,20090304,000000,1.56,1.6,1.48,1.55,148235,0
KAN,D,20090305,000000,1.55,1.65,1.47,1.65,98636,0
KAN,D,20090306,000000,1.69,1.72,1.61,1.71,191105,0
KAN,D,20090309,000000,1.72,1.74,1.63,1.68,112145,0
KAN,D,20090310,000000,1.68,1.69,1.55,1.63,190629,0
KAN,D,20090311,000000,1.65,1.65,1.5,1.5,196750,0
KAN,D,20090312,000000,1.51,1.58,1.41,1.58,127747,0
KAN,D,20090313,000000,1.55,1.6,1.53,1.59,103282,0
KAN,D,20090316,000000,1.58,1.59,1.44,1.49,258427,0
KAN,D,20090317,000000,1.49,1.53,1.41,1.41,200005,0
KAN,D,20090318,000000,1.5,1.5,1.38,1.43,77470,0
KAN,D,20090319,000000,1.4,1.69,1.4,1.67,340117,0
KAN,D,20090320,000000,1.67,1.75,1.6,1.74,153101,0
KAN,D,20090323,000000,1.69,1.8,1.69,1.79,59319,0
KAN,D,20090324,000000,1.79,1.84,1.76,1.81,87049,0
KAN,D,20090325,000000,1.8,1.8,1.65,1.73,190210,0
KAN,D,20090326,000000,1.64,1.72,1.61,1.67,36435,0
KAN,D,20090327,000000,1.63,1.73,1.59,1.73,103061,0
KAN,D,20090330,000000,1.69,1.69,1.62,1.67,19274,0
KAN,D,20090331,000000,1.71,1.71,1.58,1.67,114922,0
KAN,D,20090401,000000,1.69,1.71,1.61,1.7,53780,0
KAN,D,20090402,000000,1.71,1.86,1.71,1.85,242791,0
KAN,D,20090403,000000,1.95,1.95,1.8,1.92,191831,0
KAN,D,20090406,000000,1.91,1.96,1.8,1.9,85655,0
KAN,D,20090407,000000,1.85,1.91,1.79,1.87,79149,0
KAN,D,20090408,000000,1.81,1.9,1.8,1.89,63229,0
KAN,D,20090409,000000,1.82,1.88,1.82,1.86,37779,0
KAN,D,20090414,000000,1.82,1.99,1.8,1.95,189155,0
KAN,D,20090415,000000,1.96,1.96,1.87,1.93,8878,0
KAN,D,20090416,000000,1.93,1.93,1.86,1.89,25234,0
KAN,D,20090417,000000,1.87,1.87,1.72,1.74,100646,0
KAN,D,20090420,000000,1.79,1.79,1.62,1.68,81939,0
KAN,D,20090421,000000,1.7,1.74,1.66,1.74,61115,0
KAN,D,20090422,000000,1.71,1.84,1.68,1.84,57564,0
KAN,D,20090423,000000,1.85,1.85,1.8,1.85,60039,0
KAN,D,20090424,000000,1.8,1.86,1.8,1.85,28900,0
KAN,D,20090427,000000,1.89,1.89,1.76,1.76,15951,0
KAN,D,20090428,000000,1.71,1.75,1.65,1.74,102145,0
KAN,D,20090429,000000,1.73,1.81,1.72,1.78,11338,0
KAN,D,20090430,000000,1.73,1.79,1.7,1.79,5149,0
KAN,D,20090504,000000,1.88,1.88,1.76,1.79,22350,0
KAN,D,20090505,000000,1.68,1.77,1.68,1.77,34245,0
KAN,D,20090506,000000,1.74,1.79,1.74,1.76,19840,0
KAN,D,20090507,000000,1.76,1.76,1.68,1.74,18841,0
KAN,D,20090508,000000,1.72,1.87,1.7,1.86,50750,0
KAN,D,20090511,000000,1.86,1.86,1.77,1.85,40950,0
KAN,D,20090512,000000,1.84,1.84,1.77,1.84,13410,0
KAN,D,20090513,000000,1.79,1.83,1.71,1.72,28480,0
KAN,D,20090514,000000,1.82,1.82,1.72,1.76,9983,0
KAN,D,20090515,000000,1.78,1.93,1.72,1.93,60750,0
KAN,D,20090518,000000,1.92,1.92,1.82,1.84,25486,0
KAN,D,20090519,000000,1.87,2.11,1.8,2,425249,0
KAN,D,20090520,000000,1.99,1.99,1.82,1.88,150208,0
KAN,D,20090521,000000,1.87,1.87,1.73,1.78,59441,0
KAN,D,20090522,000000,1.78,1.81,1.74,1.79,30696,0
KAN,D,20090525,000000,1.77,1.84,1.77,1.84,3100,0
KAN,D,20090526,000000,1.75,1.8,1.75,1.78,8035,0
KAN,D,20090527,000000,1.83,1.83,1.76,1.76,17100,0
KAN,D,20090528,000000,1.82,1.82,1.74,1.77,12100,0
KAN,D,20090529,000000,1.73,2.18,1.73,2.18,460663,0
KAN,D,20090601,000000,2.17,2.2,2.05,2.2,102462,0
KAN,D,20090602,000000,2.2,2.66,2.11,2.66,286853,0
KAN,D,20090603,000000,2.65,2.78,2.5,2.54,163566,0
KAN,D,20090604,000000,2.54,2.93,2.45,2.7,165514,0
KAN,D,20090605,000000,2.79,2.79,2.58,2.71,99597,0
KAN,D,20090608,000000,2.72,2.72,2.54,2.55,27816,0
KAN,D,20090609,000000,2.58,2.58,2.46,2.54,45716,0
KAN,D,20090610,000000,2.58,2.58,2.53,2.53,29529,0
KAN,D,20090612,000000,2.58,2.65,2.5,2.6,43819,0
KAN,D,20090615,000000,2.6,2.66,2.54,2.58,63507,0
KAN,D,20090616,000000,2.58,2.6,2.49,2.58,31840,0
KAN,D,20090617,000000,2.59,2.59,2.45,2.56,53615,0
KAN,D,20090618,000000,2.58,2.58,2.43,2.55,28157,0
KAN,D,20090619,000000,2.54,2.57,2.49,2.57,34590,0
KAN,D,20090622,000000,2.52,2.56,2.45,2.54,11198,0
KAN,D,20090623,000000,2.37,2.5,2.3,2.5,18408,0
KAN,D,20090624,000000,2.51,2.66,2.49,2.65,46536,0
KAN,D,20090625,000000,2.66,2.82,2.58,2.73,190897,0
KAN,D,20090626,000000,2.75,2.79,2.55,2.7,79114,0
KAN,D,20090629,000000,2.65,2.69,2.53,2.69,26209,0
KAN,D,20090630,000000,2.69,2.78,2.6,2.76,35276,0
KAN,D,20090701,000000,2.77,2.78,2.62,2.62,22160,0
KAN,D,20090702,000000,2.58,2.62,2.44,2.44,24954,0
KAN,D,20090703,000000,2.46,2.6,2.39,2.5,5825,0
KAN,D,20090706,000000,2.52,2.58,2.52,2.58,2600,0
KAN,D,20090707,000000,2.59,2.59,2.5,2.54,6046,0
KAN,D,20090708,000000,2.48,2.5,2.45,2.5,3370,0
KAN,D,20090709,000000,2.42,2.48,2.35,2.48,15273,0
KAN,D,20090710,000000,2.48,2.5,2.39,2.4,72868,0
KAN,D,20090713,000000,2.45,2.55,2.4,2.44,26135,0
KAN,D,20090714,000000,2.43,2.49,2.4,2.47,33850,0
KAN,D,20090715,000000,2.4,2.49,2.39,2.48,3515,0
KAN,D,20090716,000000,2.5,2.5,2.39,2.5,1406,0
