<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBD,D,20010717,000000,1704.65,1704.65,1623.27,1704.65,163,0
KBD,D,20010718,000000,1656,1656,1639.19,1656,15,0
KBD,D,20010719,000000,1663.96,1663.96,1639.19,1639.19,2,0
KBD,D,20010720,000000,1639.19,1639.19,1631.23,1631.23,9,0
KBD,D,20010723,000000,1656,1656,1656,1656,1,0
KBD,D,20010724,000000,1623.27,1623.27,1623.27,1623.27,5,0
KBD,D,20010726,000000,1623.27,1623.27,1582.58,1623.27,18,0
KBD,D,20010727,000000,1566.65,1574.62,1566.65,1574.62,13,0
KBD,D,20010730,000000,1549.85,1607.35,1549.85,1607.35,2,0
KBD,D,20010731,000000,1549.85,1582.58,1510.04,1582.58,6,0
KBD,D,20010802,000000,1510.04,1582.58,1501.19,1510.04,20,0
KBD,D,20010803,000000,1525.96,1533.92,1525.96,1533.92,5,0
KBD,D,20010806,000000,1485.27,1525.96,1485.27,1525.96,5,0
KBD,D,20010807,000000,1464.92,1501.19,1460.5,1501.19,15,0
KBD,D,20010808,000000,1452.54,1485.27,1452.54,1485.27,5,0
KBD,D,20010809,000000,1420.69,1477.31,1380,1477.31,37,0
KBD,D,20010810,000000,1420.69,1477.31,1420.69,1477.31,12,0
KBD,D,20010813,000000,1420.69,1485.27,1416.27,1485.27,6,0
KBD,D,20010814,000000,1420.69,1469.35,1420.69,1469.35,22,0
KBD,D,20010816,000000,1485.27,1485.27,1485.27,1485.27,1,0
KBD,D,20010817,000000,1477.31,1477.31,1428.65,1469.35,15,0
KBD,D,20010820,000000,1420.69,1460.5,1420.69,1460.5,9,0
KBD,D,20010821,000000,1477.31,1533.92,1477.31,1533.92,33,0
KBD,D,20010822,000000,1501.19,1541.88,1501.19,1541.88,4,0
KBD,D,20010823,000000,1541.88,1541.88,1541.88,1541.88,0,0
KBD,D,20010827,000000,1570.19,1570.19,1497.65,1497.65,12,0
KBD,D,20010828,000000,1460.5,1460.5,1460.5,1460.5,2,0
KBD,D,20010829,000000,1489.69,1501.19,1489.69,1501.19,10,0
KBD,D,20010830,000000,1541.88,1582.58,1541.88,1582.58,11,0
KBD,D,20010831,000000,1574.62,1574.62,1574.62,1574.62,0,0
KBD,D,20010904,000000,1590.54,1607.35,1582.58,1582.58,21,0
KBD,D,20010905,000000,1582.58,1582.58,1582.58,1582.58,13,0
KBD,D,20010906,000000,1598.5,1647.15,1598.5,1647.15,4,0
KBD,D,20010911,000000,1623.27,1623.27,1623.27,1623.27,4,0
KBD,D,20010914,000000,1566.65,1566.65,1566.65,1566.65,5,0
KBD,D,20010917,000000,1518,1566.65,1518,1566.65,8,0
KBD,D,20010918,000000,1525.96,1525.96,1525.96,1525.96,5,0
KBD,D,20010919,000000,1525.96,1566.65,1525.96,1566.65,7,0
KBD,D,20010921,000000,1493.23,1518,1493.23,1518,6,0
KBD,D,20010925,000000,1485.27,1493.23,1477.31,1493.23,30,0
KBD,D,20010926,000000,1518,1623.27,1518,1623.27,1117,0
KBD,D,20010927,000000,1623.27,1623.27,1566.65,1566.65,27,0
KBD,D,20010928,000000,1566.65,1566.65,1566.65,1566.65,0,0
KBD,D,20011002,000000,1623.27,1623.27,1558.69,1558.69,6,0
KBD,D,20011003,000000,1558.69,1558.69,1558.69,1558.69,4,0
KBD,D,20011004,000000,1631.23,1663.96,1623.27,1663.96,11,0
KBD,D,20011005,000000,1594.96,1594.96,1594.96,1594.96,2,0
KBD,D,20011008,000000,1594.96,1594.96,1594.96,1594.96,2,0
KBD,D,20011009,000000,1566.65,1566.65,1566.65,1566.65,2,0
KBD,D,20011010,000000,1607.35,1607.35,1566.65,1566.65,7,0
KBD,D,20011011,000000,1549.85,1549.85,1549.85,1549.85,37,0
KBD,D,20011012,000000,1549.85,1663.96,1549.85,1663.96,90,0
KBD,D,20011015,000000,1663.96,1728.54,1663.96,1728.54,3,0
KBD,D,20011016,000000,1745.35,1794,1745.35,1794,8,0
KBD,D,20011017,000000,1794,1866.54,1785.15,1866.54,12,0
KBD,D,20011018,000000,1833.81,1907.23,1833.81,1866.54,128,0
KBD,D,20011019,000000,1833.81,1842.65,1663.96,1663.96,939,0
KBD,D,20011022,000000,1728.54,1753.31,1704.65,1753.31,7,0
KBD,D,20011023,000000,1785.15,1866.54,1785.15,1866.54,16,0
KBD,D,20011024,000000,1866.54,1947.92,1866.54,1923.15,1275,0
KBD,D,20011025,000000,1947.92,1955.88,1866.54,1866.54,678,0
KBD,D,20011026,000000,1907.23,1907.23,1891.31,1907.23,65,0
KBD,D,20011029,000000,1858.58,1858.58,1842.65,1850.62,80,0
KBD,D,20011030,000000,1825.85,1883.35,1825.85,1883.35,49,0
KBD,D,20011031,000000,1825.85,2093.88,1785.15,2093.88,289,0
KBD,D,20011102,000000,1932,2037.27,1923.15,2029.31,985,0
KBD,D,20011105,000000,1947.92,1947.92,1858.58,1858.58,26,0
KBD,D,20011106,000000,1833.81,1907.23,1833.81,1866.54,10,0
KBD,D,20011107,000000,1833.81,1874.5,1833.81,1833.81,123,0
KBD,D,20011108,000000,1825.85,1850.62,1794,1850.62,116,0
KBD,D,20011112,000000,1777.19,1825.85,1745.35,1745.35,9,0
KBD,D,20011113,000000,1712.62,1825.85,1712.62,1825.85,19,0
KBD,D,20011114,000000,1858.58,1858.58,1858.58,1858.58,12,0
KBD,D,20011115,000000,1833.81,1866.54,1833.81,1866.54,2,0
KBD,D,20011116,000000,1866.54,1866.54,1866.54,1866.54,2,0
KBD,D,20011120,000000,1842.65,1850.62,1842.65,1850.62,43,0
KBD,D,20011121,000000,1858.58,1874.5,1858.58,1874.5,35,0
KBD,D,20011122,000000,1866.54,1980.65,1866.54,1980.65,62,0
KBD,D,20011126,000000,1874.5,1874.5,1874.5,1874.5,1,0
KBD,D,20011128,000000,1858.58,1939.96,1858.58,1939.96,6,0
KBD,D,20011129,000000,1850.62,1939.96,1850.62,1939.96,15,0
KBD,D,20011130,000000,1850.62,1932,1850.62,1932,12,0
KBD,D,20011205,000000,1874.5,1874.5,1866.54,1866.54,6,0
KBD,D,20011206,000000,1858.58,1858.58,1858.58,1858.58,1,0
KBD,D,20011207,000000,1866.54,1866.54,1866.54,1866.54,3,0
KBD,D,20011210,000000,1915.19,1915.19,1915.19,1915.19,0,0
KBD,D,20011211,000000,1850.62,1850.62,1850.62,1850.62,4,0
KBD,D,20011212,000000,1801.96,1891.31,1801.96,1891.31,14,0
KBD,D,20011219,000000,1801.96,1891.31,1801.96,1891.31,3,0
KBD,D,20011221,000000,1817.88,1947.92,1817.88,1947.92,394,0
KBD,D,20011227,000000,1842.65,1899.27,1842.65,1899.27,4,0
KBD,D,20011228,000000,1866.54,1907.23,1866.54,1907.23,25,0
KBD,D,20011231,000000,1833.81,1939.96,1833.81,1915.19,95,0
KBD,D,20020103,000000,1899.27,1899.27,1899.27,1899.27,2,0
KBD,D,20020109,000000,1915.19,1915.19,1915.19,1915.19,1,0
KBD,D,20020114,000000,1858.58,1915.19,1858.58,1915.19,3,0
KBD,D,20020115,000000,1866.54,1866.54,1866.54,1866.54,2,0
KBD,D,20020116,000000,1866.54,1915.19,1794,1915.19,1779,0
KBD,D,20020117,000000,1915.19,1915.19,1915.19,1915.19,7,0
KBD,D,20020118,000000,1915.19,1947.92,1915.19,1947.92,52,0
KBD,D,20020121,000000,1955.88,1988.62,1955.88,1988.62,11,0
KBD,D,20020122,000000,2029.31,2070,2021.35,2070,29,0
KBD,D,20020123,000000,2061.15,2175.27,2029.31,2175.27,35,0
KBD,D,20020124,000000,2223.92,2272.58,2208,2272.58,11,0
KBD,D,20020125,000000,2256.65,2288.5,2256.65,2288.5,12,0
KBD,D,20020128,000000,2264.62,2329.19,2256.65,2329.19,10,0
KBD,D,20020129,000000,2346,2346,2305.31,2313.27,4,0
KBD,D,20020130,000000,2280.54,2280.54,2231.88,2231.88,63,0
KBD,D,20020131,000000,2231.88,2239.85,2150.5,2150.5,6,0
KBD,D,20020201,000000,2118.65,2150.5,2109.81,2109.81,7,0
KBD,D,20020204,000000,2126.62,2142.54,2109.81,2134.58,7,0
KBD,D,20020206,000000,2150.5,2150.5,2150.5,2150.5,1,0
KBD,D,20020207,000000,2134.58,2167.31,2093.88,2134.58,26,0
KBD,D,20020211,000000,2093.88,2134.58,2053.19,2134.58,6,0
KBD,D,20020212,000000,2053.19,2126.62,2053.19,2126.62,2,0
KBD,D,20020213,000000,2150.5,2158.46,2101.85,2158.46,3,0
KBD,D,20020215,000000,2183.23,2183.23,2183.23,2183.23,1,0
KBD,D,20020218,000000,2150.5,2223.92,2118.65,2208,3,0
KBD,D,20020219,000000,2126.62,2256.65,2126.62,2256.65,9,0
KBD,D,20020220,000000,2272.58,2272.58,2272.58,2272.58,1,0
KBD,D,20020221,000000,2264.62,2272.58,2247.81,2264.62,7,0
KBD,D,20020222,000000,2264.62,2272.58,2239.85,2247.81,14,0
KBD,D,20020225,000000,2247.81,2247.81,2231.88,2247.81,7,0
KBD,D,20020226,000000,2231.88,2247.81,2223.92,2247.81,5,0
KBD,D,20020227,000000,2231.88,2247.81,2231.88,2247.81,1,0
KBD,D,20020228,000000,2223.92,2223.92,2223.92,2223.92,3,0
KBD,D,20020301,000000,2215.96,2247.81,2208,2247.81,4,0
KBD,D,20020304,000000,2231.88,2239.85,2208,2239.85,7,0
KBD,D,20020305,000000,2215.96,2223.92,2191.19,2223.92,6,0
KBD,D,20020306,000000,2191.19,2191.19,2191.19,2191.19,0,0
KBD,D,20020307,000000,2208,2208,2208,2208,1,0
KBD,D,20020308,000000,2191.19,2191.19,2191.19,2191.19,1,0
KBD,D,20020311,000000,2175.27,2191.19,2150.5,2191.19,16,0
KBD,D,20020312,000000,2191.19,2191.19,2191.19,2191.19,1,0
KBD,D,20020315,000000,2208,2208,2158.46,2208,2,0
KBD,D,20020318,000000,2183.23,2183.23,2183.23,2183.23,7,0
KBD,D,20020319,000000,2175.27,2208,2175.27,2175.27,54,0
KBD,D,20020320,000000,2150.5,2150.5,2093.88,2150.5,23,0
KBD,D,20020321,000000,2109.81,2142.54,2085.92,2142.54,19,0
KBD,D,20020322,000000,2118.65,2158.46,2118.65,2158.46,15,0
KBD,D,20020325,000000,2142.54,2175.27,2134.58,2175.27,4,0
