<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KCI,D,19980119,000000,4.144,4.144,4.144,4.144,65226,0
KCI,D,19980120,000000,3.808,3.808,3.808,3.808,37909,0
KCI,D,19980121,000000,3.78,3.78,3.78,3.78,26481,0
KCI,D,19980122,000000,3.416,3.416,3.416,3.416,14160,0
KCI,D,19980123,000000,3.472,3.472,3.472,3.472,7835,0
KCI,D,19980126,000000,3.528,3.528,3.528,3.528,7480,0
KCI,D,19980127,000000,3.528,3.528,3.528,3.528,19709,0
KCI,D,19980128,000000,3.584,3.584,3.584,3.584,12903,0
KCI,D,19980129,000000,3.836,3.836,3.836,3.836,15855,0
KCI,D,19980130,000000,3.948,3.948,3.948,3.948,44884,0
KCI,D,19980202,000000,4.144,4.144,4.144,4.144,28843,0
KCI,D,19980203,000000,4.116,4.116,4.116,4.116,24297,0
KCI,D,19980204,000000,3.696,3.696,3.696,3.696,13848,0
KCI,D,19980205,000000,3.808,3.808,3.808,3.808,9715,0
KCI,D,19980206,000000,3.92,3.92,3.92,3.92,9994,0
KCI,D,19980209,000000,4.032,4.032,4.032,4.032,20266,0
KCI,D,19980210,000000,4.032,4.032,4.032,4.032,25427,0
KCI,D,19980211,000000,3.976,3.976,3.976,3.976,18461,0
KCI,D,19980212,000000,3.584,3.584,3.584,3.584,12971,0
KCI,D,19980213,000000,3.64,3.64,3.64,3.64,5380,0
KCI,D,19980216,000000,3.808,3.808,3.808,3.808,13131,0
KCI,D,19980217,000000,3.948,3.948,3.948,3.948,21430,0
KCI,D,19980218,000000,4.088,4.088,4.088,4.088,13485,0
KCI,D,19980219,000000,4.032,4.032,4.032,4.032,20173,0
KCI,D,19980220,000000,3.808,3.808,3.808,3.808,3913,0
KCI,D,19980223,000000,3.92,3.92,3.92,3.92,6789,0
KCI,D,19980224,000000,3.92,3.92,3.92,3.92,18014,0
KCI,D,19980225,000000,3.836,3.836,3.836,3.836,49792,0
KCI,D,19980226,000000,3.864,3.864,3.864,3.864,23606,0
KCI,D,19980227,000000,3.92,3.92,3.92,3.92,7877,0
KCI,D,19980302,000000,3.892,3.892,3.892,3.892,2935,0
KCI,D,19980303,000000,3.864,3.864,3.864,3.864,3795,0
KCI,D,19980304,000000,3.78,3.78,3.78,3.78,13983,0
KCI,D,19980305,000000,3.724,3.724,3.724,3.724,7826,0
KCI,D,19980306,000000,3.724,3.724,3.724,3.724,13814,0
KCI,D,19980309,000000,3.808,3.808,3.808,3.808,5060,0
KCI,D,19980310,000000,3.864,3.864,3.864,3.864,14590,0
KCI,D,19980311,000000,3.612,3.612,3.612,3.612,3146,0
KCI,D,19980312,000000,3.668,3.668,3.668,3.668,3415,0
KCI,D,19980313,000000,3.864,3.864,3.864,3.864,11208,0
KCI,D,19980316,000000,3.808,3.808,3.808,3.808,48122,0
KCI,D,19980317,000000,3.724,3.724,3.724,3.724,6460,0
KCI,D,19980318,000000,3.668,3.668,3.668,3.668,4900,0
KCI,D,19980319,000000,3.78,3.78,3.78,3.78,7202,0
KCI,D,19980320,000000,3.808,3.808,3.808,3.808,5735,0
KCI,D,19980323,000000,3.64,3.64,3.64,3.64,4107,0
KCI,D,19980324,000000,3.528,3.528,3.528,3.528,4529,0
KCI,D,19980325,000000,3.612,3.612,3.612,3.612,5693,0
KCI,D,19980326,000000,3.332,3.332,3.332,3.332,6747,0
KCI,D,19980327,000000,3.444,3.444,3.444,3.444,6485,0
KCI,D,19980330,000000,3.444,3.444,3.444,3.444,9243,0
KCI,D,19980331,000000,3.388,3.388,3.388,3.388,9530,0
KCI,D,19980401,000000,3.444,3.444,3.444,3.444,9209,0
KCI,D,19980402,000000,3.388,3.388,3.388,3.388,1535,0
KCI,D,19980406,000000,3.332,3.332,3.332,3.332,607,0
KCI,D,19980407,000000,3.388,3.388,3.388,3.388,3432,0
