<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGL,D,20151210,000000,17.963,17.963,17.207,17.225,1885,0
KGL,D,20151211,000000,17.906,18.389,17.897,18.389,687,0
KGL,D,20151214,000000,18.247,18.247,18.247,18.247,10,0
KGL,D,20151215,000000,17.509,17.916,17.509,17.916,274,0
KGL,D,20151216,000000,17.916,17.916,17.509,17.916,19,0
KGL,D,20151217,000000,17.689,17.916,17.689,17.916,68,0
KGL,D,20151221,000000,18.105,18.105,17.963,17.963,176,0
KGL,D,20151222,000000,17.963,18.105,17.774,18.105,1079,0
KGL,D,20151228,000000,17.68,18.095,17.68,18.095,73,0
KGL,D,20151230,000000,18.058,18.218,18.058,18.153,10578,0
KGL,D,20160104,000000,18.435,18.435,18.435,18.435,2,0
KGL,D,20160115,000000,17.633,18.228,17.566,18.228,242,0
KGL,D,20160120,000000,17.699,17.963,17.699,17.963,45,0
KGL,D,20160121,000000,17.709,17.963,17.709,17.963,1351,0
KGL,D,20160122,000000,17.963,17.963,17.963,17.963,394,0
KGL,D,20160128,000000,17.65,17.963,17.538,17.963,1074,0
KGL,D,20160129,000000,17.916,17.963,17.916,17.963,1481,0
KGL,D,20160203,000000,18.343,18.343,17.585,17.945,10923,0
KGL,D,20160204,000000,17.916,17.963,17.916,17.963,226,0
KGL,D,20160205,000000,17.821,17.963,17.585,17.585,2386,0
KGL,D,20160208,000000,17.755,17.963,17.755,17.963,101,0
KGL,D,20160209,000000,17.633,17.869,17.207,17.633,2251,0
KGL,D,20160210,000000,17.623,17.623,17.623,17.623,5,0
KGL,D,20160211,000000,17.613,17.869,17.613,17.869,77,0
KGL,D,20160217,000000,17.604,17.869,17.604,17.869,86,0
KGL,D,20160222,000000,17.774,17.774,17.774,17.774,3,0
KGL,D,20160225,000000,17.765,17.859,17.765,17.859,2222,0
KGL,D,20160301,000000,17.963,18.058,17.774,17.963,1684,0
KGL,D,20160302,000000,17.869,17.955,17.444,17.955,1217,0
KGL,D,20160309,000000,17.849,17.897,17.849,17.897,183,0
KGL,D,20160311,000000,17.879,17.963,17.879,17.963,78,0
KGL,D,20160314,000000,17.955,17.963,17.955,17.963,2222,0
KGL,D,20160315,000000,17.955,17.955,17.955,17.955,75,0
KGL,D,20160316,000000,17.869,17.869,17.869,17.869,119,0
KGL,D,20160317,000000,17.869,17.869,17.869,17.869,156,0
KGL,D,20160318,000000,17.859,17.963,17.859,17.963,846,0
KGL,D,20160321,000000,17.869,17.869,17.869,17.869,179,0
KGL,D,20160322,000000,17.859,18.048,17.414,17.414,12376,0
KGL,D,20160323,000000,17.869,17.869,17.869,17.869,10,0
KGL,D,20160324,000000,17.869,17.869,17.406,17.869,111,0
KGL,D,20160330,000000,17.869,17.869,17.869,17.869,106,0
KGL,D,20160404,000000,17.869,17.869,17.869,17.869,48,0
KGL,D,20160405,000000,17.869,17.869,17.869,17.869,73,0
KGL,D,20160408,000000,17.859,17.869,17.859,17.869,3173,0
KGL,D,20160411,000000,17.869,18.343,17.869,18.343,15287,0
KGL,D,20160412,000000,18.418,19.372,18.408,18.908,19888,0
KGL,D,20160413,000000,19.097,19.759,18.815,19.759,10046,0
KGL,D,20160414,000000,19.561,19.561,18.435,18.719,4888,0
KGL,D,20160415,000000,19.561,20.8,18.908,20.8,13841,0
KGL,D,20160418,000000,20.232,20.8,19.853,20.8,920,0
KGL,D,20160419,000000,20.705,21.603,20.705,21.178,7707,0
KGL,D,20160420,000000,20.989,21.178,20.989,20.989,10688,0
KGL,D,20160421,000000,20.611,20.8,20.611,20.8,1710,0
KGL,D,20160425,000000,20.043,20.8,20.043,20.8,44,0
KGL,D,20160426,000000,20.043,20.043,20.043,20.043,936,0
KGL,D,20160427,000000,19.949,19.949,19.949,19.949,415,0
KGL,D,20160428,000000,19.949,19.949,19.949,19.949,529,0
KGL,D,20160429,000000,20.8,21.556,20.705,20.705,2510,0
KGL,D,20160504,000000,20.327,20.327,20.327,20.327,344,0
KGL,D,20160505,000000,20.516,20.516,20.516,20.516,221,0
KGL,D,20160510,000000,20.516,20.516,20.516,20.516,161,0
KGL,D,20160511,000000,20.989,21.451,20.989,21.451,267,0
KGL,D,20160517,000000,21.075,21.075,21.075,21.075,190,0
KGL,D,20160518,000000,21.075,21.075,21.075,21.075,48,0
KGL,D,20160519,000000,20.79,20.79,20.79,20.79,10,0
KGL,D,20160520,000000,20.79,20.8,20.79,20.8,651,0
KGL,D,20160523,000000,20.8,20.8,20.8,20.8,8991,0
KGL,D,20160527,000000,20.8,20.8,20.8,20.8,106,0
KGL,D,20160530,000000,20.611,20.611,20.611,20.611,80,0
KGL,D,20160601,000000,20.611,20.611,20.611,20.611,459,0
KGL,D,20160606,000000,20.611,20.611,20.611,20.611,82,0
KGL,D,20160607,000000,21.13,21.13,21.13,21.13,2,0
KGL,D,20160609,000000,21.13,21.13,20.611,20.611,530,0
KGL,D,20160615,000000,21.556,21.556,19.571,21.556,662,0
KGL,D,20160616,000000,19.853,20.8,19.571,19.571,3545,0
KGL,D,20160617,000000,21.272,21.272,21.272,21.272,5,0
KGL,D,20160620,000000,20.752,20.752,20.752,20.752,126,0
KGL,D,20160621,000000,20.468,20.468,20.468,20.468,13,0
KGL,D,20160622,000000,21.083,21.083,21.083,21.083,5,0
KGL,D,20160623,000000,20.468,20.468,20.468,20.468,1,0
KGL,D,20160624,000000,20.468,20.468,19.853,19.853,557,0
KGL,D,20160629,000000,19.853,20.459,19.853,20.459,1077,0
KGL,D,20160705,000000,20.459,20.468,19.571,20.468,223,0
KGL,D,20160712,000000,20.421,20.421,19.571,20.421,239,0
KGL,D,20160714,000000,19.571,20.516,19.571,20.516,52,0
KGL,D,20160719,000000,20.327,20.327,20.327,20.327,244,0
KGL,D,20160725,000000,20.327,20.327,20.327,20.327,149,0
KGL,D,20160726,000000,20.327,20.327,20.327,20.327,85,0
KGL,D,20160805,000000,20.327,20.327,20.327,20.327,26,0
KGL,D,20160811,000000,20.28,20.28,20.28,20.28,54,0
KGL,D,20160816,000000,20.28,20.28,20.28,20.28,10,0
KGL,D,20160819,000000,20.232,20.327,20.232,20.327,2,0
KGL,D,20160822,000000,20.327,20.327,20.327,20.327,10,0
KGL,D,20160823,000000,20.327,20.327,20.327,20.327,106,0
KGL,D,20160901,000000,19.571,19.853,19.571,19.853,856,0
KGL,D,20160905,000000,19.287,19.287,19.287,19.287,2195,0
KGL,D,20160907,000000,19.003,19.003,19.003,19.003,3,0
KGL,D,20160908,000000,19.003,19.003,19.003,19.003,510,0
KGL,D,20160909,000000,19.853,19.853,19.853,19.853,31,0
KGL,D,20160913,000000,19.003,19.949,19.003,19.949,372,0
KGL,D,20160926,000000,19.939,19.939,19.93,19.93,534,0
KGL,D,20160927,000000,19.939,19.939,19.939,19.939,13,0
KGL,D,20160928,000000,19.939,19.939,19.939,19.939,106,0
KGL,D,20160930,000000,19.911,19.911,19.911,19.911,7,0
KGL,D,20161003,000000,19.939,19.939,19.939,19.939,1,0
KGL,D,20161004,000000,19.902,19.902,19.902,19.902,106,0
KGL,D,20161019,000000,19.013,19.853,19.013,19.853,27,0
KGL,D,20161026,000000,19.845,19.845,19.845,19.845,233,0
KGL,D,20161031,000000,19.845,19.845,19.845,19.845,10,0
KGL,D,20161102,000000,19.845,19.845,19.845,19.845,106,0
KGL,D,20161103,000000,19.845,19.845,19.845,19.845,10,0
KGL,D,20161108,000000,19.759,19.759,19.759,19.759,106,0
KGL,D,20161109,000000,19.845,19.845,19.845,19.845,10,0
KGL,D,20161114,000000,19.759,19.759,19.759,19.759,5,0
KGL,D,20161115,000000,19.845,19.845,19.845,19.845,41,0
KGL,D,20161116,000000,19.759,19.759,19.759,19.759,41,0
KGL,D,20161118,000000,19.627,19.759,19.013,19.759,103,0
KGL,D,20161121,000000,19.759,19.759,19.759,19.759,5,0
KGL,D,20161125,000000,19.759,19.845,19.552,19.845,1530,0
KGL,D,20161128,000000,19.759,19.845,19.759,19.845,25,0
KGL,D,20161129,000000,19.845,19.845,19.845,19.845,12,0
KGL,D,20161207,000000,19.845,20.705,19.845,19.853,1901,0
KGL,D,20161208,000000,19.845,19.845,19.666,19.666,806,0
KGL,D,20161209,000000,19.666,19.666,19.381,19.381,1072,0
KGL,D,20161212,000000,19.381,19.381,19.381,19.381,53,0
KGL,D,20161215,000000,19.514,20.705,19.514,20.705,2579,0
KGL,D,20161221,000000,19.853,19.853,19.853,19.853,2177,0
KGL,D,20161222,000000,19.759,19.863,19.287,19.863,1308,0
KGL,D,20161223,000000,19.381,19.381,19.381,19.381,27,0
KGL,D,20161229,000000,19.571,19.853,19.571,19.853,5603,0
KGL,D,20161230,000000,19.863,20.261,19.381,19.381,2068,0
KGL,D,20170102,000000,19.845,19.845,19.845,19.845,21,0
KGL,D,20170105,000000,19.845,19.845,19.845,19.845,10,0
KGL,D,20170111,000000,18.918,18.918,18.918,18.918,1,0
KGL,D,20170117,000000,19.845,19.845,19.845,19.845,5,0
KGL,D,20170123,000000,19.845,19.845,19.845,19.845,10,0
KGL,D,20170126,000000,19.835,19.845,18.957,19.845,108,0
KGL,D,20170131,000000,19.835,19.835,19.835,19.835,272,0
KGL,D,20170203,000000,19.845,19.845,19.845,19.845,10,0
KGL,D,20170206,000000,19.845,19.845,19.845,19.845,107,0
KGL,D,20170207,000000,19.845,19.845,19.845,19.845,53,0
KGL,D,20170208,000000,20.327,20.8,20.138,20.138,134,0
KGL,D,20170210,000000,20.308,22.124,20.308,21.272,3778,0
KGL,D,20170217,000000,21.272,21.461,21.272,21.461,2049,0
KGL,D,20170221,000000,22.217,24.062,22.217,23.777,2529,0
KGL,D,20170222,000000,23.731,26.094,23.636,26.074,1703,0
KGL,D,20170223,000000,26.084,26.084,24.581,25.337,289,0
KGL,D,20170224,000000,24.571,24.571,24.393,24.393,570,0
KGL,D,20170227,000000,24.561,26.472,24.486,25.99,18393,0
KGL,D,20170301,000000,25.517,28.051,25.517,26.614,1719,0
KGL,D,20170302,000000,28.174,29.214,26.944,28.353,1781,0
KGL,D,20170303,000000,27.418,28.419,27.04,28.353,1427,0
KGL,D,20170306,000000,27.607,27.607,27.607,27.607,1005,0
KGL,D,20170307,000000,26.756,27.322,26.284,27.322,371,0
KGL,D,20170308,000000,26.284,26.85,25.526,26.85,383,0
KGL,D,20170309,000000,25.431,26.472,25.431,26.472,11,0
KGL,D,20170310,000000,26.472,26.472,26.472,26.472,1,0
KGL,D,20170320,000000,25.81,25.81,25.81,25.81,1226,0
KGL,D,20170321,000000,26.472,27.322,25.621,26.472,413,0
KGL,D,20170324,000000,24.108,25.328,24.108,24.118,591,0
KGL,D,20170327,000000,25.526,25.526,24.013,25.149,335,0
KGL,D,20170328,000000,27.322,27.322,24.013,24.013,33089,0
KGL,D,20170329,000000,25.431,25.431,24.959,25.405,10685,0
KGL,D,20170330,000000,25.526,25.526,25.328,25.328,21154,0
KGL,D,20170331,000000,24.013,24.393,24.013,24.108,571,0
KGL,D,20170403,000000,24.581,24.581,23.494,23.541,1253,0
KGL,D,20170404,000000,24.013,24.013,23.674,23.731,3,0
KGL,D,20170406,000000,23.068,23.872,23.068,23.872,1137,0
KGL,D,20170407,000000,24.013,24.013,23.824,23.824,2,0
KGL,D,20170410,000000,23.06,23.636,23.06,23.636,307,0
KGL,D,20170411,000000,25.999,25.999,23.636,24.79,450,0
KGL,D,20170412,000000,24.581,24.581,24.581,24.581,76,0
KGL,D,20170413,000000,22.879,24.013,22.879,23.92,263,0
KGL,D,20170420,000000,24.013,24.013,23.636,23.92,494,0
KGL,D,20170421,000000,24.581,25.792,23.636,23.636,143,0
KGL,D,20170424,000000,24.013,24.013,23.92,23.92,2,0
KGL,D,20170425,000000,24.013,24.013,24.013,24.013,1375,0
KGL,D,20170426,000000,24.013,24.013,23.636,23.824,283,0
KGL,D,20170427,000000,24.013,24.013,24.005,24.005,2,0
KGL,D,20170428,000000,23.996,23.996,23.996,23.996,12,0
KGL,D,20170504,000000,26.387,26.387,26.387,26.387,10,0
KGL,D,20170505,000000,26.889,26.889,26.889,26.889,2,0
KGL,D,20170508,000000,25.431,25.431,24.202,24.202,635,0
KGL,D,20170509,000000,25.337,25.337,24.581,24.581,2,0
KGL,D,20170512,000000,26.472,26.889,26.472,26.889,6,0
KGL,D,20170519,000000,24.298,24.865,23.824,24.108,9978,0
KGL,D,20170522,000000,24.571,24.571,24.571,24.571,1,0
KGL,D,20170523,000000,24.571,24.571,24.571,24.571,1,0
KGL,D,20170524,000000,24.571,24.571,24.571,24.571,1,0
KGL,D,20170525,000000,24.571,24.571,24.571,24.571,82,0
KGL,D,20170526,000000,24.108,24.561,23.465,24.561,96,0
KGL,D,20170529,000000,24.561,24.561,24.561,24.561,1,0
KGL,D,20170601,000000,24.544,24.544,24.544,24.544,1,0
KGL,D,20170602,000000,24.534,24.534,24.534,24.534,1,0
KGL,D,20170605,000000,24.486,24.534,24.486,24.534,2,0
KGL,D,20170606,000000,24.534,24.534,24.534,24.534,1,0
KGL,D,20170607,000000,24.525,24.534,24.525,24.534,2,0
KGL,D,20170608,000000,24.534,24.534,24.534,24.534,1,0
KGL,D,20170609,000000,24.486,24.534,24.486,24.534,2,0
KGL,D,20170612,000000,24.534,24.534,24.534,24.534,1,0
KGL,D,20170613,000000,24.486,24.534,24.486,24.534,2,0
KGL,D,20170614,000000,24.534,24.534,23.646,24.534,905,0
KGL,D,20170616,000000,24.525,24.534,24.525,24.534,2,0
KGL,D,20170619,000000,24.534,24.534,24.534,24.534,1,0
KGL,D,20170620,000000,24.439,24.477,24.439,24.477,2,0
KGL,D,20170621,000000,24.439,24.477,24.439,24.477,2,0
KGL,D,20170622,000000,24.477,24.477,24.477,24.477,1,0
KGL,D,20170623,000000,24.439,24.477,24.439,24.477,2,0
KGL,D,20170627,000000,24.393,24.393,24.393,24.393,87,0
KGL,D,20170629,000000,23.494,23.494,23.465,23.465,678,0
KGL,D,20170630,000000,23.447,23.447,23.352,23.399,753,0
KGL,D,20170706,000000,24.544,24.544,23.163,23.92,531,0
KGL,D,20170707,000000,22.511,23.626,22.501,23.626,87,0
KGL,D,20170711,000000,23.341,24.198,23.341,23.808,520,0
KGL,D,20170714,000000,23.808,23.808,23.808,23.808,1,0
KGL,D,20170718,000000,23.808,24.188,23.808,23.817,1367,0
KGL,D,20170719,000000,23.817,23.817,23.817,23.817,105,0
KGL,D,20170721,000000,22.768,23.817,22.768,23.808,71,0
KGL,D,20170726,000000,23.808,23.817,23.808,23.817,1050,0
KGL,D,20170728,000000,24.674,26.865,23.817,23.817,514,0
KGL,D,20170731,000000,24.198,24.198,23.817,24.198,576,0
KGL,D,20170804,000000,22.768,24.77,22.768,24.77,736,0
KGL,D,20170808,000000,24.198,24.198,22.768,22.768,3835,0
KGL,D,20170809,000000,24.151,24.151,23.836,23.836,347,0
KGL,D,20170810,000000,24.178,24.178,23.103,24.102,8053,0
KGL,D,20170811,000000,24.092,24.092,23.817,24.007,889,0
KGL,D,20170814,000000,23.532,24.007,23.532,23.999,45,0
KGL,D,20170816,000000,23.989,23.989,23.36,23.96,408,0
KGL,D,20170817,000000,23.95,23.96,23.387,23.817,1549,0
KGL,D,20170818,000000,23.788,23.788,23.36,23.788,333,0
KGL,D,20170821,000000,23.788,23.798,23.778,23.798,254,0
KGL,D,20170822,000000,23.77,23.798,23.77,23.798,98,0
KGL,D,20170823,000000,23.169,23.722,22.579,23.722,1731,0
KGL,D,20170824,000000,23.341,23.646,23.341,23.646,106,0
KGL,D,20170825,000000,23.646,23.646,23.626,23.646,784,0
KGL,D,20170828,000000,23.626,23.626,23.626,23.626,1,0
KGL,D,20170829,000000,23.559,23.559,23.559,23.559,162,0
KGL,D,20170830,000000,23.073,23.522,23.073,23.522,552,0
KGL,D,20170831,000000,23.35,23.512,23.341,23.512,1004,0
KGL,D,20170901,000000,22.883,23.817,22.883,23.798,855,0
KGL,D,20170904,000000,23.788,23.808,23.788,23.788,252,0
KGL,D,20170905,000000,23.77,23.77,23.77,23.77,40,0
KGL,D,20170907,000000,23.702,23.702,23.149,23.674,568,0
KGL,D,20170908,000000,23.646,23.646,23.341,23.341,105,0
KGL,D,20170911,000000,23.608,23.636,23.608,23.636,106,0
KGL,D,20170912,000000,23.626,23.626,22.912,23.341,371,0
KGL,D,20170913,000000,23.617,23.617,23.617,23.617,54,0
KGL,D,20170914,000000,23.608,23.608,23.532,23.608,66,0
KGL,D,20170915,000000,23.578,23.578,23.341,23.341,204,0
KGL,D,20170918,000000,23.578,23.578,23.055,23.578,265,0
KGL,D,20170919,000000,23.522,23.532,23.522,23.522,158,0
KGL,D,20170920,000000,23.617,23.617,23.617,23.617,1,0
KGL,D,20170921,000000,23.608,23.626,23.608,23.626,58,0
