<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGN,D,20000526,000000,34.046,34.046,34.046,34.046,402091,0
KGN,D,20000529,000000,34.376,34.376,34.376,34.376,152039,0
KGN,D,20000530,000000,35.356,35.356,35.356,35.356,120714,0
KGN,D,20000531,000000,36.667,36.667,36.667,36.667,182621,0
KGN,D,20000601,000000,37.189,37.189,37.189,37.189,133008,0
KGN,D,20000602,000000,35.356,35.356,35.356,35.356,27879,0
KGN,D,20000605,000000,35.686,35.686,35.686,35.686,54285,0
KGN,D,20000606,000000,35.356,35.356,35.356,35.356,147366,0
KGN,D,20000607,000000,36.537,36.537,36.537,36.537,108897,0
KGN,D,20000608,000000,36.667,36.667,36.667,36.667,51553,0
KGN,D,20000609,000000,37.257,37.257,37.257,37.257,58708,0
KGN,D,20000612,000000,36.338,36.338,36.338,36.338,12942,0
KGN,D,20000613,000000,36.667,36.667,36.667,36.667,22881,0
KGN,D,20000614,000000,36.667,36.667,36.667,36.667,18761,0
KGN,D,20000615,000000,35.686,35.686,35.686,35.686,11774,0
KGN,D,20000616,000000,36.016,36.016,36.016,36.016,13993,0
KGN,D,20000619,000000,34.896,34.896,34.896,34.896,8509,0
KGN,D,20000620,000000,35.356,35.356,35.356,35.356,9413,0
KGN,D,20000621,000000,34.896,34.896,34.896,34.896,3682,0
KGN,D,20000623,000000,34.896,34.896,34.896,34.896,12273,0
KGN,D,20000626,000000,34.705,34.705,34.705,34.705,15296,0
KGN,D,20000627,000000,34.835,34.835,34.835,34.835,14869,0
KGN,D,20000628,000000,35.356,35.356,35.356,35.356,11902,0
KGN,D,20000629,000000,35.028,35.028,35.028,35.028,10730,0
KGN,D,20000630,000000,34.705,34.705,34.705,34.705,5559,0
KGN,D,20000703,000000,35.028,35.028,35.028,35.028,7795,0
KGN,D,20000704,000000,34.437,34.437,34.437,34.437,1038,0
KGN,D,20000705,000000,34.437,34.437,34.437,34.437,6477,0
KGN,D,20000706,000000,34.705,34.705,34.705,34.705,6284,0
KGN,D,20000707,000000,34.705,34.705,34.705,34.705,5784,0
KGN,D,20000710,000000,34.705,34.705,34.705,34.705,3054,0
KGN,D,20000711,000000,33.984,33.984,33.984,33.984,1801,0
KGN,D,20000712,000000,34.046,34.046,34.046,34.046,4765,0
KGN,D,20000713,000000,33.587,33.587,33.587,33.587,5554,0
KGN,D,20000714,000000,33.325,33.325,33.325,33.325,11607,0
KGN,D,20000717,000000,32.605,32.605,32.605,32.605,12500,0
KGN,D,20000718,000000,30.183,30.183,30.183,30.183,10409,0
KGN,D,20000719,000000,31.885,31.885,31.885,31.885,10821,0
KGN,D,20000720,000000,31.885,31.885,31.885,31.885,10387,0
KGN,D,20000721,000000,32.214,32.214,32.214,32.214,12148,0
KGN,D,20000724,000000,31.954,31.954,31.954,31.954,3511,0
KGN,D,20000725,000000,31.885,31.885,31.885,31.885,4706,0
KGN,D,20000726,000000,32.413,32.413,32.413,32.413,15856,0
KGN,D,20000727,000000,32.344,32.344,32.344,32.344,3206,0
KGN,D,20000728,000000,32.543,32.543,32.543,32.543,1538,0
KGN,D,20000731,000000,31.954,31.954,31.954,31.954,3594,0
KGN,D,20000801,000000,32.084,32.084,32.084,32.084,3054,0
KGN,D,20000802,000000,31.885,31.885,31.885,31.885,3082,0
KGN,D,20000803,000000,31.954,31.954,31.954,31.954,3506,0
KGN,D,20000804,000000,31.954,31.954,31.954,31.954,12060,0
KGN,D,20000807,000000,31.954,31.954,31.954,31.954,2138,0
KGN,D,20000808,000000,32.084,32.084,32.084,32.084,3080,0
KGN,D,20000809,000000,32.084,32.084,32.084,32.084,12980,0
KGN,D,20000810,000000,31.954,31.954,31.954,31.954,7253,0
KGN,D,20000811,000000,31.885,31.885,31.885,31.885,13863,0
KGN,D,20000814,000000,32.084,32.084,32.084,32.084,2901,0
KGN,D,20000816,000000,32.084,32.084,32.084,32.084,2443,0
KGN,D,20000817,000000,32.084,32.084,32.084,32.084,12194,0
KGN,D,20000818,000000,32.084,32.084,32.084,32.084,1235,0
KGN,D,20000821,000000,31.431,31.431,31.431,31.431,1768,0
KGN,D,20000822,000000,31.431,31.431,31.431,31.431,1359,0
KGN,D,20000823,000000,31.431,31.431,31.431,31.431,2669,0
KGN,D,20000824,000000,32.084,32.084,32.084,32.084,762,0
KGN,D,20000825,000000,31.431,31.431,31.431,31.431,915,0
KGN,D,20000828,000000,31.754,31.754,31.754,31.754,1463,0
KGN,D,20000829,000000,32.084,32.084,32.084,32.084,434,0
KGN,D,20000830,000000,31.754,31.754,31.754,31.754,5815,0
KGN,D,20000831,000000,31.754,31.754,31.754,31.754,1711,0
KGN,D,20000901,000000,31.754,31.754,31.754,31.754,340,0
KGN,D,20000904,000000,31.754,31.754,31.754,31.754,2690,0
KGN,D,20000905,000000,32.015,32.015,32.015,32.015,3362,0
KGN,D,20000906,000000,32.084,32.084,32.084,32.084,10731,0
KGN,D,20000907,000000,32.084,32.084,32.084,32.084,1979,0
KGN,D,20000908,000000,31.754,31.754,31.754,31.754,961,0
KGN,D,20000911,000000,32.084,32.084,32.084,32.084,1831,0
KGN,D,20000912,000000,31.754,31.754,31.754,31.754,2095,0
KGN,D,20000913,000000,31.885,31.885,31.885,31.885,2750,0
KGN,D,20000914,000000,31.954,31.954,31.954,31.954,2046,0
KGN,D,20000915,000000,32.084,32.084,32.084,32.084,1220,0
KGN,D,20000918,000000,32.084,32.084,32.084,32.084,3014,0
KGN,D,20000919,000000,32.015,32.015,32.015,32.015,611,0
KGN,D,20000920,000000,31.754,31.754,31.754,31.754,2740,0
KGN,D,20000921,000000,31.754,31.754,31.754,31.754,3630,0
KGN,D,20000922,000000,31.431,31.431,31.431,31.431,2810,0
KGN,D,20000925,000000,31.103,31.103,31.103,31.103,1080,0
KGN,D,20000926,000000,31.431,31.431,31.431,31.431,1685,0
KGN,D,20000927,000000,30.774,30.774,30.774,30.774,2321,0
KGN,D,20000928,000000,31.754,31.754,31.754,31.754,2292,0
KGN,D,20000929,000000,31.431,31.431,31.431,31.431,762,0
