<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMP,D,19961119,000000,18.312,18.312,18.312,18.312,34294,0
KMP,D,19961120,000000,18.899,18.899,18.899,18.899,21456,0
KMP,D,19961121,000000,20.788,20.788,20.788,20.788,20757,0
KMP,D,19961122,000000,22.809,22.809,22.809,22.809,91302,0
KMP,D,19961125,000000,23.005,23.005,23.005,23.005,27473,0
KMP,D,19961126,000000,22.157,22.157,22.157,22.157,12818,0
KMP,D,19961127,000000,21.506,21.506,21.506,21.506,15716,0
KMP,D,19961128,000000,20.854,20.854,20.854,20.854,8870,0
KMP,D,19961129,000000,22.548,22.548,22.548,22.548,14348,0
KMP,D,19961202,000000,22.809,22.809,22.809,22.809,38801,0
KMP,D,19961203,000000,23.461,23.461,23.461,23.461,29177,0
KMP,D,19961204,000000,25.416,25.416,25.416,25.416,38953,0
KMP,D,19961205,000000,26.393,26.393,26.393,26.393,47834,0
KMP,D,19961206,000000,28.414,28.414,28.414,28.414,61820,0
KMP,D,19961209,000000,27.045,27.045,27.045,27.045,40340,0
KMP,D,19961210,000000,27.762,27.762,27.762,27.762,23557,0
KMP,D,19961211,000000,29.326,29.326,29.326,29.326,15208,0
KMP,D,19961212,000000,30.629,30.629,30.629,30.629,36224,0
KMP,D,19961213,000000,30.629,30.629,30.629,30.629,39685,0
KMP,D,19961216,000000,30.498,30.498,30.498,30.498,40001,0
KMP,D,19961217,000000,29.326,29.326,29.326,29.326,27110,0
KMP,D,19961218,000000,27.892,27.892,27.892,27.892,23842,0
KMP,D,19961219,000000,29.326,29.326,29.326,29.326,24841,0
KMP,D,19961220,000000,29.26,29.26,29.26,29.26,20488,0
KMP,D,19961223,000000,27.11,27.11,27.11,27.11,21635,0
KMP,D,19961224,000000,26.393,26.393,26.393,26.393,6991,0
KMP,D,19961230,000000,27.501,27.501,27.501,27.501,25962,0
KMP,D,19961231,000000,27.631,27.631,27.631,27.631,12358,0
KMP,D,19970102,000000,27.371,27.371,27.371,27.371,6230,0
KMP,D,19970103,000000,27.436,27.436,27.436,27.436,10406,0
KMP,D,19970106,000000,27.371,27.371,27.371,27.371,8714,0
KMP,D,19970107,000000,27.176,27.176,27.176,27.176,2539,0
KMP,D,19970108,000000,28.153,28.153,28.153,28.153,10817,0
KMP,D,19970109,000000,28.022,28.022,28.022,28.022,7120,0
KMP,D,19970110,000000,28.414,28.414,28.414,28.414,8676,0
KMP,D,19970113,000000,26.719,26.719,26.719,26.719,8440,0
KMP,D,19970114,000000,26.784,26.784,26.784,26.784,9446,0
KMP,D,19970115,000000,26.067,26.067,26.067,26.067,8958,0
KMP,D,19970116,000000,26.067,26.067,26.067,26.067,44750,0
KMP,D,19970117,000000,27.371,27.371,27.371,27.371,34654,0
KMP,D,19970120,000000,30.107,30.107,30.107,30.107,39475,0
KMP,D,19970121,000000,29.326,29.326,29.326,29.326,12720,0
KMP,D,19970122,000000,27.697,27.697,27.697,27.697,43688,0
KMP,D,19970123,000000,27.371,27.371,27.371,27.371,36243,0
KMP,D,19970124,000000,26.719,26.719,26.719,26.719,42797,0
KMP,D,19970127,000000,26.654,26.654,26.654,26.654,17090,0
KMP,D,19970128,000000,26.719,26.719,26.719,26.719,10479,0
KMP,D,19970129,000000,24.047,24.047,24.047,24.047,11497,0
KMP,D,19970130,000000,25.286,25.286,25.286,25.286,49831,0
KMP,D,19970131,000000,23.461,23.461,23.461,23.461,33418,0
KMP,D,19970203,000000,24.764,24.764,24.764,24.764,26410,0
KMP,D,19970204,000000,23.982,23.982,23.982,23.982,17785,0
KMP,D,19970205,000000,24.373,24.373,24.373,24.373,10319,0
KMP,D,19970206,000000,25.416,25.416,25.416,25.416,26126,0
KMP,D,19970207,000000,27.762,27.762,27.762,27.762,42684,0
KMP,D,19970210,000000,28.022,28.022,28.022,28.022,19949,0
KMP,D,19970211,000000,27.24,27.24,27.24,27.24,22650,0
KMP,D,19970212,000000,28.022,28.022,28.022,28.022,17700,0
KMP,D,19970213,000000,26.719,26.719,26.719,26.719,13194,0
KMP,D,19970214,000000,27.371,27.371,27.371,27.371,17501,0
KMP,D,19970217,000000,26.915,26.915,26.915,26.915,12707,0
KMP,D,19970218,000000,28.869,28.869,28.869,28.869,37133,0
KMP,D,19970219,000000,29.13,29.13,29.13,29.13,29197,0
KMP,D,19970220,000000,29.13,29.13,29.13,29.13,28767,0
KMP,D,19970221,000000,29.326,29.326,29.326,29.326,24739,0
KMP,D,19970224,000000,32.258,32.258,32.258,32.258,40407,0
KMP,D,19970225,000000,33.236,33.236,33.236,33.236,39551,0
KMP,D,19970226,000000,31.933,31.933,31.933,31.933,43357,0
KMP,D,19970227,000000,28.739,28.739,28.739,28.739,51115,0
KMP,D,19970228,000000,26.98,26.98,26.98,26.98,22481,0
KMP,D,19970303,000000,27.371,27.371,27.371,27.371,26068,0
KMP,D,19970304,000000,28.348,28.348,28.348,28.348,41432,0
KMP,D,19970305,000000,28.022,28.022,28.022,28.022,23233,0
KMP,D,19970306,000000,29.13,29.13,29.13,29.13,26417,0
KMP,D,19970307,000000,30.303,30.303,30.303,30.303,24634,0
KMP,D,19970310,000000,29.912,29.912,29.912,29.912,23236,0
KMP,D,19970311,000000,30.695,30.695,30.695,30.695,17886,0
KMP,D,19970312,000000,31.281,31.281,31.281,31.281,44005,0
KMP,D,19970313,000000,31.281,31.281,31.281,31.281,41159,0
KMP,D,19970314,000000,30.564,30.564,30.564,30.564,47621,0
KMP,D,19970317,000000,31.477,31.477,31.477,31.477,17045,0
KMP,D,19970318,000000,32.584,32.584,32.584,32.584,47584,0
KMP,D,19970319,000000,31.933,31.933,31.933,31.933,32742,0
KMP,D,19970320,000000,30.955,30.955,30.955,30.955,41366,0
KMP,D,19970321,000000,30.955,30.955,30.955,30.955,10467,0
KMP,D,19970324,000000,32.91,32.91,32.91,32.91,22485,0
KMP,D,19970325,000000,33.887,33.887,33.887,33.887,38730,0
KMP,D,19970326,000000,35.843,35.843,35.843,35.843,41193,0
KMP,D,19970327,000000,35.843,35.843,35.843,35.843,28626,0
KMP,D,19970401,000000,32.258,32.258,32.258,32.258,31371,0
KMP,D,19970402,000000,32.584,32.584,32.584,32.584,31856,0
KMP,D,19970403,000000,31.281,31.281,31.281,31.281,26150,0
KMP,D,19970404,000000,31.933,31.933,31.933,31.933,15877,0
KMP,D,19970407,000000,34.865,34.865,34.865,34.865,37817,0
KMP,D,19970408,000000,34.539,34.539,34.539,34.539,10727,0
KMP,D,19970409,000000,33.887,33.887,33.887,33.887,30322,0
KMP,D,19970410,000000,32.584,32.584,32.584,32.584,21575,0
KMP,D,19970411,000000,33.562,33.562,33.562,33.562,17758,0
KMP,D,19970414,000000,32.584,32.584,32.584,32.584,31166,0
KMP,D,19970415,000000,32.584,32.584,32.584,32.584,17585,0
KMP,D,19970416,000000,33.887,33.887,33.887,33.887,26573,0
KMP,D,19970417,000000,32.584,32.584,32.584,32.584,21575,0
KMP,D,19970418,000000,32.584,32.584,32.584,32.584,13197,0
KMP,D,19970421,000000,33.887,33.887,33.887,33.887,124824,0
KMP,D,19970422,000000,35.843,35.843,35.843,35.843,37847,0
KMP,D,19970423,000000,39.427,39.427,39.427,39.427,39959,0
KMP,D,19970424,000000,38.449,38.449,38.449,38.449,29220,0
KMP,D,19970425,000000,37.797,37.797,37.797,37.797,13679,0
KMP,D,19970428,000000,34.865,34.865,34.865,34.865,10009,0
KMP,D,19970429,000000,35.843,35.843,35.843,35.843,19795,0
KMP,D,19970430,000000,37.797,37.797,37.797,37.797,27330,0
KMP,D,19970505,000000,41.056,41.056,41.056,41.056,27085,0
KMP,D,19970506,000000,40.405,40.405,40.405,40.405,19614,0
KMP,D,19970507,000000,39.753,39.753,39.753,39.753,17836,0
KMP,D,19970508,000000,40.078,40.078,40.078,40.078,12641,0
KMP,D,19970509,000000,39.753,39.753,39.753,39.753,16854,0
KMP,D,19970512,000000,39.101,39.101,39.101,39.101,20293,0
KMP,D,19970513,000000,39.753,39.753,39.753,39.753,13094,0
KMP,D,19970514,000000,39.101,39.101,39.101,39.101,24207,0
KMP,D,19970515,000000,39.101,39.101,39.101,39.101,14731,0
KMP,D,19970516,000000,37.797,37.797,37.797,37.797,12739,0
KMP,D,19970519,000000,37.797,37.797,37.797,37.797,6971,0
KMP,D,19970520,000000,37.146,37.146,37.146,37.146,10823,0
KMP,D,19970521,000000,37.146,37.146,37.146,37.146,26140,0
KMP,D,19970522,000000,36.82,36.82,36.82,36.82,12739,0
KMP,D,19970523,000000,35.517,35.517,35.517,35.517,14373,0
KMP,D,19970526,000000,35.191,35.191,35.191,35.191,14705,0
KMP,D,19970527,000000,35.191,35.191,35.191,35.191,14963,0
KMP,D,19970528,000000,35.517,35.517,35.517,35.517,16288,0
KMP,D,19970530,000000,33.887,33.887,33.887,33.887,1844,0
KMP,D,19970602,000000,36.168,36.168,36.168,36.168,4286,0
KMP,D,19970603,000000,35.843,35.843,35.843,35.843,15079,0
KMP,D,19970604,000000,33.887,33.887,33.887,33.887,15463,0
KMP,D,19970605,000000,34.214,34.214,34.214,34.214,12538,0
KMP,D,19970606,000000,34.214,34.214,34.214,34.214,9558,0
KMP,D,19970609,000000,33.887,33.887,33.887,33.887,4545,0
KMP,D,19970610,000000,33.236,33.236,33.236,33.236,1781,0
KMP,D,19970611,000000,32.91,32.91,32.91,32.91,11578,0
KMP,D,19970612,000000,33.236,33.236,33.236,33.236,6469,0
KMP,D,19970613,000000,32.91,32.91,32.91,32.91,6675,0
KMP,D,19970616,000000,32.584,32.584,32.584,32.584,6639,0
KMP,D,19970617,000000,31.867,31.867,31.867,31.867,3016,0
KMP,D,19970618,000000,31.607,31.607,31.607,31.607,3879,0
KMP,D,19970619,000000,31.541,31.541,31.541,31.541,8419,0
KMP,D,19970620,000000,32.91,32.91,32.91,32.91,2688,0
KMP,D,19970623,000000,32.193,32.193,32.193,32.193,4349,0
KMP,D,19970624,000000,31.867,31.867,31.867,31.867,4754,0
KMP,D,19970625,000000,32.193,32.193,32.193,32.193,7750,0
KMP,D,19970626,000000,31.802,31.802,31.802,31.802,5086,0
KMP,D,19970627,000000,32.128,32.128,32.128,32.128,4234,0
KMP,D,19970630,000000,32.91,32.91,32.91,32.91,9730,0
KMP,D,19970701,000000,32.258,32.258,32.258,32.258,5113,0
KMP,D,19970702,000000,32.584,32.584,32.584,32.584,5572,0
KMP,D,19970703,000000,32.584,32.584,32.584,32.584,6948,0
KMP,D,19970704,000000,33.562,33.562,33.562,33.562,5185,0
