<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KOM,D,20070709,000000,39.434,40.935,35.64,39.315,735623,0
KOM,D,20070710,000000,39.197,40.144,38.998,39.512,199272,0
KOM,D,20070711,000000,39.355,41.013,37.932,41.013,43937,0
KOM,D,20070712,000000,41.132,42.673,41.132,42.515,30216,0
KOM,D,20070713,000000,43.701,48.205,43.701,47.849,46760,0
KOM,D,20070716,000000,45.834,48.205,41.488,47.296,36919,0
KOM,D,20070717,000000,46.506,46.506,44.293,44.412,37323,0
KOM,D,20070718,000000,44.253,44.253,41.409,41.882,46830,0
KOM,D,20070719,000000,41.092,42.95,41.092,42.001,7580,0
KOM,D,20070720,000000,43.463,43.463,42.08,42.673,4337,0
KOM,D,20070723,000000,42.673,42.91,40.618,41.092,18451,0
KOM,D,20070724,000000,39.63,41.053,37.932,39.512,59019,0
KOM,D,20070725,000000,39.504,39.504,37.142,38.707,6367,0
KOM,D,20070726,000000,38.485,39.907,38.485,39.512,17858,0
KOM,D,20070727,000000,38.73,39.512,38.722,39.512,80439,0
KOM,D,20070730,000000,39.67,41.092,39.67,40.618,5382,0
KOM,D,20070731,000000,41.092,41.882,40.302,41.488,3347,0
KOM,D,20070801,000000,41.092,41.092,39.235,40.302,81495,0
KOM,D,20070802,000000,41.409,41.409,39.591,41.092,1776,0
KOM,D,20070803,000000,40.302,41.882,39.749,41.013,8185,0
KOM,D,20070806,000000,40.302,40.302,38.998,38.998,4950,0
KOM,D,20070807,000000,40.698,40.698,37.545,38.248,2808,0
KOM,D,20070808,000000,38.248,39.11,36.865,37.536,3366,0
KOM,D,20070809,000000,37.496,37.496,36.51,36.51,1073,0
KOM,D,20070810,000000,36.193,36.51,33.981,34.612,1496,0
KOM,D,20070813,000000,34.218,35.876,32.795,34.77,2861,0
KOM,D,20070814,000000,35.514,35.514,33.981,34.06,2455,0
KOM,D,20070816,000000,32.4,32.4,27.737,30.424,9141,0
KOM,D,20070817,000000,30.819,31.926,29.175,31.926,11196,0
KOM,D,20070820,000000,33.427,33.521,32.321,33.182,3063,0
KOM,D,20070821,000000,32.4,33.103,30.899,33.095,5665,0
KOM,D,20070822,000000,33.095,33.111,31.609,32.708,21653,0
KOM,D,20070823,000000,33.688,33.688,31.846,33.19,21832,0
KOM,D,20070824,000000,33.111,33.111,32.447,32.716,4307,0
KOM,D,20070827,000000,32.708,32.795,31.215,32.795,9933,0
KOM,D,20070828,000000,32.913,34.763,32.4,34.763,9911,0
KOM,D,20070829,000000,32.795,34.691,32.795,34.691,3514,0
KOM,D,20070830,000000,34.731,34.929,33.981,34.139,5749,0
KOM,D,20070831,000000,35.008,35.142,34.265,35.118,5932,0
KOM,D,20070903,000000,35.166,35.561,34.407,35.482,1366,0
KOM,D,20070904,000000,35.008,35.987,35.008,35.987,3982,0
KOM,D,20070905,000000,35.561,35.561,35.015,35.015,1019,0
KOM,D,20070906,000000,34.77,36.272,33.988,35.798,7854,0
KOM,D,20070907,000000,35.798,35.876,34.494,35.774,6595,0
KOM,D,20070910,000000,35.166,35.955,34.612,35.955,4260,0
KOM,D,20070911,000000,35.955,37.457,35.955,37.457,30816,0
KOM,D,20070912,000000,36.074,37.536,36.074,37.536,1278,0
KOM,D,20070913,000000,37.449,37.536,36.352,37.536,1951,0
KOM,D,20070914,000000,37.536,37.536,36.359,37.457,1564,0
KOM,D,20070917,000000,36.746,37.758,36.746,37.457,5730,0
KOM,D,20070918,000000,37.142,37.457,36.825,37.457,678,0
KOM,D,20070919,000000,38.248,38.722,37.221,38.327,2635,0
KOM,D,20070920,000000,38.327,39.512,37.181,39.434,7380,0
KOM,D,20070921,000000,39.448,39.512,37.536,39.473,3544,0
KOM,D,20070924,000000,39.116,40.302,38.462,40.302,1015,0
KOM,D,20070925,000000,39.551,40.302,38.587,40.302,1933,0
KOM,D,20070926,000000,39.907,40.144,39.156,39.868,1129,0
KOM,D,20070927,000000,39.276,39.512,38.879,39.512,777,0
KOM,D,20070928,000000,38.801,38.809,37.536,37.536,2973,0
KOM,D,20071001,000000,37.142,37.853,36.746,37.853,1842,0
KOM,D,20071002,000000,37.893,37.932,36.825,37.528,1177,0
KOM,D,20071003,000000,37.457,37.773,37.196,37.575,1285,0
KOM,D,20071004,000000,37.608,37.608,36.352,37.3,9812,0
KOM,D,20071005,000000,37.814,37.814,36.004,37.046,8653,0
KOM,D,20071008,000000,36.746,39.11,36.352,38.327,2410,0
KOM,D,20071009,000000,38.722,39.11,37.536,38.634,1430,0
KOM,D,20071010,000000,38.643,38.643,36.825,37.908,8487,0
KOM,D,20071011,000000,36.755,38.327,36.755,37.932,10598,0
KOM,D,20071012,000000,38.248,38.248,37.932,38.24,7074,0
KOM,D,20071015,000000,37.853,38.248,37.221,38.169,9648,0
KOM,D,20071016,000000,37.536,38.287,37.142,37.142,953,0
KOM,D,20071017,000000,37.142,37.932,37.142,37.932,841,0
KOM,D,20071018,000000,37.142,38.643,36.865,38.31,11722,0
KOM,D,20071019,000000,38.327,39.101,37.189,39.101,4776,0
KOM,D,20071022,000000,39.037,39.11,38.722,39.101,12228,0
KOM,D,20071023,000000,38.485,38.722,38.098,38.722,2347,0
KOM,D,20071024,000000,38.722,39.355,37.932,39.355,1949,0
KOM,D,20071025,000000,39.434,39.907,38.413,39.512,7227,0
KOM,D,20071026,000000,39.473,40.263,38.524,39.037,5710,0
KOM,D,20071029,000000,39.591,40.302,39.512,40.302,2622,0
KOM,D,20071030,000000,39.907,40.302,39.512,39.512,894,0
KOM,D,20071031,000000,39.907,40.224,38.722,40.144,2204,0
KOM,D,20071102,000000,38.564,40.144,38.564,40.144,4450,0
KOM,D,20071105,000000,39.276,39.67,38.564,39.67,2919,0
KOM,D,20071106,000000,39.67,39.67,37.932,39.512,1507,0
KOM,D,20071107,000000,38.05,39.434,37.702,38.722,9740,0
KOM,D,20071108,000000,36.352,37.932,35.955,36.422,26617,0
KOM,D,20071109,000000,35.948,36.746,35.324,36.343,9473,0
KOM,D,20071112,000000,37.142,37.142,34.494,35.166,4457,0
KOM,D,20071113,000000,34.77,35.561,34.139,35.166,1757,0
KOM,D,20071114,000000,36.51,37.853,34.77,35.442,1341,0
KOM,D,20071115,000000,34.691,34.77,31.618,33.19,1829,0
KOM,D,20071116,000000,32.795,33.19,32.005,32.4,5780,0
KOM,D,20071119,000000,33.19,33.981,32.005,32.858,1228,0
KOM,D,20071120,000000,32.005,33.577,31.926,33.167,456,0
KOM,D,20071121,000000,32.4,32.4,31.609,31.609,407,0
KOM,D,20071122,000000,30.464,32.4,30.464,32.4,4350,0
KOM,D,20071123,000000,32.4,32.795,31.294,32.795,1757,0
KOM,D,20071126,000000,32.4,33.182,31.807,32.321,1514,0
KOM,D,20071127,000000,30.819,32.321,30.819,32.321,729,0
KOM,D,20071128,000000,31.609,32.321,31.609,32.005,826,0
KOM,D,20071129,000000,31.254,33.19,31.215,32.005,4207,0
KOM,D,20071130,000000,32.795,32.795,31.618,32.005,1536,0
KOM,D,20071203,000000,31.609,32.787,31.53,32.787,975,0
KOM,D,20071204,000000,32.242,32.242,31.381,31.381,1113,0
KOM,D,20071205,000000,31.609,32.234,31.609,32.234,361,0
KOM,D,20071206,000000,31.957,31.965,31.688,31.688,278,0
KOM,D,20071207,000000,31.926,32.123,30.029,30.503,6158,0
KOM,D,20071210,000000,31.957,31.957,30.819,31.609,936,0
KOM,D,20071211,000000,30.978,31.767,30.827,31.767,185,0
KOM,D,20071212,000000,31.609,31.926,29.634,31.926,1301,0
KOM,D,20071213,000000,31.926,31.981,31.23,31.981,381,0
KOM,D,20071214,000000,30.859,31.981,30.859,31.973,882,0
KOM,D,20071217,000000,31.846,32.005,30.978,32.005,1102,0
KOM,D,20071218,000000,31.609,31.839,31.609,31.839,45,0
KOM,D,20071219,000000,31.91,31.91,30.274,31.53,1774,0
KOM,D,20071220,000000,30.819,30.819,29.634,30.812,6690,0
KOM,D,20071221,000000,30.029,30.424,29.326,30.424,3458,0
KOM,D,20071227,000000,30.409,30.409,28.37,30.006,7085,0
KOM,D,20071228,000000,30.409,30.409,29.753,30.006,16672,0
KOM,D,20080102,000000,30.029,33.111,30.029,33.111,3482,0
KOM,D,20080103,000000,33.103,33.103,30.827,32.4,3107,0
KOM,D,20080104,000000,31.942,32.795,30.669,31.53,11391,0
KOM,D,20080107,000000,29.476,30.819,28.527,30.029,2623,0
KOM,D,20080108,000000,29.729,29.729,28.725,29.238,3272,0
KOM,D,20080109,000000,28.844,29.95,28.449,29.238,45490,0
KOM,D,20080110,000000,28.93,29.934,28.844,29.927,40828,0
KOM,D,20080111,000000,30.006,30.006,28.527,28.685,703,0
KOM,D,20080114,000000,27.817,28.054,27.658,27.658,4278,0
KOM,D,20080115,000000,27.824,27.824,27.658,27.658,1660,0
KOM,D,20080116,000000,27.263,27.658,27.263,27.579,21427,0
KOM,D,20080117,000000,27.658,28.449,25.288,26.078,3473,0
KOM,D,20080118,000000,26.078,29.942,26.078,29.942,2456,0
KOM,D,20080121,000000,29.634,29.634,27.658,29.238,25596,0
KOM,D,20080122,000000,29.152,30.006,27.263,29.832,4506,0
KOM,D,20080123,000000,30.013,30.013,27.658,28.725,6107,0
KOM,D,20080124,000000,29.634,30.804,28.939,30.503,962,0
KOM,D,20080125,000000,30.029,31.215,30.029,31.215,1280,0
KOM,D,20080128,000000,31.451,31.451,29.238,29.238,5185,0
KOM,D,20080129,000000,30.733,32.005,30.733,31.965,766,0
KOM,D,20080130,000000,31.965,31.965,30.029,30.029,1616,0
KOM,D,20080131,000000,30.021,30.029,29.397,30.029,959,0
KOM,D,20080201,000000,30.021,30.108,30.021,30.108,2592,0
KOM,D,20080204,000000,29.634,29.634,28.685,29.238,87,0
KOM,D,20080205,000000,28.172,29.397,28.172,29.397,93,0
KOM,D,20080206,000000,28.449,28.449,28.449,28.449,29,0
KOM,D,20080207,000000,28.606,31.965,28.606,31.53,526,0
KOM,D,20080208,000000,29.238,31.602,29.238,29.405,1100,0
KOM,D,20080211,000000,31.215,31.215,29.238,31.057,669,0
KOM,D,20080212,000000,31.206,31.609,30.622,30.819,711,0
