<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPD,D,20030115,000000,9.695,9.695,9.695,9.695,103,0
KPD,D,20030116,000000,9.2106,9.2106,9.2106,9.2106,52,0
KPD,D,20030117,000000,9.2106,9.2106,9.2106,9.2106,52,0
KPD,D,20030224,000000,7.1746,7.1746,7.1746,7.1746,2645,0
KPD,D,20030225,000000,9.1137,9.1137,9.1137,9.1137,36,0
KPD,D,20030226,000000,5.6233,5.6233,5.6233,5.6233,5609,0
KPD,D,20030304,000000,5.6233,5.6233,4.8477,4.8477,12604,0
KPD,D,20030305,000000,4.8477,4.8477,4.8477,4.8477,516,0
KPD,D,20030310,000000,5.5264,5.5264,4.8477,4.8477,12893,0
KPD,D,20030312,000000,4.8477,4.8477,4.8477,4.8477,928,0
KPD,D,20030317,000000,5.4294,5.4294,4.8477,4.8477,11346,0
KPD,D,20030321,000000,4.8477,4.8477,4.8477,4.8477,3610,0
KPD,D,20030324,000000,5.2355,5.2355,4.8477,4.8477,10016,0
KPD,D,20030325,000000,4.8477,4.8477,4.8477,4.8477,556,0
KPD,D,20030326,000000,5.0901,5.0901,5.0901,5.0901,544,0
KPD,D,20030328,000000,5.0901,5.0901,5.0901,5.0901,1733,0
KPD,D,20030331,000000,4.8477,4.8477,4.8477,4.8477,686,0
KPD,D,20030408,000000,5.3325,6.7868,5.3325,6.7868,1720,0
KPD,D,20030409,000000,8.338,9.2106,5.8172,5.8172,2032,0
KPD,D,20030410,000000,8.7258,8.7258,5.8172,5.8172,1341,0
KPD,D,20030417,000000,5.5264,5.5264,5.5264,5.5264,578,0
KPD,D,20030423,000000,6.7868,6.7868,6.7868,6.7868,103,0
KPD,D,20030424,000000,6.302,6.6898,6.302,6.6898,772,0
KPD,D,20030425,000000,4.8962,4.8962,4.8962,4.8962,199,0
KPD,D,20030505,000000,4.8477,4.8477,4.8477,4.8477,95,0
KPD,D,20030512,000000,4.8477,4.8477,4.8477,4.8477,8,0
KPD,D,20030514,000000,4.8477,4.8477,4.8477,4.8477,230,0
KPD,D,20030515,000000,5.5264,5.5264,5.5264,5.5264,1,0
KPD,D,20030523,000000,5.3325,5.3325,5.3325,5.3325,301,0
KPD,D,20030526,000000,5.8172,5.8172,5.8172,5.8172,516,0
KPD,D,20030527,000000,5.3325,5.3325,5.3325,5.3325,516,0
KPD,D,20030528,000000,6.302,6.302,5.8172,5.8172,740,0
KPD,D,20030529,000000,5.7688,5.9142,5.7688,5.8172,1444,0
KPD,D,20030602,000000,7.7563,9.55,6.0111,6.9807,108508,0
KPD,D,20030603,000000,6.8352,6.8352,6.7868,6.7868,464,0
KPD,D,20030604,000000,7.2715,7.2715,7.2715,7.2715,1599,0
KPD,D,20030623,000000,4.9931,4.9931,4.8477,4.8477,151,0
KPD,D,20030627,000000,6.7868,6.7868,6.7868,6.7868,126,0
KPD,D,20030701,000000,6.7868,6.7868,6.7868,6.7868,286,0
KPD,D,20030708,000000,6.7868,6.7868,6.7868,6.7868,85,0
KPD,D,20030710,000000,6.205,6.205,6.205,6.205,218,0
KPD,D,20030721,000000,8.435,8.435,8.435,8.435,1960,0
KPD,D,20030724,000000,4.8962,4.9446,4.8477,4.9446,975,0
KPD,D,20030725,000000,5.8657,5.8657,5.8657,5.8657,342,0
KPD,D,20030728,000000,6.6898,6.6898,6.6898,6.6898,516,0
