<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRC,D,20080214,000000,8.6512,8.6512,3.7008,3.8257,278603,0
KRC,D,20080215,000000,3.7488,5.6713,3.6239,5.0465,242330,0
KRC,D,20080218,000000,5.0465,7.2574,5.0465,6.6806,284121,0
KRC,D,20080219,000000,6.7767,7.4112,5.8636,6.1039,131338,0
KRC,D,20080220,000000,6.2481,6.7287,5.3829,5.7578,57982,0
KRC,D,20080221,000000,5.7674,5.9597,5.1619,5.3157,43366,0
KRC,D,20080222,000000,5.1426,5.2772,4.5371,5.0753,39115,0
KRC,D,20080225,000000,4.9984,5.6713,4.5851,4.8158,88260,0
KRC,D,20080226,000000,4.9023,4.9023,4.1333,4.2295,132832,0
KRC,D,20080227,000000,4.3064,4.7389,4.2487,4.5755,75098,0
KRC,D,20080228,000000,4.614,5.1715,4.3256,4.4698,54690,0
KRC,D,20080229,000000,4.5274,4.9023,4.2487,4.5563,36810,0
KRC,D,20080303,000000,4.2775,4.4025,4.0372,4.4025,13921,0
KRC,D,20080304,000000,4.191,5.1907,4.191,4.8062,57488,0
KRC,D,20080305,000000,5.0369,5.0753,4.4025,4.6332,58526,0
KRC,D,20080306,000000,4.5371,4.6524,4.4698,4.5755,14827,0
KRC,D,20080307,000000,4.5947,4.5947,4.4409,4.5659,3260,0
KRC,D,20080310,000000,4.4794,4.4794,4.1814,4.3256,15485,0
KRC,D,20080311,000000,4.3064,4.3064,4.0564,4.2006,11708,0
KRC,D,20080312,000000,4.2775,4.2775,3.9988,4.0853,17471,0
KRC,D,20080313,000000,3.9988,4.9984,3.9603,4.4794,101859,0
KRC,D,20080314,000000,4.5659,4.8062,4.2775,4.5274,25255,0
KRC,D,20080317,000000,4.2295,4.2295,3.6239,3.8257,93863,0
KRC,D,20080318,000000,3.7584,3.9891,3.6335,3.9891,14765,0
KRC,D,20080319,000000,4.0853,4.0853,3.893,3.893,147,0
KRC,D,20080320,000000,3.9891,3.9891,3.7008,3.7777,3091,0
KRC,D,20080325,000000,3.9411,3.9411,3.7681,3.8834,8139,0
KRC,D,20080326,000000,3.7969,3.9219,3.6623,3.7008,17795,0
KRC,D,20080327,000000,3.7296,3.7296,3.6623,3.7008,2692,0
KRC,D,20080328,000000,4.0372,4.0372,3.6816,3.7008,6033,0
KRC,D,20080331,000000,3.6527,3.7296,3.5662,3.7296,4609,0
KRC,D,20080401,000000,3.6143,3.7296,3.6143,3.6239,1129,0
KRC,D,20080402,000000,3.6335,3.6527,3.5085,3.6527,4080,0
KRC,D,20080403,000000,3.4605,3.6143,3.3163,3.5278,7391,0
KRC,D,20080404,000000,3.5181,3.5181,3.2682,3.4124,11940,0
KRC,D,20080407,000000,3.4124,3.7777,3.4124,3.6816,9086,0
KRC,D,20080408,000000,3.6527,3.6527,3.4989,3.5566,5793,0
KRC,D,20080409,000000,3.4124,3.4509,3.2874,3.2874,10747,0
KRC,D,20080410,000000,3.374,3.6431,3.2874,3.6431,14738,0
KRC,D,20080411,000000,3.6623,3.7969,3.5566,3.6527,12239,0
KRC,D,20080414,000000,3.5181,3.5566,3.4701,3.4701,2562,0
KRC,D,20080415,000000,3.4701,3.6047,3.4701,3.4701,7474,0
KRC,D,20080416,000000,3.5566,3.5566,3.4124,3.547,1786,0
KRC,D,20080417,000000,3.5758,3.5758,3.4124,3.4124,313,0
