<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRI,D,20070611,000000,13.264,13.264,11.681,11.681,466061,0
KRI,D,20070612,000000,11.937,12.335,11.725,11.982,54928,0
KRI,D,20070613,000000,11.973,12.433,11.866,12.388,51763,0
KRI,D,20070614,000000,12.574,12.698,12.388,12.645,72602,0
KRI,D,20070615,000000,12.831,14.503,12.698,14.141,106012,0
KRI,D,20070618,000000,14.689,15.928,14.247,14.388,124289,0
KRI,D,20070619,000000,14.654,15.264,14.654,14.778,27822,0
KRI,D,20070620,000000,15.043,15.043,14.609,14.689,30119,0
KRI,D,20070621,000000,14.91,14.955,13.804,14.946,17104,0
KRI,D,20070622,000000,14.601,14.601,14.335,14.388,28053,0
KRI,D,20070625,000000,14.928,14.928,13.716,14.132,32543,0
KRI,D,20070626,000000,13.406,14.158,13.406,13.884,31424,0
KRI,D,20070627,000000,13.627,13.636,13.415,13.539,7489,0
KRI,D,20070628,000000,13.362,13.893,13.362,13.415,12227,0
KRI,D,20070629,000000,13.424,13.689,12.875,12.875,4851,0
KRI,D,20070702,000000,12.831,13.141,12.831,12.875,3942,0
KRI,D,20070703,000000,12.831,13.141,12.707,12.742,5634,0
KRI,D,20070704,000000,13.141,13.273,12.99,13.061,10694,0
KRI,D,20070705,000000,13.273,13.273,12.831,13.061,1424,0
KRI,D,20070706,000000,12.787,13.008,12.698,12.742,8309,0
KRI,D,20070709,000000,13.362,15.353,13.273,14.158,19504,0
KRI,D,20070710,000000,14.273,14.273,13.105,13.318,18052,0
KRI,D,20070711,000000,13.707,14.247,12.742,13.318,7573,0
KRI,D,20070712,000000,13.273,13.273,12.742,13.211,5080,0
KRI,D,20070713,000000,13.008,13.247,12.388,12.919,24064,0
KRI,D,20070716,000000,12.919,13.096,12.22,12.477,83242,0
KRI,D,20070717,000000,12.512,12.866,12.371,12.778,21460,0
KRI,D,20070718,000000,12.866,13.362,12.477,13.362,3132,0
KRI,D,20070719,000000,13.061,13.061,12.565,12.565,6490,0
KRI,D,20070720,000000,12.565,13.256,12.167,12.397,3796,0
KRI,D,20070723,000000,12.61,13.052,12.052,13.043,4429,0
KRI,D,20070724,000000,13.008,13.008,12.123,12.742,3611,0
KRI,D,20070725,000000,12.734,12.734,12.141,12.141,3827,0
KRI,D,20070726,000000,12.919,13.008,12.388,12.433,8201,0
KRI,D,20070727,000000,12.123,12.831,12.123,12.512,4904,0
KRI,D,20070730,000000,12.141,12.831,12.141,12.831,194,0
KRI,D,20070731,000000,12.831,12.919,12.654,12.787,25091,0
KRI,D,20070801,000000,12.38,12.742,12.38,12.742,3826,0
