<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRK,D,19970210,000000,37.688,37.688,37.688,37.688,366478,0
KRK,D,19970211,000000,29.695,29.695,29.695,29.695,649134,0
KRK,D,19970212,000000,23.14,23.14,23.14,23.14,381744,0
KRK,D,19970213,000000,26.182,26.182,26.182,26.182,170641,0
KRK,D,19970214,000000,28.871,28.871,28.871,28.871,127261,0
KRK,D,19970217,000000,32.76,32.76,32.76,32.76,162961,0
KRK,D,19970218,000000,30.643,30.643,30.643,30.643,117147,0
KRK,D,19970219,000000,29.269,29.269,29.269,29.269,86815,0
KRK,D,19970220,000000,28.951,28.951,28.951,28.951,129003,0
KRK,D,19970221,000000,28.619,28.619,28.619,28.619,50770,0
KRK,D,19970224,000000,28.648,28.648,28.648,28.648,56110,0
KRK,D,19970225,000000,28.639,28.639,28.639,28.639,54781,0
KRK,D,19970226,000000,28.431,28.431,28.431,28.431,36463,0
KRK,D,19970227,000000,28.451,28.451,28.451,28.451,115805,0
KRK,D,19970228,000000,29.812,29.812,29.812,29.812,42453,0
KRK,D,19970303,000000,29.261,29.261,29.261,29.261,41124,0
KRK,D,19970304,000000,28.264,28.264,28.264,28.264,28616,0
KRK,D,19970305,000000,27.281,27.281,27.281,27.281,46202,0
KRK,D,19970306,000000,27.194,27.194,27.194,27.194,24657,0
KRK,D,19970307,000000,26.841,26.841,26.841,26.841,29420,0
KRK,D,19970310,000000,26.624,26.624,26.624,26.624,16438,0
KRK,D,19970311,000000,26.465,26.465,26.465,26.465,26180,0
KRK,D,19970312,000000,26.653,26.653,26.653,26.653,12537,0
KRK,D,19970313,000000,26.602,26.602,26.602,26.602,13850,0
KRK,D,19970314,000000,26.552,26.552,26.552,26.552,11914,0
KRK,D,19970317,000000,26.335,26.335,26.335,26.335,16107,0
KRK,D,19970318,000000,25.771,25.771,25.771,25.771,24715,0
KRK,D,19970319,000000,25.65,25.65,25.65,25.65,20147,0
KRK,D,19970320,000000,25.489,25.489,25.489,25.489,16259,0
KRK,D,19970321,000000,24.809,24.809,24.809,24.809,87231,0
KRK,D,19970324,000000,24.499,24.499,24.499,24.499,38371,0
