<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KSW,D,19970103,000000,11.69,11.69,11.69,11.69,193,0
KSW,D,19970106,000000,11.69,11.69,11.69,11.69,40508,0
KSW,D,19970107,000000,11.739,11.739,11.739,11.739,29556,0
KSW,D,19970108,000000,12.198,12.198,12.198,12.198,31028,0
KSW,D,19970109,000000,12.706,12.706,12.706,12.706,50369,0
KSW,D,19970110,000000,13.213,13.213,13.213,13.213,61904,0
KSW,D,19970113,000000,13.467,13.467,13.467,13.467,53347,0
KSW,D,19970114,000000,13.213,13.213,13.213,13.213,34092,0
KSW,D,19970115,000000,12.706,12.706,12.706,12.706,29551,0
KSW,D,19970116,000000,12.706,12.706,12.706,12.706,23139,0
KSW,D,19970117,000000,12.706,12.706,12.706,12.706,17079,0
KSW,D,19970120,000000,12.198,12.198,12.198,12.198,15659,0
KSW,D,19970121,000000,12.198,12.198,12.198,12.198,24594,0
KSW,D,19970122,000000,11.945,11.945,11.945,11.945,17917,0
KSW,D,19970123,000000,11.945,11.945,11.945,11.945,24029,0
KSW,D,19970124,000000,12.198,12.198,12.198,12.198,24842,0
KSW,D,19970127,000000,11.69,11.69,11.69,11.69,23953,0
KSW,D,19970128,000000,10.773,10.773,10.773,10.773,27702,0
KSW,D,19970129,000000,11.184,11.184,11.184,11.184,15430,0
KSW,D,19970130,000000,11.184,11.184,11.184,11.184,23119,0
KSW,D,19970131,000000,11.129,11.129,11.129,11.129,9479,0
KSW,D,19970203,000000,11.69,11.69,11.69,11.69,11463,0
KSW,D,19970204,000000,11.69,11.69,11.69,11.69,10737,0
KSW,D,19970205,000000,11.588,11.588,11.588,11.588,10872,0
KSW,D,19970206,000000,11.69,11.69,11.69,11.69,15015,0
KSW,D,19970207,000000,11.945,11.945,11.945,11.945,23358,0
KSW,D,19970210,000000,11.89,11.89,11.89,11.89,14211,0
KSW,D,19970211,000000,11.69,11.69,11.69,11.69,26648,0
KSW,D,19970212,000000,11.588,11.588,11.588,11.588,11046,0
KSW,D,19970213,000000,11.184,11.184,11.184,11.184,9569,0
KSW,D,19970214,000000,11.384,11.384,11.384,11.384,14186,0
KSW,D,19970217,000000,11.081,11.081,11.081,11.081,16201,0
KSW,D,19970218,000000,10.979,10.979,10.979,10.979,19130,0
KSW,D,19970219,000000,10.724,10.724,10.724,10.724,23730,0
KSW,D,19970220,000000,10.671,10.671,10.671,10.671,14854,0
KSW,D,19970221,000000,11.184,11.184,11.184,11.184,20438,0
KSW,D,19970224,000000,11.534,11.534,11.534,11.534,17377,0
KSW,D,19970225,000000,12.198,12.198,12.198,12.198,90429,0
KSW,D,19970226,000000,13.213,13.213,13.213,13.213,107349,0
KSW,D,19970227,000000,12.706,12.706,12.706,12.706,83938,0
KSW,D,19970228,000000,13.213,13.213,13.213,13.213,131903,0
KSW,D,19970303,000000,13.213,13.213,13.213,13.213,79007,0
KSW,D,19970304,000000,13.823,13.823,13.823,13.823,100406,0
KSW,D,19970305,000000,14.233,14.233,14.233,14.233,140225,0
KSW,D,19970306,000000,14.233,14.233,14.233,14.233,69251,0
KSW,D,19970307,000000,14.233,14.233,14.233,14.233,85943,0
KSW,D,19970310,000000,13.974,13.974,13.974,13.974,65180,0
KSW,D,19970311,000000,13.823,13.823,13.823,13.823,79498,0
KSW,D,19970312,000000,13.672,13.672,13.672,13.672,57490,0
KSW,D,19970313,000000,13.213,13.213,13.213,13.213,35681,0
KSW,D,19970314,000000,12.452,12.452,12.452,12.452,97937,0
KSW,D,19970317,000000,12.452,12.452,12.452,12.452,21325,0
KSW,D,19970318,000000,12.301,12.301,12.301,12.301,26912,0
KSW,D,19970319,000000,11.945,11.945,11.945,11.945,55679,0
KSW,D,19970320,000000,11.739,11.739,11.739,11.739,23040,0
KSW,D,19970321,000000,11.945,11.945,11.945,11.945,19467,0
KSW,D,19970324,000000,12.046,12.046,12.046,12.046,15773,0
KSW,D,19970325,000000,12.349,12.349,12.349,12.349,30648,0
KSW,D,19970326,000000,12.404,12.404,12.404,12.404,25886,0
KSW,D,19970327,000000,12.603,12.603,12.603,12.603,37406,0
KSW,D,19970401,000000,12.198,12.198,12.198,12.198,48084,0
KSW,D,19970402,000000,12.246,12.246,12.246,12.246,27798,0
KSW,D,19970403,000000,12.198,12.198,12.198,12.198,38082,0
KSW,D,19970404,000000,12.096,12.096,12.096,12.096,15580,0
KSW,D,19970407,000000,12.246,12.246,12.246,12.246,19105,0
KSW,D,19970408,000000,12.198,12.198,12.198,12.198,44846,0
KSW,D,19970409,000000,12.198,12.198,12.198,12.198,18200,0
KSW,D,19970410,000000,12.198,12.198,12.198,12.198,31193,0
KSW,D,19970411,000000,12.301,12.301,12.301,12.301,22440,0
KSW,D,19970414,000000,12.301,12.301,12.301,12.301,26705,0
KSW,D,19970415,000000,12.404,12.404,12.404,12.404,46931,0
KSW,D,19970416,000000,12.706,12.706,12.706,12.706,62332,0
KSW,D,19970417,000000,12.706,12.706,12.706,12.706,40965,0
KSW,D,19970418,000000,12.404,12.404,12.404,12.404,13427,0
KSW,D,19970421,000000,12.706,12.706,12.706,12.706,47930,0
KSW,D,19970422,000000,12.913,12.913,12.913,12.913,24361,0
KSW,D,19970423,000000,13.164,13.164,13.164,13.164,50177,0
KSW,D,19970424,000000,13.213,13.213,13.213,13.213,55167,0
KSW,D,19970425,000000,12.754,12.754,12.754,12.754,16228,0
KSW,D,19970428,000000,12.603,12.603,12.603,12.603,28956,0
KSW,D,19970429,000000,12.452,12.452,12.452,12.452,8953,0
KSW,D,19970430,000000,13.11,13.11,13.11,13.11,50259,0
KSW,D,19970505,000000,13.314,13.314,13.314,13.314,51782,0
KSW,D,19970506,000000,13.467,13.467,13.467,13.467,33151,0
KSW,D,19970507,000000,12.858,12.858,12.858,12.858,25820,0
KSW,D,19970508,000000,12.809,12.809,12.809,12.809,36370,0
KSW,D,19970509,000000,13.314,13.314,13.314,13.314,51556,0
KSW,D,19970512,000000,13.267,13.267,13.267,13.267,44213,0
KSW,D,19970513,000000,13.267,13.267,13.267,13.267,53182,0
KSW,D,19970514,000000,13.267,13.267,13.267,13.267,37954,0
KSW,D,19970515,000000,13.467,13.467,13.467,13.467,57987,0
KSW,D,19970516,000000,13.213,13.213,13.213,13.213,37949,0
KSW,D,19970519,000000,13.11,13.11,13.11,13.11,28102,0
KSW,D,19970520,000000,12.96,12.96,12.96,12.96,46219,0
KSW,D,19970521,000000,12.809,12.809,12.809,12.809,13975,0
KSW,D,19970522,000000,12.706,12.706,12.706,12.706,17752,0
KSW,D,19970523,000000,12.555,12.555,12.555,12.555,15332,0
KSW,D,19970526,000000,12.603,12.603,12.603,12.603,5471,0
KSW,D,19970527,000000,12.452,12.452,12.452,12.452,12950,0
KSW,D,19970528,000000,12.501,12.501,12.501,12.501,16278,0
KSW,D,19970530,000000,13.164,13.164,13.164,13.164,35212,0
KSW,D,19970602,000000,13.363,13.363,13.363,13.363,50160,0
KSW,D,19970603,000000,13.213,13.213,13.213,13.213,46084,0
KSW,D,19970604,000000,13.015,13.015,13.015,13.015,29707,0
KSW,D,19970605,000000,13.213,13.213,13.213,13.213,57173,0
KSW,D,19970606,000000,13.363,13.363,13.363,13.363,31607,0
KSW,D,19970609,000000,13.467,13.467,13.467,13.467,53309,0
KSW,D,19970610,000000,13.314,13.314,13.314,13.314,9848,0
KSW,D,19970611,000000,13.57,13.57,13.57,13.57,53834,0
KSW,D,19970612,000000,13.823,13.823,13.823,13.823,61449,0
KSW,D,19970613,000000,15.194,15.194,15.194,15.194,105904,0
KSW,D,19970616,000000,14.74,14.74,14.74,14.74,64292,0
KSW,D,19970617,000000,14.487,14.487,14.487,14.487,35551,0
KSW,D,19970618,000000,14.18,14.18,14.18,14.18,72056,0
KSW,D,19970619,000000,13.974,13.974,13.974,13.974,39028,0
KSW,D,19970620,000000,13.774,13.774,13.774,13.774,17861,0
KSW,D,19970623,000000,13.672,13.672,13.672,13.672,15142,0
KSW,D,19970624,000000,13.363,13.363,13.363,13.363,24011,0
KSW,D,19970625,000000,13.721,13.721,13.721,13.721,29699,0
KSW,D,19970626,000000,13.721,13.721,13.721,13.721,36232,0
KSW,D,19970627,000000,14.487,14.487,14.487,14.487,31481,0
