<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEN,D,20050601,000000,3.7337,3.7337,3.4958,3.5673,378243,0
LEN,D,20050602,000000,3.7337,3.9715,3.7101,3.924,184449,0
LEN,D,20050603,000000,4.0191,4.0191,3.6862,3.829,106643,0
LEN,D,20050606,000000,3.8526,3.8526,3.7576,3.829,51211,0
LEN,D,20050607,000000,3.805,3.805,3.7813,3.805,9114,0
LEN,D,20050608,000000,3.8526,3.8764,3.805,3.8526,34963,0
LEN,D,20050609,000000,3.805,3.9715,3.7813,3.9715,56899,0
LEN,D,20050610,000000,3.9715,4.3283,3.9715,4.1381,129475,0
LEN,D,20050613,000000,4.1618,4.1618,4.0666,4.1381,37357,0
LEN,D,20050614,000000,4.0905,4.1142,3.9954,3.9954,34371,0
LEN,D,20050615,000000,3.9954,4.0905,3.9479,4.0666,38559,0
LEN,D,20050616,000000,4.0666,4.1142,3.9479,4.0429,98431,0
LEN,D,20050617,000000,3.9954,4.0666,3.9954,4.0666,7508,0
LEN,D,20050620,000000,3.9715,4.0429,3.9715,4.0429,143,0
LEN,D,20050621,000000,3.9715,3.9954,3.924,3.9954,6029,0
LEN,D,20050622,000000,3.8526,3.9954,3.7813,3.9715,46967,0
LEN,D,20050623,000000,3.829,3.9715,3.805,3.9715,46877,0
LEN,D,20050627,000000,3.8764,3.9479,3.8764,3.9479,9181,0
LEN,D,20050628,000000,3.924,3.924,3.924,3.924,734,0
LEN,D,20050629,000000,3.829,3.8526,3.805,3.8526,8718,0
LEN,D,20050630,000000,3.8764,3.9002,3.8764,3.9002,3342,0
LEN,D,20050701,000000,3.8526,3.8764,3.8526,3.8764,10515,0
LEN,D,20050704,000000,3.9002,3.9002,3.9002,3.9002,631,0
LEN,D,20050706,000000,3.8526,3.8764,3.8526,3.8764,5214,0
LEN,D,20050707,000000,3.8764,3.9002,3.805,3.9002,25758,0
LEN,D,20050708,000000,3.805,3.9002,3.805,3.9002,20017,0
LEN,D,20050711,000000,3.9002,3.9002,3.9002,3.9002,1875,0
LEN,D,20050712,000000,3.829,3.829,3.829,3.829,1033,0
LEN,D,20050713,000000,3.8526,3.8526,3.829,3.8526,14741,0
LEN,D,20050714,000000,3.8526,3.8526,3.8526,3.8526,209,0
LEN,D,20050715,000000,3.8526,3.8526,3.8526,3.8526,1085,0
LEN,D,20050718,000000,3.8764,3.9002,3.8526,3.8526,8737,0
LEN,D,20050719,000000,3.8526,3.8764,3.8526,3.8764,12169,0
LEN,D,20050720,000000,3.9002,4.0429,3.9002,4.0429,89526,0
LEN,D,20050721,000000,3.9954,4.0429,3.9715,4.0429,3724,0
LEN,D,20050722,000000,4.0191,4.0191,3.9954,4.0191,11280,0
LEN,D,20050725,000000,4.0666,4.0666,4.0666,4.0666,8200,0
LEN,D,20050726,000000,4.0666,4.0666,3.9954,3.9954,9608,0
LEN,D,20050727,000000,3.9954,3.9954,3.9715,3.9954,7380,0
LEN,D,20050728,000000,4.0191,4.0191,3.924,3.924,3419,0
LEN,D,20050729,000000,3.924,3.9479,3.924,3.9479,263,0
LEN,D,20050801,000000,4.0429,4.1618,3.924,4.1381,50209,0
LEN,D,20050802,000000,4.1381,4.1381,4.1381,4.1381,1366,0
LEN,D,20050803,000000,4.1381,4.1381,4.0429,4.0905,6818,0
LEN,D,20050804,000000,3.9954,4.257,3.9954,4.257,44313,0
LEN,D,20050805,000000,4.1618,4.257,4.1381,4.2094,33660,0
LEN,D,20050808,000000,4.2094,4.352,4.2094,4.2094,14596,0
LEN,D,20050810,000000,4.2331,4.2331,4.1857,4.1857,904,0
LEN,D,20050812,000000,3.9715,4.1142,3.9715,4.0191,4205,0
LEN,D,20050816,000000,3.924,3.924,3.924,3.924,997,0
LEN,D,20050817,000000,3.9954,4.0429,3.924,4.0429,5151,0
LEN,D,20050818,000000,4.0429,4.0429,4.0429,4.0429,1219,0
LEN,D,20050819,000000,4.0191,4.0429,3.9002,3.9954,4961,0
LEN,D,20050822,000000,3.924,3.924,3.924,3.924,526,0
LEN,D,20050823,000000,3.924,3.924,3.924,3.924,222962,0
LEN,D,20050824,000000,3.9002,3.924,3.9002,3.924,52187,0
LEN,D,20050825,000000,3.924,3.924,3.924,3.924,7462,0
LEN,D,20050826,000000,3.9002,3.9002,3.9002,3.9002,45,0
LEN,D,20050829,000000,3.9002,3.9002,3.805,3.829,11070,0
LEN,D,20050830,000000,3.9002,4.1142,3.9002,4.1142,13666,0
LEN,D,20050831,000000,4.1381,4.1381,4.0666,4.1142,8076,0
LEN,D,20050901,000000,3.9954,4.0429,3.9954,4.0429,349,0
LEN,D,20050902,000000,4.0191,4.0191,4.0191,4.0191,314,0
LEN,D,20050906,000000,4.0429,4.0429,4.0429,4.0429,2881,0
LEN,D,20050907,000000,3.924,4.0429,3.9002,3.9954,1530,0
LEN,D,20050908,000000,3.9954,4.0429,3.9479,4.0429,650303,0
LEN,D,20050909,000000,3.9715,3.9715,3.805,3.805,4065,0
LEN,D,20050912,000000,3.9479,3.9479,3.805,3.805,1511,0
LEN,D,20050913,000000,3.829,3.829,3.829,3.829,1047,0
LEN,D,20050916,000000,3.829,3.829,3.805,3.805,3259,0
LEN,D,20050919,000000,3.805,3.829,3.805,3.829,3173,0
LEN,D,20050920,000000,3.829,3.829,3.5911,3.7813,30927,0
LEN,D,20050921,000000,3.805,3.805,3.805,3.805,2767,0
LEN,D,20050923,000000,3.6387,3.805,3.6148,3.805,4627,0
LEN,D,20050926,000000,3.8526,3.8526,3.8526,3.8526,423,0
LEN,D,20050927,000000,3.829,4.1857,3.829,3.9715,17270,0
LEN,D,20050928,000000,4.1618,4.1618,4.1142,4.1142,2471,0
LEN,D,20050929,000000,3.8764,3.9479,3.805,3.8764,13734,0
LEN,D,20050930,000000,3.924,4.0429,3.9002,4.0429,10935,0
LEN,D,20051003,000000,3.9002,3.9002,3.8764,3.9002,6195,0
LEN,D,20051004,000000,3.9002,3.9002,3.8526,3.9002,2331,0
LEN,D,20051005,000000,3.829,3.8764,3.829,3.8764,1247,0
LEN,D,20051006,000000,3.829,3.829,3.7576,3.7813,9512,0
LEN,D,20051007,000000,3.7337,3.7337,3.7337,3.7337,1052,0
LEN,D,20051010,000000,3.7101,3.7813,3.7101,3.7813,533,0
LEN,D,20051011,000000,3.7101,3.7101,3.7101,3.7101,8790,0
LEN,D,20051012,000000,3.6624,3.805,3.6148,3.7101,428184,0
LEN,D,20051013,000000,3.6624,3.6624,3.5911,3.5911,8797,0
LEN,D,20051014,000000,3.5434,3.6862,3.5434,3.6862,1291,0
LEN,D,20051017,000000,3.6862,3.6862,3.6862,3.6862,335,0
LEN,D,20051019,000000,3.7576,3.7813,3.5673,3.5673,31559,0
LEN,D,20051020,000000,3.5673,3.6862,3.5673,3.6862,125928,0
LEN,D,20051021,000000,3.7813,3.805,3.7337,3.7337,16356,0
LEN,D,20051025,000000,3.805,3.805,3.7813,3.7813,8581,0
LEN,D,20051026,000000,3.6387,3.805,3.5673,3.805,3746,0
LEN,D,20051027,000000,3.6387,3.805,3.6387,3.805,150,0
LEN,D,20051028,000000,3.6624,3.6624,3.6624,3.6624,2,0
LEN,D,20051031,000000,3.7813,3.7813,3.7101,3.7101,1149,0
LEN,D,20051102,000000,3.7813,3.9479,3.7813,3.9002,4782,0
LEN,D,20051103,000000,3.8526,3.8526,3.7576,3.8526,1406,0
LEN,D,20051104,000000,3.805,3.924,3.805,3.924,9716,0
LEN,D,20051107,000000,3.7101,3.7101,3.5673,3.6387,12551,0
LEN,D,20051108,000000,3.6387,3.7101,3.6387,3.7101,3526,0
LEN,D,20051114,000000,3.5911,3.6862,3.5911,3.6862,4248,0
LEN,D,20051115,000000,3.6387,3.6387,3.5911,3.5911,2628,0
LEN,D,20051116,000000,3.5911,3.5911,3.5911,3.5911,1052,0
LEN,D,20051117,000000,3.5673,3.5673,3.5196,3.5673,3588,0
LEN,D,20051118,000000,3.6387,3.6387,3.5196,3.5196,7145,0
