<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LKD,D,20151215,000000,7.743,9.651,7.743,9.651,1409,0
LKD,D,20151217,000000,9.4268,9.4268,9.4268,9.4268,129,0
LKD,D,20151218,000000,9.559,9.559,9.559,9.559,6,0
LKD,D,20151221,000000,8.5153,9.0175,8.5153,9.0175,169,0
LKD,D,20151222,000000,8.5153,9.1185,8.5001,9.1185,1569,0
LKD,D,20151223,000000,9.2731,9.2731,9.2731,9.2731,388,0
LKD,D,20151228,000000,9.2731,9.2731,9.2731,9.2731,1760,0
LKD,D,20151229,000000,9.2731,9.2731,9.2731,9.2731,3882,0
LKD,D,20151230,000000,9.2731,9.659,8.5001,9.659,9694,0
LKD,D,20160113,000000,9.4268,9.4268,9.4268,9.4268,1,0
LKD,D,20160120,000000,7.7276,7.7657,7.7276,7.7657,675,0
LKD,D,20160121,000000,7.7276,8.4615,7.7276,8.4615,144,0
LKD,D,20160127,000000,8.5001,8.5001,7.7276,8.5001,402,0
LKD,D,20160129,000000,9.3115,9.3115,9.3115,9.3115,129,0
LKD,D,20160203,000000,9.2731,9.2731,9.2731,9.2731,110,0
LKD,D,20160212,000000,8.5001,9.1185,8.5001,9.1185,206,0
LKD,D,20160216,000000,9.1185,9.1185,9.1185,9.1185,323,0
LKD,D,20160224,000000,8.5001,8.5001,7.7276,7.7276,197,0
LKD,D,20160225,000000,8.5001,8.5001,8.5001,8.5001,647,0
LKD,D,20160229,000000,8.5001,8.5001,8.5001,8.5001,129,0
LKD,D,20160304,000000,8.3454,8.3454,8.3454,8.3454,163,0
LKD,D,20160309,000000,8.3454,8.3454,8.3454,8.3454,129,0
LKD,D,20160310,000000,8.3454,8.3838,8.3454,8.3454,551,0
LKD,D,20160311,000000,8.3454,8.3454,8.3454,8.3454,517,0
LKD,D,20160316,000000,8.3454,8.8861,8.3454,8.8861,274,0
LKD,D,20160317,000000,9.2731,9.3499,9.2731,9.2731,129803,0
LKD,D,20160318,000000,9.1185,9.3115,9.1185,9.3115,939,0
LKD,D,20160321,000000,9.3651,9.968,9.3651,9.929,5339,0
LKD,D,20160322,000000,9.729,9.729,9.729,9.729,68,0
LKD,D,20160323,000000,9.581,9.581,9.581,9.581,22,0
LKD,D,20160329,000000,9.574,9.574,9.566,9.566,414,0
