<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LRQ,D,20080507,000000,10.299,10.603,10.034,10.603,62224,0
LRQ,D,20080508,000000,10.75,10.75,10.318,10.632,8880,0
LRQ,D,20080509,000000,10.485,10.652,10.407,10.652,10430,0
LRQ,D,20080512,000000,10.269,10.701,10.259,10.701,9892,0
LRQ,D,20080513,000000,10.652,10.799,10.652,10.799,6417,0
LRQ,D,20080514,000000,10.809,10.809,10.799,10.799,18209,0
LRQ,D,20080515,000000,10.799,10.848,10.79,10.848,10043,0
LRQ,D,20080516,000000,10.505,10.848,10.505,10.848,2900,0
LRQ,D,20080519,000000,10.799,10.848,10.475,10.799,10438,0
LRQ,D,20080520,000000,10.79,10.79,10.338,10.505,18616,0
LRQ,D,20080521,000000,10.308,10.505,10.308,10.505,4994,0
LRQ,D,20080526,000000,10.407,10.407,10.407,10.407,653,0
LRQ,D,20080527,000000,10.554,10.554,10.407,10.407,23682,0
LRQ,D,20080528,000000,10.377,10.377,10.377,10.377,12,0
LRQ,D,20080530,000000,10.505,10.505,10.505,10.505,10186,0
LRQ,D,20080603,000000,10.299,10.495,10.299,10.495,25465,0
LRQ,D,20080604,000000,10.485,10.485,10.485,10.485,306,0
LRQ,D,20080606,000000,10.407,10.407,10.407,10.407,7130,0
LRQ,D,20080610,000000,10.014,10.014,9.916,9.916,280,0
LRQ,D,20080611,000000,9.916,10.299,9.916,10.299,10328,0
LRQ,D,20080613,000000,10.299,10.299,9.837,9.837,307,0
LRQ,D,20080616,000000,9.837,9.837,9.837,9.837,1019,0
LRQ,D,20080617,000000,9.837,9.916,9.837,9.916,4075,0
LRQ,D,20080618,000000,10.21,10.21,10.21,10.21,1,0
LRQ,D,20080619,000000,10.299,10.299,10.299,10.299,1,0
LRQ,D,20080620,000000,10.299,10.299,10.299,10.299,1,0
LRQ,D,20080623,000000,9.818,9.818,9.818,9.818,1752,0
LRQ,D,20080624,000000,9.916,10.308,9.916,10.112,1732,0
LRQ,D,20080625,000000,10.299,10.299,10.299,10.299,1,0
LRQ,D,20080626,000000,10.102,10.299,9.818,10.299,2160,0
LRQ,D,20080627,000000,10.112,10.112,10.112,10.112,764,0
LRQ,D,20080630,000000,10.112,10.112,10.112,10.112,1,0
LRQ,D,20080701,000000,9.651,9.651,9.651,9.651,815,0
LRQ,D,20080708,000000,9.67,9.67,9.67,9.67,815,0
LRQ,D,20080709,000000,9.67,10.112,9.67,10.112,1833,0
LRQ,D,20080710,000000,10.308,10.308,10.308,10.308,102,0
LRQ,D,20080711,000000,9.818,10.308,9.818,10.308,161,0
LRQ,D,20080714,000000,10.308,10.308,10.308,10.308,1,0
LRQ,D,20080715,000000,10.308,10.308,10.308,10.308,1,0
LRQ,D,20080716,000000,9.818,9.818,9.818,9.818,764,0
LRQ,D,20080717,000000,9.818,9.818,9.818,9.818,509,0
LRQ,D,20080718,000000,9.818,9.818,9.818,9.818,1,0
LRQ,D,20080721,000000,9.818,9.818,9.818,9.818,764,0
LRQ,D,20080722,000000,10.21,10.21,9.729,10.21,305,0
LRQ,D,20080723,000000,10.21,10.21,10.21,10.21,102,0
LRQ,D,20080724,000000,9.749,10.74,9.749,10.74,1131,0
LRQ,D,20080725,000000,10.819,10.819,10.819,10.819,102,0
LRQ,D,20080728,000000,10.75,10.799,10.75,10.799,204,0
LRQ,D,20080729,000000,10.799,10.799,10.289,10.289,877,0
LRQ,D,20080730,000000,10.358,10.603,10.358,10.603,815,0
LRQ,D,20080731,000000,10.75,10.75,10.75,10.75,173,0
LRQ,D,20080801,000000,10.77,11.28,10.701,10.701,1518,0
LRQ,D,20080804,000000,10.77,10.77,10.77,10.77,102,0
LRQ,D,20080805,000000,10.77,10.77,10.77,10.77,102,0
LRQ,D,20080806,000000,10.77,10.77,10.259,10.259,765,0
LRQ,D,20080807,000000,10.259,10.259,10.259,10.259,306,0
LRQ,D,20080811,000000,10.2,10.2,10.2,10.2,102,0
LRQ,D,20080812,000000,10.2,10.259,10.2,10.259,153,0
LRQ,D,20080813,000000,10.259,10.259,10.259,10.259,102,0
LRQ,D,20080814,000000,10.259,10.77,10.259,10.77,866,0
LRQ,D,20080818,000000,10.524,10.524,10.524,10.524,1,0
LRQ,D,20080819,000000,10.328,10.77,10.328,10.77,765,0
LRQ,D,20080820,000000,10.75,10.75,10.75,10.75,52,0
LRQ,D,20080821,000000,10.328,10.76,10.328,10.76,1027,0
LRQ,D,20080822,000000,10.77,10.77,10.77,10.77,102,0
LRQ,D,20080825,000000,10.77,10.77,10.77,10.77,115,0
LRQ,D,20080826,000000,10.259,10.308,10.259,10.308,1477,0
LRQ,D,20080827,000000,9.4837,9.808,9.3954,9.798,4445,0
LRQ,D,20080828,000000,9.808,9.808,9.808,9.808,1,0
LRQ,D,20080829,000000,9.798,9.798,9.798,9.798,1,0
LRQ,D,20080901,000000,9.768,9.818,9.768,9.818,174,0
LRQ,D,20080902,000000,9.768,9.818,9.768,9.818,154,0
LRQ,D,20080903,000000,9.3659,10.308,9.3659,10.308,816,0
LRQ,D,20080904,000000,10.308,10.308,10.308,10.308,102,0
LRQ,D,20080905,000000,10.102,10.102,10.102,10.102,764,0
LRQ,D,20080908,000000,10.308,10.308,10.308,10.308,102,0
LRQ,D,20080909,000000,10.308,10.308,10.308,10.308,102,0
LRQ,D,20080910,000000,10.308,10.308,10.308,10.308,153,0
LRQ,D,20080911,000000,10.308,10.308,10.308,10.308,102,0
LRQ,D,20080912,000000,10.308,10.308,10.308,10.308,102,0
LRQ,D,20080915,000000,10.308,10.308,10.308,10.308,102,0
LRQ,D,20080916,000000,10.308,10.308,10.308,10.308,102,0
LRQ,D,20080917,000000,10.308,10.308,10.308,10.308,102,0
LRQ,D,20080918,000000,10.308,10.308,10.308,10.308,102,0
LRQ,D,20080919,000000,10.308,10.308,10.308,10.308,102,0
LRQ,D,20080922,000000,10.308,10.75,10.308,10.75,713,0
LRQ,D,20080923,000000,10.505,10.505,10.505,10.505,102,0
LRQ,D,20080924,000000,10.505,10.505,10.505,10.505,51,0
LRQ,D,20080925,000000,10.603,10.603,10.603,10.603,51,0
LRQ,D,20080926,000000,10.701,10.75,10.112,10.112,815,0
LRQ,D,20080929,000000,10.308,10.308,10.308,10.308,112,0
LRQ,D,20080930,000000,10.308,10.308,10.308,10.308,102,0
LRQ,D,20081001,000000,10.308,10.308,10.308,10.308,102,0
LRQ,D,20081002,000000,9.818,9.818,9.818,9.818,2,0
LRQ,D,20081003,000000,10.299,10.299,9.818,9.818,116,0
LRQ,D,20081006,000000,10.299,10.299,10.299,10.299,102,0
LRQ,D,20081007,000000,10.299,10.299,10.299,10.299,117,0
LRQ,D,20081008,000000,10.279,10.279,9.818,9.818,1476,0
LRQ,D,20081009,000000,9.818,9.818,9.818,9.818,780,0
LRQ,D,20081010,000000,9.67,9.67,9.1205,9.562,2758,0
LRQ,D,20081013,000000,9.572,9.572,9.543,9.543,132,0
LRQ,D,20081014,000000,9.572,9.572,9.1205,9.1303,1833,0
LRQ,D,20081015,000000,9.2285,9.562,8.6983,8.8358,978,0
LRQ,D,20081016,000000,8.286,8.286,7.7558,7.7558,1070,0
LRQ,D,20081017,000000,7.7558,7.7558,6.8723,7.7558,5903,0
LRQ,D,20081020,000000,6.8723,7.7558,6.8723,7.7558,3091,0
LRQ,D,20081021,000000,8.0405,8.0405,8.0405,8.0405,102,0
LRQ,D,20081022,000000,8.0405,8.0405,8.0405,8.0405,102,0
LRQ,D,20081023,000000,8.0405,8.0405,8.0405,8.0405,102,0
LRQ,D,20081024,000000,8.0405,8.0405,8.0307,8.0307,107,0
LRQ,D,20081027,000000,7.7068,8.0405,7.7068,8.0405,159,0
LRQ,D,20081028,000000,8.0405,8.0405,8.0405,8.0405,102,0
LRQ,D,20081029,000000,8.0405,8.0405,8.0405,8.0405,102,0
LRQ,D,20081030,000000,7.6577,8.0405,7.6577,8.0405,611,0
LRQ,D,20081031,000000,8.0405,8.0405,8.0405,8.0405,516,0
LRQ,D,20081103,000000,8.1976,8.1976,8.1976,8.1976,102,0
LRQ,D,20081104,000000,8.1976,8.2958,8.1976,8.2467,1021,0
LRQ,D,20081105,000000,8.2958,8.6591,8.2958,8.6591,457,0
LRQ,D,20081106,000000,8.4234,8.7867,8.4234,8.7867,92,0
LRQ,D,20081107,000000,8.8358,8.8358,8.8358,8.8358,153,0
LRQ,D,20081110,000000,8.8259,8.8259,8.8259,8.8259,103,0
LRQ,D,20081112,000000,8.8259,8.8358,8.4234,8.8358,814,0
LRQ,D,20081113,000000,9.1205,9.1205,9.1205,9.1205,102,0
LRQ,D,20081114,000000,9.1205,9.1205,9.1205,9.1205,81,0
LRQ,D,20081117,000000,9.1205,9.1205,9.1205,9.1205,102,0
LRQ,D,20081118,000000,9.1107,9.1107,9.1107,9.1107,102,0
LRQ,D,20081119,000000,9.1205,9.1205,9.1205,9.1205,102,0
LRQ,D,20081120,000000,8.6885,8.6885,8.6885,8.6885,102,0
LRQ,D,20081121,000000,8.6885,8.6885,8.6885,8.6885,102,0
LRQ,D,20081124,000000,9.1107,9.1107,9.1107,9.1107,204,0
LRQ,D,20081125,000000,9.1205,9.1205,9.1205,9.1205,102,0
LRQ,D,20081126,000000,9.1205,9.1205,9.1205,9.1205,102,0
LRQ,D,20081127,000000,9.1205,9.1205,9.1205,9.1205,102,0
LRQ,D,20081128,000000,9.1205,9.1205,9.1205,9.1205,102,0
LRQ,D,20081201,000000,9.1205,9.1205,8.6885,8.6885,1345,0
LRQ,D,20081202,000000,8.6885,8.6885,8.6885,8.6885,103,0
LRQ,D,20081203,000000,8.6885,8.6885,8.6885,8.6885,102,0
LRQ,D,20081204,000000,8.6885,8.6885,8.6885,8.6885,102,0
LRQ,D,20081205,000000,8.6885,8.6885,8.6885,8.6885,102,0
LRQ,D,20081208,000000,8.6885,8.6885,8.6885,8.6885,102,0
LRQ,D,20081209,000000,8.6885,8.6885,8.6885,8.6885,102,0
LRQ,D,20081210,000000,8.6885,8.6885,8.6885,8.6885,102,0
LRQ,D,20081211,000000,8.6885,8.6885,8.6885,8.6885,102,0
LRQ,D,20081212,000000,8.6885,8.6885,8.6885,8.6885,102,0
