<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTX,D,19970508,000000,2.5224,2.5224,2.5224,2.5224,1765355,0
LTX,D,19970509,000000,2.775,2.775,2.775,2.775,2084024,0
LTX,D,19970512,000000,2.9041,2.9041,2.9041,2.9041,1981328,0
LTX,D,19970513,000000,2.7906,2.7906,2.7906,2.7906,290146,0
LTX,D,19970514,000000,2.6671,2.6671,2.6671,2.6671,471006,0
LTX,D,19970515,000000,2.5607,2.5607,2.5607,2.5607,493805,0
LTX,D,19970516,000000,2.5296,2.5296,2.5296,2.5296,713029,0
LTX,D,19970519,000000,2.5991,2.5991,2.5991,2.5991,81562,0
LTX,D,19970520,000000,2.5607,2.5607,2.5607,2.5607,117744,0
LTX,D,19970521,000000,2.5152,2.5152,2.5152,2.5152,256072,0
LTX,D,19970522,000000,2.4458,2.4458,2.4458,2.4458,207932,0
LTX,D,19970523,000000,2.3692,2.3692,2.3692,2.3692,1182906,0
LTX,D,19970526,000000,2.331,2.331,2.331,2.331,1387619,0
LTX,D,19970527,000000,2.2926,2.2926,2.2926,2.2926,505958,0
LTX,D,19970528,000000,2.2542,2.2542,2.2542,2.2542,156103,0
LTX,D,19970530,000000,2.2926,2.2926,2.2926,2.2926,74131,0
LTX,D,19970602,000000,2.2926,2.2926,2.2926,2.2926,177481,0
LTX,D,19970603,000000,2.2159,2.2159,2.2159,2.2159,334732,0
LTX,D,19970604,000000,2.1791,2.1791,2.1791,2.1791,216660,0
LTX,D,19970605,000000,2.155,2.155,2.155,2.155,300157,0
LTX,D,19970606,000000,2.2159,2.2159,2.2159,2.2159,113446,0
LTX,D,19970609,000000,2.2926,2.2926,2.2926,2.2926,497567,0
LTX,D,19970610,000000,2.3692,2.3692,2.3692,2.3692,479220,0
LTX,D,19970611,000000,2.4543,2.4543,2.4543,2.4543,194000,0
LTX,D,19970612,000000,2.5607,2.5607,2.5607,2.5607,351278,0
LTX,D,19970613,000000,2.5607,2.5607,2.5607,2.5607,263590,0
LTX,D,19970616,000000,2.5607,2.5607,2.5607,2.5607,181860,0
LTX,D,19970617,000000,2.5452,2.5452,2.5452,2.5452,138388,0
LTX,D,19970618,000000,2.5224,2.5224,2.5224,2.5224,288419,0
LTX,D,19970619,000000,2.6218,2.6218,2.6218,2.6218,271001,0
LTX,D,19970620,000000,2.6444,2.6444,2.6444,2.6444,357876,0
LTX,D,19970623,000000,2.5224,2.5224,2.5224,2.5224,258476,0
LTX,D,19970624,000000,2.4458,2.4458,2.4458,2.4458,115078,0
LTX,D,19970625,000000,2.4841,2.4841,2.4841,2.4841,160612,0
LTX,D,19970626,000000,2.4075,2.4075,2.4075,2.4075,160564,0
LTX,D,19970627,000000,2.3849,2.3849,2.3849,2.3849,37950,0
LTX,D,19970630,000000,2.4771,2.4771,2.4771,2.4771,47616,0
LTX,D,19970701,000000,2.3849,2.3849,2.3849,2.3849,53575,0
LTX,D,19970702,000000,2.4075,2.4075,2.4075,2.4075,128949,0
LTX,D,19970703,000000,2.423,2.423,2.423,2.423,169257,0
LTX,D,19970704,000000,2.4841,2.4841,2.4841,2.4841,129628,0
LTX,D,19970707,000000,2.5224,2.5224,2.5224,2.5224,294163,0
LTX,D,19970708,000000,2.5834,2.5834,2.5834,2.5834,147861,0
LTX,D,19970709,000000,2.6062,2.6062,2.6062,2.6062,180516,0
LTX,D,19970710,000000,2.5834,2.5834,2.5834,2.5834,107795,0
LTX,D,19970711,000000,2.592,2.592,2.592,2.592,191028,0
LTX,D,19970714,000000,2.5991,2.5991,2.5991,2.5991,937132,0
LTX,D,19970715,000000,2.7054,2.7054,2.7054,2.7054,407078,0
LTX,D,19970716,000000,2.7664,2.7664,2.7664,2.7664,295250,0
LTX,D,19970717,000000,2.897,2.897,2.897,2.897,872198,0
LTX,D,19970718,000000,2.8288,2.8288,2.8288,2.8288,363304,0
LTX,D,19970721,000000,2.8288,2.8288,2.8288,2.8288,322989,0
LTX,D,19970722,000000,2.8742,2.8742,2.8742,2.8742,82623,0
LTX,D,19970723,000000,2.9126,2.9126,2.9126,2.9126,288089,0
LTX,D,19970724,000000,2.9352,2.9352,2.9352,2.9352,665361,0
LTX,D,19970725,000000,2.9423,2.9423,2.9423,2.9423,529752,0
LTX,D,19970728,000000,2.9041,2.9041,2.9041,2.9041,425693,0
LTX,D,19970729,000000,2.9041,2.9041,2.9041,2.9041,442038,0
LTX,D,19970730,000000,2.897,2.897,2.897,2.897,434580,0
LTX,D,19970731,000000,2.8658,2.8658,2.8658,2.8658,506199,0
LTX,D,19970801,000000,2.8586,2.8586,2.8586,2.8586,399997,0
LTX,D,19970804,000000,2.8658,2.8658,2.8658,2.8658,542490,0
LTX,D,19970805,000000,2.8586,2.8586,2.8586,2.8586,525750,0
LTX,D,19970806,000000,2.9423,2.9423,2.9423,2.9423,264370,0
LTX,D,19970807,000000,2.9352,2.9352,2.9352,2.9352,351419,0
LTX,D,19970808,000000,2.9805,2.9805,2.9805,2.9805,649433,0
LTX,D,19970811,000000,3.0502,3.0502,3.0502,3.0502,784623,0
LTX,D,19970812,000000,3.019,3.019,3.019,3.019,333732,0
LTX,D,19970813,000000,3.0346,3.0346,3.0346,3.0346,683626,0
LTX,D,19970814,000000,3.0574,3.0574,3.0574,3.0574,614876,0
LTX,D,19970818,000000,3.0346,3.0346,3.0346,3.0346,513905,0
LTX,D,19970819,000000,3.0574,3.0574,3.0574,3.0574,276864,0
LTX,D,19970820,000000,3.1721,3.1721,3.1721,3.1721,220663,0
LTX,D,19970821,000000,3.2034,3.2034,3.2034,3.2034,127076,0
LTX,D,19970822,000000,3.0658,3.0658,3.0658,3.0658,107165,0
LTX,D,19970825,000000,3.0955,3.0955,3.0955,3.0955,122562,0
LTX,D,19970826,000000,3.1041,3.1041,3.1041,3.1041,194375,0
LTX,D,19970827,000000,3.1339,3.1339,3.1339,3.1339,129091,0
LTX,D,19970828,000000,3.2104,3.2104,3.2104,3.2104,167767,0
LTX,D,19970829,000000,3.3254,3.3254,3.3254,3.3254,284557,0
LTX,D,19970901,000000,3.2871,3.2871,3.2871,3.2871,98572,0
LTX,D,19970902,000000,3.4403,3.4403,3.4403,3.4403,202503,0
LTX,D,19970903,000000,3.5695,3.5695,3.5695,3.5695,129065,0
LTX,D,19970904,000000,3.5695,3.5695,3.5695,3.5695,419929,0
LTX,D,19970905,000000,3.5538,3.5538,3.5538,3.5538,338306,0
LTX,D,19970908,000000,3.463,3.463,3.463,3.463,99103,0
LTX,D,19970909,000000,3.4786,3.4786,3.4786,3.4786,405708,0
LTX,D,19970910,000000,3.5538,3.5538,3.5538,3.5538,137576,0
