<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAK,D,20070418,000000,9.3784,9.3784,7.3997,7.5429,1552074,0
MAK,D,20070419,000000,7.5588,8.1865,7.4712,7.972,361981,0
MAK,D,20070420,000000,8.1071,8.218,7.8608,8.1865,141701,0
MAK,D,20070423,000000,8.4252,8.4252,7.869,7.9558,57980,0
MAK,D,20070424,000000,7.9084,7.9084,7.7496,7.7889,26164,0
MAK,D,20070425,000000,7.7889,8.0278,7.6303,8.0196,36712,0
MAK,D,20070426,000000,8.0278,8.0278,7.8134,7.8927,23218,0
MAK,D,20070427,000000,7.869,7.9958,7.7733,7.9484,55807,0
MAK,D,20070430,000000,8.1472,8.2654,8.0359,8.1865,49491,0
MAK,D,20070502,000000,8.1865,8.2586,8.1154,8.1227,16453,0
MAK,D,20070504,000000,8.1154,8.3458,8.0278,8.3458,57160,0
MAK,D,20070507,000000,8.3458,8.3458,8.1071,8.2818,31655,0
MAK,D,20070508,000000,8.1947,8.1947,7.9484,7.9484,33523,0
MAK,D,20070509,000000,7.9484,8.0597,7.8927,7.9484,11428,0
MAK,D,20070510,000000,8.0278,8.0278,7.7889,7.9321,21470,0
MAK,D,20070511,000000,7.9321,7.9321,7.4395,7.9321,72637,0
MAK,D,20070514,000000,7.9403,7.9484,7.7889,7.869,6923,0
MAK,D,20070515,000000,7.9001,7.9484,7.7889,7.9321,22259,0
MAK,D,20070516,000000,7.9403,7.9403,7.7889,7.9165,3299,0
MAK,D,20070517,000000,7.8372,7.8372,7.6462,7.7098,20741,0
MAK,D,20070518,000000,7.829,7.829,7.5746,7.6303,6583,0
MAK,D,20070521,000000,7.6541,7.7496,7.6462,7.6462,8471,0
MAK,D,20070522,000000,7.7176,7.7176,7.6064,7.6621,28765,0
MAK,D,20070523,000000,7.6541,7.6541,7.5985,7.6303,10063,0
MAK,D,20070524,000000,7.5507,7.67,7.5349,7.6303,13533,0
MAK,D,20070525,000000,7.5985,7.8527,7.5985,7.8527,3270,0
MAK,D,20070528,000000,7.829,8.1472,7.829,8.067,27154,0
MAK,D,20070529,000000,8.067,8.067,7.9084,7.9484,39783,0
MAK,D,20070530,000000,7.869,7.9484,7.6541,7.9484,16115,0
MAK,D,20070531,000000,7.797,8.1071,7.7496,8.067,56288,0
MAK,D,20070601,000000,7.9484,8.1227,7.9484,8.0434,30739,0
MAK,D,20070604,000000,7.9484,8.1783,7.9484,8.1472,25387,0
MAK,D,20070605,000000,8.2267,8.2654,8.1071,8.1472,15773,0
MAK,D,20070606,000000,8.1865,8.4252,8.1071,8.25,62102,0
MAK,D,20070608,000000,8.1472,8.1472,7.972,8.0114,29036,0
MAK,D,20070611,000000,8.0278,8.1865,8.0278,8.1472,32579,0
MAK,D,20070612,000000,8.1472,8.1472,8.0916,8.1071,66412,0
MAK,D,20070613,000000,8.1947,8.274,8.0752,8.1865,41381,0
MAK,D,20070614,000000,8.2267,8.2267,8.1472,8.1865,24052,0
MAK,D,20070615,000000,8.2421,8.2421,7.9484,8.1071,23681,0
MAK,D,20070618,000000,8.171,8.1783,8.0752,8.1071,48921,0
MAK,D,20070619,000000,8.1071,8.7033,8.0752,8.6637,98383,0
MAK,D,20070620,000000,8.625,8.7429,8.2102,8.3458,82821,0
MAK,D,20070621,000000,8.2586,8.3458,8.1472,8.218,57216,0
MAK,D,20070622,000000,8.2267,8.3294,8.2267,8.2654,64801,0
MAK,D,20070625,000000,8.3535,8.3535,8.2267,8.338,49091,0
MAK,D,20070626,000000,8.2654,8.4088,8.2654,8.4088,12464,0
MAK,D,20070627,000000,8.4571,8.4571,8.25,8.25,21231,0
MAK,D,20070628,000000,8.25,8.5443,8.25,8.2654,42207,0
