<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBK,D,19921006,000000,3.3267,3.3267,3.3267,3.3267,191882,0
MBK,D,19921008,000000,3.212,3.212,3.212,3.212,143430,0
MBK,D,19921013,000000,2.9007,2.9007,2.9007,2.9007,152876,0
MBK,D,19921015,000000,2.9499,2.9499,2.9499,2.9499,94276,0
MBK,D,19921020,000000,3.2448,3.2448,3.2448,3.2448,146386,0
MBK,D,19921022,000000,3.5562,3.5562,3.5562,3.5562,116359,0
MBK,D,19921027,000000,3.6053,3.6053,3.6053,3.6053,128448,0
MBK,D,19921029,000000,3.4579,3.4579,3.4579,3.4579,94625,0
MBK,D,19921103,000000,3.4579,3.4579,3.4579,3.4579,57436,0
MBK,D,19921105,000000,3.4415,3.4415,3.4415,3.4415,49731,0
MBK,D,19921110,000000,3.4743,3.4743,3.4743,3.4743,92581,0
MBK,D,19921112,000000,3.4743,3.4743,3.4743,3.4743,12448,0
MBK,D,19921117,000000,3.212,3.212,3.212,3.212,37328,0
MBK,D,19921119,000000,3.3103,3.3103,3.3103,3.3103,25843,0
MBK,D,19921124,000000,3.2612,3.2612,3.2612,3.2612,46608,0
MBK,D,19921126,000000,3.081,3.081,3.081,3.081,32474,0
MBK,D,19921201,000000,3.2776,3.2776,3.2776,3.2776,40120,0
MBK,D,19921203,000000,3.3103,3.3103,3.3103,3.3103,31808,0
MBK,D,19921208,000000,3.3431,3.3431,3.3431,3.3431,59076,0
MBK,D,19921210,000000,3.294,3.294,3.294,3.294,45113,0
MBK,D,19921215,000000,3.2612,3.2612,3.2612,3.2612,25037,0
MBK,D,19921217,000000,3.2285,3.2285,3.2285,3.2285,17733,0
MBK,D,19921222,000000,3.1793,3.1793,3.1793,3.1793,32791,0
MBK,D,19921229,000000,3.1138,3.1138,3.1138,3.1138,37720,0
MBK,D,19930104,000000,3.1301,3.1301,3.1301,3.1301,11454,0
MBK,D,19930105,000000,3.212,3.212,3.212,3.212,21949,0
MBK,D,19930107,000000,3.294,3.294,3.294,3.294,39191,0
MBK,D,19930111,000000,3.3595,3.3595,3.3595,3.3595,35941,0
MBK,D,19930112,000000,3.3923,3.3923,3.3923,3.3923,33311,0
MBK,D,19930114,000000,3.3923,3.3923,3.3923,3.3923,33620,0
MBK,D,19930118,000000,3.3595,3.3595,3.3595,3.3595,26313,0
MBK,D,19930119,000000,3.3267,3.3267,3.3267,3.3267,18337,0
MBK,D,19930121,000000,3.3103,3.3103,3.3103,3.3103,20919,0
MBK,D,19930125,000000,3.3103,3.3103,3.3103,3.3103,26386,0
MBK,D,19930126,000000,3.2776,3.2776,3.2776,3.2776,24956,0
