<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBW,D,19980102,000000,301.33,301.33,300.38,300.38,733,0
MBW,D,19980105,000000,297.63,298.09,297.63,298.09,823,0
MBW,D,19980106,000000,291.77,291.77,291.77,291.77,2868,0
MBW,D,19980107,000000,292.19,293.14,292.19,293.14,11201,0
MBW,D,19980108,000000,304.21,307.47,298.11,304.21,6696,0
MBW,D,19980109,000000,299.74,303.94,299.74,303.94,741,0
MBW,D,19980112,000000,299.59,299.59,297.24,297.24,4528,0
MBW,D,19980113,000000,295.71,302.76,295.71,302.76,3324,0
MBW,D,19980114,000000,303.29,303.29,301.42,301.42,9561,0
MBW,D,19980115,000000,306.03,306.03,301.83,306.03,2788,0
MBW,D,19980116,000000,308.56,308.56,303.87,308.56,8889,0
MBW,D,19980119,000000,318.42,320.74,318.42,320.74,4394,0
MBW,D,19980120,000000,339.89,339.89,339.89,339.89,3814,0
MBW,D,19980121,000000,347.04,358.72,347.04,351.72,5860,0
MBW,D,19980122,000000,365.76,366.22,365.76,366.22,18310,0
MBW,D,19980123,000000,368.89,390.04,368.89,390.04,8343,0
MBW,D,19980126,000000,386.89,391.6,386.89,391.6,4875,0
MBW,D,19980127,000000,391.21,396.87,391.21,396.87,8725,0
MBW,D,19980128,000000,397.76,397.76,397.76,397.76,20914,0
MBW,D,19980129,000000,394.01,394.48,394.01,394.48,2650,0
MBW,D,19980130,000000,393.43,397.63,393.43,397.63,6671,0
MBW,D,19980202,000000,400.37,400.37,396.18,396.18,4216,0
MBW,D,19980203,000000,391.5,391.5,384.5,384.5,8049,0
MBW,D,19980204,000000,388.43,389.35,388.43,389.35,5139,0
MBW,D,19980205,000000,389.66,389.66,389.66,389.66,3963,0
MBW,D,19980206,000000,382.63,385.02,382.63,385.02,2564,0
MBW,D,19980209,000000,383.05,390.08,383.05,383.05,6821,0
MBW,D,19980210,000000,388.49,388.49,388.03,388.03,1944,0
MBW,D,19980211,000000,390.54,390.54,384.4,390.05,27771,0
MBW,D,19980212,000000,388.43,388.43,386.08,388.43,15820,0
MBW,D,19980213,000000,385.42,392.45,385.42,392.45,7986,0
MBW,D,19980216,000000,388.71,388.71,385.9,385.9,6340,0
MBW,D,19980217,000000,383.67,386.02,383.67,383.67,7073,0
MBW,D,19980218,000000,383.81,386.16,383.81,386.16,3561,0
MBW,D,19980219,000000,388.96,391.31,384.26,391.31,5605,0
MBW,D,19980220,000000,391.31,394.16,391.31,394.16,1551,0
MBW,D,19980223,000000,402.53,424.69,402.53,424.69,3631,0
MBW,D,19980224,000000,430.66,435.38,430.66,435.38,8143,0
MBW,D,19980225,000000,446.71,446.71,445.76,445.76,4141,0
MBW,D,19980226,000000,431.45,431.45,431.45,431.45,6711,0
MBW,D,19980227,000000,426.83,426.83,425.44,425.44,5139,0
MBW,D,19980302,000000,426.04,426.04,418.16,418.16,3225,0
MBW,D,19980303,000000,421,428.46,421,428.46,5655,0
MBW,D,19980304,000000,424.92,424.92,424.92,424.92,8693,0
MBW,D,19980305,000000,418.49,421.74,418.49,421.74,2136,0
MBW,D,19980306,000000,422.03,430.32,422.03,430.32,5075,0
MBW,D,19980309,000000,437.76,438.66,437.76,438.66,4865,0
MBW,D,19980310,000000,436.61,436.61,436.61,436.61,3935,0
MBW,D,19980311,000000,435.01,435.01,435.01,435.01,3474,0
MBW,D,19980312,000000,434.22,434.22,434.22,434.22,4215,0
MBW,D,19980313,000000,434.85,434.85,434.85,434.85,2400,0
MBW,D,19980316,000000,448.45,451.19,448.45,451.19,9749,0
MBW,D,19980317,000000,461.85,469.61,454.54,469.61,3553,0
MBW,D,19980318,000000,471.75,471.75,468.08,468.08,2215,0
MBW,D,19980319,000000,457.15,464.02,457.15,464.02,3319,0
MBW,D,19980320,000000,454.75,454.75,454.75,454.75,955,0
MBW,D,19980323,000000,451.31,451.31,449.04,449.04,5396,0
MBW,D,19980324,000000,449.6,449.6,449.6,449.6,8063,0
MBW,D,19980325,000000,443.58,443.58,443.58,443.58,1280,0
MBW,D,19980326,000000,441.07,441.07,440.6,440.6,1414,0
MBW,D,19980327,000000,438.58,438.58,437.24,437.24,818,0
MBW,D,19980330,000000,440.81,440.81,440.36,440.36,4094,0
MBW,D,19980331,000000,437.34,437.34,437.34,437.34,2911,0
MBW,D,19980401,000000,436.88,436.88,436.88,436.88,4121,0
MBW,D,19980402,000000,439.33,448.37,439.33,448.37,3705,0
MBW,D,19980403,000000,452.1,470.65,452.1,470.65,6353,0
MBW,D,19980406,000000,475.06,476.88,465.97,476.88,5374,0
MBW,D,19980407,000000,480.11,480.11,480.11,480.11,3213,0
MBW,D,19980408,000000,477.16,477.16,473.07,473.07,1465,0
MBW,D,19980409,000000,474.12,474.56,474.12,474.56,2110,0
MBW,D,19980414,000000,477.29,477.29,477.29,477.29,6104,0
MBW,D,19980415,000000,474.85,474.85,474.37,474.37,5875,0
MBW,D,19980416,000000,468.64,468.64,464.1,464.1,7539,0
