<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCR,D,20070719,000000,18.826,23.834,18.826,22.431,3124610,0
MCR,D,20070720,000000,22.431,22.431,20.829,20.829,345356,0
MCR,D,20070723,000000,20.228,21.229,20.089,20.429,90465,0
MCR,D,20070724,000000,20.408,21.209,20.027,20.829,84761,0
MCR,D,20070725,000000,21.029,21.029,19.827,20.027,248905,0
MCR,D,20070726,000000,20.228,20.228,19.466,19.632,33722,0
MCR,D,20070727,000000,19.627,19.627,18.506,19.627,42601,0
MCR,D,20070730,000000,19.227,19.387,18.826,19.227,10346,0
MCR,D,20070731,000000,19.227,20.629,19.227,20.268,195341,0
MCR,D,20070801,000000,20.268,20.268,18.906,19.928,21258,0
MCR,D,20070802,000000,20.027,20.148,19.667,19.667,221623,0
MCR,D,20070803,000000,19.988,20.008,19.627,19.627,3247,0
MCR,D,20070806,000000,19.227,19.227,18.426,18.426,15167,0
MCR,D,20070807,000000,18.826,19.387,18.426,19.066,163897,0
MCR,D,20070808,000000,19.227,19.547,19.106,19.146,3805,0
MCR,D,20070809,000000,19.387,19.387,18.987,19.006,15358,0
MCR,D,20070810,000000,18.306,18.867,17.425,18.426,25498,0
MCR,D,20070813,000000,18.426,19.227,18.426,19.187,2889,0
MCR,D,20070814,000000,19.267,19.267,18.565,18.565,832,0
MCR,D,20070816,000000,17.4,17.504,15.665,16.022,41935,0
MCR,D,20070817,000000,16.022,16.503,15.622,16.022,30066,0
MCR,D,20070820,000000,17.224,17.224,16.022,16.022,9292,0
MCR,D,20070821,000000,16.424,16.424,15.134,15.622,5583,0
MCR,D,20070822,000000,15.622,17.625,15.622,17.224,67909,0
MCR,D,20070823,000000,18.626,18.626,17.904,17.904,176511,0
MCR,D,20070824,000000,18.626,18.626,18.345,18.385,3106,0
MCR,D,20070827,000000,18.345,19.146,18.025,18.426,6866,0
MCR,D,20070828,000000,18.826,18.826,17.625,18.345,1239,0
MCR,D,20070829,000000,17.224,18.021,17.224,17.904,19836,0
MCR,D,20070830,000000,18.025,18.073,18.025,18.065,14353,0
MCR,D,20070831,000000,17.665,18.225,17.665,18.07,1494,0
MCR,D,20070903,000000,18.426,18.626,18.306,18.626,5650,0
MCR,D,20070904,000000,18.666,18.666,18.426,18.626,4900,0
MCR,D,20070905,000000,18.306,18.586,18.306,18.586,6604,0
MCR,D,20070906,000000,18.626,18.786,18.025,18.786,123354,0
MCR,D,20070907,000000,18.826,18.826,17.425,18.826,6231,0
MCR,D,20070910,000000,17.268,18.626,17.268,18.626,4196,0
MCR,D,20070911,000000,18.747,18.747,18.747,18.747,1473,0
MCR,D,20070912,000000,18.029,18.582,18.025,18.582,126,0
MCR,D,20070913,000000,18.702,18.702,18.222,18.618,1546,0
MCR,D,20070914,000000,18.426,18.426,17.704,18.225,971,0
MCR,D,20070917,000000,18.025,18.422,18.025,18.422,426,0
MCR,D,20070918,000000,18.106,18.586,18.106,18.586,1344,0
MCR,D,20070919,000000,18.586,18.618,17.845,18.225,4863,0
MCR,D,20070920,000000,17.904,18.181,17.665,18.165,705,0
MCR,D,20070921,000000,18.025,18.465,18.025,18.426,4793,0
MCR,D,20070924,000000,18.426,19.026,18.426,18.506,13681,0
MCR,D,20070925,000000,18.626,18.626,18.506,18.621,1543,0
MCR,D,20070926,000000,18.621,18.826,18.465,18.626,2536,0
MCR,D,20070927,000000,18.822,18.826,18.506,18.506,2045,0
MCR,D,20070928,000000,18.626,18.906,18.626,18.706,134411,0
MCR,D,20071001,000000,18.626,18.987,18.626,18.826,3863,0
MCR,D,20071002,000000,18.666,18.666,18.666,18.666,798,0
MCR,D,20071003,000000,18.086,18.626,18.086,18.265,565,0
MCR,D,20071004,000000,18.426,18.426,17.957,17.957,2030,0
MCR,D,20071005,000000,17.668,18.426,17.665,18.426,8341,0
MCR,D,20071008,000000,17.684,17.684,17.684,17.684,36,0
MCR,D,20071009,000000,18.586,18.586,18.025,18.106,89671,0
MCR,D,20071010,000000,17.784,18.106,17.704,18.101,2249,0
MCR,D,20071011,000000,17.825,18.586,17.825,18.582,5114,0
MCR,D,20071012,000000,18.025,18.822,18.025,18.822,7890,0
MCR,D,20071015,000000,18.065,19.227,18.025,19.026,4570,0
MCR,D,20071016,000000,19.187,19.187,18.065,18.225,8658,0
MCR,D,20071017,000000,18.206,19.022,18.206,18.974,11004,0
MCR,D,20071018,000000,18.309,18.626,18.309,18.626,10463,0
MCR,D,20071019,000000,18.826,19.194,18.826,19.194,7056,0
MCR,D,20071022,000000,19.194,19.194,18.225,19.182,250120,0
MCR,D,20071023,000000,19.106,19.367,19.106,19.367,4344,0
MCR,D,20071024,000000,19.327,19.327,19.187,19.327,1760,0
MCR,D,20071025,000000,19.327,19.347,19.227,19.227,531,0
MCR,D,20071026,000000,19.026,19.026,18.626,18.983,1066,0
MCR,D,20071029,000000,19.026,19.227,18.906,18.906,3595,0
MCR,D,20071030,000000,18.486,18.826,18.429,18.826,2247,0
MCR,D,20071031,000000,18.826,18.826,18.786,18.786,637,0
MCR,D,20071102,000000,19.187,19.187,18.786,19.187,1336,0
MCR,D,20071105,000000,19.026,19.026,18.586,18.926,2079,0
MCR,D,20071106,000000,18.926,18.926,18.206,18.426,30726,0
MCR,D,20071107,000000,18.426,18.706,18.426,18.706,20200,0
MCR,D,20071108,000000,16.022,18.225,16.022,18.225,983,0
MCR,D,20071109,000000,18.586,18.586,17.425,18.422,1027,0
MCR,D,20071112,000000,17.625,18.345,17.625,18.342,1232,0
MCR,D,20071113,000000,18.385,18.586,18.385,18.542,1612,0
MCR,D,20071114,000000,18.706,18.747,18.426,18.547,5715,0
MCR,D,20071115,000000,18.025,18.025,16.03,17.625,22750,0
MCR,D,20071116,000000,17.545,17.545,16.363,17.545,13656,0
MCR,D,20071119,000000,16.424,17.62,16.424,17.62,5279,0
MCR,D,20071120,000000,17.545,17.545,16.503,17.341,124,0
MCR,D,20071121,000000,16.823,17.376,16.424,17.184,3940,0
MCR,D,20071122,000000,16.823,16.984,15.622,16.424,10641,0
MCR,D,20071123,000000,17.184,17.184,16.623,16.823,15611,0
MCR,D,20071126,000000,17.384,17.384,16.623,17.224,52896,0
MCR,D,20071127,000000,17.2,17.2,17.2,17.2,499,0
MCR,D,20071128,000000,17.2,17.205,17.144,17.205,25403,0
MCR,D,20071129,000000,17.224,17.224,16.524,17.22,26360,0
MCR,D,20071130,000000,17.224,17.224,16.823,17.224,2341,0
MCR,D,20071203,000000,17.224,17.665,17.224,17.665,52,0
MCR,D,20071205,000000,17.625,17.625,16.627,17.625,256858,0
MCR,D,20071206,000000,17.625,18.397,17.625,18.025,22285,0
MCR,D,20071207,000000,17.625,18.141,17.625,18.141,154571,0
MCR,D,20071210,000000,18.145,18.145,17.464,18.021,4839,0
MCR,D,20071211,000000,17.484,18.021,17.484,17.609,950,0
MCR,D,20071212,000000,17.825,18.225,17.825,18.106,83980,0
