<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDI,D,19970612,000000,203.23,203.23,203.23,203.23,4961,0
MDI,D,19970613,000000,219.38,219.38,219.38,219.38,13384,0
MDI,D,19970616,000000,217.48,217.48,217.48,217.48,8933,0
MDI,D,19970617,000000,203.23,203.23,203.23,203.23,9419,0
MDI,D,19970618,000000,196.58,196.58,196.58,196.58,7861,0
MDI,D,19970619,000000,189.94,189.94,189.94,189.94,5951,0
MDI,D,19970620,000000,195.63,195.63,195.63,195.63,4091,0
MDI,D,19970623,000000,176.64,176.64,176.64,176.64,7472,0
MDI,D,19970624,000000,164.29,164.29,164.29,164.29,2031,0
MDI,D,19970625,000000,164.29,164.29,164.29,164.29,3177,0
MDI,D,19970626,000000,158.59,158.59,158.59,158.59,4474,0
MDI,D,19970627,000000,159.55,159.55,159.55,159.55,3265,0
MDI,D,19970630,000000,164.29,164.29,164.29,164.29,2625,0
MDI,D,19970701,000000,163.35,163.35,160.49,160.49,2939,0
MDI,D,19970702,000000,159.55,159.55,158.59,158.59,1383,0
MDI,D,19970703,000000,159.55,162.39,159.55,161.45,5633,0
MDI,D,19970704,000000,161.45,161.45,159.55,159.55,686,0
MDI,D,19970707,000000,159.55,159.55,159.55,159.55,2553,0
MDI,D,19970708,000000,156.7,157.65,155.74,155.74,3060,0
MDI,D,19970709,000000,156.7,158.59,156.7,158.59,2300,0
MDI,D,19970710,000000,157.65,158.59,156.7,156.7,4435,0
MDI,D,19970711,000000,157.65,157.65,154.8,154.8,4797,0
MDI,D,19970714,000000,142.45,142.45,139.6,140.55,734,0
MDI,D,19970715,000000,137.7,137.7,137.7,137.7,2605,0
MDI,D,19970716,000000,137.7,139.6,137.7,139.6,6229,0
MDI,D,19970717,000000,137.7,139.6,137.7,139.6,936,0
MDI,D,19970718,000000,135.8,135.8,135.8,135.8,2187,0
MDI,D,19970721,000000,137.7,137.7,133.91,133.91,3100,0
MDI,D,19970722,000000,133.91,134.85,132.01,132.01,676,0
MDI,D,19970723,000000,133.91,133.91,132.01,132.01,1266,0
MDI,D,19970724,000000,135.8,135.8,132.95,132.95,3498,0
MDI,D,19970725,000000,135.8,135.8,131.05,132.01,3429,0
MDI,D,19970728,000000,136.75,136.75,133.91,135.8,1849,0
MDI,D,19970729,000000,135.8,139.6,135.8,138.65,1885,0
MDI,D,19970730,000000,140.55,145.3,140.55,145.3,2591,0
MDI,D,19970731,000000,144.35,144.35,139.6,140.55,6686,0
MDI,D,19970801,000000,142.45,144.35,141.5,142.45,3865,0
MDI,D,19970804,000000,144.35,144.35,139.6,139.6,2483,0
MDI,D,19970805,000000,144.35,147.2,144.35,147.2,2212,0
MDI,D,19970806,000000,145.3,147.2,145.3,147.2,1923,0
MDI,D,19970807,000000,148.14,151.94,148.14,151.94,3201,0
MDI,D,19970808,000000,152.9,159.55,152.9,157.65,3446,0
MDI,D,19970811,000000,160.49,160.49,156.7,160.49,5736,0
MDI,D,19970812,000000,161.45,165.25,161.45,164.29,5233,0
MDI,D,19970813,000000,166.19,166.19,166.19,166.19,5882,0
MDI,D,19970814,000000,159.55,163.35,159.55,162.39,1928,0
MDI,D,19970818,000000,159.55,159.55,156.7,156.7,3474,0
MDI,D,19970819,000000,164.29,167.15,161.45,162.39,4458,0
MDI,D,19970820,000000,168.09,168.09,165.25,166.19,4642,0
MDI,D,19970821,000000,168.09,168.09,162.39,163.35,3447,0
MDI,D,19970822,000000,164.29,164.29,163.35,163.35,1784,0
MDI,D,19970825,000000,166.19,166.19,163.35,163.35,1581,0
MDI,D,19970826,000000,164.29,166.19,155.74,166.19,855,0
MDI,D,19970827,000000,168.09,169.99,168.09,169.99,2530,0
MDI,D,19970828,000000,164.29,169.99,164.29,168.09,593,0
MDI,D,19970829,000000,164.29,164.29,163.35,163.35,3455,0
MDI,D,19970901,000000,163.35,164.29,163.35,163.35,1021,0
MDI,D,19970902,000000,164.29,164.29,164.29,164.29,1510,0
MDI,D,19970903,000000,168.09,171.89,168.09,171.89,2375,0
