<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGT,D,20050304,000000,9.913,10.227,9.0085,10.031,48876,0
MGT,D,20050307,000000,9.913,10.149,9.913,9.913,7911,0
MGT,D,20050308,000000,9.913,9.913,9.441,9.441,1570,0
MGT,D,20050309,000000,9.2827,9.2827,8.7326,8.9679,13205,0
MGT,D,20050310,000000,8.8894,8.8894,8.103,8.2608,25948,0
MGT,D,20050311,000000,8.103,8.2207,7.8668,8.1815,14623,0
MGT,D,20050314,000000,7.9849,8.0245,7.9064,7.9064,13433,0
MGT,D,20050315,000000,7.9064,8.2608,7.9064,8.1422,5218,0
MGT,D,20050316,000000,7.9849,8.0642,7.9064,7.9064,3206,0
MGT,D,20050317,000000,7.7487,7.8279,7.7099,7.8279,9692,0
MGT,D,20050318,000000,7.5917,7.631,7.4343,7.4736,16287,0
MGT,D,20050321,000000,7.4736,7.8279,7.4343,7.8279,15190,0
MGT,D,20050322,000000,7.513,7.7487,7.513,7.7487,1890,0
MGT,D,20050323,000000,7.7487,7.7884,7.5523,7.7487,3749,0
MGT,D,20050324,000000,7.7884,7.8279,7.631,7.8279,2097,0
MGT,D,20050329,000000,7.7099,7.7884,7.6704,7.7884,441,0
MGT,D,20050330,000000,7.7099,7.7099,7.5523,7.5523,1472,0
MGT,D,20050331,000000,7.5917,7.7884,7.5523,7.7884,5388,0
MGT,D,20050404,000000,7.631,7.7487,7.5917,7.7487,426,0
MGT,D,20050405,000000,7.7487,7.7487,7.7487,7.7487,1270,0
MGT,D,20050406,000000,7.6704,7.6704,7.6704,7.6704,430,0
MGT,D,20050407,000000,7.6704,7.6704,7.631,7.631,240,0
MGT,D,20050411,000000,7.631,7.6704,7.631,7.6704,450,0
MGT,D,20050412,000000,7.631,7.631,7.4736,7.4736,1009,0
MGT,D,20050413,000000,7.513,7.513,7.4736,7.4736,1467,0
MGT,D,20050414,000000,7.4736,7.4736,7.4736,7.4736,255,0
MGT,D,20050415,000000,7.4343,7.4343,7.4343,7.4343,255,0
MGT,D,20050418,000000,7.159,7.159,6.2936,6.3723,9879,0
MGT,D,20050419,000000,6.3723,6.3723,6.1362,6.2936,4129,0
MGT,D,20050420,000000,6.0576,6.2543,5.6642,6.215,2528,0
MGT,D,20050421,000000,5.7429,6.1756,5.7429,6.1756,8066,0
MGT,D,20050422,000000,5.8217,5.861,5.6249,5.6249,11931,0
MGT,D,20050425,000000,5.3496,5.5069,5.1923,5.3496,8938,0
MGT,D,20050426,000000,5.389,5.9003,5.3496,5.8217,3990,0
