<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MIR,D,20070213,000000,174.69,174.69,160.96,168.45,104785,0
MIR,D,20070214,000000,173.44,173.44,167.2,169.7,28585,0
MIR,D,20070215,000000,170.53,170.53,164.29,165.12,10891,0
MIR,D,20070216,000000,166.37,167.2,164.71,165.12,5316,0
MIR,D,20070219,000000,165.12,166.79,161.8,162.21,11812,0
MIR,D,20070220,000000,165.12,170.12,162.21,163.46,12985,0
MIR,D,20070221,000000,164.71,166.79,162.21,163.46,7916,0
MIR,D,20070222,000000,165.12,165.12,162.21,163.04,3517,0
MIR,D,20070223,000000,163.46,164.29,162.21,162.63,3353,0
MIR,D,20070226,000000,162.21,162.63,159.72,160.13,4543,0
MIR,D,20070227,000000,159.72,159.72,149.73,150.98,9179,0
MIR,D,20070228,000000,145.58,150.57,142.25,149.73,8227,0
MIR,D,20070301,000000,153.89,155.14,143.91,147.65,4014,0
MIR,D,20070302,000000,150.98,152.65,145.99,152.23,2770,0
MIR,D,20070305,000000,146.82,149.73,145.16,149.32,2690,0
MIR,D,20070306,000000,151.4,151.81,147.24,151.81,1225,0
MIR,D,20070307,000000,153.06,153.48,147.65,149.73,1551,0
MIR,D,20070308,000000,151.4,153.89,150.57,150.57,2979,0
MIR,D,20070309,000000,151.81,151.81,148.9,149.32,2954,0
MIR,D,20070312,000000,149.73,151.81,147.65,148.07,1782,0
MIR,D,20070313,000000,149.32,149.32,146.41,147.65,2072,0
MIR,D,20070314,000000,147.65,157.64,145.99,155.97,36436,0
MIR,D,20070315,000000,159.72,162.21,156.39,157.64,15299,0
MIR,D,20070316,000000,159.72,159.72,153.89,157.64,4592,0
MIR,D,20070319,000000,155.14,159.3,154.31,157.22,4013,0
MIR,D,20070320,000000,158.05,158.05,153.06,155.97,6291,0
MIR,D,20070321,000000,156.39,158.47,153.06,155.14,5893,0
MIR,D,20070322,000000,156.39,157.64,153.89,154.31,6600,0
MIR,D,20070323,000000,153.89,155.14,153.06,153.89,3216,0
MIR,D,20070326,000000,154.73,156.81,153.06,153.89,4007,0
MIR,D,20070327,000000,153.06,168.04,153.06,166.37,31622,0
MIR,D,20070328,000000,167.2,167.2,160.13,160.55,8428,0
MIR,D,20070329,000000,162.21,163.88,160.13,161.38,5099,0
MIR,D,20070330,000000,168.45,168.87,162.21,167.62,15931,0
MIR,D,20070402,000000,168.45,178.43,162.21,176.77,21868,0
MIR,D,20070403,000000,177.6,183.84,175.11,183.01,13263,0
MIR,D,20070404,000000,183.01,183.84,175.11,178.02,7565,0
MIR,D,20070405,000000,178.02,178.85,171.78,172.61,6757,0
MIR,D,20070410,000000,174.69,178.85,172.61,177.19,6935,0
MIR,D,20070411,000000,178.85,178.85,173.03,173.44,5340,0
MIR,D,20070412,000000,176.35,176.35,165.96,168.45,7981,0
MIR,D,20070413,000000,170.53,182.18,170.53,177.6,15741,0
MIR,D,20070416,000000,174.69,175.11,166.37,168.87,19798,0
MIR,D,20070417,000000,169.28,176.77,169.28,174.69,14307,0
MIR,D,20070418,000000,177.19,177.19,166.37,167.2,11932,0
MIR,D,20070419,000000,169.28,170.53,164.29,166.37,9789,0
MIR,D,20070420,000000,166.37,166.79,161.38,163.88,9327,0
MIR,D,20070423,000000,163.88,164.29,155.97,158.05,9493,0
MIR,D,20070424,000000,157.22,163.04,153.06,158.05,7732,0
MIR,D,20070425,000000,159.72,160.96,157.22,157.22,5048,0
MIR,D,20070426,000000,158.05,161.8,157.22,158.05,4593,0
MIR,D,20070427,000000,158.05,158.05,155.97,155.97,2409,0
MIR,D,20070430,000000,158.05,161.8,155.97,158.47,2748,0
MIR,D,20070502,000000,161.38,164.29,158.47,163.46,2868,0
MIR,D,20070504,000000,164.29,168.87,164.29,167.2,4631,0
MIR,D,20070507,000000,168.87,168.87,163.46,167.2,10207,0
MIR,D,20070508,000000,167.2,167.2,160.55,162.21,4260,0
MIR,D,20070509,000000,161.8,162.63,158.47,160.55,1762,0
MIR,D,20070510,000000,160.55,162.21,154.73,155.97,2806,0
MIR,D,20070511,000000,158.05,159.3,152.65,158.88,6163,0
MIR,D,20070514,000000,161.8,163.04,158.88,161.8,2381,0
MIR,D,20070515,000000,164.29,177.6,162.21,169.28,41018,0
MIR,D,20070516,000000,171.36,172.61,165.54,167.2,9936,0
MIR,D,20070517,000000,168.87,184.67,165.96,181.76,68964,0
MIR,D,20070518,000000,183.42,197.15,183.42,187.58,44225,0
MIR,D,20070521,000000,192.58,205.47,192.58,205.05,37696,0
MIR,D,20070522,000000,206.72,210.04,197.57,200.89,20401,0
MIR,D,20070523,000000,203.39,236.25,197.57,232.09,47740,0
MIR,D,20070524,000000,223.77,257.04,217.53,244.57,76265,0
MIR,D,20070525,000000,241.24,251.22,237.08,242.49,23449,0
MIR,D,20070528,000000,245.4,270.77,245.4,270.77,27424,0
MIR,D,20070529,000000,282.83,290.73,264.12,264.12,37753,0
MIR,D,20070530,000000,259.96,275.35,249.56,255.38,35438,0
MIR,D,20070531,000000,264.12,270.35,255.8,258.29,14272,0
MIR,D,20070601,000000,259.96,274.1,257.04,264.12,17706,0
MIR,D,20070604,000000,263.28,266.61,250.81,255.8,11108,0
MIR,D,20070605,000000,259.96,260.37,241.24,249.56,16900,0
MIR,D,20070606,000000,249.56,249.56,237.91,241.24,9105,0
MIR,D,20070608,000000,231.67,245.4,230.84,244.15,8191,0
MIR,D,20070611,000000,248.73,268.27,245.4,265.78,13887,0
MIR,D,20070612,000000,269.94,282,262.04,262.87,12490,0
MIR,D,20070613,000000,258.29,266.19,257.04,261.2,5661,0
MIR,D,20070614,000000,266.19,272.02,262.04,264.12,4746,0
MIR,D,20070615,000000,274.93,284.5,273.68,282.83,26717,0
MIR,D,20070618,000000,286.99,289.07,271.19,274.51,13457,0
MIR,D,20070619,000000,274.51,278.67,264.95,278.67,13197,0
MIR,D,20070620,000000,282,298.22,279.09,282.83,21114,0
MIR,D,20070621,000000,280.75,295.31,278.67,290.73,9672,0
MIR,D,20070622,000000,292.4,293.65,284.5,291.15,5890,0
MIR,D,20070625,000000,290.73,290.73,282.83,288.65,6679,0
MIR,D,20070626,000000,290.32,290.32,279.09,284.91,8782,0
MIR,D,20070627,000000,282.42,282.42,269.11,269.52,11889,0
MIR,D,20070628,000000,273.68,277.01,267.44,272.43,7012,0
MIR,D,20070629,000000,272.43,272.43,260.37,272.02,7142,0
MIR,D,20070702,000000,266.19,266.19,256.63,259.96,4816,0
MIR,D,20070703,000000,265.78,277.01,264.12,275.76,9754,0
MIR,D,20070704,000000,278.67,282,268.69,269.11,5848,0
MIR,D,20070705,000000,270.35,273.68,256.21,263.7,3563,0
MIR,D,20070706,000000,263.7,264.95,257.04,261.62,5898,0
MIR,D,20070709,000000,262.04,270.35,257.04,257.88,5426,0
MIR,D,20070710,000000,257.88,257.88,245.81,249.56,6239,0
MIR,D,20070711,000000,249.14,261.2,242.07,255.8,8034,0
MIR,D,20070712,000000,253.72,261.2,249.56,253.72,3007,0
MIR,D,20070713,000000,253.72,259.54,245.4,247.48,4495,0
MIR,D,20070716,000000,252.05,254.55,231.67,236.66,13020,0
MIR,D,20070717,000000,237.08,252.47,228.76,249.97,7018,0
MIR,D,20070718,000000,253.72,257.46,249.14,255.8,5413,0
MIR,D,20070719,000000,255.8,260.37,255.8,257.04,5622,0
MIR,D,20070720,000000,257.46,258.71,245.4,249.56,3382,0
MIR,D,20070723,000000,247.48,247.48,239.58,239.99,2480,0
MIR,D,20070724,000000,237.5,245.4,236.25,236.25,5221,0
MIR,D,20070725,000000,233.34,233.34,228.76,229.59,5140,0
MIR,D,20070726,000000,234.17,235,211.29,214.62,7817,0
MIR,D,20070727,000000,204.64,212.12,200.89,204.64,11069,0
MIR,D,20070730,000000,212.54,220.44,205.88,212.12,9699,0
