<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLS,D,20180628,000000,26.78,27.276,26.284,27.176,17830,0
MLS,D,20180629,000000,27.176,27.771,26.284,27.771,4236,0
MLS,D,20180702,000000,28.168,28.267,27.771,27.771,1389,0
MLS,D,20180703,000000,27.771,27.771,27.276,27.722,394,0
MLS,D,20180704,000000,27.771,27.771,27.771,27.771,4627,0
MLS,D,20180705,000000,27.771,27.771,27.771,27.771,354,0
MLS,D,20180706,000000,28.267,28.267,27.077,27.077,567,0
MLS,D,20180709,000000,27.771,27.771,27.771,27.771,6,0
MLS,D,20180710,000000,26.78,27.771,25.788,27.771,656,0
MLS,D,20180711,000000,27.771,27.771,26.78,27.672,58676,0
MLS,D,20180712,000000,26.78,27.771,25.986,27.771,2407,0
MLS,D,20180713,000000,27.276,28.763,27.276,28.763,2521,0
MLS,D,20180716,000000,28.763,28.763,27.771,27.771,120,0
MLS,D,20180717,000000,27.92,28.218,27.127,28.218,780,0
MLS,D,20180718,000000,28.168,28.168,27.176,28.168,691,0
MLS,D,20180720,000000,28.188,28.188,28.188,28.188,40,0
MLS,D,20180723,000000,28.069,28.168,27.276,28.168,610,0
MLS,D,20180724,000000,26.79,28.763,26.79,28.763,2209,0
MLS,D,20180725,000000,28.763,29.358,28.168,29.358,1442,0
MLS,D,20180726,000000,29.656,29.656,27.97,29.557,560,0
MLS,D,20180727,000000,29.557,31.739,28.763,31.739,4078,0
MLS,D,20180730,000000,31.54,32.731,31.54,32.036,1000,0
MLS,D,20180731,000000,31.937,31.937,28.763,31.739,4200,0
MLS,D,20180801,000000,31.739,31.838,31.739,31.838,1023,0
MLS,D,20180802,000000,32.036,32.036,32.036,32.036,1296,0
MLS,D,20180803,000000,32.136,32.334,31.739,31.739,943,0
MLS,D,20180806,000000,31.739,31.927,31.54,31.828,333,0
MLS,D,20180807,000000,31.977,32.711,31.977,32.711,403,0
MLS,D,20180808,000000,32.711,34.714,31.739,34.218,1371,0
MLS,D,20180809,000000,36.202,38.682,34.218,34.318,3055,0
MLS,D,20180810,000000,34.218,34.218,33.921,34.07,298,0
MLS,D,20180813,000000,34.07,34.218,33.227,33.693,1253,0
MLS,D,20180814,000000,33.822,33.822,33.693,33.722,871,0
MLS,D,20180816,000000,33.722,34.218,33.722,33.722,882,0
MLS,D,20180817,000000,33.227,33.326,33.227,33.227,1758,0
MLS,D,20180820,000000,32.929,33.028,32.929,33.028,233,0
MLS,D,20180821,000000,33.028,33.524,33.028,33.524,318,0
MLS,D,20180822,000000,33.524,33.524,30.35,33.227,588,0
MLS,D,20180823,000000,33.028,33.227,33.028,33.028,584,0
MLS,D,20180824,000000,33.028,33.058,33.028,33.028,241,0
MLS,D,20180827,000000,33.028,33.227,33.028,33.227,171,0
MLS,D,20180828,000000,33.127,33.127,33.127,33.127,15,0
MLS,D,20180829,000000,33.028,33.227,31.739,33.227,792,0
MLS,D,20180830,000000,33.127,33.127,31.987,32.929,249,0
MLS,D,20180831,000000,32.086,32.086,30.053,30.152,2870,0
MLS,D,20180903,000000,29.755,29.755,25.808,25.808,1341,0
MLS,D,20180904,000000,26.73,26.73,21.84,24.201,2865,0
MLS,D,20180905,000000,24.796,25.292,23.606,25.193,952,0
MLS,D,20180906,000000,25.193,25.193,24.022,24.697,1062,0
MLS,D,20180907,000000,24.598,24.697,23.705,24.102,1903,0
MLS,D,20180910,000000,24.102,24.697,23.834,23.834,1061,0
MLS,D,20180911,000000,23.804,23.804,23.655,23.804,500,0
MLS,D,20180912,000000,23.804,23.993,23.804,23.993,86,0
MLS,D,20180913,000000,23.993,24.002,23.993,24.002,131,0
MLS,D,20180914,000000,24.26,24.26,23.804,23.804,117,0
MLS,D,20180917,000000,24.26,24.498,24.26,24.498,101,0
MLS,D,20180918,000000,24.498,24.498,23.606,23.606,35,0
MLS,D,20180919,000000,24.399,24.399,24.399,24.399,40,0
MLS,D,20180920,000000,23.804,23.804,23.626,23.626,185,0
MLS,D,20180921,000000,23.626,23.626,23.209,23.209,282,0
MLS,D,20180924,000000,23.06,24.151,23.06,23.06,17,0
MLS,D,20180925,000000,24.151,24.3,23.308,24.3,92,0
MLS,D,20180926,000000,23.804,24.3,23.308,24.3,88,0
MLS,D,20180927,000000,24.3,24.3,24.3,24.3,40,0
MLS,D,20180928,000000,24.201,24.201,24.201,24.201,35,0
MLS,D,20181001,000000,23.407,24.201,23.407,24.201,52,0
MLS,D,20181002,000000,23.407,23.407,23.407,23.407,212,0
MLS,D,20181003,000000,23.308,23.308,23.308,23.308,351,0
MLS,D,20181005,000000,23.308,23.308,22.713,22.713,330,0
MLS,D,20181008,000000,22.346,23.011,22.346,23.011,42,0
MLS,D,20181009,000000,23.011,23.011,23.011,23.011,16,0
MLS,D,20181011,000000,21.92,23.011,21.92,23.011,166,0
MLS,D,20181012,000000,23.011,30.618,23.011,27.771,12841,0
MLS,D,20181015,000000,28.962,30.648,26.333,26.333,13539,0
MLS,D,20181016,000000,27.077,27.077,25.986,26.631,1462,0
MLS,D,20181017,000000,26.78,28.069,25.887,26.78,2281,0
MLS,D,20181018,000000,26.78,27.375,26.284,26.78,999,0
MLS,D,20181019,000000,26.978,28.654,26.284,26.631,1618,0
MLS,D,20181022,000000,27.573,27.573,26.73,26.73,685,0
MLS,D,20181023,000000,27.434,27.434,26.532,27.166,663,0
MLS,D,20181024,000000,26.869,26.869,25.292,25.292,1044,0
MLS,D,20181025,000000,25.788,25.788,25.292,25.788,666,0
MLS,D,20181026,000000,25.689,25.689,25.689,25.689,23,0
MLS,D,20181029,000000,24.994,25.788,24.945,25.788,360,0
MLS,D,20181030,000000,25.788,25.788,25.788,25.788,35,0
MLS,D,20181031,000000,25.391,27.553,25.391,27.553,511,0
MLS,D,20181102,000000,27.553,29.458,27.553,29.061,165,0
MLS,D,20181105,000000,29.061,29.061,26.482,27.722,576,0
MLS,D,20181106,000000,27.672,27.672,26.78,26.78,19,0
MLS,D,20181107,000000,26.78,26.78,26.78,26.78,24,0
MLS,D,20181108,000000,26.879,27.672,26.383,26.383,372,0
MLS,D,20181109,000000,25.986,26.284,25.986,26.284,132,0
MLS,D,20181113,000000,26.284,26.284,25.689,25.689,317,0
MLS,D,20181114,000000,26.284,26.78,25.788,25.788,372,0
MLS,D,20181115,000000,25.887,26.77,25.708,25.708,237,0
MLS,D,20181116,000000,26.68,26.68,25.689,26.284,402,0
MLS,D,20181119,000000,26.284,27.276,25.708,26.482,5024,0
MLS,D,20181120,000000,26.036,26.036,26.036,26.036,10,0
MLS,D,20181121,000000,26.829,27.077,26.145,26.869,1188,0
MLS,D,20181122,000000,26.978,26.978,26.135,26.77,565,0
MLS,D,20181126,000000,26.135,26.333,25.986,26.333,615,0
MLS,D,20181127,000000,26.76,26.76,26.284,26.284,534,0
MLS,D,20181128,000000,26.284,26.284,25.788,25.788,192,0
MLS,D,20181129,000000,25.788,25.788,25.708,25.788,217,0
MLS,D,20181130,000000,25.708,25.778,24.796,25.778,508,0
MLS,D,20181203,000000,24.895,25.788,24.895,25.788,424,0
MLS,D,20181204,000000,24.945,27.434,24.895,27.276,1788,0
MLS,D,20181205,000000,27.375,27.375,26.78,26.78,2257,0
MLS,D,20181206,000000,27.067,27.067,26.383,27.037,233,0
MLS,D,20181207,000000,26.978,26.978,26.78,26.78,50,0
MLS,D,20181210,000000,26.383,27.077,26.383,27.077,673,0
MLS,D,20181211,000000,27.077,28.763,26.78,27.672,1234,0
MLS,D,20181212,000000,27.672,27.672,27.672,27.672,252,0
MLS,D,20181213,000000,27.276,27.276,27.077,27.077,181,0
MLS,D,20181214,000000,27.077,29.725,27.077,27.573,6021,0
MLS,D,20181217,000000,27.771,27.771,27.771,27.771,207,0
MLS,D,20181218,000000,27.771,27.771,27.771,27.771,1013,0
MLS,D,20181219,000000,27.771,27.771,27.672,27.672,1001,0
MLS,D,20181220,000000,27.771,27.771,27.176,27.176,476,0
MLS,D,20181221,000000,27.771,27.771,27.176,27.474,1399,0
MLS,D,20181227,000000,27.771,27.771,27.276,27.276,308,0
MLS,D,20181228,000000,27.474,27.762,27.375,27.722,161,0
MLS,D,20190102,000000,27.722,27.771,27.077,27.276,411,0
MLS,D,20190103,000000,27.276,27.771,27.276,27.771,710,0
MLS,D,20190104,000000,27.771,27.871,27.276,27.662,1468,0
MLS,D,20190107,000000,27.762,27.771,27.762,27.771,281,0
MLS,D,20190108,000000,27.771,27.771,27.771,27.771,84,0
MLS,D,20190109,000000,27.771,27.771,27.771,27.771,50,0
MLS,D,20190110,000000,27.771,27.771,27.404,27.404,40,0
MLS,D,20190111,000000,27.404,27.771,27.404,27.771,292,0
MLS,D,20190114,000000,27.484,27.484,27.484,27.484,101,0
MLS,D,20190115,000000,27.762,28.069,27.762,28.069,2424,0
MLS,D,20190116,000000,28.069,28.962,28.069,28.763,1867,0
MLS,D,20190117,000000,28.763,28.763,27.573,27.97,2006,0
MLS,D,20190118,000000,27.97,28.238,27.771,28.238,1440,0
MLS,D,20190121,000000,28.257,28.257,28.069,28.069,578,0
MLS,D,20190122,000000,27.97,27.97,27.97,27.97,55,0
MLS,D,20190123,000000,27.781,27.781,27.771,27.771,5674,0
MLS,D,20190124,000000,27.672,27.672,27.573,27.573,1984,0
MLS,D,20190125,000000,27.771,27.771,27.771,27.771,70,0
MLS,D,20190128,000000,27.771,27.771,27.771,27.771,285,0
MLS,D,20190129,000000,27.771,28.267,26.085,26.978,10646,0
MLS,D,20190130,000000,26.978,26.978,26.968,26.968,315,0
MLS,D,20190131,000000,26.978,28.267,26.978,28.267,1172,0
MLS,D,20190201,000000,28.267,28.267,27.771,27.771,499,0
MLS,D,20190204,000000,27.771,27.771,27.375,27.771,45,0
MLS,D,20190205,000000,27.771,27.771,27.375,27.375,389,0
MLS,D,20190206,000000,27.771,27.771,27.276,27.771,264,0
MLS,D,20190207,000000,27.276,27.771,27.276,27.276,149,0
MLS,D,20190208,000000,27.276,27.276,27.276,27.276,101,0
MLS,D,20190211,000000,27.276,27.672,27.276,27.672,516,0
MLS,D,20190212,000000,27.434,27.434,27.434,27.434,20,0
MLS,D,20190213,000000,27.771,27.771,27.771,27.771,121,0
MLS,D,20190215,000000,27.762,27.762,27.276,27.276,23,0
MLS,D,20190218,000000,26.879,26.928,25.788,26.284,1159,0
MLS,D,20190219,000000,26.284,27.176,25.788,25.788,1083,0
MLS,D,20190220,000000,26.581,27.057,26.581,26.78,710,0
MLS,D,20190221,000000,26.78,26.78,26.482,26.482,508,0
MLS,D,20190222,000000,26.532,26.78,26.333,26.333,369,0
MLS,D,20190225,000000,26.333,26.333,26.036,26.284,958,0
MLS,D,20190226,000000,26.284,26.284,26.284,26.284,27,0
MLS,D,20190227,000000,26.135,26.145,26.135,26.145,50,0
MLS,D,20190228,000000,26.204,26.77,26.204,26.77,81,0
MLS,D,20190301,000000,26.78,26.78,25.49,26.78,2049,0
MLS,D,20190304,000000,26.78,26.78,26.68,26.68,516,0
MLS,D,20190305,000000,26.78,26.78,26.78,26.78,38,0
MLS,D,20190306,000000,26.383,26.482,26.006,26.403,416,0
MLS,D,20190307,000000,26.284,26.284,26.006,26.006,139,0
MLS,D,20190308,000000,26.046,26.046,25.808,25.808,607,0
MLS,D,20190311,000000,25.818,26.184,25.689,25.798,381,0
MLS,D,20190312,000000,26.184,26.77,26.184,26.77,293,0
MLS,D,20190313,000000,25.798,25.798,25.798,25.798,90,0
MLS,D,20190315,000000,26.284,26.77,26.284,26.661,217,0
MLS,D,20190318,000000,26.284,26.383,25.49,25.788,1895,0
MLS,D,20190319,000000,25.768,25.788,25.619,25.788,669,0
MLS,D,20190320,000000,25.589,25.589,25.49,25.49,101,0
MLS,D,20190321,000000,25.5,25.51,25.49,25.49,329,0
MLS,D,20190322,000000,25.401,25.738,25.401,25.416,96,0
MLS,D,20190325,000000,25.778,25.778,25.391,25.778,774,0
MLS,D,20190326,000000,25.689,25.689,25.341,25.689,153,0
MLS,D,20190327,000000,25.788,25.887,25.689,25.788,1054,0
MLS,D,20190328,000000,25.887,26.085,25.887,26.085,252,0
MLS,D,20190329,000000,26.284,26.284,26.085,26.085,248,0
MLS,D,20190401,000000,26.284,27.375,26.284,26.879,1750,0
MLS,D,20190402,000000,26.879,27.375,26.284,26.284,2435,0
MLS,D,20190403,000000,26.284,26.78,26.284,26.78,98,0
MLS,D,20190404,000000,26.78,27.077,26.78,27.077,1159,0
MLS,D,20190405,000000,26.284,26.78,25.193,25.193,1465,0
MLS,D,20190408,000000,25.788,26.184,25.391,25.391,243,0
MLS,D,20190409,000000,25.391,26.284,25.391,26.284,252,0
MLS,D,20190411,000000,25.49,26.284,25.49,26.284,98,0
MLS,D,20190412,000000,26.284,26.284,25.193,25.193,332,0
MLS,D,20190415,000000,25.193,25.292,25.193,25.292,31,0
MLS,D,20190416,000000,25.391,25.391,25.093,25.093,1158,0
MLS,D,20190417,000000,25.093,25.093,24.697,24.697,564,0
MLS,D,20190418,000000,24.796,24.796,24.796,24.796,101,0
MLS,D,20190423,000000,24.598,24.598,24.598,24.598,55,0
MLS,D,20190424,000000,24.598,24.598,24.598,24.598,273,0
MLS,D,20190425,000000,24.598,24.598,24.498,24.498,489,0
MLS,D,20190426,000000,24.201,24.201,22.911,23.903,858,0
MLS,D,20190429,000000,23.804,23.804,23.209,23.209,569,0
MLS,D,20190430,000000,23.804,23.804,23.804,23.804,202,0
MLS,D,20190502,000000,24.102,24.102,24.102,24.102,22,0
MLS,D,20190506,000000,23.903,23.903,23.507,23.507,167,0
MLS,D,20190507,000000,23.606,24.002,23.606,23.903,193,0
MLS,D,20190508,000000,23.705,23.705,23.308,23.308,215,0
MLS,D,20190509,000000,23.407,23.507,23.407,23.507,172,0
MLS,D,20190510,000000,23.804,24.598,23.804,24.002,2078,0
MLS,D,20190513,000000,23.804,23.804,23.011,23.011,1600,0
MLS,D,20190514,000000,22.911,23.011,22.911,22.911,206,0
MLS,D,20190515,000000,22.911,23.209,22.911,22.911,236,0
MLS,D,20190516,000000,22.911,23.308,22.911,22.911,248,0
MLS,D,20190517,000000,23.011,23.407,21.82,21.82,3518,0
MLS,D,20190520,000000,22.416,22.416,21.82,21.82,5750,0
MLS,D,20190521,000000,21.622,21.622,20.233,20.729,2022,0
MLS,D,20190522,000000,20.729,21.424,20.729,21.424,540,0
