<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNC,D,19980402,000000,1.7176,1.7176,1.7176,1.7176,0,0
MNC,D,19980407,000000,2.0744,2.0744,2.0744,2.0744,931735,0
MNC,D,19980408,000000,2.0084,2.0084,2.0084,2.0084,468547,0
MNC,D,19980409,000000,1.9161,1.9161,1.9161,1.9161,317674,0
MNC,D,19980414,000000,1.8494,1.8494,1.8494,1.8494,243701,0
MNC,D,19980415,000000,1.8828,1.8828,1.8828,1.8828,183354,0
MNC,D,19980416,000000,1.9424,1.9424,1.9424,1.9424,115534,0
MNC,D,19980417,000000,1.9161,1.9161,1.9161,1.9161,119172,0
MNC,D,19980420,000000,1.9819,1.9819,1.9819,1.9819,130888,0
MNC,D,19980421,000000,1.8494,1.8494,1.8494,1.8494,107561,0
MNC,D,19980422,000000,1.8565,1.8565,1.8565,1.8565,137997,0
MNC,D,19980423,000000,1.8828,1.8828,1.8828,1.8828,96680,0
MNC,D,19980424,000000,1.9618,1.9618,1.9618,1.9618,175086,0
MNC,D,19980427,000000,1.9161,1.9161,1.9161,1.9161,179852,0
MNC,D,19980428,000000,1.8494,1.8494,1.8494,1.8494,180782,0
MNC,D,19980429,000000,1.8494,1.8494,1.8494,1.8494,96451,0
MNC,D,19980430,000000,1.8494,1.8494,1.8494,1.8494,65517,0
MNC,D,19980504,000000,1.8494,1.8494,1.8494,1.8494,66554,0
MNC,D,19980505,000000,1.8494,1.8494,1.8494,1.8494,125850,0
MNC,D,19980506,000000,1.7835,1.7835,1.7835,1.7835,56602,0
MNC,D,19980507,000000,1.7835,1.7835,1.7835,1.7835,60590,0
MNC,D,19980508,000000,1.7114,1.7114,1.7114,1.7114,225385,0
MNC,D,19980511,000000,1.7245,1.7245,1.7245,1.7245,136705,0
MNC,D,19980512,000000,1.7176,1.7176,1.7176,1.7176,97448,0
MNC,D,19980513,000000,1.5525,1.5525,1.5525,1.5525,174021,0
MNC,D,19980514,000000,1.5525,1.5525,1.5525,1.5525,205564,0
MNC,D,19980515,000000,1.5525,1.5525,1.5525,1.5525,184593,0
MNC,D,19980518,000000,1.5462,1.5462,1.5462,1.5462,55741,0
MNC,D,19980519,000000,1.5191,1.5191,1.5191,1.5191,114458,0
MNC,D,19980520,000000,1.3671,1.3671,1.3671,1.3671,238005,0
MNC,D,19980521,000000,1.4865,1.4865,1.4865,1.4865,394302,0
MNC,D,19980522,000000,1.5462,1.5462,1.5462,1.5462,403207,0
MNC,D,19980525,000000,1.4532,1.4532,1.4532,1.4532,61234,0
MNC,D,19980526,000000,1.447,1.447,1.447,1.447,134605,0
MNC,D,19980527,000000,1.3872,1.3872,1.3872,1.3872,179812,0
MNC,D,19980528,000000,1.3215,1.3215,1.3215,1.3215,242919,0
MNC,D,19980529,000000,1.3609,1.3609,1.3609,1.3609,151208,0
MNC,D,19980601,000000,1.3145,1.3145,1.3145,1.3145,128112,0
MNC,D,19980602,000000,1.222,1.222,1.222,1.222,173605,0
MNC,D,19980603,000000,1.2353,1.2353,1.2353,1.2353,247216,0
MNC,D,19980604,000000,1.2881,1.2881,1.2881,1.2881,252509,0
MNC,D,19980605,000000,1.2749,1.2749,1.2749,1.2749,225804,0
MNC,D,19980608,000000,1.2881,1.2881,1.2881,1.2881,125136,0
MNC,D,19980609,000000,1.2881,1.2881,1.2881,1.2881,197496,0
MNC,D,19980610,000000,1.2484,1.2484,1.2484,1.2484,157793,0
MNC,D,19980615,000000,1.1298,1.1298,1.1298,1.1298,177376,0
MNC,D,19980616,000000,1.1228,1.1228,1.1228,1.1228,320719,0
MNC,D,19980617,000000,1.229,1.229,1.229,1.229,113742,0
