<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOJ,D,20070613,000000,6.4278,6.8943,6.1573,6.633,1961178,0
MOJ,D,20070614,000000,6.8196,6.9502,6.5304,6.5304,550827,0
MOJ,D,20070615,000000,6.5771,7.0901,6.4837,6.9502,374996,0
MOJ,D,20070618,000000,7.0995,8.079,7.0995,8.0231,744822,0
MOJ,D,20070619,000000,8.275,8.275,7.6499,8.0231,382415,0
MOJ,D,20070620,000000,8.1163,8.6761,8.0231,8.4056,301112,0
MOJ,D,20070621,000000,8.5361,8.9559,8.4429,8.6761,222291,0
MOJ,D,20070622,000000,8.6761,9.2078,8.3122,9.0493,291330,0
MOJ,D,20070625,000000,8.9746,9.0959,8.6761,9.0212,109086,0
MOJ,D,20070626,000000,9.0026,9.0026,8.6761,8.8254,110192,0
MOJ,D,20070627,000000,8.6294,8.6294,8.2189,8.3962,325028,0
MOJ,D,20070628,000000,8.4988,8.6761,8.3029,8.4242,77816,0
MOJ,D,20070629,000000,8.5735,8.5828,8.0323,8.1163,118138,0
MOJ,D,20070702,000000,8.107,8.107,7.37,7.7805,104271,0
MOJ,D,20070703,000000,7.8365,7.8365,7.3887,7.6125,115652,0
MOJ,D,20070704,000000,7.5286,7.7151,6.9035,7.3887,254992,0
MOJ,D,20070705,000000,7.3327,7.6033,7.2861,7.4633,81441,0
MOJ,D,20070706,000000,7.37,7.4633,7.2767,7.454,33721,0
MOJ,D,20070709,000000,7.4167,7.5006,7.2488,7.2488,105522,0
MOJ,D,20070710,000000,7.2488,7.2953,7.0248,7.0901,66646,0
MOJ,D,20070711,000000,7.0434,7.0901,6.9129,6.9222,50798,0
MOJ,D,20070712,000000,7.0061,7.398,6.9969,7.2301,60989,0
MOJ,D,20070713,000000,7.2301,7.2488,7.0434,7.1181,35622,0
MOJ,D,20070716,000000,7.1648,7.1648,6.8103,6.9689,67152,0
MOJ,D,20070717,000000,6.9875,7.2394,6.8103,7.2301,30562,0
MOJ,D,20070718,000000,7.1834,7.1834,6.9969,7.0995,11346,0
MOJ,D,20070719,000000,7.2488,7.2488,7.0434,7.2114,19810,0
MOJ,D,20070720,000000,7.2301,7.3047,7.0901,7.2114,18568,0
MOJ,D,20070723,000000,7.0995,7.4353,7.0901,7.4353,52127,0
