<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOL,D,19951211,000000,1.7374,1.7689,1.7374,1.7689,7359,0
MOL,D,19951212,000000,1.7492,1.7581,1.742,1.7581,9975,0
MOL,D,19951222,000000,1.6762,1.7231,1.6762,1.7231,31608,0
MOL,D,19951227,000000,1.6662,1.7374,1.6662,1.7374,43492,0
MOL,D,19951228,000000,1.742,1.7572,1.7177,1.7572,53100,0
MOL,D,19951229,000000,1.7593,1.7672,1.7593,1.7593,49282,0
MOL,D,19960104,000000,1.7961,1.9395,1.7961,1.9313,15521,0
MOL,D,19960105,000000,2.0539,2.4002,2.0539,2.2451,10498,0
MOL,D,19960108,000000,2.3046,2.4317,2.3046,2.3848,73879,0
MOL,D,19960109,000000,2.3868,2.3868,2.228,2.3868,37693,0
MOL,D,19960110,000000,2.3084,2.3633,2.3001,2.3479,28792,0
MOL,D,19960111,000000,2.275,2.291,2.2351,2.2514,9548,0
MOL,D,19960112,000000,2.1549,2.2343,2.1,2.2018,35261,0
MOL,D,19960115,000000,2.1486,2.2108,2.1314,2.1874,18354,0
MOL,D,19960116,000000,2.1901,2.2857,2.1901,2.2777,14073,0
MOL,D,19960117,000000,2.2659,2.2982,2.219,2.2587,4342,0
MOL,D,19960118,000000,2.21,2.2813,2.21,2.2578,10969,0
MOL,D,19960119,000000,2.263,2.3108,2.2397,2.2793,15154,0
MOL,D,19960122,000000,2.291,2.3147,2.291,2.291,29567,0
MOL,D,19960123,000000,2.2902,2.3543,2.2902,2.3543,25565,0
MOL,D,19960124,000000,2.3272,2.3894,2.3272,2.3588,99287,0
MOL,D,19960125,000000,2.3929,2.4562,2.3695,2.4246,81290,0
MOL,D,19960126,000000,2.4047,2.4047,2.3894,2.4047,24580,0
MOL,D,19960129,000000,2.4011,2.494,2.4011,2.494,20029,0
MOL,D,19960130,000000,2.5057,2.7411,2.5057,2.7249,19949,0
MOL,D,19960131,000000,2.7292,2.7843,2.7292,2.7843,52656,0
MOL,D,19960201,000000,2.7933,2.825,2.7463,2.7852,56606,0
MOL,D,19960202,000000,2.7826,2.7826,2.6888,2.7276,33919,0
MOL,D,19960205,000000,2.7166,2.732,2.7004,2.7249,15485,0
MOL,D,19960206,000000,2.6735,2.6888,2.6417,2.6735,13882,0
MOL,D,19960207,000000,2.6481,2.6725,2.6481,2.6644,5711,0
MOL,D,19960208,000000,2.6474,2.6618,2.6391,2.6618,14666,0
MOL,D,19960209,000000,2.6735,2.8223,2.6735,2.759,64270,0
MOL,D,19960212,000000,2.7112,2.7979,2.696,2.7663,9469,0
MOL,D,19960213,000000,2.7401,2.779,2.7004,2.7482,26707,0
MOL,D,19960214,000000,2.7131,2.7284,2.65,2.7284,34843,0
MOL,D,19960215,000000,2.6787,2.6787,2.3642,2.4506,16279,0
MOL,D,19960216,000000,2.3505,2.4137,2.1938,2.2569,8240,0
MOL,D,19960219,000000,2.2379,2.246,2.1135,2.2072,37693,0
MOL,D,19960220,000000,2.2245,2.2245,2.1459,2.1459,2407,0
MOL,D,19960221,000000,2.1874,2.274,2.1722,2.274,2868,0
MOL,D,19960222,000000,2.3568,2.4506,2.3568,2.4354,11196,0
MOL,D,19960223,000000,2.5012,2.6888,2.5012,2.6571,33422,0
MOL,D,19960226,000000,2.6949,2.7896,2.6949,2.7663,7176,0
MOL,D,19960227,000000,2.7446,2.7446,2.6193,2.658,16872,0
MOL,D,19960228,000000,2.6193,2.6977,2.6193,2.6815,19767,0
MOL,D,19960229,000000,2.6544,2.6626,2.6159,2.6391,10280,0
MOL,D,19960301,000000,2.6508,2.6985,2.6508,2.6905,9051,0
MOL,D,19960304,000000,2.6807,2.7753,2.6807,2.7753,34241,0
MOL,D,19960305,000000,2.7617,2.942,2.7617,2.9034,28704,0
MOL,D,19960306,000000,2.9015,3.0035,2.9015,2.9403,37380,0
MOL,D,19960307,000000,2.9213,2.9213,2.8581,2.8978,8623,0
MOL,D,19960308,000000,2.8413,2.8413,2.7537,2.7617,48227,0
MOL,D,19960311,000000,2.6842,2.6842,2.5662,2.6689,4011,0
MOL,D,19960312,000000,2.7617,2.8413,2.6825,2.8086,2633,0
MOL,D,19960313,000000,2.7502,2.7735,2.7418,2.7502,1639,0
MOL,D,19960314,000000,2.8105,2.8501,2.787,2.8501,16907,0
MOL,D,19960318,000000,2.8276,2.8663,2.8113,2.8276,23132,0
MOL,D,19960319,000000,2.8023,2.8023,2.6689,2.6761,18145,0
MOL,D,19960320,000000,2.668,2.6753,2.6517,2.668,4403,0
MOL,D,19960321,000000,2.6869,2.6869,2.5769,2.593,11780,0
MOL,D,19960322,000000,2.6221,2.6221,2.4409,2.4724,21372,0
MOL,D,19960325,000000,2.593,2.593,2.5219,2.5219,18973,0
MOL,D,19960326,000000,2.53,2.53,2.475,2.475,14814,0
MOL,D,19960327,000000,2.4481,2.4481,2.4092,2.4481,67976,0
MOL,D,19960328,000000,2.5148,2.5148,2.3722,2.3722,12992,0
MOL,D,19960329,000000,2.3992,2.4389,2.3606,2.3992,7899,0
MOL,D,19960401,000000,2.4102,2.4175,2.3868,2.3868,13114,0
MOL,D,19960402,000000,2.4264,2.4264,2.3172,2.3172,18650,0
MOL,D,19960403,000000,2.3498,2.365,2.3414,2.365,13750,0
MOL,D,19960404,000000,2.4345,2.4345,2.3713,2.3875,10855,0
MOL,D,19960405,000000,2.3992,2.4777,2.3838,2.4309,3697,0
MOL,D,19960409,000000,2.4562,2.4714,2.3453,2.4011,9007,0
MOL,D,19960410,000000,2.3903,2.3984,2.3829,2.3984,3104,0
MOL,D,19960411,000000,2.4011,2.4011,2.2442,2.3073,10428,0
MOL,D,19960412,000000,2.3606,2.3606,2.2966,2.3281,17474,0
MOL,D,19960415,000000,2.375,2.3829,2.3434,2.3516,12443,0
MOL,D,19960416,000000,2.4145,2.4226,2.3606,2.3911,11701,0
MOL,D,19960417,000000,2.4092,2.4092,2.2198,2.275,24370,0
MOL,D,19960418,000000,2.3208,2.3606,2.3208,2.3441,19706,0
MOL,D,19960419,000000,2.356,2.4661,2.356,2.4264,44155,0
MOL,D,19960422,000000,2.4488,2.4884,2.4255,2.4488,20081,0
MOL,D,19960423,000000,2.4985,2.4985,2.4363,2.467,19618,0
MOL,D,19960424,000000,2.476,2.476,2.4452,2.4679,13158,0
MOL,D,19960425,000000,2.4858,2.5248,2.4777,2.5174,9861,0
MOL,D,19960426,000000,2.5327,2.548,2.5094,2.541,12268,0
MOL,D,19960429,000000,2.5453,2.5617,2.5382,2.5453,5772,0
