<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRB,D,20081229,000000,1.1356,2.2176,1.1178,2.2176,208804,0
MRB,D,20081230,000000,1.7079,2.0656,1.69,1.7436,261787,0
MRB,D,20081231,000000,1.699,2.2176,1.699,2.2176,215286,0
MRB,D,20090105,000000,2.155,2.3339,1.9673,2.0566,165178,0
MRB,D,20090106,000000,1.9851,2.0388,1.8778,1.8778,76419,0
MRB,D,20090107,000000,1.7884,2.0477,1.7079,1.8421,109890,0
MRB,D,20090108,000000,1.9404,1.9404,1.8778,1.8778,31896,0
MRB,D,20090109,000000,1.8778,1.8957,1.7884,1.86,39080,0
MRB,D,20090112,000000,1.8778,1.8867,1.7079,1.7169,26130,0
MRB,D,20090113,000000,1.699,1.699,1.538,1.6453,30089,0
MRB,D,20090114,000000,1.6722,1.6722,1.4396,1.5201,45899,0
MRB,D,20090115,000000,1.3592,1.5559,1.3592,1.3592,61073,0
MRB,D,20090116,000000,1.4844,1.4844,1.3949,1.4754,23332,0
MRB,D,20090119,000000,1.4754,1.5022,1.4396,1.4396,20518,0
MRB,D,20090120,000000,1.4754,1.4754,1.3592,1.4218,23611,0
MRB,D,20090121,000000,1.4218,1.4754,1.386,1.4754,48423,0
MRB,D,20090122,000000,1.4754,1.4754,1.4575,1.4665,33483,0
MRB,D,20090123,000000,1.5022,1.5022,1.386,1.4754,99167,0
MRB,D,20090126,000000,1.5112,1.5112,1.4396,1.5112,114421,0
MRB,D,20090127,000000,1.5112,1.547,1.5112,1.5112,64784,0
MRB,D,20090128,000000,1.5112,1.538,1.4754,1.5201,126037,0
MRB,D,20090129,000000,1.5112,1.5112,1.4934,1.5112,70795,0
MRB,D,20090130,000000,1.538,1.547,1.5022,1.538,67022,0
MRB,D,20090202,000000,1.538,1.538,1.4754,1.5291,31892,0
MRB,D,20090203,000000,1.5291,1.5291,1.4665,1.5201,34016,0
MRB,D,20090204,000000,1.5291,1.5291,1.4754,1.5291,38705,0
MRB,D,20090205,000000,1.5291,1.5291,1.5112,1.5201,52382,0
MRB,D,20090206,000000,1.5291,1.547,1.5201,1.547,55323,0
MRB,D,20090209,000000,1.4754,1.538,1.4754,1.538,18788,0
MRB,D,20090210,000000,1.538,1.538,1.5112,1.5201,18096,0
MRB,D,20090211,000000,1.5201,1.5201,1.4934,1.5201,19258,0
MRB,D,20090212,000000,1.5201,1.5291,1.5112,1.5291,28953,0
MRB,D,20090213,000000,1.5291,1.6006,1.4844,1.5648,76529,0
MRB,D,20090216,000000,1.5648,1.5738,1.538,1.5648,68856,0
MRB,D,20090217,000000,1.5648,1.5648,1.5112,1.5559,35642,0
MRB,D,20090218,000000,1.5648,1.5648,1.547,1.5559,23317,0
MRB,D,20090219,000000,1.5559,1.5738,1.5291,1.5648,25690,0
MRB,D,20090220,000000,1.5648,1.5648,1.5201,1.547,16131,0
MRB,D,20090223,000000,1.5648,1.5648,1.5201,1.5559,14324,0
MRB,D,20090224,000000,1.5559,1.5559,1.5201,1.547,12580,0
MRB,D,20090225,000000,1.5559,1.5648,1.5291,1.547,26175,0
MRB,D,20090226,000000,1.5559,1.5559,1.547,1.5559,13320,0
MRB,D,20090227,000000,1.547,1.547,1.5112,1.5112,19683,0
MRB,D,20090302,000000,1.547,1.547,1.4934,1.5112,12866,0
MRB,D,20090303,000000,1.5112,1.5201,1.4934,1.5201,6531,0
MRB,D,20090304,000000,1.5112,1.5201,1.4844,1.5112,15399,0
MRB,D,20090305,000000,1.5112,1.5112,1.4754,1.5022,28768,0
MRB,D,20090306,000000,1.5112,1.5112,1.4575,1.4575,60526,0
MRB,D,20090309,000000,1.5201,1.5201,1.4665,1.5112,25045,0
MRB,D,20090310,000000,1.5112,1.5201,1.5022,1.5112,7739,0
MRB,D,20090311,000000,1.5291,1.538,1.5112,1.5201,39410,0
MRB,D,20090312,000000,1.5201,1.538,1.4754,1.5291,15667,0
MRB,D,20090313,000000,1.538,1.547,1.538,1.547,17705,0
MRB,D,20090316,000000,1.547,1.547,1.538,1.547,14474,0
MRB,D,20090317,000000,1.538,1.547,1.5201,1.547,45757,0
MRB,D,20090318,000000,1.547,1.547,1.5112,1.538,40025,0
MRB,D,20090319,000000,1.538,1.538,1.5112,1.5291,40526,0
MRB,D,20090320,000000,1.538,1.547,1.5291,1.538,24388,0
MRB,D,20090323,000000,1.547,1.547,1.5201,1.547,12972,0
MRB,D,20090324,000000,1.547,1.547,1.5022,1.5291,16126,0
MRB,D,20090325,000000,1.538,1.538,1.5201,1.5291,35255,0
MRB,D,20090326,000000,1.5291,1.5291,1.4934,1.5291,16899,0
MRB,D,20090327,000000,1.5201,1.5201,1.5112,1.5201,10721,0
MRB,D,20090330,000000,1.5112,1.5291,1.4934,1.5291,41793,0
MRB,D,20090331,000000,1.5291,1.5291,1.5201,1.5291,14873,0
MRB,D,20090401,000000,1.5201,1.5738,1.4934,1.5291,154740,0
MRB,D,20090402,000000,1.547,1.547,1.5022,1.5291,40956,0
MRB,D,20090403,000000,1.5291,1.5291,1.4934,1.4934,27241,0
MRB,D,20090406,000000,1.4934,1.5291,1.4844,1.5201,40247,0
MRB,D,20090407,000000,1.5291,1.547,1.5201,1.538,32504,0
MRB,D,20090408,000000,1.547,1.5738,1.5201,1.5559,104342,0
MRB,D,20090409,000000,1.5648,1.6543,1.5559,1.6453,337881,0
MRB,D,20090414,000000,1.6096,1.6632,1.547,1.6096,352522,0
MRB,D,20090415,000000,1.6185,1.6185,1.5648,1.6006,61210,0
MRB,D,20090416,000000,1.6185,1.6185,1.5827,1.6006,42404,0
MRB,D,20090417,000000,1.6096,1.6453,1.5738,1.6453,55967,0
MRB,D,20090420,000000,1.6453,1.6543,1.6096,1.6453,82336,0
MRB,D,20090421,000000,1.6543,1.6543,1.6096,1.6543,68453,0
MRB,D,20090422,000000,1.6453,1.6543,1.6096,1.6543,57021,0
MRB,D,20090423,000000,1.6543,1.6543,1.6364,1.6543,11332,0
MRB,D,20090424,000000,1.6543,1.6543,1.5827,1.6096,56707,0
MRB,D,20090427,000000,1.6274,1.6274,1.5827,1.6096,32284,0
