<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSP,D,19980915,000000,7.667,7.667,7.667,7.667,123822,0
MSP,D,19980916,000000,7.5823,7.5823,7.5823,7.5823,53730,0
MSP,D,19980917,000000,6.8621,6.8621,6.8621,6.8621,12197,0
MSP,D,19980918,000000,6.1774,6.1774,6.1774,6.1774,118381,0
MSP,D,19980921,000000,6.1774,6.1774,6.1774,6.1774,84756,0
MSP,D,19980922,000000,6.3115,6.3115,6.3115,6.3115,55267,0
MSP,D,19980923,000000,6.7351,6.7351,6.7351,6.7351,20100,0
MSP,D,19980924,000000,6.8198,6.8198,6.8198,6.8198,40507,0
MSP,D,19980925,000000,6.5162,6.5162,6.5162,6.5162,14512,0
MSP,D,19980928,000000,6.6504,6.6504,6.6504,6.6504,14248,0
MSP,D,19980929,000000,6.6857,6.6857,6.6857,6.6857,14646,0
MSP,D,19980930,000000,6.8198,6.8198,6.8198,6.8198,7164,0
MSP,D,19981001,000000,6.2197,6.2197,6.2197,6.2197,26280,0
MSP,D,19981002,000000,6.0079,6.0079,6.0079,6.0079,14708,0
MSP,D,19981005,000000,6.1349,6.1349,6.1349,6.1349,9829,0
MSP,D,19981006,000000,5.6267,5.6267,5.6267,5.6267,9715,0
MSP,D,19981007,000000,5.669,5.669,5.669,5.669,21119,0
MSP,D,19981008,000000,5.3726,5.3726,5.3726,5.3726,8751,0
MSP,D,19981009,000000,5.1113,5.1113,5.1113,5.1113,17193,0
MSP,D,19981012,000000,5.1538,5.1538,5.1538,5.1538,32832,0
MSP,D,19981013,000000,5.196,5.196,5.196,5.196,21915,0
MSP,D,19981014,000000,5.2808,5.2808,5.2808,5.2808,11391,0
MSP,D,19981015,000000,5.5419,5.5419,5.5419,5.5419,7407,0
MSP,D,19981016,000000,5.7114,5.7114,5.7114,5.7114,16883,0
MSP,D,19981019,000000,5.8385,5.8385,5.8385,5.8385,9268,0
MSP,D,19981020,000000,5.7961,5.7961,5.7961,5.7961,8979,0
MSP,D,19981021,000000,5.9655,5.9655,5.9655,5.9655,2946,0
MSP,D,19981022,000000,6.2622,6.2622,6.2622,6.2622,9660,0
MSP,D,19981023,000000,6.3962,6.3962,6.3962,6.3962,11324,0
MSP,D,19981026,000000,6.3962,6.3962,6.3962,6.3962,14160,0
MSP,D,19981027,000000,6.3962,6.3962,6.3962,6.3962,25731,0
MSP,D,19981028,000000,6.3962,6.3962,6.3962,6.3962,30300,0
MSP,D,19981029,000000,6.3962,6.3962,6.3962,6.3962,19231,0
MSP,D,19981030,000000,6.7704,6.7704,6.7704,6.7704,4339,0
MSP,D,19981102,000000,6.7351,6.7351,6.7351,6.7351,3354,0
MSP,D,19981103,000000,6.6504,6.6504,6.6504,6.6504,5421,0
MSP,D,19981104,000000,6.6009,6.6009,6.6009,6.6009,4225,0
MSP,D,19981105,000000,6.7351,6.7351,6.7351,6.7351,7975,0
MSP,D,19981106,000000,6.2197,6.2197,6.2197,6.2197,2929,0
MSP,D,19981109,000000,6.5162,6.5162,6.5162,6.5162,21772,0
MSP,D,19981110,000000,6.6009,6.6009,6.6009,6.6009,5883,0
MSP,D,19981112,000000,6.6009,6.6009,6.6009,6.6009,12321,0
MSP,D,19981113,000000,6.7351,6.7351,6.7351,6.7351,14008,0
MSP,D,19981116,000000,6.8621,6.8621,6.8621,6.8621,19552,0
MSP,D,19981117,000000,7.0316,7.0316,7.0316,7.0316,14091,0
MSP,D,19981118,000000,7.0316,7.0316,7.0316,7.0316,8130,0
MSP,D,19981119,000000,6.7704,6.7704,6.7704,6.7704,10283,0
MSP,D,19981120,000000,6.5655,6.5655,6.5655,6.5655,7525,0
MSP,D,19981123,000000,6.6009,6.6009,6.6009,6.6009,926,0
MSP,D,19981124,000000,6.6009,6.6009,6.6009,6.6009,4694,0
MSP,D,19981125,000000,6.3962,6.3962,6.3962,6.3962,563,0
MSP,D,19981126,000000,6.8198,6.8198,6.8198,6.8198,22761,0
MSP,D,19981127,000000,6.8621,6.8621,6.8621,6.8621,16038,0
MSP,D,19981130,000000,6.8198,6.8198,6.8198,6.8198,18275,0
MSP,D,19981201,000000,7.0316,7.0316,7.0316,7.0316,27754,0
MSP,D,19981202,000000,7.201,7.201,7.201,7.201,36376,0
MSP,D,19981203,000000,7.201,7.201,7.201,7.201,16735,0
MSP,D,19981204,000000,7.4128,7.4128,7.4128,7.4128,23068,0
MSP,D,19981207,000000,7.667,7.667,7.667,7.667,24544,0
MSP,D,19981208,000000,7.6316,7.6316,7.6316,7.6316,5086,0
MSP,D,19981209,000000,7.6316,7.6316,7.6316,7.6316,15596,0
MSP,D,19981210,000000,6.9046,6.9046,6.9046,6.9046,5068,0
MSP,D,19981211,000000,6.9046,6.9046,6.9046,6.9046,6158,0
MSP,D,19981214,000000,6.7351,6.7351,6.7351,6.7351,3825,0
MSP,D,19981215,000000,6.8621,6.8621,6.8621,6.8621,1302,0
MSP,D,19981216,000000,6.9469,6.9469,6.9469,6.9469,1171,0
MSP,D,19981217,000000,7.0316,7.0316,7.0316,7.0316,471,0
MSP,D,19981218,000000,6.8621,6.8621,6.8621,6.8621,1525,0
MSP,D,19981221,000000,6.9046,6.9046,6.9046,6.9046,1262,0
MSP,D,19981222,000000,6.8198,6.8198,6.8198,6.8198,471,0
MSP,D,19981223,000000,6.9046,6.9046,6.9046,6.9046,7745,0
MSP,D,19981228,000000,7.0316,7.0316,7.0316,7.0316,936,0
MSP,D,19981229,000000,7.2434,7.2434,7.2434,7.2434,4880,0
MSP,D,19981230,000000,7.1586,7.1586,7.1586,7.1586,3892,0
MSP,D,19981231,000000,6.9893,6.9893,6.9893,6.9893,1761,0
MSP,D,19990104,000000,7.2434,7.2434,7.2434,7.2434,4472,0
MSP,D,19990105,000000,7.201,7.201,7.201,7.201,4164,0
