<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSZ,D,19941005,000000,16.657,16.657,16.657,16.657,113060,0
MSZ,D,19941006,000000,16.657,16.657,16.657,16.657,112361,0
MSZ,D,19941007,000000,15.029,15.029,15.029,15.029,30829,0
MSZ,D,19941010,000000,13.555,13.555,13.555,13.555,109567,0
MSZ,D,19941011,000000,12.272,12.272,12.272,12.272,85516,0
MSZ,D,19941012,000000,12.272,12.272,12.272,12.272,34029,0
MSZ,D,19941013,000000,12.617,12.617,12.617,12.617,34505,0
MSZ,D,19941014,000000,12.617,12.617,12.617,12.617,15041,0
MSZ,D,19941017,000000,12.713,12.713,12.713,12.713,19892,0
MSZ,D,19941018,000000,12.713,12.713,12.713,12.713,28334,0
MSZ,D,19941019,000000,13.21,13.21,13.21,13.21,34859,0
MSZ,D,19941020,000000,12.885,12.885,12.885,12.885,12601,0
MSZ,D,19941021,000000,12.196,12.196,12.196,12.196,9225,0
MSZ,D,19941024,000000,10.989,10.989,10.989,10.989,25466,0
MSZ,D,19941025,000000,10.3,10.3,10.3,10.3,19353,0
MSZ,D,19941026,000000,9.2664,9.2664,9.2664,9.2664,28791,0
MSZ,D,19941027,000000,8.4048,8.4048,8.4048,8.4048,47645,0
MSZ,D,19941028,000000,8.5006,8.5006,8.5006,8.5006,39186,0
MSZ,D,19941102,000000,9.2664,9.2664,9.2664,9.2664,35343,0
MSZ,D,19941103,000000,9.535,9.535,9.535,9.535,36707,0
MSZ,D,19941104,000000,8.577,8.577,8.577,8.577,53298,0
MSZ,D,19941107,000000,8.577,8.577,8.577,8.577,23253,0
MSZ,D,19941108,000000,8.577,8.577,8.577,8.577,23824,0
MSZ,D,19941109,000000,8.9218,8.9218,8.9218,8.9218,30805,0
MSZ,D,19941110,000000,8.2326,8.2326,8.2326,8.2326,7524,0
MSZ,D,19941114,000000,8.2326,8.2326,8.2326,8.2326,39731,0
MSZ,D,19941115,000000,7.4668,7.4668,7.4668,7.4668,6246,0
MSZ,D,19941116,000000,6.7774,6.7774,6.7774,6.7774,43112,0
MSZ,D,19941117,000000,7.3902,7.3902,7.3902,7.3902,47182,0
MSZ,D,19941118,000000,7.3902,7.3902,7.3902,7.3902,32410,0
MSZ,D,19941121,000000,6.8732,6.8732,6.8732,6.8732,21313,0
MSZ,D,19941122,000000,6.184,6.184,6.184,6.184,39747,0
MSZ,D,19941123,000000,6.5286,6.5286,6.5286,6.5286,8929,0
MSZ,D,19941124,000000,6.5286,6.5286,6.5286,6.5286,10133,0
MSZ,D,19941125,000000,6.5286,6.5286,6.5286,6.5286,11451,0
MSZ,D,19941128,000000,7.0456,7.0456,7.0456,7.0456,33231,0
MSZ,D,19941129,000000,7.7346,7.7346,7.7346,7.7346,27332,0
MSZ,D,19941130,000000,8.5006,8.5006,8.5006,8.5006,20858,0
MSZ,D,19941201,000000,9.2664,9.2664,9.2664,9.2664,65919,0
MSZ,D,19941202,000000,9.611,9.611,9.611,9.611,86474,0
MSZ,D,19941205,000000,8.6728,8.6728,8.6728,8.6728,60216,0
