<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTL,D,20040705,000000,67.36,67.36,62.935,63.62,3710,0
MTL,D,20040706,000000,63.325,63.325,54.575,55.36,4051,0
MTL,D,20040707,000000,55.56,55.56,51.92,51.92,1743,0
MTL,D,20040708,000000,50.15,50.15,46.61,47.2,6087,0
MTL,D,20040709,000000,46.708,52.115,46.708,52.115,7024,0
MTL,D,20040712,000000,52.315,53.2,49.755,49.755,1467,0
MTL,D,20040713,000000,49.755,51.625,47.396,47.985,719,0
MTL,D,20040714,000000,48.185,48.185,46.315,47.396,362,0
MTL,D,20040715,000000,48.185,48.185,46.512,48.085,337,0
MTL,D,20040716,000000,48.185,48.185,47.2,48.185,358,0
MTL,D,20040719,000000,48.675,48.675,48.085,48.085,479,0
MTL,D,20040720,000000,47.2,49.56,46.315,46.315,5076,0
MTL,D,20040721,000000,48.38,48.38,46.315,46.414,913,0
MTL,D,20040722,000000,46.414,47.298,44.25,44.25,881,0
MTL,D,20040723,000000,43.266,45.037,40.906,42.48,1907,0
MTL,D,20040726,000000,43.856,44.446,40.808,42.284,6723,0
MTL,D,20040727,000000,41.3,44.054,40.808,43.266,2812,0
MTL,D,20040728,000000,42.086,44.348,42.086,43.955,1752,0
MTL,D,20040729,000000,44.054,44.054,42.775,43.955,736,0
MTL,D,20040730,000000,44.151,44.151,42.775,42.775,491,0
MTL,D,20040803,000000,42.185,42.185,41.89,41.89,38,0
MTL,D,20040804,000000,41.104,42.775,41.104,42.284,693,0
MTL,D,20040805,000000,41.89,43.365,41.89,42.775,457,0
MTL,D,20040806,000000,42.676,42.775,42.676,42.775,549,0
MTL,D,20040809,000000,41.792,42.775,40.316,42.775,1866,0
MTL,D,20040810,000000,42.284,42.775,41.792,42.775,859,0
MTL,D,20040811,000000,42.086,43.266,42.086,43.266,35,0
MTL,D,20040812,000000,42.284,43.66,42.284,43.266,737,0
MTL,D,20040813,000000,42.381,42.381,41.496,41.792,837,0
MTL,D,20040816,000000,42.284,42.284,39.825,40.316,1789,0
MTL,D,20040817,000000,39.432,39.628,38.94,39.333,427,0
MTL,D,20040818,000000,37.956,38.35,36.875,36.974,2207,0
MTL,D,20040819,000000,36.974,36.974,35.99,36.875,1892,0
MTL,D,20040820,000000,37.662,37.662,36.875,37.17,456,0
