<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVP,D,20080619,000000,5.2712,23.923,5.2712,6.4874,7319,0
MVP,D,20080620,000000,6.4874,7.1361,6.0014,6.2039,32504,0
MVP,D,20080623,000000,6.0821,6.0821,5.6771,6.0741,5588,0
MVP,D,20080624,000000,6.2806,6.2806,5.7779,6.0821,3153,0
MVP,D,20080625,000000,6.0821,6.0821,5.8791,5.8791,4661,0
MVP,D,20080626,000000,5.7375,5.9607,5.6771,5.9607,1024,0
MVP,D,20080627,000000,5.7174,6.4147,5.7174,6.285,379,0
MVP,D,20080630,000000,6.4064,7.0432,6.2039,6.4835,427,0
MVP,D,20080701,000000,6.8889,6.8889,6.285,6.4835,128,0
MVP,D,20080702,000000,6.4874,6.4874,6.4472,6.4472,7,0
MVP,D,20080703,000000,6.4874,6.4874,6.4874,6.4874,2,0
MVP,D,20080704,000000,6.1632,6.1632,6.1632,6.1632,513,0
MVP,D,20080707,000000,6.3415,6.3415,6.1307,6.1307,66,0
MVP,D,20080708,000000,6.1307,6.1307,6.1061,6.1061,5,0
MVP,D,20080709,000000,6.1228,6.3862,6.1228,6.3862,46,0
MVP,D,20080710,000000,6.4064,6.4064,6.0821,6.1632,6135,0
MVP,D,20080711,000000,6.1714,6.1714,5.8997,6.0821,253,0
MVP,D,20080714,000000,6.1513,6.1513,5.9401,6.1513,2523,0
MVP,D,20080715,000000,6.1513,6.1632,6.1513,6.1632,1139,0
MVP,D,20080716,000000,6.2363,6.2363,5.9607,6.1632,112,0
MVP,D,20080717,000000,6.232,6.232,6.2161,6.2161,5,0
MVP,D,20080718,000000,6.2363,6.2363,5.9562,6.2363,128,0
MVP,D,20080721,000000,6.1955,6.1955,6.1955,6.1955,5,0
MVP,D,20080722,000000,6.2363,6.2363,6.2363,6.2363,5,0
MVP,D,20080723,000000,6.4874,6.4874,6.2806,6.2806,5,0
MVP,D,20080724,000000,6.2363,6.2363,6.2363,6.2363,5,0
MVP,D,20080725,000000,5.9401,5.9401,5.9401,5.9401,5,0
MVP,D,20080728,000000,5.9401,5.9401,5.9401,5.9401,2,0
MVP,D,20080729,000000,5.9401,5.9401,5.9401,5.9401,25,0
MVP,D,20080730,000000,5.9199,5.9199,5.8791,5.8791,228,0
MVP,D,20080731,000000,5.8388,5.8388,5.5955,5.5955,1812,0
MVP,D,20080801,000000,5.5548,6.0821,5.5548,6.0821,2806,0
MVP,D,20080804,000000,6.4874,6.4874,6.4673,6.4673,504,0
MVP,D,20080805,000000,6.1429,6.1429,6.1429,6.1429,2,0
MVP,D,20080806,000000,6.1833,6.1833,6.1833,6.1833,2,0
MVP,D,20080807,000000,6.1833,6.1833,6.1833,6.1833,2,0
