<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MWT,D,20070928,000000,3.7452,3.7452,2.6244,2.8793,349574,0
MWT,D,20071001,000000,2.8793,2.8867,2.7143,2.7742,27926,0
MWT,D,20071002,000000,2.7405,2.7742,2.5682,2.7143,44655,0
MWT,D,20071003,000000,2.7143,2.718,2.553,2.7143,33405,0
MWT,D,20071004,000000,2.7555,2.9804,2.7555,2.8305,48261,0
MWT,D,20071005,000000,2.8867,3.1867,2.8867,3.0555,34469,0
MWT,D,20071008,000000,3.2804,3.2804,3.1567,3.2054,7371,0
MWT,D,20071009,000000,3.2241,3.2241,3.0742,3.0854,7452,0
MWT,D,20071010,000000,3.0929,3.0967,2.8867,2.898,21270,0
MWT,D,20071011,000000,2.9242,2.9804,2.8493,2.8867,25780,0
MWT,D,20071012,000000,2.8867,2.9617,2.8117,2.8493,52460,0
MWT,D,20071015,000000,2.9804,2.9804,2.8117,2.8493,43958,0
MWT,D,20071016,000000,2.9542,2.9542,2.808,2.8117,22520,0
MWT,D,20071017,000000,2.8117,2.8679,2.7968,2.8679,5053,0
MWT,D,20071018,000000,2.9355,2.9355,2.7968,2.7968,13829,0
MWT,D,20071019,000000,2.8117,2.8117,2.6993,2.7742,26811,0
MWT,D,20071022,000000,2.7742,2.7742,2.7368,2.7555,5732,0
MWT,D,20071023,000000,2.8117,2.8679,2.7555,2.8567,12597,0
MWT,D,20071024,000000,2.8605,2.9242,2.8343,2.9242,3950,0
MWT,D,20071025,000000,2.838,2.838,2.8042,2.808,5748,0
MWT,D,20071026,000000,2.8117,2.8117,2.808,2.8117,6407,0
MWT,D,20071029,000000,2.8867,2.9242,2.8117,2.8493,12944,0
MWT,D,20071030,000000,2.8493,2.8493,2.8117,2.8117,3779,0
MWT,D,20071031,000000,2.8493,2.8493,2.8493,2.8493,26,0
MWT,D,20071102,000000,2.8493,2.8493,2.7968,2.8117,2453,0
MWT,D,20071105,000000,2.9017,2.9017,2.8005,2.8942,2274,0
MWT,D,20071106,000000,2.883,2.8942,2.8005,2.8117,7774,0
MWT,D,20071107,000000,2.8117,2.8117,2.7368,2.7368,12019,0
MWT,D,20071108,000000,2.6618,2.7555,2.6244,2.6993,17844,0
MWT,D,20071109,000000,2.6993,2.703,2.6468,2.6468,6116,0
MWT,D,20071112,000000,2.6244,2.6468,2.6244,2.6244,7285,0
MWT,D,20071113,000000,2.6244,2.6806,2.6244,2.6806,7450,0
MWT,D,20071114,000000,2.6843,2.7706,2.6843,2.7368,11388,0
MWT,D,20071115,000000,2.6993,2.6993,2.6318,2.6618,8668,0
MWT,D,20071116,000000,2.6993,2.7293,2.5605,2.7293,6933,0
MWT,D,20071119,000000,2.7293,2.7293,2.6244,2.6806,616085,0
MWT,D,20071120,000000,2.6768,2.6768,2.5868,2.6055,14887,0
MWT,D,20071121,000000,2.6055,2.6055,2.5456,2.5493,21580,0
MWT,D,20071122,000000,2.5456,2.5456,2.047,2.5043,5562,0
MWT,D,20071123,000000,2.6018,2.6055,2.5156,2.5231,20983,0
MWT,D,20071126,000000,2.6055,2.8005,2.6055,2.8005,5761,0
MWT,D,20071127,000000,2.8117,2.8117,2.808,2.808,1093,0
MWT,D,20071128,000000,2.8117,3.1867,2.8117,3.1867,42397,0
MWT,D,20071129,000000,3.3366,3.3741,3.1492,3.3741,40449,0
MWT,D,20071130,000000,3.3516,3.5616,3.1867,3.5616,82588,0
MWT,D,20071203,000000,3.6928,3.6928,3.6028,3.6366,7375,0
MWT,D,20071204,000000,3.5953,3.5953,3.4753,3.4753,2081,0
MWT,D,20071205,000000,3.3179,3.4716,3.3028,3.4716,1490,0
