<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXC,D,20170630,000000,42.743,44.151,41.868,42.629,1524,0
MXC,D,20170703,000000,43.314,43.314,41.487,42.515,2190,0
MXC,D,20170704,000000,42.515,43.733,42.515,43.733,70,0
MXC,D,20170705,000000,43.733,43.747,43.733,43.747,66,0
MXC,D,20170706,000000,43.733,43.733,43.733,43.733,26,0
MXC,D,20170707,000000,43.656,43.656,43.656,43.656,14,0
MXC,D,20170710,000000,42.819,42.819,42.819,42.819,2,0
MXC,D,20170711,000000,42.629,42.629,42.629,42.629,2,0
MXC,D,20170712,000000,42.629,42.629,42.629,42.629,2,0
MXC,D,20170713,000000,42.629,42.629,42.629,42.629,2,0
MXC,D,20170714,000000,42.629,43.162,41.868,43.162,32,0
MXC,D,20170717,000000,42.629,43.078,42.629,43.078,36,0
MXC,D,20170718,000000,43.352,47.158,43.352,44.912,5698,0
MXC,D,20170719,000000,44.912,45.659,44.798,44.912,2627,0
MXC,D,20170720,000000,44.989,45.659,44.722,44.912,8267,0
MXC,D,20170721,000000,45.552,45.727,43.352,44.912,14447,0
MXC,D,20170724,000000,45.262,45.262,43.39,43.481,3227,0
MXC,D,20170725,000000,44.258,44.73,43.846,44.441,822,0
MXC,D,20170726,000000,44.38,44.38,44.151,44.38,7858,0
MXC,D,20170727,000000,44.456,44.699,41.883,42.781,6814,0
MXC,D,20170728,000000,43.695,43.999,42.636,43.976,2079,0
MXC,D,20170731,000000,43.93,44.144,43.915,44.144,466,0
MXC,D,20170801,000000,44.151,44.151,44.068,44.151,1798,0
MXC,D,20170802,000000,44.151,44.151,43.055,44.136,951,0
MXC,D,20170803,000000,44.136,44.136,43.329,43.39,639,0
MXC,D,20170804,000000,43.39,43.39,43.147,43.39,4643,0
MXC,D,20170807,000000,43.39,43.991,43.138,43.991,504,0
MXC,D,20170808,000000,43.39,43.915,43.39,43.915,184,0
MXC,D,20170809,000000,43.762,43.762,42.568,43.383,1588,0
