<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MZN,D,20110408,000000,2.6,2.6,2.2,2.44,91569,0
MZN,D,20110411,000000,2.29,2.35,1.96,2.16,33301,0
MZN,D,20110412,000000,2.1,2.1,2.03,2.03,6538,0
MZN,D,20110413,000000,2.06,2.2,2.01,2.01,5052,0
MZN,D,20110414,000000,2.04,2.04,2,2,2820,0
MZN,D,20110415,000000,1.84,1.84,1.7,1.8,9490,0
MZN,D,20110418,000000,1.67,1.8,1.67,1.7,6671,0
MZN,D,20110419,000000,1.7,1.74,1.55,1.74,11468,0
MZN,D,20110420,000000,1.71,1.72,1.62,1.62,5800,0
MZN,D,20110421,000000,1.62,1.79,1.58,1.79,13501,0
MZN,D,20110426,000000,1.73,1.89,1.69,1.89,7829,0
MZN,D,20110427,000000,1.73,2.04,1.73,2.04,10220,0
MZN,D,20110428,000000,1.98,1.98,1.95,1.95,1210,0
MZN,D,20110429,000000,1.9,2.19,1.9,2.16,15032,0
MZN,D,20110504,000000,2.02,2.1,2,2,7860,0
MZN,D,20110505,000000,2.05,2.05,2.02,2.02,1500,0
MZN,D,20110506,000000,2.07,2.07,2.07,2.07,1,0
MZN,D,20110509,000000,1.91,1.96,1.91,1.96,3550,0
MZN,D,20110510,000000,1.95,2.07,1.95,2.07,1530,0
MZN,D,20110511,000000,2.01,2.1,1.73,2.1,8373,0
MZN,D,20110513,000000,2.04,2.04,1.69,1.69,1561,0
MZN,D,20110516,000000,1.75,1.97,1.75,1.96,4715,0
MZN,D,20110517,000000,1.85,1.85,1.85,1.85,1410,0
MZN,D,20110518,000000,2.01,2.01,1.95,2,1302,0
MZN,D,20110519,000000,2,2,1.95,1.99,3,0
MZN,D,20110520,000000,2.01,2.01,1.94,2,2687,0
MZN,D,20110523,000000,2,2,1.9,1.9,1360,0
MZN,D,20110524,000000,1.98,1.98,1.98,1.98,2,0
MZN,D,20110525,000000,1.98,1.98,1.92,1.92,2301,0
MZN,D,20110526,000000,1.97,1.97,1.8,1.8,1653,0
MZN,D,20110527,000000,1.97,1.97,1.91,1.91,1401,0
MZN,D,20110531,000000,1.97,1.99,1.91,1.99,3864,0
MZN,D,20110601,000000,1.93,1.93,1.93,1.93,1300,0
MZN,D,20110602,000000,1.9,1.9,1.9,1.9,1,0
MZN,D,20110603,000000,1.9,1.99,1.9,1.94,5559,0
MZN,D,20110606,000000,1.89,1.99,1.89,1.96,3000,0
MZN,D,20110607,000000,1.86,1.92,1.86,1.92,1600,0
MZN,D,20110608,000000,1.95,1.95,1.85,1.85,353,0
MZN,D,20110609,000000,1.8,1.8,1.8,1.8,500,0
MZN,D,20110610,000000,1.8,1.8,1.8,1.8,2,0
MZN,D,20110613,000000,1.87,1.94,1.87,1.94,111,0
MZN,D,20110615,000000,1.9,1.9,1.9,1.9,98,0
MZN,D,20110616,000000,1.85,1.85,1.85,1.85,2,0
MZN,D,20110620,000000,1.9,1.9,1.9,1.9,2,0
MZN,D,20110621,000000,1.9,1.9,1.84,1.84,1422,0
MZN,D,20110622,000000,1.84,1.84,1.84,1.84,1,0
